date,DEU_commodities_f1__DEU_commodities_f2
2000-08-31,-0.07294930460330598
2000-09-01,-0.23922127138889573
2000-09-04,-0.3790013802486604
2000-09-05,-0.4878747989414441
2000-09-06,-0.5727019891972162
2000-09-07,-0.6388100799777529
2000-09-08,-0.690339690760082
2000-09-11,-0.7305116950676687
2000-09-12,-0.761833031720557
2000-09-13,-0.7862558705592325
2000-09-14,-0.8053009349572591
2000-09-15,-0.8201531927179584
2000-09-18,-0.8317361914650281
2000-09-19,-0.8407698561041413
2000-09-20,-0.8478154590476852
2000-09-21,-0.853310629082409
2000-09-22,-0.8575966170196632
2000-09-25,-0.8609395378166872
2000-09-26,-0.8635469241769337
2000-09-27,-0.8655806290799798
2000-09-28,-0.8671668841099366
2000-09-29,-0.868404141516373
2000-10-02,-0.8693691889307682
2000-10-03,-0.8694475631329873
2000-10-04,-0.8699535190369878
2000-10-05,-0.8704571049872771
2000-10-06,-0.8709203233457629
2000-10-09,-0.8713265849131421
2000-10-10,-0.8716718736846236
2000-10-11,-0.8719590039614835
2000-10-12,-0.872194055269698
2000-10-13,-0.8723842675817354
2000-10-16,-0.872536875012834
2000-10-17,-0.8726585188215896
2000-10-18,-0.872755002991041
2000-10-19,-0.8728312420337709
2000-10-20,-0.8728913087794397
2000-10-23,-0.8729385275882844
2000-10-24,-0.8729755821132137
2000-10-25,-0.8730046211774989
2000-10-26,-0.8730273548756602
2000-10-27,-0.8730451378703564
2000-10-30,-0.8730590394919797
2000-10-31,-0.8730699015625492
2000-11-01,-0.8407658513455044
2000-11-02,-0.8475881258716788
2000-11-03,-0.8528830420624051
2000-11-06,-0.856996368490786
2000-11-07,-0.8601943486853854
2000-11-08,-0.8626823322864617
2000-11-09,-0.864618995526543
2000-11-10,-0.8661271611316989
2000-11-13,-0.8673020417724048
2000-11-14,-0.8682175388468352
2000-11-15,-0.8689310710270459
2000-11-16,-0.8694872871543712
2000-11-17,-0.8699209289972428
2000-11-20,-0.8702590435827813
2000-11-21,-0.8705226961119843
2000-11-22,-0.8707282982337763
2000-11-23,-0.8708886393211116
2000-11-24,-0.8710136879447912
2000-11-27,-0.8711112152386704
2000-11-28,-0.8711872800356646
2000-11-29,-0.8712466066098131
2000-11-30,-0.8712928789103425
2000-12-01,-0.7356585900761776
2000-12-04,-0.7376418593606769
2000-12-05,-0.7440905295503801
2000-12-06,-0.7537674133878502
2000-12-07,-0.7655013218207805
2000-12-08,-0.7782469367150596
2000-12-11,-0.7911355130303278
2000-12-12,-0.8035048702086357
2000-12-13,-0.8149035873649846
2000-12-14,-0.8250717710552127
2000-12-15,-0.833906083334557
2000-12-18,-0.8414183984910376
2000-12-19,-0.8476960008018266
2000-12-20,-0.8528682384539158
2000-12-21,-0.8570815433962119
2000-12-22,-0.8604825661318676
2000-12-25,-0.863208029257904
2000-12-26,-0.865379554922176
2000-12-27,-0.867101845412275
2000-12-28,-0.8684629232348512
2000-12-29,-0.8695354981642301
2001-01-01,-0.8703788415740904
2001-01-02,-0.8108822316284819
2001-01-03,-0.8137331232281563
2001-01-04,-0.818621794410092
2001-01-05,-0.8246412277633679
2001-01-08,-0.8310792091648648
2001-01-09,-0.8374210808222701
2001-01-10,-0.8433315450586125
2001-01-11,-0.8486230050995432
2001-01-12,-0.853218830998152
2001-01-15,-0.8571183027335203
2001-01-16,-0.8603672569130649
2001-01-17,-0.8630359027830297
2001-01-18,-0.8652035064675717
2001-01-19,-0.8669487418245877
2001-01-22,-0.8683442545505276
2001-01-23,-0.8694541062612847
2001-01-24,-0.8703330385494644
2001-01-25,-0.871026790849444
2001-01-26,-0.8715729578658202
2001-01-29,-0.872002063643605
2001-01-30,-0.872338663353328
2001-01-31,-0.8726023720097817
2001-02-01,-0.8246762091102807
2001-02-02,-0.8356064947755837
2001-02-05,-0.8440467894187148
2001-02-06,-0.8505779163458357
2001-02-07,-0.8556402971551654
2001-02-08,-0.8595695436801495
2001-02-09,-0.8626225552792656
2001-02-12,-0.8649967321925525
2001-02-13,-0.8668442311784644
2001-02-14,-0.8682826307733943
2001-02-15,-0.8694029715978593
2001-02-16,-0.8702758579036073
2001-02-19,-0.870956113457475
2001-02-20,-0.8714863503630179
2001-02-21,-0.8718997146234904
2001-02-22,-0.8722220045320099
2001-02-23,-0.8724733089549369
2001-02-26,-0.8726692766500794
2001-02-27,-0.8728221011433541
2001-02-28,-0.8729412857769153
2001-03-01,-0.8594262874329731
2001-03-02,-0.862319106496633
2001-03-05,-0.864627047700049
2001-03-06,-0.8664566290023915
2001-03-07,-0.867900707983527
2001-03-08,-0.8690370423856332
2001-03-09,-0.8699292591606437
2001-03-12,-0.870628680618525
2001-03-13,-0.8711763158226674
2001-03-14,-0.8716047228080126
2001-03-15,-0.8719396332855172
