date,FRA_systemic_stress_f1__FRA_systemic_stress_f2
1999-02-01,-0.02376083585711114
1999-02-02,-0.20901118583898243
1999-02-03,-0.35372642386383746
1999-02-04,-0.46660759722437545
1999-02-05,-0.554657573206052
1999-02-08,-0.6233384802809104
1999-02-09,-0.676910899818632
1999-02-10,-0.7186982477308447
1999-02-11,-0.7512929291135743
1999-02-12,-0.7767171251976706
1999-02-15,-0.7965482105558295
1999-02-16,-0.8120165861288662
1999-02-17,-0.8240819962371727
1999-02-18,-0.8334930615007141
1999-02-19,-0.8408337185384053
1999-02-22,-0.8465594456538713
1999-02-23,-0.8510255206522652
1999-02-24,-0.854509063079545
1999-02-25,-0.8572262278898208
1999-02-26,-0.8593456169552847
1999-03-01,-0.8609987403215016
1999-03-02,-0.8614552249289469
1999-03-03,-0.8626063017161453
1999-03-04,-0.863518800513497
1999-03-05,-0.8642395068841886
1999-03-08,-0.8648071262759836
1999-03-09,-0.8652532054638877
1999-03-10,-0.8656031812352126
1999-03-11,-0.8658774018864737
1999-03-12,-0.8660920491028437
1999-03-15,-0.8662599337848396
1999-03-16,-0.8663911638108864
1999-03-17,-0.8664936936521974
1999-03-18,-0.8665737706448821
1999-03-19,-0.8666362938093845
1999-03-22,-0.8666851002733895
1999-03-23,-0.8667231926711726
1999-03-24,-0.8667529189462332
1999-03-25,-0.8667761140783187
1999-03-26,-0.8667942115324023
1999-03-29,-0.8668083307380088
1999-03-30,-0.8668193456573643
1999-03-31,-0.8668279384720078
1999-04-01,-0.8623853499979397
1999-04-02,-0.86322624515269
1999-04-05,-0.8639380932678676
1999-04-06,-0.8645272206673063
1999-04-07,-0.86500729120428
1999-04-08,-0.865394221712128
1999-04-09,-0.8657036054654297
1999-04-12,-0.8659495298479886
1999-04-13,-0.8661441501608476
1999-04-14,-0.8662976559856566
1999-04-15,-0.86641842549497
1999-04-16,-0.8665132551367366
1999-04-19,-0.8665876050761635
1999-04-20,-0.8666458308725439
1999-04-21,-0.8666913886214244
1999-04-22,-0.8667270098120495
1999-04-23,-0.8667548467400988
1999-04-26,-0.8667765914157936
1999-04-27,-0.8667935716481671
1999-04-28,-0.8668068280195215
1999-04-29,-0.8668171751593711
1999-04-30,-0.8668252502886103
1999-05-03,-0.8569873024179666
1999-05-04,-0.8588810015857807
1999-05-05,-0.860466945186092
1999-05-06,-0.8617694295788143
1999-05-07,-0.8628248522257628
1999-05-10,-0.8636719591123652
1999-05-11,-0.864347165113346
1999-05-12,-0.8648825960316773
1999-05-13,-0.8653055548671936
1999-05-14,-0.8656386950834644
1999-05-17,-0.8659005081998579
1999-05-18,-0.8661059158564062
1999-05-19,-0.8662668592779391
1999-05-20,-0.8663928362020942
1999-05-21,-0.8664913663863125
1999-05-24,-0.8665683830120982
1999-05-25,-0.8666285551551918
1999-05-26,-0.8666755497392359
1999-05-27,-0.8667122421930438
1999-05-28,-0.866740884611681
1999-05-31,-0.8667632392612098
1999-06-01,-0.8669218728667527
1999-06-02,-0.8668976795215044
1999-06-03,-0.8668816117361667
1999-06-04,-0.8668707911308886
1999-06-07,-0.8668633961351634
1999-06-08,-0.8668582654565252
1999-06-09,-0.8668546520930027
1999-06-10,-0.8668520704355874
1999-06-11,-0.8668502009641091
1999-06-14,-0.8668488306028855
1999-06-15,-0.8668478151939805
1999-06-16,-0.8668470557265923
1999-06-17,-0.8668464831553118
