date,DCOILBRENTEU_ESPCPIALLMINMEI,DCOILBRENTEU_ESP_FCI,DCOILBRENTEU_NAEXKP01ESQ661S,ESPCPIALLMINMEI_ESP_FCI,ESPCPIALLMINMEI_NAEXKP01ESQ661S,ESP_FCI_NAEXKP01ESQ661S
2022-12-31,-0.9881114393079704,0.9999999999999996,,-0.9881114394277738,,
2023-01-31,-0.9881114393079419,1.0000000000000122,,-0.9881114394277626,,
2023-02-28,-0.9881114393079256,0.9999999999999944,,-0.9881114394277524,,
2023-03-31,-0.9881114393079407,1.0000000000000022,,-0.98811143942776,,
2023-04-30,-0.9881114393079922,0.9999999999999996,,-0.9881114394277902,,
2023-05-31,-0.9881114393079289,1.0000000000000018,,-0.9881114394277449,,
2023-06-30,-0.9881114393079318,1.0000000000000044,,-0.9881114394277607,,
2023-07-31,-0.9881114393079263,1.0000000000000118,,-0.9881114394277525,,
2023-08-31,-0.9881114393079524,0.9999999999999941,,-0.9881114394277764,,
2023-09-30,-0.9881114393079471,0.9999999999999868,,-0.9881114394277475,,
2023-10-31,-0.9881114393079481,0.9999999999999941,,-0.988111439427764,,
2023-11-30,-0.9881114393079578,0.9999999999999918,,-0.9881114394277647,,
2023-12-31,-0.9881114393079458,0.9999999999999942,,-0.9881114394277519,,
2024-01-31,-0.9881114393079498,0.9999999999999915,,-0.9881114394277918,,
2024-02-29,-0.988111439307969,0.9999999999999991,,-0.9881114394277599,,
2024-03-31,-0.9881114393079135,1.0000000000000018,,-0.9881114394277692,,
2024-04-30,-0.9881114393079233,1.000000000000004,,-0.9881114394277198,,
2024-05-31,-0.9881114393079444,1.0000000000000016,,-0.9881114394277335,,
2024-06-30,-0.9881114393079722,1.000000000000009,,-0.988111439427742,,
2024-07-31,-0.9881114393079434,1.0000000000000018,,-0.9881114394277738,,
2024-08-31,-0.9881114393079476,0.9999999999999992,,-0.9881114394277433,,
2024-09-30,-0.9881114393079586,0.9999999999999968,,-0.988111439427777,,
2024-10-31,-0.9881114393079129,0.9999999999999993,,-0.9881114394277358,,
2024-11-30,-0.9881114393079327,1.000000000000002,,-0.988111439427709,,
2024-12-31,-0.9881114393079224,0.9999999999999944,,-0.9881114394277429,,
2025-01-31,-0.9881114393079578,0.9999999999999969,,-0.9881114394277003,,
2025-02-28,-0.9881114393079348,1.0000000000000044,,-0.9881114394277531,,
2025-03-31,-0.9881114393079159,1.000000000000002,,-0.988111439427733,,
2025-04-30,-0.9881114393079186,0.9999999999999996,,-0.9881114394277661,,
2025-05-31,-0.9881114393079212,0.9999999999999972,,-0.9881114394277352,,
2025-06-30,-0.9881114393079122,0.9999999999999944,,-0.9881114394277398,,
2025-07-31,,0.9999999999999973,,,,
2025-08-31,,0.9999999999999899,,,,
2025-09-30,,1.0000000000000027,,,,
2025-10-31,,1.000000000000005,,,,
