date,ESP_real_estate_f1__ESP_real_estate_f2
2000-01-31,0.08402092017530363
2000-02-01,-0.1107109612893863
2000-02-02,-0.2736406317669926
2000-02-03,-0.4006981074337673
2000-02-04,-0.4997854230923611
2000-02-07,-0.5770628698619114
2000-02-08,-0.6373327852256944
2000-02-09,-0.6843393599942948
2000-02-10,-0.7210020714121405
2000-02-11,-0.7495975089528174
2000-02-14,-0.7719010457250204
2000-02-15,-0.7892972495395008
2000-02-16,-0.8028659473097384
2000-02-17,-0.8134493211249766
2000-02-18,-0.8217042224235144
2000-02-21,-0.8281429644198672
2000-02-22,-0.8331651325138514
2000-02-23,-0.8370823917314213
2000-02-24,-0.8401378336786625
2000-02-25,-0.8425210654287122
2000-02-28,-0.8443799777938069
2000-02-29,-0.8458299239303888
2000-03-01,-0.8493712807239824
2000-03-02,-0.8497324902202689
2000-03-03,-0.850036085694719
2000-03-06,-0.8502868905128836
2000-03-07,-0.8504912665836267
2000-03-08,-0.8506561149239762
2000-03-09,-0.8507880578882948
2000-03-10,-0.8508930447502508
2000-03-13,-0.8509762073851002
2000-03-14,-0.8510418547338787
2000-03-15,-0.8510935374181838
2000-03-16,-0.8511341419571253
2000-03-17,-0.8511659918328366
2000-03-20,-0.8511909435444539
2000-03-21,-0.8512104722237568
2000-03-22,-0.8512257450248102
2000-03-23,-0.8512376824386972
2000-03-24,-0.8512470086194419
2000-03-27,-0.8512542921708195
2000-03-28,-0.851259978897904
2000-03-29,-0.8512644179264204
2000-03-30,-0.8512678824257686
2000-03-31,-0.851270585986448
2000-04-03,-0.8524395936932656
2000-04-04,-0.8522024046630859
2000-04-05,-0.8520187983615723
2000-04-06,-0.8518765442301269
2000-04-07,-0.8517661773081512
2000-04-10,-0.8516804546890663
2000-04-11,-0.8516138140906994
2000-04-12,-0.8515619710102256
2000-04-13,-0.8515216169335392
2000-04-14,-0.8514901917778201
2000-04-17,-0.8514657113004913
2000-04-18,-0.8514466355263786
2000-04-19,-0.8514317680064899
2000-04-20,-0.8514201784019483
2000-04-21,-0.8514111428135919
2000-04-24,-0.8514040976769491
2000-04-25,-0.8513986040683504
2000-04-26,-0.8513943200275451
2000-04-27,-0.8513909790693994
2000-04-28,-0.8513883734840717
2000-05-01,-0.851386341348385
2000-05-02,-0.853008052125438
2000-05-03,-0.852668239788701
2000-05-04,-0.8524064730640922
2000-05-05,-0.8522044821923213
2000-05-08,-0.8520482872235159
2000-05-09,-0.8519272944584031
2000-05-10,-0.8518334370779906
2000-05-11,-0.8517605458982459
2000-05-12,-0.8517038854566209
2000-05-15,-0.8516598094588534
2000-05-16,-0.8516255030089596
2000-05-17,-0.8515987884513936
2000-05-18,-0.8515779782346218
2000-05-19,-0.851561762816413
2000-05-22,-0.8515491248801408
2000-05-23,-0.8515392734392982
2000-05-24,-0.8515315930626864
2000-05-25,-0.8515256046522063
2000-05-26,-0.851520935083317
2000-05-29,-0.8515172936674471
2000-05-30,-0.8515144538798807
