date,USA_systemic_stress_f1__USA_systemic_stress_f2
2002-12-02,0.10874122650766903
2002-12-03,0.30030519050370097
2002-12-04,0.42303689688124857
2002-12-05,0.5145424347448405
2002-12-06,0.5824748672249707
2002-12-09,0.6327446685481728
2002-12-10,0.6698546843434393
2002-12-11,0.6972009035941492
2002-12-12,0.7173255007698318
2002-12-13,0.7321210589024755
2002-12-16,0.7429908598243828
2002-12-17,0.7509722898192585
2002-12-18,0.7568305661898008
2002-12-19,0.7611292361526165
2002-12-20,0.7642828362658447
2002-12-23,0.7665960289371667
2002-12-24,0.7682925825168906
2002-12-25,0.7695367736421391
2002-12-26,0.7704491626103444
2002-12-27,0.7711182047106959
2002-12-30,0.7716087877894917
2002-12-31,0.7719685049791866
2003-01-01,0.5470886473878084
2003-01-02,0.2096179086300886
2003-01-03,-0.034942094031244625
2003-01-06,-0.21273388522779074
2003-01-07,-0.3422835331291334
2003-01-08,-0.43683901187468577
2003-01-09,-0.5059371312072192
2003-01-10,-0.5564767513185265
2003-01-13,-0.5934663812815798
2003-01-14,-0.6205517326358273
2003-01-15,-0.6403916604040669
2003-01-16,-0.6549280436883754
2003-01-17,-0.6655805968368379
2003-01-20,-0.6733880691058554
2003-01-21,-0.679110897441384
2003-01-22,-0.6833060029705019
2003-01-23,-0.6863813805663875
2003-01-24,-0.6886359890903776
2003-01-27,-0.690288926503974
2003-01-28,-0.6915007821432131
2003-01-29,-0.6923892712771247
2003-01-30,-0.6930406871032557
2003-01-31,-0.6935182912852447
2003-02-03,-0.08857135406410022
2003-02-04,0.11168404085021785
2003-02-05,0.2699132433675544
2003-02-06,0.3931818160539836
2003-02-07,0.48801369061753247
2003-02-10,0.560194839780442
2003-02-11,0.614658499030029
2003-02-12,0.6554696869768062
2003-02-13,0.6858860401670758
2003-02-14,0.7084615459135892
2003-02-17,0.7251649726448129
2003-02-18,0.7374946069341386
2003-02-19,0.7465797296569545
2003-02-20,0.753265381667336
2003-02-21,0.7581805283462821
2003-02-24,0.761791456594669
2003-02-25,0.7644428397850604
2003-02-26,0.7663889067595876
2003-02-27,0.7678168774039915
2003-02-28,0.7688644637465156
2003-03-03,0.425624616518388
2003-03-04,0.11428137203042632
2003-03-05,-0.11062844390711647
2003-03-06,-0.27375691825925474
2003-03-07,-0.3924215572276658
2003-03-10,-0.4789255988679767
2003-03-11,-0.5420830328566106
2003-03-12,-0.5882470715190902
2003-03-13,-0.6220179311718597
2003-03-14,-0.6467376214131546
2003-03-17,-0.6648400200553122
2003-03-18,-0.6781008271650291
2003-03-19,-0.6878172605904236
2003-03-20,-0.6949379055546708
2003-03-21,-0.700156903631691
2003-03-24,-0.703982467964665
2003-03-25,-0.7067868270294797
2003-03-26,-0.7088426869824729
2003-03-27,-0.7103498818780276
2003-03-28,-0.711454868494025
2003-03-31,-0.7122649956863768
2003-04-01,-0.3878857224061422
2003-04-02,-0.07247384399352247
2003-04-03,0.15525466872050303
2003-04-04,0.32036892176688103
2003-04-07,0.44044884287099306
2003-04-08,0.5279697507551605
2003-04-09,0.5918619626561267
2003-04-10,0.6385590959089955
2003-04-11,0.6727178459491845
2003-04-14,0.6977203614525382
2003-04-15,0.716029289236974
2003-04-16,0.7294410761995976
2003-04-17,0.7392679688212496
2003-04-18,0.7464694742862121
2003-04-21,0.7517476904964395
2003-04-22,0.7556166366020546
2003-04-23,0.7584527832942121
2003-04-24,0.7605319392192988
2003-04-25,0.7620562089381031
2003-04-28,0.7631737116870352
2003-04-29,0.7639930140126053
2003-04-30,0.7645936982469577
2003-05-01,0.6681401852257574
2003-05-02,0.6809369992595451
2003-05-05,0.6953723699227822
2003-05-06,0.7096623944784678
2003-05-07,0.7227202905953026
2003-05-08,0.734005347211548
2003-05-09,0.7433660466698666
2003-05-12,0.7508944302076795
2003-05-13,0.7568093715955038
2003-05-14,0.761375389685671
2003-05-15,0.7648536581682197
2003-05-16,0.7674771288645383
2003-05-19,0.7694412847114853
2003-05-20,0.7709037652623124
2003-05-21,0.7719882877326439
2003-05-22,0.7727901193551339
2003-05-23,0.7733816357172472
2003-05-26,0.773817290948349
2003-05-27,0.7741377694635677
2003-05-28,0.774373313812191
2003-05-29,0.7745463216477282
2003-05-30,0.774673336006459
2003-06-02,0.7747665516220663
2003-06-03,0.5211557377915095
2003-06-04,0.1708309315940438
2003-06-05,-0.07627743558007269
2003-06-06,-0.2524957431162541
2003-06-09,-0.37913464743024633
2003-06-10,-0.4706462763387083
2003-06-11,-0.5370368447802878
2003-06-12,-0.5853405832471019
2003-06-13,-0.6205580528876713
2003-06-16,-0.6462734227082322
2003-06-17,-0.665071207447858
2003-06-18,-0.6788233569095734
2003-06-19,-0.6888901324098046
2003-06-20,-0.6962623374028779
2003-06-23,-0.7016629307636392
2003-06-24,-0.7056201118852053
2003-06-25,-0.7085201513782282
2003-06-26,-0.7106457231669843
2003-06-27,-0.7122037937590466
2003-06-30,-0.7133459550217851
2003-07-01,-0.5222381285367925
2003-07-02,-0.18671053129551612
2003-07-03,0.05942967979703735
2003-07-04,0.24002543627473769
2003-07-07,0.3725275647794103
2003-07-08,0.4697346616969554
2003-07-09,0.5410406133264895
2003-07-10,0.5933415286605307
2003-07-11,0.6316994572477684
2003-07-14,0.6598295141788542
2003-07-15,0.6804577598168953
2003-07-16,0.695584165181117
2003-07-17,0.7066757949787494
2003-07-18,0.7148086801211008
2003-07-21,0.7207719737223601
2003-07-22,0.7251443951900722
2003-07-23,0.7283503220336244
2003-07-24,0.730700940116591
2003-07-25,0.7324244280053491
2003-07-28,0.7336880951841088
2003-07-29,0.734614617600104
2003-07-30,0.7352939436084742
2003-07-31,0.7357920245016742
2003-08-01,0.5842612510966188
2003-08-04,0.551116392783681
2003-08-05,0.5289182541710928
2003-08-06,0.5170237225569753
2003-08-07,0.5146378755585239
2003-08-08,0.520781148940598
2003-08-11,0.5342459653393298
2003-08-12,0.5535716525194042
2003-08-13,0.5770693658849295
2003-08-14,0.6029188205731122
2003-08-15,0.629332027555072
2003-08-18,0.6547447492973784
2003-08-19,0.6779753806282504
2003-08-20,0.6983010512833943
2003-08-21,0.7154373027108569
2003-08-22,0.7294460604973386
2003-08-25,0.7406145960520218
2003-08-26,0.7493426527639907
2003-08-27,0.7560576973244648
2003-08-28,0.7611620964623913
2003-08-29,0.7650066997067868
2003-09-01,0.7678824291330899
2003-09-02,0.7671665316159897
2003-09-03,0.7692053972502755
2003-09-04,0.7708405124219314
2003-09-05,0.7721168157760926
2003-09-08,0.7730950928975638
2003-09-09,0.7738355637688099
2003-09-10,0.7743910922963186
2003-09-11,0.774805245562688
2003-09-12,0.7751126026945614
2003-09-15,0.7753399549926004
2003-09-16,0.7755077272709187
2003-09-17,0.7756313184664567
2003-09-18,0.7757222480661439
2003-09-19,0.77578908578313
2003-09-22,0.7758381815937134
2003-09-23,0.7758742272141991
2003-09-24,0.7759006819453155
2003-09-25,0.775920092549153
2003-09-26,0.7759343319061462
2003-09-29,0.7759447762194951
2003-09-30,0.7759524361371776
2003-10-01,0.7685071508466761
2003-10-02,0.770059685589917
2003-10-03,0.7714124848573782
2003-10-06,0.7725226375323686
2003-10-07,0.7734014723919141
2003-10-08,0.7740812478179389
2003-10-09,0.7745989196990146
2003-10-10,0.7749889213683179
2003-10-13,0.7752805217856904
2003-10-14,0.7754973756018375
2003-10-15,0.7756580193575627
2003-10-16,0.775776690654793
2003-10-17,0.7758641782279747
2003-10-20,0.7759285812223344
2003-10-21,0.7759759397799881
2003-10-22,0.776010737412235
2003-10-23,0.7760362909792498
2003-10-24,0.7760550483052291
2003-10-27,0.7760688126889632
2003-10-28,0.7760789109087124
2003-10-29,0.7760863182306219
2003-10-30,0.7760917510482285
2003-10-31,0.7760957353347276
2003-11-03,0.7451111535725616
2003-11-04,0.7516086463887315
2003-11-05,0.7571112957994344
2003-11-06,0.7615669090095709
2003-11-07,0.7650710048647178
2003-11-10,0.7677724939143001
2003-11-11,0.7698263565419945
2003-11-12,0.7713724008319431
2003-11-13,0.7725278887316219
2003-11-14,0.7733870193013889
2003-11-17,0.7740234008281033
2003-11-18,0.7744934940978367
2003-11-19,0.7748400555482178
2003-11-20,0.7750951730833144
2003-11-21,0.7752827739904546
2003-11-24,0.775420618296019
2003-11-25,0.7755218445543148
2003-11-26,0.7755961489871634
2003-11-27,0.7756506748194802
2003-11-28,0.7756906777407384
2003-12-01,0.7757200210540773
2003-12-02,0.7727988478145086
2003-12-03,0.7733264342523101
2003-12-04,0.7738144582946694
2003-12-05,0.7742276215375826
2003-12-08,0.7745607009516731
2003-12-09,0.7748212853289577
2003-12-10,0.775021212794902
2003-12-11,0.7751725930848216
2003-12-12,0.7752861726299145
2003-12-15,0.7753708443311329
2003-12-16,0.7754336772567453
2003-12-17,0.7754801510254961
2003-12-18,0.7755144433466463
2003-12-19,0.7755397036012603
2003-12-22,0.7755582873951132
2003-12-23,0.7755719468809426
2003-12-24,0.7755819802020235
2003-12-25,0.7755893463999393
2003-12-26,0.7755947525388563
2003-12-29,0.7755987191321083
2003-12-30,0.7756016289454404
2003-12-31,0.775603763227354
2004-01-01,0.7821698918068422
2004-01-02,0.780496742902572
2004-01-05,0.7792537066970211
2004-01-06,0.7783334070912675
2004-01-07,0.7776537954674465
2004-01-08,0.7771528742151043
2004-01-09,0.7767841756894044
2004-01-12,0.7765130774614225
2004-01-13,0.7763138939072453
2004-01-14,0.7761676294161068
2004-01-15,0.776060268286576
2004-01-16,0.7759814866281461
2004-01-19,0.7759236893111261
2004-01-20,0.7758812937699788
2004-01-21,0.7758501994331338
2004-01-22,0.775827395764366
2004-01-23,0.7758106732912076
2004-01-26,0.7757984108759111
2004-01-27,0.7757894192823184
2004-01-28,0.7757828262315739
2004-01-29,0.7757779919919303
2004-01-30,0.7757744474177253
2004-02-02,0.7757718484811984
2004-02-03,0.7469819506841778
2004-02-04,0.7546143168577519
2004-02-05,0.7600066227890794
2004-02-06,0.7638561323823685
2004-02-09,0.7666246134879413
2004-02-10,0.7686261974112225
2004-02-11,0.7700788490931397
2004-02-12,0.7711360274274394
2004-02-13,0.7719069422940709
2004-02-16,0.7724699306135261
2004-02-17,0.7728815118703617
2004-02-18,0.7731826392681977
2004-02-19,0.7734030803323391
2004-02-20,0.7735645220951015
2004-02-23,0.7736827913695676
2004-02-24,0.7737694526569039
2004-02-25,0.7738329637410903
2004-02-26,0.7738795144268593
2004-02-27,0.7739136369292647
2004-03-01,0.7739386509604649
2004-03-02,0.7512863920756621
2004-03-03,0.7572849901049463
2004-03-04,0.7615510054101287
2004-03-05,0.7646106947077832
2004-03-08,0.7668185026053124
2004-03-09,0.7684185626538094
2004-03-10,0.7695818277474986
2004-03-11,0.7704294720463745
2004-03-12,0.7710481590536831
2004-03-15,0.7715002805737311
2004-03-16,0.7718309729063869
2004-03-17,0.7720730057887315
2004-03-18,0.7722502330135453
2004-03-19,0.7723800516890826
2004-03-22,0.7724751678383275
2004-03-23,0.7725448709531657
2004-03-24,0.7725959578294486
2004-03-25,0.7726334042166408
2004-03-26,0.7726608542147085
2004-03-29,0.7726809774607541
2004-03-30,0.7726957301384632
2004-03-31,0.7727065458776777
2004-04-01,0.779739759889315
2004-04-02,0.7780860781371165
2004-04-05,0.7769544561807181
2004-04-06,0.7761712133353469
2004-04-07,0.7756231874082966
2004-04-08,0.7752360141428991
2004-04-09,0.7749602258608155
2004-04-12,0.774762453784933
2004-04-13,0.7746198676640352
2004-04-14,0.7745166390411695
2004-04-15,0.7744416648024082
2004-04-16,0.7743870793199176
2004-04-19,0.7743472655087418
2004-04-20,0.7743181863820552
2004-04-21,0.7742969261429723
2004-04-22,0.7742813707809225
2004-04-23,0.7742699831792034
2004-04-26,0.7742616432676834
2004-04-27,0.7742555335531172
2004-04-28,0.7742510566652945
2004-04-29,0.7742477756980026
2004-04-30,0.7742453708962251
2004-05-03,0.7560499496193369
2004-05-04,0.7566175336716243
2004-05-05,0.7585875365360737
2004-05-06,0.7610654172966262
2004-05-07,0.7635391062029457
2004-05-10,0.7657549088177555
2004-05-11,0.7676182660422526
2004-05-12,0.769122843606583
2004-05-13,0.7703047068785723
2004-05-14,0.771215384011554
2004-05-17,0.7719075740887608
2004-05-18,0.7724285574337173
2004-05-19,0.772817908214195
2004-05-20,0.773107389894985
2004-05-21,0.7733218132256687
2004-05-24,0.7734802056248529
2004-05-25,0.7735969747803834
2004-05-26,0.7736829328690368
2004-05-27,0.7737461420961447
2004-05-28,0.7737925865443152
2004-05-31,0.7738266930942181
2004-06-01,0.7762796245965411
2004-06-02,0.7757387681054931
2004-06-03,0.7753485068106126
2004-06-04,0.7750658013328273
2004-06-07,0.7748603880833466
2004-06-08,0.7747107906511594
2004-06-09,0.7746016529613443
2004-06-10,0.774521928732201
2004-06-11,0.7744636343895617
2004-06-14,0.7744209789679732
2004-06-15,0.7743897503684157
2004-06-16,0.7743668785470799
2004-06-17,0.774350122400114
2004-06-18,0.7743378440604948
2004-06-21,0.77432884550524
2004-06-22,0.7743222498851623
2004-06-23,0.7743174151247275
2004-06-24,0.7743138709015389
2004-06-25,0.7743112726163915
2004-06-28,0.7743093677392532
2004-06-29,0.774307971185365
2004-06-30,0.7743069472885815
2004-07-01,0.7487656140372685
2004-07-02,0.7547921009708048
2004-07-05,0.7591550905503222
2004-07-06,0.7623246484557351
2004-07-07,0.764632971169476
2004-07-08,0.7663171254336383
2004-07-09,0.7675475102271214
2004-07-12,0.768447253764592
2004-07-13,0.7691056728979986
2004-07-14,0.7695877426514683
2004-07-15,0.769940829106905
2004-07-16,0.7701995146255864
2004-07-19,0.770389076496747
2004-07-20,0.7705280059066295
2004-07-21,0.7706298379689449
2004-07-22,0.7707044844672524
2004-07-23,0.7707592061779991
2004-07-26,0.7707993231788451
2004-07-27,0.7708287342511453
2004-07-28,0.7708502969559441
2004-07-29,0.7708661059024742
2004-07-30,0.770877696557676
2004-08-02,0.7708861945625247
2004-08-03,0.7881551703461669
2004-08-04,0.7843540770661339
2004-08-05,0.7815352176272883
2004-08-06,0.7794522363853427
2004-08-09,0.7779167396673029
2004-08-10,0.7767866781852433
2004-08-11,0.7759559282944174
2004-08-12,0.7753456833124202
2004-08-13,0.7748976551373052
2004-08-16,0.7745688468900178
2004-08-17,0.7743275987789937
2004-08-18,0.7741506277695314
2004-08-19,0.7740208259883845
2004-08-20,0.7739256305668194
2004-08-23,0.7738558201533121
2004-08-24,0.7738046282084382
2004-08-25,0.7737670906098558
2004-08-26,0.773739566121559
2004-08-27,0.7737193841686365
2004-08-30,0.7737045862490335
2004-08-31,0.7736937361572946
2004-09-01,0.7204341699835446
2004-09-02,0.7270513192251689
2004-09-03,0.7319327339417739
2004-09-06,0.7355264306191147
2004-09-07,0.7381687233399526
2004-09-08,0.7401098507384959
2004-09-09,0.7415350600978509
2004-09-10,0.7425810588849354
2004-09-13,0.7433485310654456
2004-09-14,0.7439115305570068
2004-09-15,0.744324474996258
2004-09-16,0.7446273271761478
2004-09-17,0.7448494215297801
2004-09-20,0.7450122839474568
2004-09-21,0.7451317067204486
2004-09-22,0.7452192738181598
2004-09-23,0.7452834813017597
2004-09-24,0.7453305599169697
2004-09-27,0.7453650788079005
2004-09-28,0.7453903884740678
2004-09-29,0.7454089457140785
2004-09-30,0.745422551963767
2004-10-01,0.23707639182475576
2004-10-04,-0.005188334422234162
2004-10-05,-0.18707772431070938
2004-10-06,-0.3229561438015876
2004-10-07,-0.42403280638964025
2004-10-08,-0.4989630493641423
2004-10-11,-0.554360129419357
2004-10-12,-0.5952305133683524
2004-10-13,-0.6253355973469139
2004-10-14,-0.6474844264009761
2004-10-15,-0.6637651151414664
2004-10-18,-0.6757244086867624
2004-10-19,-0.6845050044453128
2004-10-20,-0.6909494286595237
2004-10-21,-0.6956779736980243
2004-10-22,-0.6991468195798807
2004-10-25,-0.7016911838295093
2004-10-26,-0.7035572503825673
2004-10-27,-0.7049257379981619
2004-10-28,-0.7059292662004701
2004-10-29,-0.7066651342099698
2004-11-01,-0.7072047153824426
2004-11-02,-0.618568319177494
2004-11-03,-0.6209380435173644
2004-11-04,-0.6228678273824583
2004-11-05,-0.624400511861044
2004-11-08,-0.6255941707035115
2004-11-09,-0.6265098416821104
2004-11-10,-0.6272042199472591
2004-11-11,-0.627726230259242
2004-11-12,-0.6281161147733598
2004-11-15,-0.6284059078868012
2004-11-16,-0.6286205321801095
2004-11-17,-0.6287790635274786
2004-11-18,-0.6288959325911063
2004-11-19,-0.6289819638933192
2004-11-22,-0.6290452271859932
2004-11-23,-0.6290917116437185
2004-11-24,-0.6291258477908535
2004-11-25,-0.6291509053199451
2004-11-26,-0.6291692930315445
2004-11-29,-0.6291827832375942
2004-11-30,-0.6291926787251014
2004-12-01,-0.6598580298326138
2004-12-02,-0.6588571754541073
2004-12-03,-0.6619681547134053
2004-12-06,-0.6676984921320562
2004-12-07,-0.6747211598050231
2004-12-08,-0.6820032664035421
2004-12-09,-0.6888502121301305
2004-12-10,-0.6948768108611291
2004-12-13,-0.6999360660849108
2004-12-14,-0.7040376872667458
2004-12-15,-0.7072777825337617
2004-12-16,-0.7097882849384776
2004-12-17,-0.7117056689645771
2004-12-20,-0.7131544785749052
2004-12-21,-0.7142405807479342
2004-12-22,-0.715050020961763
2004-12-23,-0.7156506700127911
2004-12-24,-0.7160949668034813
2004-12-27,-0.716422841130022
2004-12-28,-0.7166643833956037
2004-12-29,-0.7168421003889698
2004-12-30,-0.7169727358243443
2004-12-31,-0.7170686972436893
2005-01-03,-0.7202362124548005
2005-01-04,-0.7195392052054379
2005-01-05,-0.7192540100478286
2005-01-06,-0.7191741826287922
2005-01-07,-0.7191885553252532
2005-01-10,-0.7192397236066858
2005-01-11,-0.7192996798147961
2005-01-12,-0.7193559475525968
2005-01-13,-0.7194039187134099
2005-01-14,-0.7194427412608857
2005-01-17,-0.7194731841072091
2005-01-18,-0.7194965745505282
2005-01-19,-0.7195143020000181
2005-01-20,-0.7195276112401203
2005-01-21,-0.7195375373972976
2005-01-24,-0.7195449056180353
2005-01-25,-0.7195503566271624
2005-01-26,-0.719554379467066
2005-01-27,-0.7195573430810558
2005-01-28,-0.7195595235655493
2005-01-31,-0.7195611263611801
2005-02-01,-0.7134624903134844
2005-02-02,-0.714565690129064
2005-02-03,-0.7157434767360167
2005-02-04,-0.7168170425124823
2005-02-07,-0.7177222146703378
2005-02-08,-0.7184515324279535
2005-02-09,-0.7190224747767371
2005-02-10,-0.7194609308601632
2005-02-11,-0.719793226365619
2005-02-14,-0.7200427434545172
2005-02-15,-0.7202288738810592
2005-02-16,-0.720367066339012
2005-02-17,-0.7204693183447761
2005-02-18,-0.7205447905285081
2005-02-21,-0.7206003965966956
2005-02-22,-0.7206413122165052
2005-02-23,-0.7206713896799544
2005-02-24,-0.7206934844795916
2005-02-25,-0.720709706955239
2005-02-28,-0.720721613393136
2005-03-01,-0.7439939911198815
2005-03-02,-0.7379786754261946
2005-03-03,-0.7335691710813025
2005-03-04,-0.7303446030793869
2005-03-07,-0.7279886938608785
2005-03-08,-0.7262675388400274
2005-03-09,-0.7250096675136942
2005-03-10,-0.7240899077474816
2005-03-11,-0.7234170231614454
2005-03-14,-0.7229245165895484
2005-03-15,-0.7225638916231458
2005-03-16,-0.7222997492019103
2005-03-17,-0.7221062278168484
2005-03-18,-0.721964419062235
