date,ITA_systemic_stress_f1__ITA_systemic_stress_f2
1999-02-01,-0.02376083585711114
1999-02-02,-0.20901118583898243
1999-02-03,-0.353726423466276
1999-02-04,-0.46660759620616954
1999-02-05,-0.5546575714615088
1999-02-08,-0.6233384777808701
1999-02-09,-0.6769108965819127
1999-02-10,-0.7186982438045466
1999-02-11,-0.7512929245597261
1999-02-12,-0.7767171200843834
1999-02-15,-0.7965482049516192
1999-02-16,-0.8120165800991787
1999-02-17,-0.824081989842419
1999-02-18,-0.8334930547953174
1999-02-19,-0.8408337115705121
1999-02-22,-0.8465594384654791
1999-02-23,-0.8510255132795977
1999-02-24,-0.8545090555535596
1999-02-25,-0.8572262202367724
1999-02-26,-0.8593456091972969
1999-03-01,-0.8609987324771136
1999-03-02,-0.8614552170235115
1999-03-03,-0.8626062937523218
1999-03-04,-0.8635187925017384
1999-03-05,-0.8642394988330799
1999-03-08,-0.864807118192603
1999-03-09,-0.8652531973540795
1999-03-10,-0.8656031731037986
1999-03-11,-0.865877393737428
1999-03-12,-0.8660920409394358
1999-03-15,-0.866259925609753
1999-03-16,-0.8663911556263193
1999-03-17,-0.8664936854599465
1999-03-18,-0.8665737624464125
1999-03-19,-0.8666362856058886
1999-03-22,-0.8666850920658368
1999-03-23,-0.8667231844603492
1999-03-24,-0.866752910732776
1999-03-25,-0.8667761058627428
1999-03-26,-0.8667942033151234
1999-03-29,-0.8668083225193627
1999-03-30,-0.8668193374376212
1999-03-31,-0.8668279302513855
1999-04-01,-0.8623853417244
1999-04-02,-0.863226236900026
1999-04-05,-0.8639380850299577
1999-04-06,-0.8645272124393578
1999-04-07,-0.8650072829827138
1999-04-08,-0.8653942134943668
1999-04-09,-0.8657035972496776
1999-04-12,-0.8659495216330365
1999-04-13,-0.8661441419459136
1999-04-14,-0.8662976477702621
1999-04-15,-0.8664184172788468
1999-04-16,-0.8665132469197582
1999-04-19,-0.8665875968582953
1999-04-20,-0.8666458226538091
1999-04-21,-0.8666913804018801
1999-04-22,-0.866727001591771
1999-04-23,-0.8667548385191666
1999-04-26,-0.8667765831942897
1999-04-27,-0.8667935634261692
1999-04-28,-0.8668068197971004
1999-04-29,-0.8668171669365909
1999-04-30,-0.8668252420655277
1999-05-03,-0.8569872940650225
1999-05-04,-0.8588809932834631
1999-05-05,-0.8604669369195299
1999-05-06,-0.8617694213365825
1999-05-07,-0.8628248439994057
1999-05-10,-0.8636719508958103
1999-05-11,-0.8643471569023495
1999-05-12,-0.8648825878233571
1999-05-13,-0.8653055466596544
1999-05-14,-0.8656386868755143
1999-05-17,-0.8659004999907931
1999-05-18,-0.8661059076458553
1999-05-19,-0.8662668510657512
1999-05-20,-0.8663928279882591
1999-05-21,-0.8664913581709056
1999-05-24,-0.8665683747952425
1999-05-25,-0.866628546937034
1999-05-26,-0.866675541519928
1999-05-27,-0.8667122339727352
1999-05-28,-0.8667408763905111
1999-05-31,-0.8667632310393053
1999-06-01,-0.8669218646775375
1999-06-02,-0.8668976713241905
1999-06-03,-0.8668816035326061
1999-06-04,-0.866870782922493
1999-06-07,-0.8668633879230145
1999-06-08,-0.8668582572414587
1999-06-09,-0.8668546438756657
1999-06-10,-0.866852062216482
1999-06-11,-0.8668501927436264
1999-06-14,-0.8668488223813292
1999-06-15,-0.866847806971588
1999-06-16,-0.8668470475035484
1999-06-17,-0.8668464749317601
1999-06-18,-0.8668460403844347
