date,ITA_financial_markets_f1__ITA_financial_markets_f2
1999-02-01,-0.021780766272159195
1999-02-02,-0.15060637821835204
1999-02-03,-0.3159441690504332
1999-02-04,-0.44169274946837533
1999-02-05,-0.5378964221355282
1999-02-08,-0.6118308345339019
1999-02-09,-0.6688455893543259
1999-02-10,-0.7129273208072001
1999-02-11,-0.7470776967260279
1999-02-12,-0.7735747508400848
1999-02-15,-0.7941579442027824
1999-02-16,-0.8101617988135263
1999-02-17,-0.8226139317093238
1999-02-18,-0.8323078940078155
1999-02-19,-0.839857844674743
1999-02-22,-0.8457399243083749
1999-02-23,-0.8503237671947838
1999-02-24,-0.8538966252797346
1999-02-25,-0.8566819108952823
1999-02-26,-0.8588534948637003
1999-03-01,-0.860546759184129
1999-03-02,-0.8587716827948974
1999-03-03,-0.8593232753725827
1999-03-04,-0.860130111195808
1999-03-05,-0.8610252582620642
1999-03-08,-0.8619048420862969
1999-03-09,-0.8627118248653606
1999-03-10,-0.8634203713834647
1999-03-11,-0.8640240094503774
1999-03-12,-0.8645272979865274
1999-03-15,-0.8649403244080621
1999-03-16,-0.8652752882887054
1999-03-17,-0.8655445231845249
1999-03-18,-0.8657594555120676
1999-03-19,-0.865930142395239
1999-03-22,-0.8660651471366451
1999-03-23,-0.8661715973358329
1999-03-24,-0.8662553305237479
1999-03-25,-0.8663210716713132
1999-03-26,-0.8663726119465791
1999-03-29,-0.8664129733524715
1999-03-30,-0.8664445528132634
1999-03-31,-0.8664692442554367
1999-04-01,-0.8236405517006246
1999-04-02,-0.8248465574959677
1999-04-05,-0.8278238349756842
1999-04-06,-0.831828696449683
1999-04-07,-0.8362724090347913
1999-04-08,-0.8407302139402233
1999-04-09,-0.844925189950085
1999-04-12,-0.8487006766868724
1999-04-13,-0.8519892060551706
1999-04-14,-0.8547836533820494
1999-04-15,-0.8571136438632216
1999-04-16,-0.859028065608933
1999-04-19,-0.8605831836322986
1999-04-20,-0.8618352396536414
1999-04-21,-0.8628363152828106
1999-04-22,-0.8636323894658409
1999-04-23,-0.8642627653096775
1999-04-26,-0.8647602823616672
1999-04-27,-0.8651519283642765
1999-04-28,-0.8654596108952443
1999-04-29,-0.8657009499789694
1999-04-30,-0.8658900181122309
1999-05-03,-0.863917335062175
1999-05-04,-0.8644621800891248
1999-05-05,-0.8649025110790683
1999-05-06,-0.8652550850686773
1999-05-07,-0.865535613740698
1999-05-10,-0.8657577734156272
1999-05-11,-0.865933089023855
1999-05-12,-0.8660710683357691
1999-05-13,-0.8661794412266317
1999-05-14,-0.8662644272098952
1999-05-17,-0.8663309928963798
1999-05-18,-0.8663830822891062
1999-05-19,-0.8664238142526983
1999-05-20,-0.8664556473491215
1999-05-21,-0.866480514965566
1999-05-24,-0.8664999346932066
1999-05-25,-0.8665150960589117
1999-05-26,-0.8665269304238838
1999-05-27,-0.8665361663966477
1999-05-28,-0.8665433735974175
1999-05-31,-0.8665489971239612
1999-06-01,-0.86148651718707
1999-06-02,-0.8626429775495573
1999-06-03,-0.8635291788374424
1999-06-04,-0.8642105386548393
1999-06-07,-0.8647361032772513
1999-06-08,-0.8651425090886079
1999-06-09,-0.8654573796513115
1999-06-10,-0.8657016966844213
1999-06-11,-0.8658914893478347
1999-06-14,-0.8660390588478954
1999-06-15,-0.8661538790220794
1999-06-16,-0.8662432664929245
1999-06-17,-0.8663128841633118
1999-06-18,-0.8663671224460523
1999-06-21,-0.8664093897218237
1999-06-22,-0.8664423347416008
1999-06-23,-0.8664680175934355
1999-06-24,-0.8664880415409479
1999-06-25,-0.8665036549398366
1999-06-28,-0.8665158301767028
1999-06-29,-0.8665253249040473
1999-06-30,-0.8665327295988339
1999-07-01,-0.8512445164845452
1999-07-02,-0.8534695251857215
1999-07-05,-0.8556147363076269
1999-07-06,-0.8575557488257686
1999-07-07,-0.8592417876300565
1999-07-08,-0.8606662941387072
1999-07-09,-0.8618463601207124
1999-07-12,-0.862809958572802
1999-07-13,-0.8635884080454482
1999-07-14,-0.8642122198975846
1999-07-15,-0.8647090467286053
1999-07-16,-0.8651028782611251
1999-07-19,-0.8654139366948996
1999-07-20,-0.8656589324615866
1999-07-21,-0.8658514787211173
1999-07-22,-0.8660025503049316
1999-07-23,-0.8661209265793648
1999-07-26,-0.8662135896770696
1999-07-27,-0.8662860677976627
1999-07-28,-0.8663427231336901
1999-07-29,-0.8663869888421366
1999-07-30,-0.8664215614816695
1999-08-02,-0.8664485557667334
1999-08-03,-0.8469993598235519
1999-08-04,-0.8515090526802434
1999-08-05,-0.8549420827309443
1999-08-06,-0.857567165919534
1999-08-09,-0.8595832819049385
1999-08-10,-0.8611370087283439
1999-08-11,-0.8623375896256414
1999-08-12,-0.8632672178176504
1999-08-13,-0.863988206760552
1999-08-16,-0.8645480856632722
1999-08-17,-0.8649832817539573
1999-08-18,-0.8653218196244734
1999-08-19,-0.8655853239536512
1999-08-20,-0.8657905202430878
1999-08-23,-0.8659503685815886
1999-08-24,-0.866074925842534
1999-08-25,-0.8661720048499544
1999-08-26,-0.8662476804648027
1999-08-27,-0.8663066794538327
1999-08-30,-0.8663526816322119
1999-08-31,-0.8663885529629712
1999-09-01,-0.8720556260884773
