label,n_series,n_observations,dcc_a,dcc_b,a_plus_b,adcc_gamma,correlation_model_used,garch_quality_gate_triggered,garch_quality_gate_min_convergence_rate,garch_quality_gate_shrinkage,dcc_max_a,dcc_a_at_upper_bound,dcc_large_a_penalty_lambda,dcc_large_a_penalty_threshold,adcc_max_a,adcc_a_at_upper_bound,adcc_large_a_penalty_lambda,adcc_large_a_penalty_threshold,adcc_guardrail_triggered,adcc_ll_improvement_per_obs,update_success_rate,smoothness_mean,smoothness_75pct,successful_updates,total_updates,spd_projection_dates,garch_converged,garch_total,garch_convergence_rate,validation_checks_passed,validation_checks_total,overfitting_flag,status,block_label,block_id,country,block_key,series_covered,missing_series,already_assigned
fra_macro (France:macro),2,6980,0.19999956958580697,0.779998840083847,0.979998409669654,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.004749993071566266,0.00035097550862722704,6980,6980,0,2,2,1.0,3,3,False,completed,fra_macro (France:macro),fra_macro,France,macro,2,,
fra_real_estate (France:real_estate),2,6980,0.2,0.7799990488833831,0.9799990488833832,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0034778228316038194,9.6050518861579e-05,6720,6720,0,2,2,1.0,3,3,False,completed,fra_real_estate (France:real_estate),fra_real_estate,France,real_estate,2,,
fra_public_finance (France:public_finance),2,6980,0.19999999999997112,0.7111443347871379,0.911144334787109,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.023479203604271196,0.013105706574265047,6980,6980,0,2,2,1.0,3,3,False,completed,fra_public_finance (France:public_finance),fra_public_finance,France,public_finance,2,,
fra_external_fx (France:external_fx),2,6980,0.07563603182178003,0.904362971445304,0.979999003267084,,dcc,False,0.5,0.2,0.2,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007178006028965402,0.002338446607619782,6980,6980,0,2,2,1.0,3,3,False,completed,fra_external_fx (France:external_fx),fra_external_fx,France,external_fx,2,,
fra_financial_markets (France:financial_markets),2,6980,0.2,0.7799990012257023,0.9799990012257023,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.019495210545748994,0.0075123026748925015,6980,6980,0,2,2,1.0,3,3,False,completed,fra_financial_markets (France:financial_markets),fra_financial_markets,France,financial_markets,2,,
fra_banking_system (France:banking_system),2,6980,0.2,0.7705298498637819,0.970529849863782,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0029604879935676725,0.00038898534298170695,6980,6980,0,2,2,1.0,3,3,False,completed,fra_banking_system (France:banking_system),fra_banking_system,France,banking_system,2,,
fra_systemic_stress (France:systemic_stress),2,6980,0.2,0.7799990954727366,0.9799990954727367,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.009119088149614193,0.001734954632258423,6980,6980,0,2,2,1.0,3,3,False,completed,fra_systemic_stress (France:systemic_stress),fra_systemic_stress,France,systemic_stress,2,,
fra_commodities (France:commodities),2,6980,0.19999999999952955,0.7799990000005181,0.9799990000000477,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007070412812341864,0.0015831976682674498,6567,6567,0,2,2,1.0,3,3,False,completed,fra_commodities (France:commodities),fra_commodities,France,commodities,2,,
ita_macro (Italy:macro),2,6980,0.19999981053892044,0.7799989299494837,0.9799987404884042,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.004936457653004272,0.0005536889899258601,6980,6980,0,2,2,1.0,3,3,False,completed,ita_macro (Italy:macro),ita_macro,Italy,macro,2,,
ita_real_estate (Italy:real_estate),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.2,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.001600849584465746,0.00016087852723373208,6720,6720,0,2,2,1.0,3,3,False,completed,ita_real_estate (Italy:real_estate),ita_real_estate,Italy,real_estate,2,,
ita_public_finance (Italy:public_finance),2,6980,0.2,0.7799990049357529,0.979999004935753,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.01065997950708262,0.0027449916176915945,6980,6980,0,2,2,1.0,3,3,False,completed,ita_public_finance (Italy:public_finance),ita_public_finance,Italy,public_finance,2,,
ita_external_fx (Italy:external_fx),2,6980,0.07563603182178003,0.904362971445304,0.979999003267084,,dcc,False,0.5,0.2,0.2,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007178006028965402,0.002338446607619782,6980,6980,0,2,2,1.0,3,3,False,completed,ita_external_fx (Italy:external_fx),ita_external_fx,Italy,external_fx,2,,
ita_financial_markets (Italy:financial_markets),2,6980,0.2,0.779999052298317,0.9799990522983171,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.018334999034663384,0.007854695604982642,6980,6980,0,2,2,1.0,3,3,False,completed,ita_financial_markets (Italy:financial_markets),ita_financial_markets,Italy,financial_markets,2,,
ita_banking_system (Italy:banking_system),2,6980,0.19999988842202449,0.7799991000016985,0.979998988423723,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.00487431672764815,0.0006162782016874147,6980,6980,0,2,2,1.0,3,3,False,completed,ita_banking_system (Italy:banking_system),ita_banking_system,Italy,banking_system,2,,
ita_systemic_stress (Italy:systemic_stress),2,6980,0.2,0.7799990954727366,0.9799990954727367,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.009119088149614193,0.001734954632258423,6980,6980,0,2,2,1.0,3,3,False,completed,ita_systemic_stress (Italy:systemic_stress),ita_systemic_stress,Italy,systemic_stress,2,,
ita_commodities (Italy:commodities),2,6980,0.19999999999952955,0.7799990000005181,0.9799990000000477,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007070412812341864,0.0015831976682674498,6567,6567,0,2,2,1.0,3,3,False,completed,ita_commodities (Italy:commodities),ita_commodities,Italy,commodities,2,,
esp_macro (Spain:macro),2,6980,0.2,0.7799990791883556,0.9799990791883557,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0039760295010319606,0.0003108453621559759,6980,6980,0,2,2,1.0,3,3,False,completed,esp_macro (Spain:macro),esp_macro,Spain,macro,2,,
esp_real_estate (Spain:real_estate),2,6980,0.2,0.7799990272869605,0.9799990272869605,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0019046127980032147,0.00010750803225517691,6720,6720,0,1,2,0.5,2,3,False,completed,esp_real_estate (Spain:real_estate),esp_real_estate,Spain,real_estate,2,,
esp_public_finance (Spain:public_finance),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.2,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.004068142496113494,0.0012476872160606667,6980,6980,0,2,2,1.0,3,3,False,completed,esp_public_finance (Spain:public_finance),esp_public_finance,Spain,public_finance,2,,
esp_external_fx (Spain:external_fx),2,6980,0.07563603182178003,0.904362971445304,0.979999003267084,,dcc,False,0.5,0.2,0.2,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007178006028965402,0.002338446607619782,6980,6980,0,2,2,1.0,3,3,False,completed,esp_external_fx (Spain:external_fx),esp_external_fx,Spain,external_fx,2,,
esp_financial_markets (Spain:financial_markets),2,6980,0.2,0.7799990012591406,0.9799990012591406,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.01920101421469154,0.008792478081654398,6980,6980,0,2,2,1.0,3,3,False,completed,esp_financial_markets (Spain:financial_markets),esp_financial_markets,Spain,financial_markets,2,,
esp_banking_system (Spain:banking_system),2,6980,0.2,0.7656560410066975,0.9656560410066974,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.006064919942459876,0.0008408248453263822,6980,6980,0,1,2,0.5,2,3,False,completed,esp_banking_system (Spain:banking_system),esp_banking_system,Spain,banking_system,2,,
esp_systemic_stress (Spain:systemic_stress),2,6980,0.2,0.7799990954727366,0.9799990954727367,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.009119088149614193,0.001734954632258423,6980,6980,0,2,2,1.0,3,3,False,completed,esp_systemic_stress (Spain:systemic_stress),esp_systemic_stress,Spain,systemic_stress,2,,
esp_commodities (Spain:commodities),2,6980,0.19999999999952955,0.7799990000005181,0.9799990000000477,,dcc,False,0.5,0.2,0.2,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007070412812341864,0.0015831976682674498,6567,6567,0,2,2,1.0,3,3,False,completed,esp_commodities (Spain:commodities),esp_commodities,Spain,commodities,2,,
