date,CPIAUCSL_DCOILBRENTEU,CPIAUCSL_DFF,CPIAUCSL_GDPC1,CPIAUCSL_MORTGAGE30US,CPIAUCSL_TEDRATE,CPIAUCSL_UNRATE,CPIAUCSL_USA_FCI,CPIAUCSL_VIXCLS,DCOILBRENTEU_DFF,DCOILBRENTEU_GDPC1,DCOILBRENTEU_MORTGAGE30US,DCOILBRENTEU_TEDRATE,DCOILBRENTEU_UNRATE,DCOILBRENTEU_USA_FCI,DCOILBRENTEU_VIXCLS,DFF_GDPC1,DFF_MORTGAGE30US,DFF_TEDRATE,DFF_UNRATE,DFF_USA_FCI,DFF_VIXCLS,GDPC1_MORTGAGE30US,GDPC1_TEDRATE,GDPC1_UNRATE,GDPC1_USA_FCI,GDPC1_VIXCLS,MORTGAGE30US_TEDRATE,MORTGAGE30US_UNRATE,MORTGAGE30US_USA_FCI,MORTGAGE30US_VIXCLS,TEDRATE_UNRATE,TEDRATE_USA_FCI,TEDRATE_VIXCLS,UNRATE_USA_FCI,UNRATE_VIXCLS,USA_FCI_VIXCLS
2022-12-31,0.9688569265125782,0.9688568316077807,-0.6474004498184468,0.417396902836697,,0.9113533778086048,0.9970987637683367,0.9805682122565816,0.9999999999999205,-0.46265389814901037,0.27739674488384475,,0.7843914365168031,0.9827618333339533,0.9985385077314725,-0.4626536338986337,0.27739658843292003,,0.7843912156303343,0.9827617592616688,0.9985384860790083,-0.8789590764769397,,-0.89128223342618,-0.5887337541899109,-0.5013104029865352,,0.647438203148931,0.3616299091212763,0.30366959742421046,,,,0.8781961875740024,0.8145831720219057,0.991308369917589
2023-01-31,0.9743891488367684,0.9743890632977323,-0.6455071174180846,0.4007006711619626,,0.9190324045356908,0.9982894937949798,0.9843243483631972,0.9999999999999215,-0.4691181657816284,0.27739673888512156,,0.8092682895846729,0.984190364580216,0.9987201307418551,-0.46911787466095795,0.2773965766542396,,0.8092680780027598,0.9841902952400641,0.9987201109041918,-0.7999526182141324,,-0.8908546641007998,-0.6002411211552601,-0.507696385142694,,0.6132334108062641,0.3566363037560696,0.3009458241576579,,,,0.8953272816481169,0.8362488427122942,0.991879927013172
2023-02-28,0.9786020531064415,0.9786019767626066,-0.6045198536327276,0.3849787121898517,,0.9248701861628597,0.999071901171756,0.9871925306896181,0.9999999999999134,-0.43615810014626305,0.2773967331957047,,0.8287418947810792,0.9853949992147683,0.998855846275147,-0.43615779947862177,0.2773965731160897,,0.8287416959799273,0.9853949348804493,0.9988558281635642,-0.7446746125932878,,-0.860407684626231,-0.5703358528930829,-0.4744674677532781,,0.5808971253357458,0.35331341573384273,0.2990046169905608,,,,0.9083778716641384,0.8532615092433741,0.9924009549330423
2023-03-31,0.9816199678605925,0.981619899445392,-0.5378259950767045,0.3733610398283679,,0.9288511313033758,0.9994656638626491,0.989196271931226,0.9999999999999438,-0.3748140865151671,0.27739672618994027,,0.8426973731055037,0.9864999922025263,0.9989637526835831,-0.3748137836792565,0.2773965717370916,,0.8426971871403247,0.9864999327704274,0.998963736126153,-0.7183588722879805,,-0.8103518966331199,-0.5106375336009759,-0.4128077669174114,,0.5579957023054558,0.3498909472367649,0.2975004842476245,,,,0.9168424572445969,0.8652844768876804,0.9929199942956947
2023-04-30,0.9838916067060541,0.983891544992324,-0.44805648495961553,0.3645009572444176,,0.9318585779430447,0.9996770347988646,0.9906699719728113,0.9999999999999425,-0.28856697355345334,0.27739671908726055,,0.8533957330535463,0.9874963107466598,0.9990527722289616,-0.28856667072493897,0.27739657106880833,,0.8533955588990387,0.9874962558445003,0.9990527570399943,-0.6988848769466466,,-0.7402332620632037,-0.42577440396165656,-0.32633982906621933,,0.5406366826997906,0.3465942826995975,0.29627525287133566,,,,0.9228239892631757,0.8744015804295637,0.9934094138102595
2023-05-31,0.9856737934221061,0.9856737374113922,-0.33086426459543145,0.35748705263709274,,0.9342403908182604,0.9997979841969823,0.9918033760206201,0.9999999999999466,-0.17430588739152011,0.2773967118531627,,0.861946819244505,0.9883891710058709,0.9991280439157791,-0.17430558665455054,0.2773965700944099,,0.8619466557536498,0.9883891202172332,0.9991280299317746,-0.6733277414116042,,-0.6438815423488975,-0.3123573658244789,-0.21179799231463756,,0.5268601625578834,0.3435306854059589,0.29524379054416594,,,,0.9272899234975679,0.8816230292944426,0.9938599294474073
2023-06-30,0.9871165993798809,0.9871165482740933,-0.18240271248308074,0.3517602152101435,,0.936171654991386,0.9998705616061053,0.9927054989979156,0.9999999999999518,-0.02977147093778016,0.2773966937654366,,0.8689709251836456,0.9891902373422493,0.9991928350083317,-0.029771176378467445,0.27739655895509596,,0.8689707712884103,0.9891901902720587,0.9991928220902677,-0.6329783472139485,,-0.5145646607583584,-0.16704820742690402,-0.06659921529999352,,0.515577606968921,0.34071234816064505,0.2943549594760037,,,,0.9307410555291746,0.8875073210288574,0.9942714640241785
2023-07-31,0.9883130877373018,0.9883130408928875,-0.005116159401926626,0.3469668022137939,,0.93775530575923,0.9999156577960377,0.993442775986375,0.9999999999999547,0.14082001995817484,0.2773964675595889,,0.8748499436261195,0.9899115287047286,0.9992493672208009,0.1408203014380324,0.2773963383190583,,0.8748497983753964,0.9899114849957834,0.9992493552507954,-0.5712489474960828,,-0.3502763854614204,0.007417725018446003,0.10544054593512087,,0.5061272498775663,0.33812078315685307,0.29357539685109274,,,,0.9334662946826524,0.8923951483071586,0.9946468746858073
2023-08-31,0.989324167330425,0.9893241242214694,0.18771467213686438,0.3428691172016232,,0.9390581233737262,0.999944413206316,0.994057971963647,0.9999999999999605,0.32296035693848757,0.2773920688094946,,0.8798357560293141,0.9905636786030408,0.9992992266915269,0.32296061658460956,0.27739194781790716,,0.8798356185869246,0.9905636379375856,0.9992992155691975,-0.48658433204351825,,-0.15967750682262422,0.19764427909484783,0.2900920149210878,,0.49807183243855435,0.3357266027800895,0.2928781791862553,,,,0.9356461999436475,0.8965094322686618,0.9949896764096139
2023-09-30,0.9901915356914326,0.990191495882143,0.3741940787964382,0.33921214079081197,,0.940126293612632,0.9999631057852605,0.9945799131762741,0.9999999999999524,0.4950105771203682,0.2773052298770135,,0.8841031161767408,0.9911557022985473,0.9993435884563068,0.4950108072111627,0.27730514641143733,,0.8841029858084875,0.9911556643951924,0.999343578095565,-0.38556560125909867,,0.037227983539649,0.3817733703039009,0.46563341208656467,,0.4909787158165702,0.3334121869205816,0.2921645496855873,,,,0.9374003727099575,0.9000037385386648,0.9953032959240623
