date,DEU_external_fx_f1__DEU_external_fx_f2
1999-02-01,0.1816014322005283
1999-02-02,0.1847865591580912
1999-02-03,0.2248897755570587
1999-02-04,0.2626517211548535
1999-02-05,0.2981324938671868
1999-02-08,0.33139838387756493
1999-02-09,0.3625214970740051
1999-02-10,0.39157919177403167
1999-02-11,0.4186533679665129
1999-02-12,0.4438296506376693
1999-02-15,0.4671965084247899
1999-02-16,0.488844346281145
1999-02-17,0.5088646065602663
1999-02-18,0.5273489075072696
1999-02-19,0.544388242133634
1999-02-22,0.5600722543397588
1999-02-23,0.5744886033316072
1999-02-24,0.5877224221406696
1999-02-25,0.5998558715803839
1999-02-26,0.6109677873420545
1999-03-01,0.621133415156676
1999-03-02,-0.01897868004846369
1999-03-03,-0.051109537918422446
1999-03-04,-0.08253370998279225
1999-03-05,-0.11324988890902145
1999-03-08,-0.14325086681357363
1999-03-09,-0.17252415740012114
1999-03-10,-0.20105272555660042
1999-03-11,-0.22881581751706842
1999-03-12,-0.255789878120209
1999-03-15,-0.2819495352413833
1999-03-16,-0.3072686256676821
1999-03-17,-0.3317212320677353
1999-03-18,-0.3552826977694458
1999-03-19,-0.3779305851685615
1999-03-22,-0.3996455449403634
1999-03-23,-0.42041206679196885
1999-03-24,-0.44021908802667875
1999-03-25,-0.459060443247394
1999-03-26,-0.4769351465090132
1999-03-29,-0.4938475054710929
1999-03-30,-0.5098070749398081
1999-03-31,-0.5248284640427215
1999-04-01,-0.5575687910173784
1999-04-02,-0.5682605636836683
1999-04-05,-0.5784027681029312
1999-04-06,-0.5879935149286192
1999-04-07,-0.5970354089685822
1999-04-08,-0.6055351682286849
1999-04-09,-0.6135031862976504
1999-04-12,-0.6209530584309421
1999-04-13,-0.6279010904836962
1999-04-14,-0.6343658077985463
1999-04-15,-0.6403674785546483
1999-04-16,-0.6459276631994969
1999-04-19,-0.6510687986511728
1999-04-20,-0.6558138231638216
1999-04-21,-0.6601858452289279
1999-04-22,-0.6642078577235362
1999-04-23,-0.6679024967531872
1999-04-26,-0.6712918432748352
1999-04-27,-0.6743972645996836
1999-04-28,-0.6772392922264742
1999-04-29,-0.679837532091639
1999-04-30,-0.6822106031900372
1999-05-03,-0.6900118257787522
1999-05-04,-0.6913373226357449
1999-05-05,-0.692569450196825
1999-05-06,-0.6937118704206023
1999-05-07,-0.6947686651371855
1999-05-10,-0.6957441980479392
1999-05-11,-0.6966429987203301
1999-05-12,-0.6974696666447878
1999-05-13,-0.6982287932714114
1999-05-14,-0.6989248999078563
1999-05-17,-0.6995623894072891
1999-05-18,-0.7001455096822877
1999-05-19,-0.7006783272264769
1999-05-20,-0.7011647089940242
1999-05-21,-0.7016083111651238
1999-05-24,-0.7020125735038061
1999-05-25,-0.7023807181861023
1999-05-26,-0.702715752137389
1999-05-27,-0.7030204720648913
1999-05-28,-0.7032974715036161
1999-05-31,-0.703549149311023
1999-06-01,-0.7056000538174615
1999-06-02,-0.7056244679531234
1999-06-03,-0.7056494161112361
1999-06-04,-0.7056743492720797
1999-06-07,-0.7056988554562728
1999-06-08,-0.7057226327491274
1999-06-09,-0.7057454670577629
1999-06-10,-0.705767213845782
1999-06-11,-0.7057877831966642
1999-06-14,-0.7058071276517897
1999-06-15,-0.7058252323524441
1999-06-16,-0.7058421070879648
1999-06-17,-0.7058577799152113
1999-06-18,-0.7058722920687452
1999-06-21,-0.7058856939274144
1999-06-22,-0.7058980418424052
1999-06-23,-0.7059093956651293
1999-06-24,-0.7059198168413485
1999-06-25,-0.7059293669614805
1999-06-28,-0.7059381066766756
1999-06-29,-0.7059460949066519
1999-06-30,-0.7059533882788547
1999-07-01,-0.707405132615267
1999-07-02,-0.7072725340847592
1999-07-05,-0.7071530807732923
1999-07-06,-0.7070454331580077
1999-07-07,-0.7069483942777441
1999-07-08,-0.7068608936049667
1999-07-09,-0.7067819728793414
1999-07-12,-0.7067107736478065
1999-07-13,-0.7066465262904637
1999-07-14,-0.7065885403415494
1999-07-15,-0.7065361959406222
1999-07-16,-0.7064889362713997
1999-07-19,-0.7064462608648973
1999-07-20,-0.7064077196600538
1999-07-21,-0.7063729077292482
1999-07-22,-0.7063414605883473
1999-07-23,-0.7063130500214371
1999-07-26,-0.706287380359451
1999-07-27,-0.7062641851597016
1999-07-28,-0.7062432242400447
1999-07-29,-0.7062242810272079
1999-07-30,-0.7062071601838242
1999-08-02,-0.706191685483055
1999-08-03,-0.7000346566201504
1999-08-04,-0.7006020519825096
