date,ESP_banking_system_f1,ESP_banking_system_f2
1999-02-01,-0.9934482684791326,1.095430390836079
1999-02-02,-0.9998531336432116,0.9998755840558597
1999-02-03,-0.9998531336434248,0.9998507784774892
1999-02-04,-0.9998531336434248,0.9998507711009557
1999-02-05,-0.9998531336434248,0.9998507710987619
1999-02-08,-0.9998531336434248,0.9998507710987612
1999-02-09,-0.9998531336434248,0.9998507710987612
1999-02-10,-0.9998531336434248,0.9998507710987612
1999-02-11,-0.9998531336434248,0.9998507710987612
1999-02-12,-0.9998531336434248,0.9998507710987612
1999-02-15,-0.9998531336434248,0.9998507710987612
1999-02-16,-0.9998531336434248,0.9998507710987612
1999-02-17,-0.9998531336434248,0.9998507710987612
1999-02-18,-0.9998531336434248,0.9998507710987612
1999-02-19,-0.9998531336434248,0.9998507710987612
1999-02-22,-0.9998531336434248,0.9998507710987612
1999-02-23,-0.9998531336434248,0.9998507710987612
1999-02-24,-0.9998531336434248,0.9998507710987612
1999-02-25,-0.9998531336434248,0.9998507710987612
1999-02-26,-0.9998531336434248,0.9998507710987612
1999-03-01,-1.0156682948067932,0.34645085155950367
1999-03-02,-0.9998576708326415,0.9987591241703906
1999-03-03,-0.9998576708321326,0.9998465970903431
1999-03-04,-0.9998576708321326,0.9998469210170665
1999-03-05,-0.9998576708321326,0.9998469211133977
1999-03-08,-0.9998576708321326,0.9998469211134262
1999-03-09,-0.9998576708321326,0.9998469211134262
1999-03-10,-0.9998576708321326,0.9998469211134262
1999-03-11,-0.9998576708321326,0.9998469211134262
1999-03-12,-0.9998576708321326,0.9998469211134262
1999-03-15,-0.9998576708321326,0.9998469211134262
1999-03-16,-0.9998576708321326,0.9998469211134262
1999-03-17,-0.9998576708321326,0.9998469211134262
1999-03-18,-0.9998576708321326,0.9998469211134262
1999-03-19,-0.9998576708321326,0.9998469211134262
1999-03-22,-0.9998576708321326,0.9998469211134262
1999-03-23,-0.9998576708321326,0.9998469211134262
1999-03-24,-0.9998576708321326,0.9998469211134262
1999-03-25,-0.9998576708321326,0.9998469211134262
1999-03-26,-0.9998576708321326,0.9998469211134262
1999-03-29,-0.9998576708321326,0.9998469211134262
1999-03-30,-0.9998576708321326,0.9998469211134262
1999-03-31,-1.0420571352031425,-2.6160960539690183
1999-04-01,-0.9998689628116564,-0.9999776354526869
1999-04-02,-0.9998689628103495,-0.9998506950703638
1999-04-05,-0.9998689628103495,-0.999850657327382
1999-04-06,-0.9998689628103495,-0.9998506573161579
1999-04-07,-0.9998689628103495,-0.9998506573161546
1999-04-08,-0.9998689628103495,-0.9998506573161546
1999-04-09,-0.9998689628103495,-0.9998506573161546
1999-04-12,-0.9998689628103495,-0.9998506573161546
1999-04-13,-0.9998689628103495,-0.9998506573161546
1999-04-14,-0.9998689628103495,-0.9998506573161546
1999-04-15,-0.9998689628103495,-0.9998506573161546
1999-04-16,-0.9998689628103495,-0.9998506573161546
1999-04-19,-0.9998689628103495,-0.9998506573161546
1999-04-20,-0.9998689628103495,-0.9998506573161546
1999-04-21,-0.9998689628103495,-0.9998506573161546
1999-04-22,-0.9998689628103495,-0.9998506573161546
1999-04-23,-0.9998689628103495,-0.9998506573161546
1999-04-26,-0.9998689628103495,-0.9998506573161546
1999-04-27,-0.9998689628103495,-0.9998506573161546
1999-04-28,-0.9998689628103495,-0.9998506573161546
1999-04-29,-0.9998689628103495,-0.9998506573161546
1999-04-30,-0.9062237861565793,-2.3795041411432356
1999-05-03,-0.9998404887613258,-0.9999736268860938
1999-05-04,-0.9998404887649044,-0.9998512199833463
1999-05-05,-0.9998404887649044,-0.9998511835880489
1999-05-06,-0.9998404887649044,-0.9998511835772256
1999-05-07,-0.9998404887649044,-0.9998511835772222
1999-05-10,-0.9998404887649044,-0.9998511835772222
1999-05-11,-0.9998404887649044,-0.9998511835772222
1999-05-12,-0.9998404887649044,-0.9998511835772222
1999-05-13,-0.9998404887649044,-0.9998511835772222
1999-05-14,-0.9998404887649044,-0.9998511835772222
1999-05-17,-0.9998404887649044,-0.9998511835772222
1999-05-18,-0.9998404887649044,-0.9998511835772222
