date,ESP_banking_system_f1__ESP_banking_system_f2
1999-02-01,-0.12503894076775274
1999-02-02,-0.31192128960650484
1999-02-03,-0.441242467937063
1999-02-04,-0.5410154644337183
1999-02-05,-0.617860763864395
1999-02-08,-0.6769671173630267
1999-02-09,-0.7223816821147987
1999-02-10,-0.757247790848588
1999-02-11,-0.7839987670049767
1999-02-12,-0.8045135122864349
1999-02-15,-0.820239985763573
1999-02-16,-0.8322923608834635
1999-02-17,-0.8415269758018258
1999-02-18,-0.8486014137230005
1999-02-19,-0.854020288397943
1999-02-22,-0.8581706253558306
1999-02-23,-0.8613491436711523
1999-02-24,-0.8637832574690905
1999-02-25,-0.8656472223795066
1999-02-26,-0.8670745372772706
1999-03-01,-0.8681674627274945
1999-03-02,-0.8119550269679635
1999-03-03,-0.8261916252672546
1999-03-04,-0.8370112751478882
1999-03-05,-0.8452343115458372
1999-03-08,-0.8514948789322871
1999-03-09,-0.8562677254369637
1999-03-10,-0.8599101009926056
1999-03-11,-0.8626919251191656
1999-03-12,-0.8648177715635094
1999-03-15,-0.8664430593440869
1999-03-16,-0.8676860799344654
1999-03-17,-0.8686369926568773
1999-03-18,-0.8693645886585546
1999-03-19,-0.8699213982215921
1999-03-22,-0.8703475596073047
1999-03-23,-0.870673757038346
1999-03-24,-0.8709234560577075
1999-03-25,-0.8711146067984604
1999-03-26,-0.8712609432836297
1999-03-29,-0.8713729754249505
1999-03-30,-0.8714587469038232
1999-03-31,-0.8715244144822256
1999-04-01,-0.08484094107366814
1999-04-02,0.07162341785604004
1999-04-05,0.20823687998925625
1999-04-06,0.32570266467794534
1999-04-07,0.4251255806413533
1999-04-08,0.5080007539576987
1999-04-09,0.5761075780144864
1999-04-12,0.6313691517655998
1999-04-13,0.6757142423835052
1999-04-14,0.7109669600034649
1999-04-15,0.7387742991864384
1999-04-16,0.7605699669356925
1999-04-19,0.7775666581288165
1999-04-20,0.790767307722634
1999-04-21,0.8009869454975623
1999-04-22,0.8088789292523816
1999-04-23,0.8149615084028723
1999-04-26,0.8196424187035067
1999-04-27,0.823240433582267
1999-04-28,0.8260035680105126
1999-04-29,0.8281240659711896
1999-04-30,0.8297505149417113
1999-05-03,0.7785363984492492
1999-05-04,0.7817567110586761
1999-05-05,0.7870349854566486
1999-05-06,0.7932671592069798
1999-05-07,0.7996650630993967
1999-05-10,0.8057223824260205
1999-05-11,0.8111567148244682
1999-05-12,0.8158484612843682
1999-05-13,0.8197855742246849
1999-05-14,0.823019310044716
1999-05-17,0.8256322526136219
1999-05-18,0.827717301361828
1999-05-19,0.8293651904715462
1999-05-20,0.8306579965492176
1999-05-21,0.8316664968966789
1999-05-24,0.8324497961766804
1999-05-25,0.8330561526507039
1999-05-26,0.8335243347527832
1999-05-27,0.833885119063775
1999-05-28,0.8341627231126512
1999-05-31,0.8343760777916014
1999-06-01,0.8368696780761299
1999-06-02,0.8358731972898699
1999-06-03,0.8353221655532757
1999-06-04,0.8350389680849885
1999-06-07,0.8349097494706442
1999-06-08,0.8348652519452592
1999-06-09,0.8348645722227572
1999-06-10,0.8348843235302779
1999-06-11,0.8349116559334344
1999-06-14,0.834939891648799
1999-06-15,0.8349658642703887
1999-06-16,0.8349883343651828
1999-06-17,0.8350070679709193
1999-06-18,0.8350223145008752
1999-06-21,0.8350345204444383
1999-06-22,0.8350441794136466
1999-06-23,0.8350517591982276
1999-06-24,0.8350576710414163
1999-06-25,0.8350622611116061
1999-06-28,0.8350658128844195
1999-06-29,0.8350685542457446
1999-06-30,0.835070666049813
1999-07-01,0.8242907001541365
1999-07-02,0.8267926413133131
1999-07-05,0.8287215661367104
1999-07-06,0.8302040460879566
1999-07-07,0.8313421506221134
1999-07-08,0.832215223264008
1999-07-09,0.8328846344125025
1999-07-12,0.8333977033008534
1999-07-13,0.8337908397981117
1999-07-14,0.834092020483285
1999-07-15,0.8343227212273376
1999-07-16,0.8344994164771534
1999-07-19,0.83463473782971
1999-07-20,0.8347383669690285
1999-07-21,0.8348177226266437
1999-07-22,0.8348784884072353
1999-07-23,0.8349250179745171
1999-07-26,0.8349606458875155
1999-07-27,0.8349879259416282
1999-07-28,0.8350088138567499
