date,USA_public_finance_f1__USA_public_finance_f2
1999-02-01,-0.35038629579496333
1999-02-02,-0.4779092333048864
1999-02-03,-0.5725596054156454
1999-02-04,-0.6466637326202593
1999-02-05,-0.7046352290515121
1999-02-08,-0.749957476776515
1999-02-09,-0.7853728156500345
1999-02-10,-0.8130359065284659
1999-02-11,-0.834637014031874
1999-02-12,-0.8515004586205095
1999-02-15,-0.8646628349030574
1999-02-16,-0.8749349045003398
1999-02-17,-0.8829504167378941
1999-02-18,-0.8892045234046646
1999-02-19,-0.8940839475126846
1999-02-22,-0.8978906405950938
1999-02-23,-0.9008603122292628
1999-02-24,-0.9031769299859861
1999-02-25,-0.9049840580198237
1999-02-26,-0.9063937186266147
1999-03-01,-0.9074933148967678
1999-03-02,-0.9034483178295606
1999-03-03,-0.9050747160806797
1999-03-04,-0.9063910568893895
1999-03-05,-0.907446454267202
1999-03-08,-0.9082869153982783
1999-03-09,-0.9089528883348005
1999-03-10,-0.9094786447063802
1999-03-11,-0.9098925484463993
1999-03-12,-0.9102177054227857
1999-03-15,-0.9104727306406618
1999-03-16,-0.910672501916978
1999-03-17,-0.9108288407456618
1999-03-18,-0.9109510992863618
1999-03-19,-0.911046651926686
1999-03-22,-0.9111212990682059
1999-03-23,-0.9111795944047693
1999-03-24,-0.911225107667201
1999-03-25,-0.9112606340928758
1999-03-26,-0.9112883605603634
1999-03-29,-0.9113099968433064
1999-03-30,-0.911326879002226
1999-03-31,-0.9113400506461719
1999-04-01,-0.9025513278438767
1999-04-02,-0.9044686758047912
1999-04-05,-0.9059746227597432
1999-04-06,-0.9071543923994185
1999-04-07,-0.9080772094014377
1999-04-08,-0.9087983533695907
1999-04-09,-0.9093615599115182
1999-04-12,-0.909801247615891
1999-04-13,-0.9101444171461461
1999-04-14,-0.9104122087840397
1999-04-15,-0.9106211541075416
1999-04-16,-0.9107841704750798
1999-04-19,-0.9109113459032815
1999-04-20,-0.9110105560078532
1999-04-21,-0.9110879477112147
1999-04-22,-0.9111483178730272
1999-04-23,-0.9111954093535546
1999-04-26,-0.9112321423495431
1999-04-27,-0.911260795065414
1999-04-28,-0.9112831447677389
1999-04-29,-0.9113005778833831
1999-04-30,-0.9113141759201926
1999-05-03,-0.8961891915504846
1999-05-04,-0.899338800513508
1999-05-05,-0.9018695168815811
1999-05-06,-0.9038854334911712
1999-05-07,-0.9054820234916444
1999-05-10,-0.9067414668094848
1999-05-11,-0.9077321385009345
1999-05-12,-0.9085097899103013
1999-05-13,-0.9091192977196433
1999-05-14,-0.9095964752459049
1999-05-17,-0.9099697326870599
1999-05-18,-0.9102615117919187
1999-05-19,-0.9104894850019192
1999-05-20,-0.9106675372945302
1999-05-21,-0.9108065593005288
1999-05-24,-0.9109150820610332
1999-05-25,-0.9109997817295787
1999-05-26,-0.9110658789728138
1999-05-27,-0.911117453942996
1999-05-28,-0.9111576940267906
1999-05-31,-0.9111890883381966
