label,n_series,n_observations,dcc_a,dcc_b,a_plus_b,adcc_gamma,correlation_model_used,garch_quality_gate_triggered,garch_quality_gate_min_convergence_rate,garch_quality_gate_shrinkage,dcc_max_a,dcc_a_at_upper_bound,dcc_large_a_penalty_lambda,dcc_large_a_penalty_threshold,adcc_max_a,adcc_a_at_upper_bound,adcc_large_a_penalty_lambda,adcc_large_a_penalty_threshold,adcc_guardrail_triggered,adcc_ll_improvement_per_obs,update_success_rate,smoothness_mean,smoothness_75pct,successful_updates,total_updates,spd_projection_dates,garch_converged,garch_total,garch_convergence_rate,validation_checks_passed,validation_checks_total,overfitting_flag,status,block_label,block_id,country,block_key,series_covered,missing_series,already_assigned
fra_macro (France:macro),2,6980,0.29999961532943414,0.6799988570662504,0.9799984723956845,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.005116670622839036,0.00030083482629039704,6980,6980,0,2,2,1.0,3,3,False,completed,fra_macro (France:macro),fra_macro,France,macro,2,,
fra_real_estate (France:real_estate),2,6980,0.3,0.6799990330301694,0.9799990330301693,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.003731262620370803,7.564467184434376e-05,6720,6720,0,2,2,1.0,3,3,False,completed,fra_real_estate (France:real_estate),fra_real_estate,France,real_estate,2,,
fra_public_finance (France:public_finance),2,6980,0.3,0.6025452713923145,0.9025452713923146,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.026646672103835832,0.010548958913910278,6980,6980,0,2,2,1.0,3,3,False,completed,fra_public_finance (France:public_finance),fra_public_finance,France,public_finance,2,,
fra_external_fx (France:external_fx),2,6980,0.3,0.5820465999556742,0.8820465999556741,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.00926216188667399,0.0012724177426192695,6980,6980,0,2,2,1.0,3,3,False,completed,fra_external_fx (France:external_fx),fra_external_fx,France,external_fx,2,,
fra_financial_markets (France:financial_markets),2,6980,0.3,0.6799990096817919,0.9799990096817919,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.020846119327459268,0.005282281986022208,6980,6980,0,2,2,1.0,3,3,False,completed,fra_financial_markets (France:financial_markets),fra_financial_markets,France,financial_markets,2,,
fra_banking_system (France:banking_system),2,6980,0.2999999999999991,0.6630448024461159,0.9630448024461149,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0032210782776874317,0.0003771098147156704,6980,6980,0,2,2,1.0,3,3,False,completed,fra_banking_system (France:banking_system),fra_banking_system,France,banking_system,2,,
fra_systemic_stress (France:systemic_stress),2,6980,0.3,0.679999005743282,0.9799990057432819,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.00981126255235689,0.0013311944329022496,6980,6980,0,2,2,1.0,3,3,False,completed,fra_systemic_stress (France:systemic_stress),fra_systemic_stress,France,systemic_stress,2,,
fra_commodities (France:commodities),2,6980,0.29999999997516885,0.6762404015841791,0.976240401559348,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007636629158027432,0.001395845225634601,6567,6567,0,2,2,1.0,3,3,False,completed,fra_commodities (France:commodities),fra_commodities,France,commodities,2,,
ita_macro (Italy:macro),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.3,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.002404878984688222,0.00043079348258134864,6980,6980,0,2,2,1.0,3,3,False,completed,ita_macro (Italy:macro),ita_macro,Italy,macro,2,,
ita_real_estate (Italy:real_estate),2,6980,0.29999998975908054,0.6799989962546943,0.9799989860137748,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0031187584877018066,0.00013161002085254614,6720,6720,0,2,2,1.0,3,3,False,completed,ita_real_estate (Italy:real_estate),ita_real_estate,Italy,real_estate,2,,
ita_public_finance (Italy:public_finance),2,6980,0.3,0.6799990056654669,0.9799990056654668,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0115535886006881,0.0021709175314473805,6980,6980,0,2,2,1.0,3,3,False,completed,ita_public_finance (Italy:public_finance),ita_public_finance,Italy,public_finance,2,,
ita_external_fx (Italy:external_fx),2,6980,0.3,0.5820465999556742,0.8820465999556741,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.00926216188667399,0.0012724177426192695,6980,6980,0,2,2,1.0,3,3,False,completed,ita_external_fx (Italy:external_fx),ita_external_fx,Italy,external_fx,2,,
ita_financial_markets (Italy:financial_markets),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.3,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.008104212137443136,0.006383567335561363,6980,6980,0,2,2,1.0,3,3,False,completed,ita_financial_markets (Italy:financial_markets),ita_financial_markets,Italy,financial_markets,2,,
ita_banking_system (Italy:banking_system),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.3,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0023192444404870395,0.0003646100391428708,6980,6980,0,2,2,1.0,3,3,False,completed,ita_banking_system (Italy:banking_system),ita_banking_system,Italy,banking_system,2,,
ita_systemic_stress (Italy:systemic_stress),2,6980,0.3,0.679999005743282,0.9799990057432819,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.00981126255235689,0.0013311944329022496,6980,6980,0,2,2,1.0,3,3,False,completed,ita_systemic_stress (Italy:systemic_stress),ita_systemic_stress,Italy,systemic_stress,2,,
ita_commodities (Italy:commodities),2,6980,0.29999999997516885,0.6762404015841791,0.976240401559348,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007636629158027432,0.001395845225634601,6567,6567,0,2,2,1.0,3,3,False,completed,ita_commodities (Italy:commodities),ita_commodities,Italy,commodities,2,,
esp_macro (Spain:macro),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.3,False,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0018450224916155714,0.0002699793990891819,6980,6980,0,2,2,1.0,3,3,False,completed,esp_macro (Spain:macro),esp_macro,Spain,macro,2,,
esp_real_estate (Spain:real_estate),2,6980,0.3,0.6799990645660606,0.9799990645660606,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.0020746372884796033,8.260240485447046e-05,6720,6720,0,1,2,0.5,2,3,False,completed,esp_real_estate (Spain:real_estate),esp_real_estate,Spain,real_estate,2,,
esp_public_finance (Spain:public_finance),2,6980,0.3,0.6799990011774095,0.9799990011774096,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.00933891590106156,0.0017469042118768985,6980,6980,0,2,2,1.0,3,3,False,completed,esp_public_finance (Spain:public_finance),esp_public_finance,Spain,public_finance,2,,
esp_external_fx (Spain:external_fx),2,6980,0.3,0.5820465999556742,0.8820465999556741,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.00926216188667399,0.0012724177426192695,6980,6980,0,2,2,1.0,3,3,False,completed,esp_external_fx (Spain:external_fx),esp_external_fx,Spain,external_fx,2,,
esp_financial_markets (Spain:financial_markets),2,6980,0.29999999972823094,0.6799990317116907,0.9799990314399216,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.020640946586589347,0.006277451298950798,6980,6980,0,2,2,1.0,3,3,False,completed,esp_financial_markets (Spain:financial_markets),esp_financial_markets,Spain,financial_markets,2,,
esp_banking_system (Spain:banking_system),2,6980,0.29999999999999555,0.654495638228345,0.9544956382283405,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.006513684895892987,0.0007531909638670564,6980,6980,0,1,2,0.5,2,3,False,completed,esp_banking_system (Spain:banking_system),esp_banking_system,Spain,banking_system,2,,
esp_systemic_stress (Spain:systemic_stress),2,6980,0.3,0.679999005743282,0.9799990057432819,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.00981126255235689,0.0013311944329022496,6980,6980,0,2,2,1.0,3,3,False,completed,esp_systemic_stress (Spain:systemic_stress),esp_systemic_stress,Spain,systemic_stress,2,,
esp_commodities (Spain:commodities),2,6980,0.29999999997516885,0.6762404015841791,0.976240401559348,,dcc,False,0.5,0.2,0.3,True,10.0,0.15,0.2,False,0.0,0.2,False,,1.0,0.007636629158027432,0.001395845225634601,6567,6567,0,2,2,1.0,3,3,False,completed,esp_commodities (Spain:commodities),esp_commodities,Spain,commodities,2,,
