date,DCOILBRENTEU_ESPCPIALLMINMEI,DCOILBRENTEU_ESP_FCI,DCOILBRENTEU_NAEXKP01ESQ661S,ESPCPIALLMINMEI_ESP_FCI,ESPCPIALLMINMEI_NAEXKP01ESQ661S,ESP_FCI_NAEXKP01ESQ661S
2022-12-31,0.7684803264764096,0.9999999999999167,,0.7684803776436999,,
2023-01-31,0.9404309995076787,0.9999999999999157,,0.9404309636711294,,
2023-02-28,0.9709628231364853,0.9999999999999167,,0.9709627493318745,,
2023-03-31,0.9706311210649394,0.9999999999999359,,0.9706310362205106,,
2023-04-30,0.9685672702541729,0.999999999999944,,0.9685671834421431,,
2023-05-31,0.967493316201227,0.9999999999999523,,0.967493230933036,,
2023-06-30,0.9673317109321634,0.9999999999999393,,0.9673316287208992,,
2023-07-31,0.9677919792479653,0.9999999999999516,,0.9677919007528266,,
2023-08-31,0.9686499444334365,0.9999999999999504,,0.9686498699048288,,
2023-09-30,0.9697542277920493,0.9999999999999504,,0.9697541572697231,,
2023-10-31,0.9710047869432067,0.9999999999999684,,0.9710047203549519,,
2023-11-30,0.9723352570756771,0.9999999999999658,,0.9723351942893603,,
2023-12-31,0.973701198305835,0.9999999999999669,,0.973701139158743,,
2024-01-31,0.975072592895719,0.9999999999999671,,0.9750725372104774,,
2024-02-29,0.9764290587846945,0.9999999999999524,,0.976429006379938,,
2024-03-31,0.9777567583151728,0.999999999999971,,0.9777567090105377,,
2024-04-30,0.9790463688313547,0.9999999999999741,,0.9790463224517076,,
2024-05-31,0.9802917273129598,0.9999999999999629,,0.9802916836893807,,
2024-06-30,0.9814889099233658,0.9999999999999842,,0.9814888688950367,,
2024-07-31,0.9826355969869565,0.9999999999999764,,0.9826355584012171,,
2024-08-31,0.9837306283884771,0.999999999999977,,0.9837305921008637,,
2024-09-30,0.9847736879985499,0.9999999999999851,,0.9847736538729222,,
2024-10-31,0.9857650767890833,0.9999999999999767,,0.9857650446971198,,
2024-11-30,0.9867055477348329,0.9999999999999762,,0.986705517555984,,
2024-12-31,0.9875961842919283,0.9999999999999842,,0.9875961559126775,,
