date,DCOILBRENTEU_ITACPIALLMINMEI,DCOILBRENTEU_ITA_FCI,DCOILBRENTEU_ITA_beta0,DCOILBRENTEU_ITA_beta1,DCOILBRENTEU_ITA_beta2,DCOILBRENTEU_NAEXKP01ITQ661S,ITACPIALLMINMEI_ITA_FCI,ITACPIALLMINMEI_ITA_beta0,ITACPIALLMINMEI_ITA_beta1,ITACPIALLMINMEI_ITA_beta2,ITACPIALLMINMEI_NAEXKP01ITQ661S,ITA_FCI_ITA_beta0,ITA_FCI_ITA_beta1,ITA_FCI_ITA_beta2,ITA_FCI_NAEXKP01ITQ661S,ITA_beta0_ITA_beta1,ITA_beta0_ITA_beta2,ITA_beta0_NAEXKP01ITQ661S,ITA_beta1_ITA_beta2,ITA_beta1_NAEXKP01ITQ661S,ITA_beta2_NAEXKP01ITQ661S
2022-12-31,-0.9881113651266519,0.9999999999999996,0.24493463842054403,-0.5543607647671597,-0.6317347082589931,0.8887515040109842,-0.9881113652464647,-0.29414164757479033,0.6411460938324627,0.7201219448904194,-0.9467490444628227,0.24493463865827486,-0.554360765206499,-0.6317347087150326,0.8887515043503812,-0.7146979389073896,-0.6384975635889879,0.41430609422375314,0.9883931877927823,-0.8164467044272221,-0.8850674090977501
2023-01-31,-0.9881113651266507,1.0000000000000122,0.24493463842135904,-0.5543607647671273,-0.6317347082589788,0.8887515040109856,-0.9881113652464637,-0.29414164757545885,0.6411460938324898,0.7201219448904201,-0.9467490444628194,0.24493463865877152,-0.5543607652064707,-0.6317347087150302,0.8887515043503879,-0.7146979389066709,-0.6384975635893506,0.41430609422401526,0.9883931877928052,-0.8164467044272019,-0.8850674090977471
2023-02-28,-0.9881113651266465,0.9999999999999944,0.24493463842971372,-0.5543607647671733,-0.6317347082589883,0.8887515040109877,-0.9881113652464634,-0.29414164758453765,0.641146093832448,0.7201219448904209,-0.946749044462812,0.24493463866183796,-0.5543607652065468,-0.6317347087150292,0.8887515043503851,-0.7146979389542792,-0.6384975636061834,0.414306094228116,0.9883931877927469,-0.8164467044272645,-0.8850674090977431
2023-03-31,-0.9881113651266482,1.0000000000000022,0.24493463906640403,-0.5543607647671456,-0.6317347082589873,0.8887515040109913,-0.9881113652464613,-0.2941416484864844,0.641146093832462,0.7201219448904148,-0.946749044462812,0.24493463941236154,-0.5543607652065132,-0.6317347087150329,0.8887515043503815,-0.7146979409211828,-0.6384975653417484,0.4143060953853336,0.9883931877927279,-0.8164467044272362,-0.8850674090977566
2023-04-30,-0.9881113651266499,0.9999999999999996,0.244934697405736,-0.5543607647671563,-0.6317347082589958,0.8887515040109776,-0.9881113652464627,-0.29414172100424113,0.641146093832533,0.7201219448904216,-0.9467490444628051,0.24493469960792744,-0.5543607652065096,-0.6317347087150326,0.8887515043503933,-0.714698106682907,-0.6384977240969362,0.4143061969657907,0.9883931877927592,-0.8164467044270862,-0.8850674090977586
2023-05-31,-0.988111365126649,1.0000000000000018,0.24494054921237854,-0.5543607647671492,-0.631734708258977,0.8887515040109861,-0.98811136524646,-0.29414875423997644,0.6411460938324661,0.7201219448904265,-0.9467490444628233,0.244940559981839,-0.5543607652064243,-0.63173470871501,0.888751504350398,-0.7147152537401834,-0.63851298603556,0.4143160970134541,0.988393187792719,-0.816446704427193,-0.8850674090977492
2023-06-30,-0.9881113651266469,1.0000000000000044,0.24551730072632422,-0.5543607647671124,-0.6317347082589855,0.8887515040109814,-0.9881113652464573,-0.2948413283838585,0.6411460938325322,0.7201219448903986,-0.9467490444628184,0.24551725836258834,-0.554360765206439,-0.6317347087150391,0.888751504350383,-0.7163987952992878,-0.6400164345334528,0.4152916081354353,0.9883931877926653,-0.8164467044271702,-0.8850674090977709
2023-07-31,-0.9881113651266465,1.0000000000000118,0.3349842111619769,-0.5543607647670835,-0.6317347082589735,0.8887515040109977,-0.9881113652464583,-0.40227933060149157,0.6411460938326635,0.720121944890431,-0.9467490444628015,0.33498252782091215,-0.5543607652063868,-0.6317347087150162,0.8887515043504016,-0.9774351525985907,-0.8732296622560637,0.5666222842822463,0.9883931877936482,-0.8164467044270063,-0.8850674090977358
2023-08-31,-0.9881113651266595,0.9999999999999941,,-0.554360764767398,-0.6317347082590044,0.8887515040109694,-0.9881113652464709,,0.6411460938325805,0.7201219448903772,-0.9467490444628378,,-0.5543607652065908,-0.6317347087149994,0.8887515043503728,,,,0.9883931877935367,-0.816446704427102,-0.8850674090977423
2023-09-30,-0.9881113651266541,0.9999999999999868,,-0.5543607647673716,-0.6317347082589918,0.8887515040109715,-0.988111365246473,,0.6411460938328046,0.720121944890347,-0.9467490444628266,,-0.5543607652066234,-0.6317347087150438,0.8887515043503545,,,,0.9883931877931361,-0.8164467044275392,-0.8850674090977251
