date,DEU_public_finance_f1__DEU_public_finance_f2
1999-02-01,0.04194385830056542
1999-02-02,0.2444359568855657
1999-02-03,0.3782553206540889
1999-02-04,0.48400732966659316
1999-02-05,0.5673475623701661
1999-02-08,0.6328812930953368
1999-02-09,0.6843234052633815
1999-02-10,0.7246485704616694
1999-02-11,0.7562250796852337
1999-02-12,0.7809299977674072
1999-02-15,0.8002458382566724
1999-02-16,0.8153402900656739
1999-02-17,0.8271311060222867
1999-02-18,0.8363383953008185
1999-02-19,0.8435264504429562
1999-02-22,0.8491370127907192
1999-02-23,0.8535156130843184
1999-02-24,0.8569323584668842
1999-02-25,0.8595982940824969
1999-02-26,0.8616782554339971
1999-03-01,0.8633009483711033
1999-03-02,0.652555991939106
1999-03-03,0.29790501864720836
1999-03-04,0.030851208589013232
1999-03-05,-0.17206924437166557
1999-03-08,-0.3272633473184514
1999-03-09,-0.4465222085578069
1999-03-10,-0.5384910036333692
1999-03-11,-0.6096029463043796
1999-03-12,-0.6646985814915737
1999-03-15,-0.7074506423270459
1999-03-16,-0.7406635278129394
1999-03-17,-0.7664889983318965
1999-03-18,-0.7865842020131658
1999-03-19,-0.802229022361143
1999-03-22,-0.8144141497237329
1999-03-23,-0.8239077354574272
1999-03-24,-0.8313061693640582
1999-03-25,-0.8370729618412535
1999-03-26,-0.8415686376907813
1999-03-29,-0.8450737920622068
1999-03-30,-0.8478069165589216
1999-03-31,-0.8499382084178956
1999-04-01,-0.7744515939117805
1999-04-02,-0.788623435957827
1999-04-05,-0.8010474870163362
1999-04-06,-0.8116560350399091
1999-04-07,-0.8205363065402053
1999-04-08,-0.8278569435517602
1999-04-09,-0.8338202473704399
1999-04-12,-0.8386326296932615
1999-04-13,-0.8424877686978834
1999-04-14,-0.8455582801636926
1999-04-15,-0.847992785400323
1999-04-16,-0.8499161618314809
1999-04-19,-0.8514314858713082
1999-04-20,-0.8526227199638177
1999-04-21,-0.8535575775759141
1999-04-22,-0.8542902544590045
1999-04-23,-0.8548638754938893
1999-04-26,-0.8553126028668098
1999-04-27,-0.8556634053884724
1999-04-28,-0.8559375162726542
1999-04-29,-0.8561516183026285
1999-04-30,-0.8563187979198107
1999-05-03,-0.8572697312142203
1999-05-04,-0.8571932110881687
1999-05-05,-0.8571346405602025
1999-05-06,-0.8570896416073166
1999-05-07,-0.857054963465651
1999-05-10,-0.8570281724229093
1999-05-11,-0.8570074331567721
1999-05-12,-0.8569913529030668
1999-05-13,-0.8569788691311797
1999-05-14,-0.85696916767135
1999-05-17,-0.8569616224082608
1999-05-18,-0.8569557504341044
1999-05-19,-0.8569511784158094
1999-05-20,-0.8569476171882756
1999-05-21,-0.8569448424433544
1999-05-24,-0.8569426799767997
