date,DCOILBRENTEU_FRACPIALLMINMEI,DCOILBRENTEU_MABMM301EZM189S,DCOILBRENTEU_NAEXKP01FRQ661S,DCOILBRENTEU_OAT_Bund_Spread,FRACPIALLMINMEI_MABMM301EZM189S,FRACPIALLMINMEI_NAEXKP01FRQ661S,FRACPIALLMINMEI_OAT_Bund_Spread,MABMM301EZM189S_NAEXKP01FRQ661S,MABMM301EZM189S_OAT_Bund_Spread,NAEXKP01FRQ661S_OAT_Bund_Spread
2022-12-31,0.14188535372537867,0.30059762822020464,0.28314136110038124,0.04956295883239515,0.022252527465116932,0.5373167984916837,0.005229582879087046,0.34594528604001623,0.098443480143912,-0.22283623415805795
2023-01-31,0.13543869640420841,0.2921935963668547,0.26819482983637627,0.0457625971725053,0.011809829093761671,0.5316907666980545,0.0008411408502334572,0.31399995678224807,0.09779530589098553,-0.23171833120485383
2023-02-28,0.12173367926116274,0.28340672111799453,0.23113307198202812,0.045721795202111455,0.0006275589451547092,0.5313098850876927,-0.00404388832349042,0.2882814428150876,0.0946030125086635,-0.24069215714930026
2023-03-31,0.026185495067256925,0.2675994256253981,0.19057887071708868,0.04616123629622841,-0.024193308100469532,0.5400307574540057,-0.02891933203523818,0.2701926088129993,0.08936647984028671,-0.24977892015764738
2023-04-30,-0.09017474868113194,0.26880982743103393,0.1915869437371786,0.0467031053518663,-0.135859210619502,0.26484588468032033,-0.05371678699979295,0.26989222719252914,0.08919466185756295,-0.24978024045851477
2023-05-31,-0.12314465833199062,0.2745333718516525,0.192645000169424,0.047239701852731485,-0.19776324454140476,0.17932698494724172,-0.06868856182836962,0.27538962610094886,0.09211370742664247,-0.24978156076155628
2023-06-30,-0.13136031376281895,0.27331447171261597,0.18691266976517318,0.04431238822208013,-0.20615693306508465,0.17049774912804935,-0.07269605214707259,0.28088676027378645,0.09498066544087794,-0.24978288106677207
2023-07-31,-0.14443155318540182,0.2733018017184418,0.17837168582596452,0.03993888340387983,-0.2046106185860283,0.16467488890775628,-0.0759000674907321,0.28939784644345995,0.09935831984040396,-0.249784201374162
2023-08-31,-0.1580675721109711,0.2606973302885422,0.1693233428249279,0.03537803601791291,-0.21450899744571264,0.15780599366263762,-0.0797118588238294,0.29094452244096825,0.10022012253999203,-0.24978552168372614
2023-09-30,-0.17001816716025878,0.2501636880104083,0.16289923220309244,0.032145061855210086,-0.24254739777800285,0.13471920449278518,-0.08867798433453897,0.28923189919293835,0.09927277261815425,-0.2497868419954644
2023-10-31,-0.16946302480943318,0.24144050838497522,0.15917117856370694,0.030266963391598692,-0.22933770559501726,0.04485122482708271,-0.0981218256170232,0.28273359684470345,0.09590338591573482,-0.24978816230937687
2023-11-30,-0.14796714766643257,0.2307483998016178,,0.023615373409419133,-0.24611712820635942,,-0.10690164322527343,,0.0933372697713981,
2023-12-31,-0.13697580236331267,0.24410888848506784,,0.029327632032571327,-0.25410422749754363,,-0.11210225799291797,,0.09244232542613441,
2024-01-31,-0.12540044466593223,0.2640023496736077,,0.03994249074672295,-0.26378925485454285,,-0.11788087175849114,,0.09583283997153724,
2024-02-29,-0.11639884648559962,0.2903953958386813,,0.04802743195498055,-0.2782476162346102,,-0.1227591279048727,,0.09659180455575714,
2024-03-31,-0.13485612604643216,,,0.05196016792504205,,,-0.13296988188920975,,,
2024-04-30,-0.166428476378912,,,0.053391588936942486,,,-0.14244235896297253,,,
2024-05-31,-0.1817682436150012,,,0.0554807641264513,,,-0.148178234830128,,,
2024-06-30,-0.18385470379662755,,,0.056431796718217436,,,-0.15132524820031934,,,
2024-07-31,-0.2004088143793437,,,0.048029444405419605,,,-0.15210119957139936,,,
2024-08-31,-0.21387960311552912,,,0.04155368087286907,,,-0.1551853498860209,,,
2024-09-30,-0.23206167106818362,,,0.04184966258747966,,,-0.16285926607740392,,,
2024-10-31,-0.25906358545968194,,,0.03947181122254102,,,-0.17064104407695513,,,
2024-11-30,-0.2917893124908163,,,0.03745706118433036,,,-0.18056801872647452,,,
2024-12-31,-0.3014459954221054,,,0.03881885789202225,,,-0.1854566618617286,,,
2025-01-31,-0.29881705325264474,,,0.04158200141410566,,,-0.18749137390268722,,,
2025-02-28,-0.2883134377119063,,,0.046042339976648604,,,-0.18661765892777507,,,
2025-03-31,-0.26986955788557576,,,0.05343090312461959,,,-0.18704747966339733,,,
2025-04-30,-0.2341374453216599,,,0.08411735131724216,,,-0.18849924883655622,,,
2025-05-31,-0.21027540405218229,,,0.05298580167912021,,,-0.17165193749865587,,,
2025-06-30,-0.1889185178496169,,,0.021053420416338075,,,-0.1436667163344626,,,
2025-07-31,,,,-0.1221094663531861,,,,,,
2025-08-31,,,,-0.12375053535800223,,,,,,
2025-09-30,,,,-0.06437745403892506,,,,,,
2025-10-31,,,,-0.0059512513315493724,,,,,,
