date,FRA_real_estate_f1__FRA_real_estate_f2
2000-01-31,-0.2814059136038988
2000-02-01,-0.486558881022074
2000-02-02,-0.6256331581440784
2000-02-03,-0.7202436706267422
2000-02-04,-0.7845975247080645
2000-02-07,-0.8283667798542842
2000-02-08,-0.8581338535158943
2000-02-09,-0.8783772951866002
2000-02-10,-0.8921436762952275
2000-02-11,-0.9015051999977463
2000-02-14,-0.9078712110448274
2000-02-15,-0.9122001774776322
2000-02-16,-0.9151439098063812
2000-02-17,-0.9171456631347497
2000-02-18,-0.9185068618741601
2000-02-21,-0.9194324795903418
2000-02-22,-0.9200619005408672
2000-02-23,-0.9204899070102519
2000-02-24,-0.9207809513801228
2000-02-25,-0.9209788614480239
2000-02-28,-0.9211134401850471
2000-02-29,-0.9212049536341097
2000-03-01,-0.9211668246187458
2000-03-02,-0.9212410727659877
2000-03-03,-0.9212917493468581
2000-03-06,-0.9213262037300539
2000-03-07,-0.9213496294351851
2000-03-08,-0.9213655573866085
2000-03-09,-0.9213763876814155
2000-03-10,-0.9213837519490334
2000-03-13,-0.9213887594947638
2000-03-14,-0.9213921645520412
2000-03-15,-0.9213944799557967
2000-03-16,-0.9213960544133587
2000-03-17,-0.9213971250361561
2000-03-20,-0.9213978530554681
2000-03-21,-0.9213983481064376
2000-03-22,-0.9213986847399435
2000-03-23,-0.9213989136500901
2000-03-24,-0.9213990693086243
2000-03-27,-0.9213991751562101
2000-03-28,-0.9213992471324355
2000-03-29,-0.9213992960761845
2000-03-30,-0.9213993293578803
2000-03-31,-0.9213993519893983
2000-04-03,-0.9211821992232434
2000-04-04,-0.9212492873696657
2000-04-05,-0.9212961357349988
2000-04-06,-0.9213286261224315
2000-04-07,-0.9213510117654388
2000-04-10,-0.9213663687277173
2000-04-11,-0.9213768736366058
2000-04-12,-0.9213840456839767
2000-04-13,-0.9213889359375494
2000-04-14,-0.9213922674368633
2000-04-17,-0.9213945356872842
2000-04-18,-0.921396079405507
2000-04-19,-0.9213971297380954
2000-04-20,-0.9213978442432746
2000-04-21,-0.9213983302355823
2000-04-24,-0.9213986607697476
2000-04-25,-0.9213988855603414
2000-04-26,-0.9213990384305275
2000-04-27,-0.9213991423880241
2000-04-28,-0.9213992130817582
2000-05-01,-0.9213992611546942
2000-05-02,-0.9217764022333367
2000-05-03,-0.9216434146894779
2000-05-04,-0.9215595228343957
2000-05-05,-0.9215055836143503
2000-05-08,-0.9214703589692714
2000-05-09,-0.9214470839706989
2000-05-10,-0.9214315720889179
2000-05-11,-0.9214211702660531
2000-05-12,-0.9214141648297473
2000-05-15,-0.9214094325412826
2000-05-16,-0.921406229126691
2000-05-17,-0.9214040575351032
2000-05-18,-0.9214025839672728
2000-05-19,-0.921401583382249
2000-05-22,-0.9214009036512715
2000-05-23,-0.9214004417428145
2000-05-24,-0.9214001277879226
2000-05-25,-0.9213999143647563
2000-05-26,-0.9213997692676628
2000-05-29,-0.9213996706158618
2000-05-30,-0.9213996035392444
2000-05-31,-0.9213995579302203
2000-06-01,-0.9215912346156112
2000-06-02,-0.9215301041948456
2000-06-05,-0.9214882430765698
2000-06-06,-0.9214598119983354
2000-06-07,-0.9214404961126184
2000-06-08,-0.9214273693367622
2000-06-09,-0.9214184468564103
2000-06-12,-0.9214123812996845
2000-06-13,-0.921408257524058
2000-06-14,-0.9214054537295544
2000-06-15,-0.9214035473227128
2000-06-16,-0.9214022510468762
2000-06-19,-0.9214013696170891
2000-06-20,-0.92140077026258
2000-06-21,-0.9214003627099064
2000-06-22,-0.9214000855780955
2000-06-23,-0.921399897130403
2000-06-26,-0.921399768986927
2000-06-27,-0.9213996818498443
2000-06-28,-0.9213996225968774
2000-06-29,-0.9213995823049939
2000-06-30,-0.9213995549065873
2000-07-03,-0.9216245005253337
2000-07-04,-0.9215534441920421
2000-07-05,-0.9215043124243416
2000-07-06,-0.9214708370602345
2000-07-07,-0.9214480454861501
2000-07-10,-0.9214325341186042
2000-07-11,-0.9214219803309243
2000-07-12,-0.9214148009554173
2000-07-13,-0.9214099176869842
2000-07-14,-0.9214065964678355
2000-07-17,-0.9214043377639046
2000-07-18,-0.9214028017187926
2000-07-19,-0.9214017571501203
2000-07-20,-0.921401046816927
2000-07-21,-0.9214005637783229
2000-07-24,-0.9214002353066577
2000-07-25,-0.9214000119435231
2000-07-26,-0.9213998600555499
2000-07-27,-0.9213997567712938
2000-07-28,-0.9213996865378304
2000-07-31,-0.9213996387790189
2000-08-01,-0.9220806309588779
2000-08-02,-0.9218558598398175
2000-08-03,-0.9217062168046064
2000-08-04,-0.9216063984029257
2000-08-07,-0.9215394398288802
2000-08-08,-0.9214943383588259
2000-08-09,-0.9214638702362785
2000-08-10,-0.9214432453986472
2000-08-11,-0.9214292639298992
2000-08-14,-0.9214197766721559
2000-08-15,-0.921413334671574
2000-08-16,-0.9214089584353651
2000-08-17,-0.9214059845974355
2000-08-18,-0.9214039633151845
2000-08-21,-0.9214025892729549
2000-08-22,-0.9214016551234143
2000-08-23,-0.9214010199941324
2000-08-24,-0.9214005881491506
2000-08-25,-0.9214002945145495
2000-08-28,-0.9214000948523536
2000-08-29,-0.921399959086438
2000-08-30,-0.9213998667676817
2000-08-31,-0.9213998039919116
2000-09-01,-0.9214458445091781
2000-09-04,-0.9214311599029583
2000-09-05,-0.9214210833583665
2000-09-06,-0.9214142323000305
2000-09-07,-0.9214095743379699
2000-09-08,-0.9214064072779788
2000-09-11,-0.9214042538421002
2000-09-12,-0.9214027895826681
2000-09-13,-0.921401793922309
2000-09-14,-0.9214011168902488
2000-09-15,-0.9214006565165123
2000-09-18,-0.9214003434662432
2000-09-19,-0.9214001305939474
2000-09-20,-0.9213999858417247
2000-09-21,-0.9213998874106922
2000-09-22,-0.9213998204778424
2000-09-25,-0.9213997749636412
2000-09-26,-0.9213997440140621
2000-09-27,-0.9213997229683936
2000-09-28,-0.9213997086573663
2000-09-29,-0.9213996989258855
2000-10-02,-0.9213996923084892
2000-10-03,-0.920965514776901
2000-10-04,-0.9210990343636354
2000-10-05,-0.9211928017021948
2000-10-06,-0.9212578717192641
2000-10-09,-0.9213027189254026
2000-10-10,-0.9213334907090258
2000-10-11,-0.9213545425026536
2000-10-12,-0.9213689162794914
2000-10-13,-0.921378717472355
