date,ITA_public_finance_f1__ITA_public_finance_f2
1999-02-01,0.10755299671901376
1999-02-02,-0.21791552394414937
1999-02-03,-0.4262732733926801
1999-02-04,-0.5695506892066229
1999-02-05,-0.6677317819969015
1999-02-08,-0.7348477863190446
1999-02-09,-0.7806513987054648
1999-02-10,-0.811874516822074
1999-02-11,-0.8331418357800638
1999-02-12,-0.8476201173574415
1999-02-15,-0.8574729919656119
1999-02-16,-0.864176482781709
1999-02-17,-0.868736491070975
1999-02-18,-0.8718380515626194
1999-02-19,-0.8739474609109656
1999-02-22,-0.8753820196596668
1999-02-23,-0.8763575933327656
1999-02-24,-0.8770210172147785
1999-02-25,-0.8774721608667894
1999-02-26,-0.8777789455336819
1999-03-01,-0.8779875622388739
1999-03-02,-0.3824979716453826
1999-03-03,0.04243302962611101
1999-03-04,0.3234863449235069
1999-03-05,0.5112638816915561
1999-03-08,0.6374992390506488
1999-03-09,0.7226940728685018
1999-03-10,0.7803363191247377
1999-03-11,0.8194013130184994
1999-03-12,0.8459053531025468
1999-03-15,0.863900515327901
1999-03-16,0.8761245393058977
1999-03-17,0.8844310289338128
1999-03-18,0.8900767430608916
1999-03-19,0.8939145812363805
1999-03-22,0.8965237338852264
1999-03-23,0.8982976901352365
1999-03-24,0.8995038561767228
1999-03-25,0.9003239912897111
1999-03-26,0.9008816561882116
1999-03-29,0.90126085566923
1999-03-30,0.9015187053470426
1999-03-31,0.9016940402859451
1999-04-01,0.8957451771081828
1999-04-02,0.8975176998078028
1999-04-05,0.8988391333969732
1999-04-06,0.8997885131002055
1999-04-07,0.9004567350962023
1999-04-08,0.9009213415802663
1999-04-09,0.9012419198205046
1999-04-12,0.9014620372284239
1999-04-13,0.9016126918086979
1999-04-14,0.9017155852851266
1999-04-15,0.9017857594165166
1999-04-16,0.9018335730940382
1999-04-19,0.9018661303605482
1999-04-20,0.9018882895988924
1999-04-21,0.9019033672522855
1999-04-22,0.9019136243828829
1999-04-23,0.9019206012282042
1999-04-26,0.9019253464037711
1999-04-27,0.9019285735473306
1999-04-28,0.9019307682000405
1999-04-29,0.9019322606533866
1999-04-30,0.9019332755625712
1999-05-03,0.8812732983233105
1999-05-04,0.884224952057035
1999-05-05,0.8879880203324794
1999-05-06,0.8915155593464986
1999-05-07,0.8944238531867112
1999-05-10,0.8966598967916906
1999-05-11,0.898307920684954
1999-05-12,0.8994902734894399
1999-05-13,0.9003237103026406
1999-05-14,0.9009043555702301
1999-05-17,0.901305721156651
1999-05-18,0.9015816982937289
1999-05-19,0.901770782064567
1999-05-20,0.9019000183552085
1999-05-21,0.9019882048423279
1999-05-24,0.9020483133403419
1999-05-25,0.9020892527130046
1999-05-26,0.9021171218346281
1999-05-27,0.9021360868710815
1999-05-28,0.902148989582054
1999-05-31,0.9021577664215653
1999-06-01,0.8248478701684013
1999-06-02,0.8346265284264717
1999-06-03,0.8475207646240746
1999-06-04,0.8601881984286851
1999-06-07,0.8710833888297929
1999-06-08,0.8797512441765909
1999-06-09,0.8863080094019216
1999-06-10,0.8911027308632408
1999-06-11,0.8945290463357192
1999-06-14,0.8969392268038234
1999-06-15,0.8986164608370337
1999-06-16,0.8997750827596244
1999-06-17,0.9005714413390189
1999-06-18,0.9011169334372537
1999-06-21,0.9014897155852722
1999-06-22,0.9017440656691184
1999-06-23,0.9019174217672232
1999-06-24,0.9020354883166499
1999-06-25,0.902115858927656
1999-06-28,0.9021705504268237
1999-06-29,0.902207758898677
1999-06-30,0.9022330690915593
1999-07-01,0.8995757274099703
