date,DEU_macro_f1__DEU_macro_f2
1999-02-01,-0.28554177260469465
1999-02-02,-0.4107392440384432
1999-02-03,-0.5121756632425336
1999-02-04,-0.5885364372047787
1999-02-05,-0.6456820907093053
1999-02-08,-0.6882541009217376
1999-02-09,-0.7198598293211562
1999-02-10,-0.7432631465213471
1999-02-11,-0.7605590352897389
1999-02-12,-0.7733227721737939
1999-02-15,-0.7827317984120066
1999-02-16,-0.7896623034710231
1999-02-17,-0.7947641680477169
1999-02-18,-0.7985182516260212
1999-02-19,-0.8012797170255288
1999-02-22,-0.8033105426843027
1999-02-23,-0.8048037844456944
1999-02-24,-0.8059016066789251
1999-02-25,-0.8067086428967736
1999-02-26,-0.8073018740598201
1999-03-01,-0.8077379205322092
1999-03-02,-0.8094658862350866
1999-03-03,-0.809608396785365
1999-03-04,-0.8097134352350341
1999-03-05,-0.8097907953540957
1999-03-08,-0.8098477385284506
1999-03-09,-0.8098896358939067
1999-03-10,-0.8099204535673385
1999-03-11,-0.8099431164968102
1999-03-12,-0.8099597797966519
1999-03-15,-0.8099720302911404
1999-03-16,-0.8099810357895845
1999-03-17,-0.80998765541808
1999-03-18,-0.8099925210437967
1999-03-19,-0.809996097299044
1999-03-22,-0.8099987257936754
1999-03-23,-0.8100006576616016
1999-03-24,-0.8100020775091242
1999-03-25,-0.8100031210309302
1999-03-26,-0.8100038879650778
1999-03-29,-0.8100044516185869
1999-03-30,-0.8100048658705611
1999-03-31,-0.810005170320337
1999-04-01,-0.792088183326081
1999-04-02,-0.7933690116665804
1999-04-05,-0.7943160642904137
1999-04-06,-0.7950152040585452
1999-04-07,-0.7955307198017785
1999-04-08,-0.7959105087009593
1999-04-09,-0.7961901262170157
1999-04-12,-0.7963958960051802
1999-04-13,-0.7965472688839029
1999-04-14,-0.7966585966780226
1999-04-15,-0.7967404577735736
1999-04-16,-0.7968006432230155
1999-04-19,-0.7968448879331773
1999-04-20,-0.7968774115453703
1999-04-21,-0.7969013178448947
1999-04-22,-0.7969188893279351
1999-04-23,-0.7969318042443643
1999-04-26,-0.7969412964102003
1999-04-27,-0.7969482728214995
1999-04-28,-0.7969534001804635
1999-04-29,-0.7969571685337518
1999-04-30,-0.7969599380679879
1999-05-03,0.14728787891403022
1999-05-04,0.21896898814175358
1999-05-05,0.28689682735344085
1999-05-06,0.3503145728070942
1999-05-07,0.40831431615883484
1999-05-10,0.4600665488119889
1999-05-11,0.5050242170387195
1999-05-12,0.5430413975870276
1999-05-13,0.5743812864368671
1999-05-14,0.599632919697759
1999-05-17,0.6195831407575568
1999-05-18,0.6350899442426192
1999-05-19,0.6469853949980184
1999-05-20,0.6560162587307687
1999-05-21,0.6628173772253545
1999-05-24,0.6679078205954095
1999-05-25,0.671700135935632
1999-05-26,0.6745154728686804
1999-05-27,0.676600052164509
1999-05-28,0.6781405457519544
1999-05-31,0.6792773182387901
1999-06-01,0.6803108842751255
1999-06-02,0.6808845793068947
1999-06-03,0.6813078211323291
1999-06-04,0.6816197511488467
1999-06-07,0.6818494732002887
1999-06-08,0.6820185603058135
1999-06-09,0.682142966910969
1999-06-10,0.6822344725377154
1999-06-11,0.6823017636353763
1999-06-14,0.6823512400151752
1999-06-15,0.6823876136848164
1999-06-16,0.6824143522907244
1999-06-17,0.6824340068266538
1999-06-18,0.6824484534561559
1999-06-21,0.6824590717652008
1999-06-22,0.6824668760520846
1999-06-23,0.6824726119713944
1999-06-24,0.6824768276444273
1999-06-25,0.6824799259657388
1999-06-28,0.682482203069342
1999-06-29,0.682483876611959
1999-06-30,0.6824851065664265
1999-07-01,0.6802124876670665
1999-07-02,0.6807940677588961
1999-07-05,0.68122024184344
1999-07-06,0.6815327795988056
1999-07-07,0.6817621121486159
1999-07-08,0.6819304611981676
1999-07-09,0.6820540812840818
1999-07-12,0.6821448770006238
1999-07-13,0.6822115751236787
1999-07-14,0.6822605772249087
1999-07-15,0.6822965815447608
1999-07-16,0.682323037475164
1999-07-19,0.6823424781986753
1999-07-20,0.6823567644145037
1999-07-21,0.6823672630608395
1999-07-22,0.6823749784479456
1999-07-23,0.6823806485156789
1999-07-26,0.6823848155134095
1999-07-27,0.6823878779110506
1999-07-28,0.6823901285318322
1999-07-29,0.6823917825674243
1999-07-30,0.6823929981618123
1999-08-02,0.6823938915361748
1999-08-03,0.678173786225927
1999-08-04,0.6792434968949445
1999-08-05,0.6800262517231271
1999-08-06,0.6805996931775848
1999-08-09,0.6810201497599713
1999-08-10,0.681328627173674
1999-08-11,0.6815550518026693
1999-08-12,0.6817213047241537
1999-08-13,0.681843406387183
1999-08-16,0.6819330980752438
1999-08-17,0.6819989912362173
1999-08-18,0.682047405211233
1999-08-19,0.6820829791690686
1999-08-20,0.6821091198225112
1999-08-23,0.6821283293840916
1999-08-24,0.6821424460059796
1999-08-25,0.6821528201712361
1999-08-26,0.6821604441590277
1999-08-27,0.6821660471008126
1999-08-30,0.68217016479055
1999-08-31,0.6821731909636718
1999-09-01,0.6825751192075563
1999-09-02,0.6824735827501147
1999-09-03,0.6823989235064096
1999-09-06,0.6823440341107143
1999-09-07,0.6823036833604899
1999-09-08,0.6822740224743032
1999-09-09,0.6822522205867249
1999-09-10,0.6822361959753989
1999-09-13,0.6822244180516644
1999-09-14,0.6822157615778028
1999-09-15,0.6822093993864237
1999-09-16,0.6822047234607255
1999-09-17,0.6822012868928882
1999-09-20,0.6821987612053015
1999-09-21,0.6821969049726015
1999-09-22,0.6821955407545306
1999-09-23,0.6821945381396628
1999-09-24,0.6821938012818021
1999-09-27,0.6821932597390578
1999-09-28,0.682192861740635
1999-09-29,0.6821925692380845
1999-09-30,0.6821923542681414
1999-10-01,0.6776127510886951
1999-10-04,0.6787859008170454
1999-10-05,0.6796427333110413
1999-10-06,0.6802695794915457
1999-10-07,0.6807287294043709
1999-10-08,0.6810653456198359
1999-10-11,0.6813122900521311
1999-10-12,0.6814935373454817
1999-10-13,0.6816266123635282
1999-10-14,0.6817243436589462
1999-10-15,0.6817961318670632
1999-10-18,0.6818488710076938
1999-10-19,0.6818876197323699
1999-10-20,0.6819160914993165
1999-10-21,0.6819370131242228
1999-10-22,0.6819523873773522
1999-10-25,0.6819636854820234
1999-10-26,0.681971988322196
1999-10-27,0.6819780900770609
1999-10-28,0.681982574308035
1999-10-29,0.6819858698357604
1999-11-01,0.6819882917833522
1999-11-02,0.6807830047165668
1999-11-03,0.6810913099287363
1999-11-04,0.6813175161585451
1999-11-05,0.6814835591309625
1999-11-08,0.6816054798575262
1999-11-09,0.6816950242077149
1999-11-10,0.6817608013384824
1999-11-11,0.6818091258589786
1999-11-12,0.6818446318176014
1999-11-15,0.6818707212782376
1999-11-16,0.6818898925589568
1999-11-17,0.6819039806919083
1999-11-18,0.6819143337279681
1999-11-19,0.6819219420836717
1999-11-22,0.6819275334810011
1999-11-23,0.6819316426561385
1999-11-24,0.6819346625552908
1999-11-25,0.6819368819410471
1999-11-26,0.6819385130201905
1999-11-29,0.6819397117426996
1999-11-30,0.6819405927171323
1999-12-01,0.44607802613664227
1999-12-02,0.09937416104786059
1999-12-03,-0.14948372985308378
1999-12-06,-0.3293130878885852
1999-12-07,-0.4598753727049982
1999-12-08,-0.5549864538203723
