date,DEU_external_fx_f1__DEU_external_fx_f2
1999-02-01,0.1816014322005283
1999-02-02,0.19901571502226306
1999-02-03,0.3893249431381712
1999-02-04,0.5068028238886622
1999-02-05,0.5777018189213229
1999-02-08,0.6198782241464781
1999-02-09,0.6447469737174549
1999-02-10,0.6593326438738912
1999-02-11,0.6678602503564268
1999-02-12,0.6728367104050967
1999-02-15,0.6757376645177013
1999-02-16,0.6774276571558631
1999-02-17,0.6784118213008131
1999-02-18,0.6789848235157504
1999-02-19,0.6793183960848607
1999-02-22,0.6795125707155256
1999-02-23,0.679625596125359
1999-02-24,0.6796913844598034
1999-02-25,0.6797296771082858
1999-02-26,0.6797519654757185
1999-03-01,0.6797649384328208
1999-03-02,-0.44332650998994033
1999-03-03,-0.4197726246445697
1999-03-04,-0.42212993130069004
1999-03-05,-0.44489527420287994
1999-03-08,-0.48139361929483276
1999-03-09,-0.5236615080763362
1999-03-10,-0.5640182425804997
1999-03-11,-0.5972980901287611
1999-03-12,-0.6217973076234845
1999-03-15,-0.6383918764002544
1999-03-16,-0.6490080136906234
1999-03-17,-0.6555523391019433
1999-03-18,-0.6594944309982269
1999-03-19,-0.6618359490070564
1999-03-22,-0.6632151674860662
1999-03-23,-0.6640235579540035
1999-03-24,-0.664495999896085
1999-03-25,-0.6647716372541225
1999-03-26,-0.6649322933078687
1999-03-29,-0.6650258780476146
1999-03-30,-0.6650803743070407
1999-03-31,-0.6651121023405477
1999-04-01,-0.7110389551598295
1999-04-02,-0.6906614546249108
1999-04-05,-0.6795276909390399
1999-04-06,-0.6735225851218906
1999-04-07,-0.6702594443986645
1999-04-08,-0.6684574878103318
1999-04-09,-0.6674460522548338
1999-04-12,-0.6668709840651031
1999-04-13,-0.6665410902835887
1999-04-14,-0.6663507522677613
1999-04-15,-0.6662405427188332
1999-04-16,-0.6661765924575842
1999-04-19,-0.6661394374416794
1999-04-20,-0.6661178342607565
1999-04-21,-0.6661052679297216
1999-04-22,-0.6660979563597791
1999-04-23,-0.6660937015735675
1999-04-26,-0.6660912253907272
1999-04-27,-0.6660897842389191
1999-04-28,-0.6660889454559666
1999-04-29,-0.6660884572569093
1999-04-30,-0.6660881731062744
1999-05-03,-0.6986703519214348
1999-05-04,-0.6848957253638644
1999-05-05,-0.6770003007722472
1999-05-06,-0.6724771538322496
1999-05-07,-0.6698769774795921
1999-05-10,-0.6683764207772631
1999-05-11,-0.6675077891558923
1999-05-12,-0.6670039026765102
1999-05-13,-0.6667112095598928
1999-05-14,-0.6665410526400748
1999-05-17,-0.666442083222252
1999-05-18,-0.6663845022058825
1999-05-19,-0.6663509954600144
1999-05-20,-0.6663314957182165
1999-05-21,-0.6663201468910476
1999-05-24,-0.6663135416604747
1999-05-25,-0.6663096972154693
1999-05-26,-0.6663074596055798
1999-05-27,-0.6663061572246352
1999-05-28,-0.6663053991823963
1999-05-31,-0.6663049579678987
1999-06-01,-0.6781126849657877
1999-06-02,-0.6730645468070032
1999-06-03,-0.6702121518133476
1999-06-04,-0.6685834942259139
1999-06-07,-0.6676467707390102
1999-06-08,-0.667105470463249
1999-06-09,-0.6667917579978926
1999-06-10,-0.6666096244749575
1999-06-11,-0.6665037716179527
1999-06-14,-0.6664422138065662
1999-06-15,-0.6664064024467315
1999-06-16,-0.6663855647240733
1999-06-17,-0.6663734382858948
1999-06-18,-0.6663663808412394
1999-06-21,-0.6663622733192984
1999-06-22,-0.6663598826313429
1999-06-23,-0.6663584911670661
1999-06-24,-0.6663576812793379
1999-06-25,-0.6663572098900982
1999-06-28,-0.6663569355206638
1999-06-29,-0.66635677582523
1999-06-30,-0.6663566828751687
1999-07-01,-0.6750914784234916
1999-07-02,-0.6714238773214001
1999-07-05,-0.6693069108416345
1999-07-06,-0.6680811804762503
1999-07-07,-0.6673700209075469
1999-07-08,-0.6669568811773616
1999-07-09,-0.6667166853492774
1999-07-12,-0.6665769726448789
1999-07-13,-0.6664956848103916
1999-07-14,-0.666448382193077
1999-07-15,-0.6664208534928933
1999-07-16,-0.6664048317365632
1999-07-19,-0.6663955067446908
1999-07-20,-0.6663900793061661
1999-07-21,-0.6663869203319006
1999-07-22,-0.6663850816778905
1999-07-23,-0.6663840115010711
1999-07-26,-0.666383388610154
1999-07-27,-0.666383026059244
1999-07-28,-0.6663828150379334
1999-07-29,-0.6663826922137693
1999-07-30,-0.6663826207244067
1999-08-02,-0.6663825791142746
1999-08-03,-0.634979603001234
1999-08-04,-0.6481472224570224
1999-08-05,-0.6557581129095901
1999-08-06,-0.6601694860451088
1999-08-09,-0.6627307754284352
1999-08-10,-0.6642194099041456
1999-08-11,-0.665085132909554
1999-08-12,-0.6655887759276831
1999-08-13,-0.6658818355323315
1999-08-16,-0.66605238137833
1999-08-17,-0.6661516373511311
1999-08-18,-0.6662094056807226
1999-08-19,-0.6662430284320344
1999-08-20,-0.6662625980645642
1999-08-23,-0.6662739883754095
1999-08-24,-0.6662806180240056
1999-08-25,-0.6662844767738272
1999-08-26,-0.666286722741094
1999-08-27,-0.6662880299970291
1999-08-30,-0.6662887908803337
1999-08-31,-0.6662892337496817
1999-09-01,-0.693122980455037
1999-09-02,-0.681942119893387
1999-09-03,-0.6754259850005429
1999-09-06,-0.6716390499499245
1999-09-07,-0.6694389226142674
1999-09-08,-0.6681601851080716
1999-09-09,-0.6674166229365801
1999-09-10,-0.6669841004396604
1999-09-13,-0.6667324462330109
1999-09-14,-0.666586004448138
1999-09-15,-0.6665007797452975
1999-09-16,-0.6664511788374552
1999-09-17,-0.6664223101053092
1999-09-20,-0.6664055076021911
1999-09-21,-0.6663957279131428
1999-09-22,-0.6663900357295086
1999-09-23,-0.6663867226307079
1999-09-24,-0.6663847942586887
1999-09-27,-0.6663836718583012
1999-09-28,-0.6663830185696462
1999-09-29,-0.6663826383254343
1999-09-30,-0.6663824170056609
1999-10-01,-0.670547171633066
1999-10-04,-0.668820204841992
1999-10-05,-0.6678073097791888
1999-10-06,-0.6672151169329288
1999-10-07,-0.6668695334218941
1999-10-08,-0.6666680819185669
1999-10-11,-0.666550723960283
1999-10-12,-0.6664823809566738
1999-10-13,-0.6664425902100222
1999-10-14,-0.6664194260967915
1999-10-15,-0.6664059421329769
1999-10-18,-0.6663980933733407
1999-10-19,-0.6663935248721591
1999-10-20,-0.66639086573828
1999-10-21,-0.6663893179803899
1999-10-22,-0.6663884171070545
1999-10-25,-0.6663878927547207
1999-10-26,-0.6663875875565254
1999-10-27,-0.6663874099167156
1999-10-28,-0.6663873065219875
1999-10-29,-0.6663872463414104
1999-11-01,-0.666387211313501
1999-11-02,-0.6864565990520739
1999-11-03,-0.6782026564046499
1999-11-04,-0.6733199494916187
1999-11-05,-0.6704514997335308
1999-11-08,-0.6687730002952978
1999-11-09,-0.6677930226334314
1999-11-10,-0.6672216120099637
1999-11-11,-0.6668886801152222
1999-11-12,-0.6666947817210402
1999-11-15,-0.6665818843707122
1999-11-16,-0.6665161594920844
1999-11-17,-0.6664779000249221
1999-11-18,-0.6664556296993548
1999-11-19,-0.66644266681284
1999-11-22,-0.6664351216329195
1999-11-23,-0.6664307299270112
1999-11-24,-0.666428173729332
1999-11-25,-0.666426685896325
1999-11-26,-0.6664258199058655
1999-11-29,-0.6664253158582778
1999-11-30,-0.6664250224788272
1999-12-01,-0.6971985333535252
1999-12-02,-0.6840530940728988
1999-12-03,-0.676561107192297
1999-12-06,-0.6722844777489912
1999-12-07,-0.6698314055533434
1999-12-08,-0.6684176018870047
1999-12-09,-0.6675998254262553
1999-12-10,-0.6671256563314537
1999-12-13,-0.6668502988243639
1999-12-14,-0.6666902449385126
1999-12-15,-0.666597160285352
1999-12-16,-0.6665430059340041
1999-12-17,-0.6665114941590287
1999-12-20,-0.6664931557496573
1999-12-21,-0.6664824829283859
1999-12-22,-0.6664762711838095
1999-12-23,-0.6664726557724459
1999-12-24,-0.6664705514729952
1999-12-27,-0.6664693266856792
1999-12-28,-0.6664686138067988
1999-12-29,-0.6664681988795653
1999-12-30,-0.6664679573730864
1999-12-31,-0.6664678168052329
2000-01-03,-0.6690720526366847
2000-01-04,-0.6679884874704305
2000-01-05,-0.6673549426037229
2000-01-06,-0.6669852155787793
2000-01-07,-0.6667696859931077
2000-01-10,-0.6666441252948607
2000-01-11,-0.666571004982526
2000-01-12,-0.666528432625393
2000-01-13,-0.6665036491482466
2000-01-14,-0.6664892225249681
2000-01-17,-0.6664808250548993
2000-01-18,-0.6664759371655651
2000-01-19,-0.6664730921284558
2000-01-20,-0.6664714361647175
2000-01-21,-0.6664704723100267
2000-01-24,-0.6664699112994357
2000-01-25,-0.6664695847643684
2000-01-26,-0.6664693947054846
2000-01-27,-0.6664692840822704
2000-01-28,-0.6664692196943749
2000-01-31,-0.6664691822176096
2000-02-01,-0.6812370745741219
2000-02-02,-0.6751449315711863
2000-02-03,-0.671549029941213
2000-02-04,-0.6694389293845463
2000-02-07,-0.6682049194939308
2000-02-08,-0.6674846857693103
2000-02-09,-0.6670648033465523
2000-02-10,-0.6668201840336431
2000-02-11,-0.6666777268471887
2000-02-14,-0.6665947839136712
2000-02-15,-0.6665464983792359
2000-02-16,-0.6665183909387178
2000-02-17,-0.6665020300789523
2000-02-18,-0.6664925069507291
2000-02-21,-0.6664869639293008
2000-02-22,-0.666483737592879
2000-02-23,-0.666481859701303
2000-02-24,-0.6664807666763458
2000-02-25,-0.6664801304833445
2000-02-28,-0.6664797601888486
2000-02-29,-0.6664795446600196
2000-03-01,-0.6650720692354242
2000-03-02,-0.665642550703077
2000-03-03,-0.6659862121057014
2000-03-06,-0.6661901587473809
2000-03-07,-0.6663101902367753
2000-03-08,-0.6663805024990163
2000-03-09,-0.6664215792930942
2000-03-10,-0.6664455393004383
2000-03-13,-0.6664595025499823
2000-03-14,-0.6664676357087913
2000-03-15,-0.6664723715838001
2000-03-16,-0.666475128760451
2000-03-17,-0.6664767337949925
2000-03-20,-0.6664776680775527
2000-03-21,-0.6664782118998505
2000-03-22,-0.6664785284386829
2000-03-23,-0.6664787126820537
2000-03-24,-0.6664788199213043
2000-03-27,-0.6664788823398922
2000-03-28,-0.6664789186705363
2000-03-29,-0.6664789398167038
2000-03-30,-0.6664789521247725
2000-03-31,-0.6664789592886464
2000-04-03,-0.6807766849224149
2000-04-04,-0.6748939219398535
2000-04-05,-0.6714109803429102
2000-04-06,-0.669363366192258
2000-04-07,-0.6681645695403191
2000-04-10,-0.6674644289885715
2000-04-11,-0.6670561031815232
2000-04-12,-0.6668181629872233
2000-04-13,-0.6666795772247696
2000-04-14,-0.6665988821573868
2000-04-17,-0.6665519031248746
2000-04-18,-0.6665245554982524
2000-04-19,-0.6665086366716446
2000-04-20,-0.6664993707548146
2000-04-21,-0.6664939774178356
2000-04-24,-0.6664908381964145
2000-04-25,-0.6664890110070084
2000-04-26,-0.6664879474921213
2000-04-27,-0.6664873284750321
2000-04-28,-0.666486968177608
2000-05-01,-0.6664867584675034
2000-05-02,-0.6791317670837089
2000-05-03,-0.6736926615394151
2000-05-04,-0.6706261977227526
2000-05-05,-0.6688782182571552
2000-05-08,-0.6678739890107245
2000-05-09,-0.6672940897111571
2000-05-10,-0.6669581523142848
2000-05-11,-0.6667631660570889
2000-05-12,-0.6666498607797156
2000-05-15,-0.6665839750130065
2000-05-16,-0.6665456478788743
2000-05-17,-0.6665233469776015
2000-05-18,-0.6665103692808978
2000-05-19,-0.6665028164928017
2000-05-22,-0.6664984207015094
2000-05-23,-0.6664958622421364
2000-05-24,-0.6664943731320839
2000-05-25,-0.6664935064116607
2000-05-26,-0.6664930019437187
2000-05-29,-0.6664927083211327
2000-05-30,-0.6664925374195337
2000-05-31,-0.6664924379469842
2000-06-01,-0.6469597669677296
2000-06-02,-0.6553729649466349
2000-06-05,-0.6600994006929719
2000-06-06,-0.6627951562651151
2000-06-07,-0.6643459611794553
2000-06-08,-0.6652425085665443
2000-06-09,-0.6657622939955942
2000-06-12,-0.666064143273067
2000-06-13,-0.6662396005049084
2000-06-14,-0.6663416459469439
2000-06-15,-0.6664010144648844
2000-06-16,-0.666435560673788
2000-06-19,-0.666455665117322
2000-06-20,-0.6664673658038943
2000-06-21,-0.6664741757976496
2000-06-22,-0.6664781394124294
2000-06-23,-0.666480446380646
2000-06-26,-0.6664817891300036
2000-06-27,-0.6664825706680777
2000-06-28,-0.66648302555809
2000-06-29,-0.6664832903247445
2000-06-30,-0.6664834444310956
2000-07-03,-0.6565329523135954
2000-07-04,-0.66073293056771
2000-07-05,-0.6631488490687945
2000-07-06,-0.6645454738895147
2000-07-07,-0.6653551691409043
2000-07-10,-0.6658253695350755
2000-07-11,-0.6660986833737164
2000-07-12,-0.6662576414407979
2000-07-13,-0.6663501207091782
2000-07-14,-0.6664039338231992
2000-07-17,-0.6664352507781648
2000-07-18,-0.6664534770845868
2000-07-19,-0.6664640850952674
2000-07-20,-0.6664702592658396
2000-07-21,-0.6664738528578267
2000-07-24,-0.666475944474481
2000-07-25,-0.6664771618856126
2000-07-26,-0.6664778704731729
2000-07-27,-0.6664782829033236
2000-07-28,-0.666478522956609
2000-07-31,-0.6664786626787125
2000-08-01,-0.6741374738035562
2000-08-02,-0.6708856795138316
2000-08-03,-0.669026950583581
2000-08-04,-0.6679571444013832
2000-08-07,-0.6673386686529761
2000-08-08,-0.6669801337758094
2000-08-09,-0.6667719446520285
2000-08-10,-0.6666509374786889
2000-08-11,-0.6665805629694684
2000-08-14,-0.6665396211762484
2000-08-15,-0.6665157977414682
2000-08-16,-0.6665019336285394
2000-08-17,-0.6664938648266373
2000-08-18,-0.6664891686647374
2000-08-21,-0.6664864353666845
2000-08-22,-0.6664848444893268
2000-08-23,-0.6664839185345572
2000-08-24,-0.6664833795891159
2000-08-25,-0.6664830658989005
2000-08-28,-0.6664828833169655
2000-08-29,-0.6664827770459025
2000-08-30,-0.6664827151912363
2000-08-31,-0.6664826791889533
2000-09-01,-0.6828333330390352
2000-09-04,-0.6759779030192292
2000-09-05,-0.672001299537085
2000-09-06,-0.6696932765020336
2000-09-07,-0.6683525489247608
2000-09-08,-0.6675731718890544
2000-09-11,-0.6671198919177382
2000-09-12,-0.666856185496282
2000-09-13,-0.6667027387165204
2000-09-14,-0.6666134401384222
2000-09-15,-0.6665614691801198
2000-09-18,-0.6665312213520262
2000-09-19,-0.6665136162807321
2000-09-20,-0.6665033695036016
2000-09-21,-0.6664974054678371
2000-09-22,-0.6664939341434752
2000-09-25,-0.6664919136785159
2000-09-26,-0.6664907376763248
2000-09-27,-0.6664900531891186
2000-09-28,-0.6664896547859624
2000-09-29,-0.6664894228968596
2000-10-02,-0.6664892879266298
2000-10-03,-0.6690708815695133
2000-10-04,-0.6679956313169837
2000-10-05,-0.6673675209380576
2000-10-06,-0.667001160446884
2000-10-09,-0.6667876596282793
2000-10-10,-0.6666633033148431
2000-10-11,-0.6665908920028656
2000-10-12,-0.666548735027507
2000-10-13,-0.6665241942407535
2000-10-16,-0.6665099091859914
2000-10-17,-0.6665015942209133
2000-10-18,-0.6664967543890796
2000-10-19,-0.666493937335788
2000-10-20,-0.6664922976640392
2000-10-23,-0.6664913432934358
2000-10-24,-0.6664907878034967
2000-10-25,-0.6664904644818651
2000-10-26,-0.6664902762934053
2000-10-27,-0.6664901667588832
2000-10-30,-0.6664901030046637
2000-10-31,-0.6664900658967288
2000-11-01,-0.6777672725240171
2000-11-02,-0.6730622067803445
2000-11-03,-0.6703186200449212
2000-11-06,-0.6687203522597427
2000-11-07,-0.6677896912914896
2000-11-08,-0.6672478841075429
2000-11-09,-0.6669324896741875
2000-11-10,-0.666748903337435
2000-11-13,-0.6666420435601494
2000-11-14,-0.666579844867139
2000-11-15,-0.666543641885786
2000-11-16,-0.6665225699142256
2000-11-17,-0.6665103049944067
2000-11-20,-0.6665031662224825
2000-11-21,-0.6664990111187885
2000-11-22,-0.6664965926528587
2000-11-23,-0.666495184992326
2000-11-24,-0.6664943656680751
2000-11-27,-0.6664938887831047
2000-11-28,-0.6664936112138033
2000-11-29,-0.6664934496555267
2000-11-30,-0.6664933556210779
2000-12-01,-0.6502801023908307
2000-12-04,-0.6572393062723836
2000-12-05,-0.6611651330285134
2000-12-06,-0.663409460413741
2000-12-07,-0.6647022779662254
2000-12-08,-0.6654502468048774
2000-12-11,-0.6658840823807064
2000-12-12,-0.6661360831101797
2000-12-13,-0.6662825863222357
2000-12-14,-0.6663677995093036
2000-12-15,-0.6664173777499836
2000-12-18,-0.6664462278901254
2000-12-19,-0.6664630177448059
2000-12-20,-0.6664727894532976
2000-12-21,-0.6664784767823906
2000-12-22,-0.6664817869846676
2000-12-25,-0.6664837136467405
2000-12-26,-0.6664848350437174
2000-12-27,-0.6664854877455824
2000-12-28,-0.6664858676473211
2000-12-29,-0.6664860887674422
2001-01-01,-0.6664862174695236
2001-01-02,-0.6291487620493335
2001-01-03,-0.6451784105322583
2001-01-04,-0.65421791039919
2001-01-05,-0.6593857629208074
2001-01-08,-0.6623628950244826
2001-01-09,-0.6640854608551285
2001-01-10,-0.665084630133338
2001-01-11,-0.6656650327534759
2001-01-12,-0.6660024622380875
2001-01-15,-0.6661987294053426
2001-01-16,-0.6663129211972073
2001-01-17,-0.6663793709582391
2001-01-18,-0.6664180426738654
2001-01-19,-0.6664405496728827
2001-01-22,-0.6664536492052004
2001-01-23,-0.666461273543604
2001-01-24,-0.6664657111961491
2001-01-25,-0.66646829409379
