date,FRA_macro_f1,FRA_macro_f2
1999-02-01,-0.9983980259594223,-0.9781348626366706
1999-02-02,-0.9999998881876677,-0.9998124506193586
1999-02-03,-0.9999998881876677,-0.9998124506949206
1999-02-04,-0.9999998881876677,-0.9998124506949206
1999-02-05,-0.9999998881876677,-0.9998124506949206
1999-02-08,-0.9999998881876677,-0.9998124506949206
1999-02-09,-0.9999998881876677,-0.9998124506949206
1999-02-10,-0.9999998881876677,-0.9998124506949206
1999-02-11,-0.9999998881876677,-0.9998124506949206
1999-02-12,-0.9999998881876677,-0.9998124506949206
1999-02-15,-0.9999998881876677,-0.9998124506949206
1999-02-16,-0.9999998881876677,-0.9998124506949206
1999-02-17,-0.9999998881876677,-0.9998124506949206
1999-02-18,-0.9999998881876677,-0.9998124506949206
1999-02-19,-0.9999998881876677,-0.9998124506949206
1999-02-22,-0.9999998881876677,-0.9998124506949206
1999-02-23,-0.9999998881876677,-0.9998124506949206
1999-02-24,-0.9999998881876677,-0.9998124506949206
1999-02-25,-0.9999998881876677,-0.9998124506949206
1999-02-26,-0.9999998881876677,-0.9998124506949206
1999-03-01,-1.0044700174353531,-1.0778569496728414
1999-03-02,-0.9999998891806358,-0.9998386210676691
1999-03-03,-0.9999998891806358,-0.9998386208324116
1999-03-04,-0.9999998891806358,-0.9998386208324116
1999-03-05,-0.9999998891806358,-0.9998386208324116
1999-03-08,-0.9999998891806358,-0.9998386208324116
1999-03-09,-0.9999998891806358,-0.9998386208324116
1999-03-10,-0.9999998891806358,-0.9998386208324116
1999-03-11,-0.9999998891806358,-0.9998386208324116
1999-03-12,-0.9999998891806358,-0.9998386208324116
1999-03-15,-0.9999998891806358,-0.9998386208324116
1999-03-16,-0.9999998891806358,-0.9998386208324116
1999-03-17,-0.9999998891806358,-0.9998386208324116
1999-03-18,-0.9999998891806358,-0.9998386208324116
1999-03-19,-0.9999998891806358,-0.9998386208324116
1999-03-22,-0.9999998891806358,-0.9998386208324116
1999-03-23,-0.9999998891806358,-0.9998386208324116
1999-03-24,-0.9999998891806358,-0.9998386208324116
1999-03-25,-0.9999998891806358,-0.9998386208324116
1999-03-26,-0.9999998891806358,-0.9998386208324116
1999-03-29,-0.9999998891806358,-0.9998386208324116
1999-03-30,-0.9999998891806358,-0.9998386208324116
1999-03-31,-1.0073343397794994,-0.9307594114659926
1999-04-01,-0.9999998907885229,-0.9998137841207122
1999-04-02,-0.9999998907885229,-0.9998137843801772
1999-04-05,-0.9999998907885229,-0.9998137843801772
1999-04-06,-0.9999998907885229,-0.9998137843801772
1999-04-07,-0.9999998907885229,-0.9998137843801772
1999-04-08,-0.9999998907885229,-0.9998137843801772
1999-04-09,-0.9999998907885229,-0.9998137843801772
1999-04-12,-0.9999998907885229,-0.9998137843801772
1999-04-13,-0.9999998907885229,-0.9998137843801772
1999-04-14,-0.9999998907885229,-0.9998137843801772
1999-04-15,-0.9999998907885229,-0.9998137843801772
1999-04-16,-0.9999998907885229,-0.9998137843801772
1999-04-19,-0.9999998907885229,-0.9998137843801772
1999-04-20,-0.9999998907885229,-0.9998137843801772
1999-04-21,-0.9999998907885229,-0.9998137843801772
1999-04-22,-0.9999998907885229,-0.9998137843801772
1999-04-23,-0.9999998907885229,-0.9998137843801772
1999-04-26,-0.9999998907885229,-0.9998137843801772
1999-04-27,-0.9999998907885229,-0.9998137843801772
1999-04-28,-0.9999998907885229,-0.9998137843801772
1999-04-29,-0.9999998907885229,-0.9998137843801772
1999-04-30,-0.984636094528789,-1.3937290446761854
1999-05-03,-0.9999998873537652,-0.9999041585033063
1999-05-04,-0.9999998873537652,-0.9999041576849933
1999-05-05,-0.9999998873537652,-0.9999041576849933
1999-05-06,-0.9999998873537652,-0.9999041576849933
1999-05-07,-0.9999998873537652,-0.9999041576849933
1999-05-10,-0.9999998873537652,-0.9999041576849933
1999-05-11,-0.9999998873537652,-0.9999041576849933
1999-05-12,-0.9999998873537652,-0.9999041576849933
1999-05-13,-0.9999998873537652,-0.9999041576849933
1999-05-14,-0.9999998873537652,-0.9999041576849933
1999-05-17,-0.9999998873537652,-0.9999041576849933
1999-05-18,-0.9999998873537652,-0.9999041576849933
1999-05-19,-0.9999998873537652,-0.9999041576849933
1999-05-20,-0.9999998873537652,-0.9999041576849933
1999-05-21,-0.9999998873537652,-0.9999041576849933
1999-05-24,-0.9999998873537652,-0.9999041576849933
1999-05-25,-0.9999998873537652,-0.9999041576849933
1999-05-26,-0.9999998873537652,-0.9999041576849933
1999-05-27,-0.9999998873537652,-0.9999041576849933
1999-05-28,-0.9999998873537652,-0.9999041576849933
1999-05-31,-0.9935809880781223,-0.9411885589733225
1999-06-01,-0.9999998858935918,-0.9998918283577392
1999-06-02,-0.9999998858935918,-0.9998918285746409
1999-06-03,-0.9999998858935918,-0.9998918285746409
1999-06-04,-0.9999998858935918,-0.9998918285746409
1999-06-07,-0.9999998858935918,-0.9998918285746409
1999-06-08,-0.9999998858935918,-0.9998918285746409
1999-06-09,-0.9999998858935918,-0.9998918285746409
1999-06-10,-0.9999998858935918,-0.9998918285746409
1999-06-11,-0.9999998858935918,-0.9998918285746409
1999-06-14,-0.9999998858935918,-0.9998918285746409
1999-06-15,-0.9999998858935918,-0.9998918285746409
1999-06-16,-0.9999998858935918,-0.9998918285746409
1999-06-17,-0.9999998858935918,-0.9998918285746409
1999-06-18,-0.9999998858935918,-0.9998918285746409
1999-06-21,-0.9999998858935918,-0.9998918285746409
1999-06-22,-0.9999998858935918,-0.9998918285746409
1999-06-23,-0.9999998858935918,-0.9998918285746409
1999-06-24,-0.9999998858935918,-0.9998918285746409
1999-06-25,-0.9999998858935918,-0.9998918285746409
1999-06-28,-0.9999998858935918,-0.9998918285746409
1999-06-29,-0.9999998858935918,-0.9998918285746409
1999-06-30,-0.9794979739694519,-0.9298205699248113
1999-07-01,-0.9999998810668699,-0.9998749136277854
1999-07-02,-0.9999998810668699,-0.9998749138914357
1999-07-05,-0.9999998810668699,-0.9998749138914357
1999-07-06,-0.9999998810668699,-0.9998749138914357
1999-07-07,-0.9999998810668699,-0.9998749138914357
1999-07-08,-0.9999998810668699,-0.9998749138914357
1999-07-09,-0.9999998810668699,-0.9998749138914357
1999-07-12,-0.9999998810668699,-0.9998749138914357
1999-07-13,-0.9999998810668699,-0.9998749138914357
1999-07-14,-0.9999998810668699,-0.9998749138914357
1999-07-15,-0.9999998810668699,-0.9998749138914357
1999-07-16,-0.9999998810668699,-0.9998749138914357
1999-07-19,-0.9999998810668699,-0.9998749138914357
1999-07-20,-0.9999998810668699,-0.9998749138914357
1999-07-21,-0.9999998810668699,-0.9998749138914357
1999-07-22,-0.9999998810668699,-0.9998749138914357
1999-07-23,-0.9999998810668699,-0.9998749138914357
1999-07-26,-0.9999998810668699,-0.9998749138914357
1999-07-27,-0.9999998810668699,-0.9998749138914357
1999-07-28,-0.9999998810668699,-0.9998749138914357
