date,FRA_banking_system_f1__FRA_banking_system_f2
1999-02-01,-0.23821699286285813
1999-02-02,-0.4007335855379839
1999-02-03,-0.5101887995360139
1999-02-04,-0.5963747483392076
1999-02-05,-0.6639307414409641
1999-02-08,-0.7166901390933387
1999-02-09,-0.757773387637522
1999-02-10,-0.7896904369207446
1999-02-11,-0.8144411566858053
1999-02-12,-0.8336071663275475
1999-02-15,-0.8484320282806714
1999-02-16,-0.859889062619315
1999-02-17,-0.8687373805163063
1999-02-18,-0.8755674018604671
1999-02-19,-0.8808373648286425
1999-02-22,-0.884902332470952
1999-02-23,-0.888037072743601
1999-02-24,-0.8904540074136673
1999-02-25,-0.8923172339057768
1999-02-26,-0.893753444369954
1999-03-01,-0.8948604077853177
1999-03-02,-0.791848585531149
1999-03-03,-0.7581245921405899
1999-03-04,-0.732155753405864
1999-03-05,-0.7126622622007246
1999-03-08,-0.6984104010337042
1999-03-09,-0.6882637160932219
1999-03-10,-0.6812248928676015
1999-03-11,-0.6764611010396795
1999-03-12,-0.6733099486396011
1999-03-15,-0.6712683154668059
1999-03-16,-0.6699698030440706
1999-03-17,-0.669157363264969
1999-03-18,-0.6686564065323117
1999-03-19,-0.6683515688726158
1999-03-22,-0.6681683603960742
1999-03-23,-0.6680595986716396
1999-03-24,-0.6679958719785632
1999-03-25,-0.6679590906142039
1999-03-26,-0.6679382558258673
1999-03-29,-0.667926748362208
1999-03-30,-0.6679206227308516
1999-03-31,-0.6679175497813064
1999-04-01,-0.6621140919455848
1999-04-02,-0.7159088302893113
1999-04-05,-0.756454740435458
1999-04-06,-0.7871781901399637
1999-04-07,-0.810551896889878
1999-04-08,-0.8283877383000464
1999-04-09,-0.842028905779735
1999-04-12,-0.8524800631240363
1999-04-13,-0.8604978300940713
1999-04-14,-0.866655029862195
1999-04-15,-0.8713870959714793
1999-04-16,-0.8750260577644755
1999-04-19,-0.8778257043048515
1999-04-20,-0.879980379811676
1999-04-21,-0.8816391192797886
1999-04-22,-0.8829163371506963
1999-04-23,-0.8838999437892722
1999-04-26,-0.8846575290921799
1999-04-27,-0.8852410856069742
1999-04-28,-0.885690623289728
1999-04-29,-0.8860369402620407
1999-04-30,-0.8863037491642216
1999-05-03,-0.22274353435283525
1999-05-04,-0.009606985729888629
1999-05-05,0.16475282969450925
1999-05-06,0.30604288137793817
1999-05-07,0.41954141497127767
1999-05-10,0.510015658617367
1999-05-11,0.5816620150903256
1999-05-12,0.63808610322059
1999-05-13,0.682320851344256
1999-05-14,0.7168722307526199
1999-05-17,0.7437806187519314
1999-05-18,0.7646877202345239
1999-05-19,0.7809020306256973
1999-05-20,0.7934586952192857
1999-05-21,0.8031718149156295
1999-05-24,0.8106787120679662
1999-05-25,0.816476533347021
1999-05-26,0.8209520025460652
1999-05-27,0.8244052980711076
1999-05-28,0.8270690317005418
1999-05-31,0.8291232240011013
1999-06-01,0.8319749737893757
1999-06-02,0.8330428773602951
1999-06-03,0.8339878345981739
1999-06-04,0.8347919623234259
1999-06-07,0.8354584053871466
1999-06-08,0.8360005498416385
1999-06-09,0.8364356767681492
1999-06-10,0.836781462733133
1999-06-11,0.8370542258066818
1999-06-14,0.8372681930573247
1999-06-15,0.8374353330733373
1999-06-16,0.8375654769039302
1999-06-17,0.8376665665391614
