date,FRA_public_finance_f1__FRA_public_finance_f2
1999-02-01,0.08170621040731055
1999-02-02,-0.15466836863786332
1999-02-03,-0.2988180280840631
1999-02-04,-0.4029812522310463
1999-02-05,-0.47792389213132813
1999-02-08,-0.531669752119319
1999-02-09,-0.5701233018197382
1999-02-10,-0.5975885541042887
1999-02-11,-0.6171812146191973
1999-02-12,-0.6311454441459051
1999-02-15,-0.6410917944092129
1999-02-16,-0.6481730880360883
1999-02-17,-0.6532129676518077
1999-02-18,-0.6567991053810261
1999-02-19,-0.6593504079902844
1999-02-22,-0.6611652793791938
1999-02-23,-0.6624561815767405
1999-02-24,-0.6633743342980902
1999-02-25,-0.6640273416687954
1999-02-26,-0.6644917586927686
1999-03-01,-0.664822043695173
1999-03-02,-0.4847464637414308
1999-03-03,-0.24342034108821364
1999-03-04,-0.048423050910759824
1999-03-05,0.10474318732546997
1999-03-08,0.22225613490048696
1999-03-09,0.3107269294120289
1999-03-10,0.37635676243092586
1999-03-11,0.42449696135129356
1999-03-12,0.45951131530111633
1999-03-15,0.4848202220151816
1999-03-16,0.5030305648893459
1999-03-17,0.5160899954396011
1999-03-18,0.5254331239856039
1999-03-19,0.5321060220433649
1999-03-22,0.5368659703426466
1999-03-23,0.5402583769794781
1999-03-24,0.542674621200302
1999-03-25,0.5443948224810224
1999-03-26,0.5456190979035748
1999-03-29,0.5464902225760089
1999-03-30,0.54710996503681
1999-03-31,0.5475508164133502
1999-04-01,0.3268288867869553
1999-04-02,0.35444446912697836
1999-04-05,0.3879008704534814
1999-04-06,0.42544769107684777
1999-04-07,0.4651605836676041
1999-04-08,0.5049788560156052
1999-04-09,0.5429152809064024
1999-04-12,0.5773340285645243
1999-04-13,0.6071694316577236
1999-04-14,0.631995275638922
1999-04-15,0.651938100613455
1999-04-16,0.6674983121438438
1999-04-19,0.6793593884016809
1999-04-20,0.6882384114586475
1999-04-21,0.6947942271922348
1999-04-22,0.6995851864288772
1999-04-23,0.7030599619497174
1999-04-26,0.7055662378209778
1999-04-27,0.707366726910163
1999-04-28,0.7086564534836552
1999-04-29,0.7095783965038256
1999-04-30,0.7102364565979817
1999-05-03,0.6993934334825246
1999-05-04,0.7026999622932955
1999-05-05,0.7050141283741602
1999-05-06,0.7066413800706778
1999-05-07,0.7077893933706775
1999-05-10,0.7086011929536441
