date,ESP_financial_markets_f1__ESP_financial_markets_f2
1999-02-01,-0.036012942535382564
1999-02-02,0.1738289112944992
1999-02-03,0.31614855794186014
1999-02-04,0.429938562187941
1999-02-05,0.5204464436274089
1999-02-08,0.5921379999449345
1999-02-09,0.6487384348457073
1999-02-10,0.6933082080080607
1999-02-11,0.7283324695884689
1999-02-12,0.7558111352681811
1999-02-15,0.7773424750422131
1999-02-16,0.7941969100799708
1999-02-17,0.8073800469966577
1999-02-18,0.8176852930833896
1999-02-19,0.8257370522325141
1999-02-22,0.8320257576002992
1999-02-23,0.8369360257993707
1999-02-24,0.8407691278737423
1999-02-25,0.8437608304929006
1999-02-26,0.8460955045105008
1999-03-01,0.84791724742351
1999-03-02,0.8300098506247684
1999-03-03,0.8353064708952159
1999-03-04,0.8394553135555846
1999-03-05,0.8427000456755008
1999-03-08,0.8452353294278117
1999-03-09,0.8472151442270557
1999-03-10,0.8487606252488714
1999-03-11,0.8499667688367802
1999-03-12,0.8509079320081259
1999-03-15,0.8516422486368534
1999-03-16,0.8522151352636076
1999-03-17,0.8526620559795467
1999-03-18,0.8530106944570006
1999-03-19,0.8532826561468335
1999-03-22,0.8534948002450732
1999-03-23,0.8536602809282697
1999-03-24,0.8537893607849522
1999-03-25,0.8538900460019534
1999-03-26,0.8539685822127606
1999-03-29,0.8540298414908722
1999-03-30,0.8540776243391508
1999-03-31,0.8541148953203233
1999-04-01,0.8017210119236213
1999-04-02,0.789372562071495
1999-04-05,0.7815260468871867
1999-04-06,0.7768542620917268
1999-04-07,0.7743394494347913
1999-04-08,0.7732252539682156
1999-04-09,0.7729703582348885
1999-04-12,0.7732032467948144
1999-04-13,0.7736804115272693
1999-04-14,0.7742503918007515
1999-04-15,0.7748249063792751
1999-04-16,0.775357073490784
1999-04-19,0.7758258508989977
1999-04-20,0.776225445841898
1999-04-21,0.776558423251525
1999-04-22,0.7768314150991937
1999-04-23,0.777052575532277
1999-04-26,0.7772301604187833
1999-04-27,0.7773718031552243
1999-04-28,0.7774842039807736
1999-04-29,0.7775730527388529
1999-04-30,0.7776430742803089
1999-05-03,0.22817049708177903
1999-05-04,-0.03034013404384138
1999-05-05,-0.22327087462468276
1999-05-06,-0.36877591562179785
1999-05-07,-0.47937867188288813
1999-05-10,-0.5639521426310957
1999-05-11,-0.6289154573787635
1999-05-12,-0.678988967458572
1999-05-13,-0.7176885390903438
1999-05-14,-0.7476593171195602
1999-05-17,-0.7709070806576578
1999-05-18,-0.7889621876258529
1999-05-19,-0.8029979081440253
1999-05-20,-0.8139171473422093
