date,France_OAT_Bund_Italy_BTP_Bund,France_OAT_Bund_US_10Y,Italy_BTP_Bund_US_10Y
2018-03-01,0.9999999999999073,0.44782554103621147,0.4478257256935466
2018-03-02,0.999999999999915,0.4478255410372802,0.4478257256933849
2018-03-03,0.9999999999999641,0.44782554104186845,0.447825725697808
2018-03-04,0.9999999999999989,0.4478255410387335,0.44782572569788726
2018-03-05,0.9999999999999084,0.4478255410370721,0.4478257256876179
2018-03-06,0.9999999999999682,0.4478255410560063,0.4478257256985646
2018-03-07,0.999999999999925,0.44782554097453114,0.44782572562760875
2018-03-08,0.9999999999999072,0.44782554067515806,0.44782572551244737
2018-03-09,0.9999999999999889,0.44782554018692966,0.44782572481507854
2018-03-10,0.9999999999999158,0.44782553714256984,0.4478257217332038
2018-03-11,0.9999999999998987,0.44782552519792046,0.4478257086430091
2018-03-12,0.9999999999999314,0.4478254764994661,0.4478256605594749
2018-03-13,0.9999999999999811,0.44782528717287523,0.4478254802884288
2018-03-14,0.999999999999925,0.4478245124019905,0.44782470298709487
2018-03-15,0.9999999999999538,0.44782143729131685,0.44782163652478146
2018-03-16,0.9999999999997771,0.44780913271334577,0.4478093376849676
2018-03-17,0.9999999999999144,0.44775996480638053,0.4477602696507239
2018-03-18,0.999999999999899,0.4475637534730129,0.44756364916336294
2018-03-19,0.999999999999989,0.44678073675361724,0.446781374793057
2018-03-20,0.9999999999999126,0.44368988837359963,0.44368986008605527
2018-03-21,0.9999999999999274,0.43193804366209426,0.4319371421075351
2018-03-22,0.9999999999998538,0.39282268004921717,0.39281883501841564
2018-03-23,0.9999999999999927,0.30201846928688364,0.30201740407847505
2018-03-24,0.9999999999998704,0.18604261529009627,0.18603702691183885
2018-03-25,0.9999999999999653,0.09969066424374926,0.09970038116290111
2018-03-26,0.9999999999999797,0.050812677655980326,0.050796971789237665
2018-03-27,1.0000000000000049,0.02551676520746222,0.02552082334580137
2018-03-28,0.9999999999999358,0.01278085551396891,0.012774841913997038
2018-03-29,1.000000000000078,0.00639331206609095,0.006395835987954976
2018-03-30,0.9999999999999823,0.0031934106868065776,0.0031939963192766526
2018-03-31,1.0000000000000249,0.0016023467435147202,0.0015941946147242053
2018-04-01,1.0000000000000195,0.0008037646579764361,0.0008004579136198286
2018-04-02,1.0000000000000118,0.0003988493068546877,0.00040049293779540623
2018-04-03,0.999999999999842,0.00020062848383439475,0.000193578824162395
2018-04-04,0.9999999999999409,9.94368652945683e-05,0.0001042516476073136
2018-04-05,1.0000000000000657,5.3717395218326335e-05,5.598907360579081e-05
2018-04-06,0.9999999999999294,2.436163059797436e-05,2.856585552139577e-05
2018-04-07,1.000000000000144,6.214701690389906e-06,1.1659533494889048e-05
2018-04-08,1.0000000000002058,6.341532338974107e-06,1.1897483789508013e-05
2018-04-09,1.0000000000000868,-6.47095136676943e-06,0.0
2018-04-10,1.000000000000319,0.0,1.2388051901907835e-05
2018-04-11,0.9999999999998758,0.0,-6.320434977479586e-06
2018-04-12,1.0000000000000493,-6.875272385360297e-06,-6.449423786844393e-06
2018-04-13,0.9999999999997622,7.015584066696028e-06,6.58104502783252e-06
2018-04-14,1.000000000000214,0.0,0.0
2018-04-15,1.0000000000000322,7.304856379317552e-06,-6.85240079403139e-06
2018-04-16,0.9999999999999134,0.0,-1.3984492154555377e-05
2018-04-17,1.0000000000003888,,inf
2018-04-18,0.9999999999998415,-inf,-inf
2018-04-19,1.0000000000003915,inf,inf
2018-04-20,0.9999999999997612,-inf,-inf
2018-04-21,0.9999999999997209,-inf,-inf
2018-04-22,0.9999999999998214,,
2018-04-23,1.0000000000002909,,inf
2018-04-24,1.0000000000000595,inf,-inf
2018-04-25,1.000000000000692,,inf
2018-04-26,0.9999999999999796,-inf,-inf
2018-04-27,1.0000000000002591,inf,
2018-04-28,1.0000000000009965,inf,inf
2018-04-29,0.9999999999998694,,
2018-04-30,0.9999999999999752,,-inf
2018-05-01,1.0000000000006002,-inf,
2018-05-02,1.0000000000005809,,inf
2018-05-03,1.0000000000012776,inf,
2018-05-04,1.0000000000005547,,inf
2018-05-05,0.9999999999991349,-inf,-inf
2018-05-06,1.0000000000000508,-inf,inf
2018-05-07,1.0000000000008487,,
2018-05-08,0.9999999999999378,-inf,-inf
2018-05-09,1.0000000000012588,,inf
2018-05-10,0.9999999999997385,-inf,
2018-05-11,0.9999999999993224,,
2018-05-12,1.0000000000002296,,-inf
2018-05-13,0.9999999999992732,inf,
2018-05-14,0.9999999999997816,inf,-inf
2018-05-15,1.000000000000961,-inf,inf
2018-05-16,1.0000000000003002,inf,-inf
2018-05-17,0.999999999999827,,inf
2018-05-18,1.0000000000011962,inf,inf
2018-05-19,1.0000000000011935,,
2018-05-20,1.0000000000020024,inf,
2018-05-21,0.9999999999992552,,
2018-05-22,0.9999999999991058,-inf,
2018-05-23,1.000000000000551,,inf
2018-05-24,0.9999999999987986,,
2018-05-25,0.9999999999997916,,
2018-05-26,0.9999999999992425,-inf,
2018-05-27,1.000000000001876,-inf,inf
2018-05-28,0.9999999999999726,inf,
2018-05-29,0.9999999999986766,-inf,
2018-05-30,1.0000000000003182,,
2018-05-31,0.9999999999989533,,inf
2018-06-01,1.0000000000009714,,
2018-06-02,0.9999999999996869,,inf
2018-06-03,1.0000000000023643,inf,-inf
2018-06-04,0.999999999995035,,-inf
2018-06-05,1.0000000000030402,,inf
2018-06-06,1.0000000000023113,,
2018-06-07,1.0000000000004041,inf,-inf
2018-06-08,0.9999999999993937,inf,
2018-06-09,1.0000000000000848,inf,-inf
2018-06-10,0.9999999999960337,,-inf
2018-06-11,0.9999999999963213,,-inf
2018-06-12,0.9999999999982465,,
2018-06-13,1.0000000000013392,,
2018-06-14,0.999999999997163,-inf,inf
2018-06-15,0.9999999999990637,,-inf
2018-06-16,0.9999999999975523,,-inf
2018-06-17,0.9999999999963571,inf,-inf
2018-06-18,1.000000000004518,inf,
2018-06-19,1.000000000001125,inf,inf
2018-06-20,1.0000000000017353,,inf
2018-06-21,1.0000000000032647,,
2018-06-22,0.9999999999980315,,inf
2018-06-23,0.9999999999995595,-inf,inf
2018-06-24,0.9999999999975313,inf,-inf
2018-06-25,0.9999999999884991,,
2018-06-26,1.0000000000081737,inf,-inf
2018-06-27,1.000000000004472,,
2018-06-28,1.0000000000129163,inf,inf
2018-06-29,0.9999999999999286,,
2018-06-30,0.9999999999897439,-inf,
2018-07-01,1.0000000000006468,,inf
2018-07-02,1.0000000000023395,,
2018-07-03,0.9999999999939893,,-inf
2018-07-04,0.9999999999937749,,-inf
2018-07-05,0.9999999999931297,-inf,-inf
2018-07-06,1.0000000000055786,inf,-inf
2018-07-07,1.000000000001481,inf,inf
2018-07-08,1.0000000000038427,-inf,inf
2018-07-09,1.0000000000075993,,
2018-07-10,1.000000000008003,inf,inf
2018-07-11,0.9999999999898355,,-inf
2018-07-12,0.999999999998882,,
2018-07-13,1.0000000000090448,inf,inf
2018-07-14,0.9999999999996854,inf,-inf
2018-07-15,0.9999999999935836,-inf,
2018-07-16,1.0000000000013065,-inf,inf
2018-07-17,1.0000000000181655,,-inf
2018-07-18,1.0000000000014413,,inf
2018-07-19,1.0000000000096536,,inf
2018-07-20,1.000000000009528,-inf,
2018-07-21,1.0000000000130898,inf,
2018-07-22,1.0000000000084273,,
2018-07-23,1.0000000000187448,,inf
2018-07-24,1.0000000000105975,inf,
2018-07-25,1.000000000021513,inf,
2018-07-26,1.0000000000293376,inf,inf
2018-07-27,0.9999999999600057,-inf,-inf
2018-07-28,0.9999999999935906,,inf
2018-07-29,0.9999999999755942,,-inf
2018-07-30,1.0000000000024607,,
2018-07-31,1.000000000026649,,inf
2018-08-01,0.9999999999742342,,
2018-08-02,1.0000000000438216,inf,inf
2018-08-03,0.9999999999868788,,inf
2018-08-04,0.9999999999681713,-inf,
2018-08-05,0.9999999999720536,inf,-inf
2018-08-06,0.999999999993044,inf,-inf
2018-08-07,1.0000000000194147,,
2018-08-08,0.9999999999795575,-inf,
2018-08-09,0.9999999999858017,-inf,
2018-08-10,1.0000000000188094,,
2018-08-11,1.000000000009666,-inf,inf
2018-08-12,1.0000000000068865,,inf
2018-08-13,1.0000000000672296,inf,
2018-08-14,0.9999999999437237,-inf,
2018-08-15,0.9999999999874387,-inf,inf
2018-08-16,1.0000000000540812,,inf
2018-08-17,0.9999999999869489,,inf
2018-08-18,1.0000000000222866,-inf,
2018-08-19,0.9999999999478226,-inf,
2018-08-20,0.9999999999470933,,-inf
2018-08-21,1.000000000040228,,-inf
2018-08-22,0.999999999990955,,
2018-08-23,1.000000000100594,inf,inf
2018-08-24,1.0000000000274285,inf,inf
2018-08-25,1.0000000001200815,-inf,inf
2018-08-26,1.0000000000200508,-inf,inf
2018-08-27,0.9999999999302125,,-inf
2018-08-28,0.9999999999819418,,-inf
2018-08-29,1.0000000000989053,inf,-inf
2018-08-30,0.999999999980127,-inf,inf
2018-08-31,0.9999999999627969,,-inf
2018-09-01,1.0000000000706377,,-inf
2018-09-02,1.0000000001761977,,
2018-09-03,0.9999999999822634,-inf,
2018-09-04,0.99999999988097,inf,-inf
2018-09-05,1.0000000000781364,inf,
2018-09-06,0.9999999998572365,,-inf
2018-09-07,1.0000000000122748,,
2018-09-08,0.999999999917038,-inf,-inf
2018-09-09,1.0000000001093694,inf,inf
2018-09-10,0.9999999999903392,-inf,inf
2018-09-11,0.9999999999879262,,
2018-09-12,1.0000000000734866,,
2018-09-13,0.9999999999871769,inf,
2018-09-14,0.9999999997927956,-inf,-inf
2018-09-15,1.000000000099384,,
2018-09-16,0.9999999997252362,-inf,-inf
2018-09-17,0.9999999998847221,,
2018-09-18,1.0000000002489593,inf,inf
2018-09-19,1.0000000000466702,,
2018-09-20,0.999999999801801,,-inf
2018-09-21,0.9999999998094499,inf,-inf
2018-09-22,1.0000000002266174,,
2018-09-23,1.000000000000427,,inf
2018-09-24,1.0000000004254013,,inf
2018-09-25,1.0000000001866691,-inf,
2018-09-26,1.0000000005167835,inf,inf
2018-09-27,0.9999999998325491,,
2018-09-28,1.0000000002887324,,
2018-09-29,0.9999999996708125,-inf,-inf
2018-09-30,0.999999999806132,,-inf
2018-10-01,1.000000000154266,inf,-inf
2018-10-02,1.0000000002272778,-inf,
2018-10-03,1.00000000005345,,-inf
2018-10-04,0.999999999937844,,inf
2018-10-05,1.000000000214146,,inf
2018-10-06,0.9999999997166223,-inf,-inf
2018-10-07,0.9999999997549159,,-inf
2018-10-08,1.0000000001821434,,
2018-10-09,0.9999999999611829,,inf
2018-10-10,0.999999999089112,,
2018-10-11,0.9999999992782209,-inf,-inf
2018-10-12,0.9999999993915185,-inf,-inf
2018-10-13,1.0000000000219267,,inf
2018-10-14,1.0000000007843624,,inf
2018-10-15,1.0000000005003509,,
2018-10-16,0.9999999997504203,,-inf
2018-10-17,0.9999999985857156,-inf,
2018-10-18,1.000000000137751,,-inf
2018-10-19,1.0000000002034262,inf,inf
2018-10-20,0.9999999999017445,,
2018-10-21,0.9999999997682919,,-inf
2018-10-22,1.0000000014689567,,
2018-10-23,0.9999999991521695,-inf,-inf
2018-10-24,0.9999999997353,,-inf
2018-10-25,0.9999999996053953,,
2018-10-26,1.0000000001552687,-inf,inf
2018-10-27,0.99999999917074,,
2018-10-28,0.9999999984587413,-inf,-inf
2018-10-29,0.999999999163685,,
2018-10-30,1.000000001646886,inf,inf
2018-10-31,0.9999999984077456,-inf,inf
2018-11-01,0.9999999974161411,,
2018-11-02,1.0000000013064485,inf,
2018-11-03,1.0000000002092022,inf,-inf
2018-11-04,0.9999999998728833,,-inf
2018-11-05,1.0000000023737758,,inf
2018-11-06,1.000000000050197,,-inf
2018-11-07,1.0000000009006669,,inf
2018-11-08,0.9999999980054751,inf,-inf
2018-11-09,1.0000000035829901,inf,inf
2018-11-10,1.0000000016592174,,
2018-11-11,0.9999999993813787,,-inf
2018-11-12,0.999999999333722,,
2018-11-13,1.0000000007408625,-inf,inf
2018-11-14,1.0000000015519817,-inf,inf
2018-11-15,0.999999999943465,-inf,inf
2018-11-16,1.0000000010150252,inf,inf
2018-11-17,0.9999999979892085,inf,
2018-11-18,1.0000000025848943,inf,inf
2018-11-19,0.9999999972341536,inf,-inf
2018-11-20,1.0000000023995648,inf,inf
2018-11-21,0.9999999972429445,,-inf
2018-11-22,1.0000000052061064,,-inf
2018-11-23,0.9999999986319734,,-inf
2018-11-24,0.9999999989634399,inf,
2018-11-25,1.0000000027073732,,
2018-11-26,1.00000000207201,-inf,
2018-11-27,0.9999999973814211,,-inf
2018-11-28,1.0000000014471844,,inf
2018-11-29,0.9999999972252145,-inf,-inf
2018-11-30,1.000000002783653,,
2018-12-01,0.9999999952110267,,
2018-12-02,0.9999999988099837,,inf
2018-12-03,0.9999999983888747,,
2018-12-04,0.9999999936483343,-inf,-inf
2018-12-05,1.000000004599706,inf,inf
2018-12-06,1.0000000033330974,inf,
2018-12-07,1.0000000003075407,,
2018-12-08,1.0000000066892407,inf,
2018-12-09,1.0000000060195384,inf,inf
2018-12-10,1.000000000971334,,inf
2018-12-11,1.000000008853641,,inf
2018-12-12,1.0000000061830794,,
2018-12-13,0.9999999987135978,-inf,
2018-12-14,0.9999999906295184,,-inf
2018-12-15,1.0000000030688871,,inf
2018-12-16,1.0000000140899654,,inf
2018-12-17,0.9999999939046461,,-inf
2018-12-18,0.9999999874735163,-inf,
2018-12-19,0.9999999992505796,inf,-inf
2018-12-20,1.0000000112259355,inf,
2018-12-21,0.9999999936318946,-inf,inf
2018-12-22,0.9999999970852519,inf,
2018-12-23,1.0000000032336975,-inf,inf
2018-12-24,0.9999999837794945,-inf,
2018-12-25,0.9999999991734633,inf,
2018-12-26,1.0000000043847914,-inf,
2018-12-27,0.9999999961591112,,inf
