date,ITA_commodities_f1__ITA_commodities_f2
2000-08-31,-0.07294930460330598
2000-09-01,-0.324072009651502
2000-09-04,-0.5080323207793058
2000-09-05,-0.631742408358494
2000-09-06,-0.7150874809545765
2000-09-07,-0.7713068461867244
2000-09-08,-0.8092600651877706
2000-09-11,-0.8348961285170189
2000-09-12,-0.8522188393245532
2000-09-13,-0.8639270236515124
2000-09-14,-0.8718417693866919
2000-09-15,-0.8771927599720447
2000-09-18,-0.880810730812035
2000-09-19,-0.8832570813468755
2000-09-20,-0.8849112801047418
2000-09-21,-0.8860298602126411
2000-09-22,-0.8867862637022421
2000-09-25,-0.8872977626085945
2000-09-26,-0.8876436534873577
2000-09-27,-0.887877556428967
2000-09-28,-0.8880357299299863
2000-09-29,-0.8881426927305128
2000-10-02,-0.8882150250638694
2000-10-03,-0.8868207158170803
2000-10-04,-0.8866196677905418
2000-10-05,-0.8868751726315443
2000-10-06,-0.8872499547400807
2000-10-09,-0.8876038727409103
2000-10-10,-0.8878918983494508
2000-10-11,-0.8881098438277697
2000-10-12,-0.8882681154119061
2000-10-13,-0.8883802171687085
2000-10-16,-0.8884583737372374
2000-10-17,-0.888512309690431
2000-10-18,-0.8885492816381619
2000-10-19,-0.8885745123193324
2000-10-20,-0.8885916792134118
2000-10-23,-0.8886033362122907
2000-10-24,-0.8886112411465854
2000-10-25,-0.8886165968517271
2000-10-26,-0.8886202232031354
2000-10-27,-0.8886226775961423
2000-10-30,-0.8886243383199414
2000-10-31,-0.8886254618094238
2000-11-01,-0.842669755330327
2000-11-02,-0.8571101450512594
2000-11-03,-0.8668929635712438
2000-11-06,-0.8735028028059562
2000-11-07,-0.8779666518902227
2000-11-08,-0.8809816483082951
2000-11-09,-0.8830185957994172
2000-11-10,-0.8843951138774993
2000-11-13,-0.8853255160640432
2000-11-14,-0.8859544771558299
2000-11-15,-0.8863797060463495
2000-11-16,-0.8866672166757518
2000-11-17,-0.8868616216131012
2000-11-20,-0.8869930762596164
2000-11-21,-0.887081966691821
2000-11-22,-0.887142075925343
2000-11-23,-0.8871827232702083
2000-11-24,-0.8872102102132953
2000-11-27,-0.8872287977962272
2000-11-28,-0.8872413673799512
2000-11-29,-0.8872498673987484
2000-11-30,-0.8872556154358693
2000-12-01,-0.75578576408093
2000-12-04,-0.7464405788710777
2000-12-05,-0.751649115237384
2000-12-06,-0.7664925824240273
2000-12-07,-0.7862954143054874
2000-12-08,-0.807176573803759
2000-12-11,-0.8264596446293045
2000-12-12,-0.8427380985461457
2000-12-13,-0.855622874241583
2000-12-14,-0.8653563730590497
2000-12-15,-0.8724666688412581
2000-12-18,-0.8775384686151081
2000-12-19,-0.881096286245218
2000-12-20,-0.8835632965068762
2000-12-21,-0.8852603306003387
2000-12-22,-0.8864213379657171
2000-12-25,-0.8872126703320744
2000-12-26,-0.8877506680335792
2000-12-27,-0.8881158028947526
2000-12-28,-0.8883633275781334
2000-12-29,-0.8885309915578418
2001-01-01,-0.8886444999909049
2001-01-02,-0.8236114109655203
2001-01-03,-0.8221130133346356
2001-01-04,-0.8283813441584101
2001-01-05,-0.8383614659210573
2001-01-08,-0.8491241604242847
2001-01-09,-0.8589382204523792
2001-01-10,-0.8670494213557897
2001-01-11,-0.873337456288196
2001-01-12,-0.8780055291009736
2001-01-15,-0.8813698210912329
2001-01-16,-0.8837457530684328
2001-01-17,-0.8854005515481601
2001-01-18,-0.8865422284643272
2001-01-19,-0.887324832384432
2001-01-22,-0.8878589527315419
2001-01-23,-0.8882224039208891
2001-01-24,-0.8884692229789639
2001-01-25,-0.8886366089662381
2001-01-26,-0.8887500208665318
2001-01-29,-0.8888268147931628
2001-01-30,-0.8888787918377048
2001-01-31,-0.8889139618184689
2001-02-01,-0.8188878901789561
2001-02-02,-0.8419041293396761
2001-02-05,-0.8572912584863874
2001-02-06,-0.8675974000856163
2001-02-07,-0.8745177118827453
2001-02-08,-0.8791741827299394
2001-02-09,-0.8823121938094938
2001-02-12,-0.8844292091625732
2001-02-13,-0.8858585020380081
2001-02-14,-0.8868239827549209
2001-02-15,-0.8874763914882361
2001-02-16,-0.8879173529073977
2001-02-19,-0.8882154464015373
2001-02-20,-0.8884169823853904
2001-02-21,-0.888553247710116
2001-02-22,-0.8886453860154239
2001-02-23,-0.8887076891716047
2001-02-26,-0.8887498190300747
2001-02-27,-0.8887783080035944
2001-02-28,-0.8887975729691007
2001-03-01,-0.8703877689978956
2001-03-02,-0.8758589677734862
2001-03-05,-0.879817481099782
2001-03-06,-0.8825984709363905
2001-03-07,-0.8845228358726311
2001-03-08,-0.8858430830728387
2001-03-09,-0.8867442181518038
2001-03-12,-0.8873573168247993
2001-03-13,-0.8877735890771027
2001-03-14,-0.8880558442689481
2001-03-15,-0.8882470592748326
2001-03-16,-0.8883765224627174
2001-03-19,-0.8884641417322702
2001-03-20,-0.8885234258277935
2001-03-21,-0.8885635309235983
2001-03-22,-0.888590658368214
2001-03-23,-0.8886090061306626
2001-03-26,-0.8886214150405388
2001-03-27,-0.88862980709206
2001-03-28,-0.88863548243139
2001-03-29,-0.8886393204600392
2001-03-30,-0.8886419159517582
2001-04-02,-0.8886436711563267
2001-04-03,-0.8866013375405727
2001-04-04,-0.8871830464961962
2001-04-05,-0.887609930086101
2001-04-06,-0.8879135852476864
2001-04-09,-0.888125676147772
2001-04-10,-0.8882721548412791
2001-04-11,-0.8883725968743763
2001-04-12,-0.8884411513072437
2001-04-13,-0.8884877984646233
2001-04-16,-0.8885194745301742
2001-04-17,-0.8885409551578097
2001-04-18,-0.8885555086344901
2001-04-19,-0.8885653628092315
2001-04-20,-0.8885720323258958
2001-04-23,-0.8885765451400666
2001-04-24,-0.8885795980841006
2001-04-25,-0.8885816631554093
2001-04-26,-0.8885830598902772
2001-04-27,-0.8885840045332423
2001-04-30,-0.8885846433913015
2001-05-01,-0.8678876173779198
2001-05-02,-0.8741050943445107
2001-05-03,-0.878490579239613
2001-05-04,-0.8815263779264604
2001-05-07,-0.8836080029801527
2001-05-08,-0.8850278491998281
2001-05-09,-0.8859932928754053
2001-05-10,-0.8866484998660853
2001-05-11,-0.8870926202820518
2001-05-14,-0.8873934218742778
2001-05-15,-0.8875970484317695
2001-05-16,-0.8877348453475687
2001-05-17,-0.8878280730611245
2001-05-18,-0.8878911374034241
2001-05-21,-0.8879337931831004
2001-05-22,-0.88796264291051
2001-05-23,-0.8879821541648331
2001-05-24,-0.8879953493329626
2001-05-25,-0.8880042728362713
2001-05-28,-0.8880103074514575
2001-05-29,-0.8880143883851397
2001-05-30,-0.8880171481153614
2001-05-31,-0.8880190143738056
2001-06-01,-0.7454296129835178
2001-06-04,-0.7177533683362767
2001-06-05,-0.7043043252454385
2001-06-06,-0.7004138926489767
2001-06-07,-0.7021166050818377
2001-06-08,-0.7064225312261297
2001-06-11,-0.7113898491071186
2001-06-12,-0.7159725997294425
2001-06-13,-0.7197497958584526
2001-06-14,-0.7226598960054357
2001-06-15,-0.724807068119728
2001-06-18,-0.7263467528948435
2001-06-19,-0.7274299538348669
2001-06-20,-0.7281822886086006
2001-06-21,-0.728700315825011
2001-06-22,-0.729054928300431
2001-06-25,-0.7292967185783884
2001-06-26,-0.7294611418116994
2001-06-27,-0.7295727517597044
2001-06-28,-0.7296484197291389
2001-06-29,-0.7296996778280896
2001-07-02,-0.7297343810910648
2001-07-03,0.4512890973417401
