date,ESP_real_estate_f1__ESP_real_estate_f2
2000-01-31,0.08402092017530363
2000-02-01,-0.1107109612893863
2000-02-02,-0.2736406318441456
2000-02-03,-0.40069810763524966
2000-02-04,-0.49978542344063365
2000-02-07,-0.5770628703634013
2000-02-08,-0.6373327858768175
2000-02-09,-0.6843393607855801
2000-02-10,-0.7210020723310145
2000-02-11,-0.7495975099854382
2000-02-14,-0.7719010468574512
2000-02-15,-0.7892972507584263
2000-02-16,-0.8028659486028668
2000-02-17,-0.8134493224812369
2000-02-18,-0.8217042238331139
2000-02-21,-0.8281429658742656
2000-02-22,-0.8331651340056841
2000-02-23,-0.8370823932543958
2000-02-24,-0.8401378352274429
2000-02-25,-0.8425210669988027
2000-02-28,-0.8443799793814415
2000-02-29,-0.8458299255324263
2000-03-01,-0.8493712822765861
2000-03-02,-0.8497324917950789
2000-03-03,-0.8500360872872017
2000-03-06,-0.8502868921194106
2000-03-07,-0.8504912682013012
2000-03-08,-0.8506561165504899
2000-03-09,-0.8507880595218101
2000-03-10,-0.8508930463893066
2000-03-13,-0.8509762090285372
2000-03-14,-0.8510418563807778
2000-03-15,-0.8510935390678164
2000-03-16,-0.8511341436089154
2000-03-17,-0.8511659934863285
2000-03-20,-0.8511909451992876
2000-03-21,-0.8512104738796485
2000-03-22,-0.8512257466815353
2000-03-23,-0.8512376840960789
2000-03-24,-0.8512470102773406
2000-03-27,-0.8512542938291254
2000-03-28,-0.8512599805565301
2000-03-29,-0.851264419585299
2000-03-30,-0.8512678840848458
2000-03-31,-0.8512705876456815
2000-04-03,-0.8524395953288411
2000-04-04,-0.8522024063039986
2000-04-05,-0.8520188000065788
2000-04-06,-0.851876545878269
2000-04-07,-0.8517661789586927
2000-04-10,-0.8516804563414426
2000-04-11,-0.8516138157444774
2000-04-12,-0.8515619726650734
2000-04-13,-0.8515216185892033
2000-04-14,-0.8514901934341065
2000-04-17,-0.8514657129572508
2000-04-18,-0.8514466371834984
2000-04-19,-0.8514317696638837
2000-04-20,-0.8514201800595502
2000-04-21,-0.8514111444713516
2000-04-24,-0.8514040993348286
2000-04-25,-0.8513986057263208
2000-04-26,-0.8513943216855844
2000-04-27,-0.8513909807274902
2000-04-28,-0.851388375142202
2000-05-01,-0.8513863430065446
2000-05-02,-0.8530080537480579
2000-05-03,-0.8526682414191723
2000-05-04,-0.8524064747006045
2000-05-05,-0.8522044838334738
2000-05-08,-0.8520482888682291
2000-05-09,-0.8519272961058458
2000-05-10,-0.8518334387275243
2000-05-11,-0.8517605475493796
2000-05-12,-0.8517038871089777
2000-05-15,-0.8516598111121446
2000-05-16,-0.8516255046629644
2000-05-17,-0.8515987901059424
2000-05-18,-0.8515779798895853
2000-05-19,-0.8515617644716921
2000-05-22,-0.8515491265356604
2000-05-23,-0.8515392750950002
2000-05-24,-0.8515315947185274
2000-05-25,-0.8515256063081524
2000-05-26,-0.8515209367393429
2000-05-29,-0.8515172953235336
2000-05-30,-0.8515144555360132
