country,series_code,train_r_squared,test_r_squared,train_nobs,test_nobs,top_contributions
Italy,ITACPIALLMINMEI,0.44421511250129797,0.31728740350134277,3359,1440,FRACPIALLMINMEI:0.1193;DEUCPIALLMINMEI:0.1017;CPIAUCSL:0.0864;ESPCPIALLMINMEI:0.0592;MABMM301EZM189S:0.0430;LRHUTTTTDEM156S:-0.0153;NAEXKP01DEQ661S:0.0096;NAEXKP01FRQ661S:0.0066;LRHUTTTTFRM156S:-0.0047;NAEXKP01ESQ661S:0.0046
Italy,ITA_beta2,0.02257913226626218,-0.001004655551645195,3359,1440,ITACPIALLMINMEI:-0.6769;NAEXKP01ITQ661S:0.5592;NAEXKP01FRQ661S:0.4328;NAEXKP01ESQ661S:0.4280;FRACPIALLMINMEI:-0.3938;MABMM301EZM189S:-0.3845;ITA_beta0:0.3644;GDPC1:0.3003;DEUCPIALLMINMEI:-0.2624;LRHUTTTTESM156S:-0.2595
Italy,BAMLC0A0CM,0.3631366878642728,0.4135592424910345,3359,1440,FRACPIALLMINMEI:0.2255;ITA_beta0:-0.1769;NAEXKP01FRQ661S:-0.1660;DEUCPIALLMINMEI:0.1217;CPIAUCSL:0.1173;GDPC1:-0.1127;MABMM301EZM189S:-0.1114;NAEXKP01ESQ661S:-0.0870;NAEXKP01DEQ661S:-0.0815;BAMLC0A4CBBB:0.0771
Italy,TEDRATE,0.028796698393793396,0.008064168302690189,3359,1440,ITA_beta0:-0.5236;NAEXKP01FRQ661S:-0.5206;MABMM301EZM189S:-0.3840;FRACPIALLMINMEI:0.3677;GDPC1:-0.3005;NAEXKP01ESQ661S:-0.2605;NAEXKP01DEQ661S:-0.2234;LRHUTTTTESM156S:-0.2197;LRHUTTTTFRM156S:-0.2163;CPIAUCSL:0.1992
Italy,NAEXKP01DEQ661S,0.5584356730026401,0.5594470607421099,3359,1440,NAEXKP01FRQ661S:0.3148;NAEXKP01ESQ661S:0.2250;GDPC1:0.2118;NAEXKP01ITQ661S:0.2077;ITACPIALLMINMEI:0.0816;MABMM301EZM189S:0.0593;CPIAUCSL:0.0571;LRHUTTTTDEM156S:-0.0364;FRACPIALLMINMEI:-0.0324;LRHUTTTTFRM156S:-0.0311
Italy,BAMLC0A3CAEY,0.2582299718949792,-0.11500761339385757,3359,1440,CPIAUCSL:0.3350;FRACPIALLMINMEI:0.3255;ITA_beta0:0.2965;DEUCPIALLMINMEI:0.2113;MABMM301EZM189S:-0.2064;NAEXKP01FRQ661S:-0.1540;ITACPIALLMINMEI:0.1182;BAMLC0A4CBBB:-0.1129;BAMLC0A0CM:-0.1044;LRHUTTTTESM156S:-0.1036
Italy,Bonos_Bund_Spread,0.0,-0.013824205696932879,3359,1440,LRHUTTTTDEM156S:0.0000;DEUCPIALLMINMEI:0.0000;ITACPIALLMINMEI:0.0000;BAMLC0A0CM:0.0000;TEDRATE:0.0000;BAMLC0A3CAEY:0.0000;NAEXKP01DEQ661S:0.0000;GDPC1:0.0000;IRLTLT01USM156N:0.0000;LRHUTTTTESM156S:0.0000
Italy,GDPC1,0.3825458857066416,0.9113970035979918,3359,1440,NAEXKP01FRQ661S:0.1773;NAEXKP01ITQ661S:0.1331;NAEXKP01ESQ661S:0.1266;NAEXKP01DEQ661S:0.1008;ITACPIALLMINMEI:0.0327;MABMM301EZM189S:0.0279;LRHUTTTTFRM156S:-0.0213;CPIAUCSL:0.0200;FRACPIALLMINMEI:-0.0177;LRHUTTTTDEM156S:-0.0168
Italy,LRHUTTTTESM156S,0.2372970545045081,-9.234821964568063,3359,1440,NAEXKP01FRQ661S:-0.5554;NAEXKP01ITQ661S:-0.4315;NAEXKP01ESQ661S:-0.4127;GDPC1:-0.3464;NAEXKP01DEQ661S:-0.3013;FRACPIALLMINMEI:0.2697;ITACPIALLMINMEI:0.1725;DEUCPIALLMINMEI:0.1384;LRHUTTTTFRM156S:0.0909;CPIAUCSL:0.0835
Italy,IRLTLT01USM156N,0.05973861998904073,-0.042744383504112804,3359,1440,FRACPIALLMINMEI:0.9955;ITACPIALLMINMEI:0.8876;DEUCPIALLMINMEI:0.7506;CPIAUCSL:0.5114;NAEXKP01FRQ661S:-0.4964;ESPCPIALLMINMEI:0.4025;GDPC1:-0.3575;NAEXKP01ESQ661S:-0.2908;NAEXKP01ITQ661S:-0.2252;NAEXKP01DEQ661S:-0.1957
