date,USA_financial_markets_f1__USA_financial_markets_f2
1999-02-01,-0.10510527466005379
1999-02-02,-0.13953012101406437
1999-02-03,-0.17207994312721364
1999-02-04,-0.2020559967611067
1999-02-05,-0.22965958085849197
1999-02-08,-0.2550765888615402
1999-02-09,-0.2784786357469503
1999-02-10,-0.3000241106790932
1999-02-11,-0.31985915889704497
1999-02-12,-0.33811859650133547
1999-02-15,-0.35492676180429
1999-02-16,-0.37039830686458736
1999-02-17,-0.38463893275105615
1999-02-18,-0.397746071980338
1999-02-19,-0.4098095214541157
1999-02-22,-0.4209120290893814
1999-02-23,-0.43112983719399045
1999-02-24,-0.44053318549302894
1999-02-25,-0.449186776562167
1999-02-26,-0.45715020627447533
1999-03-01,-0.46447836171894474
1999-03-02,-0.4699262332797757
1999-03-03,-0.47617427624247466
1999-03-04,-0.48192552498051
1999-03-05,-0.487219262726955
1999-03-08,-0.49209169899159927
1999-03-09,-0.4965762052572895
1999-03-10,-0.5007035333030598
1999-03-11,-0.5045020173345599
1999-03-12,-0.5079977610360311
1999-03-15,-0.5112148105936472
1999-03-16,-0.514175314677641
1999-03-17,-0.5168996723104418
1999-03-18,-0.5194066694901887
1999-03-19,-0.5217136053835915
1999-03-22,-0.5238364088492082
1999-03-23,-0.525789746001881
1999-03-24,-0.527587119481292
1999-03-25,-0.52924096004238
1999-03-26,-0.5307627110426523
1999-03-29,-0.5321629063611716
1999-03-30,-0.5334512422461485
1999-03-31,-0.534636643552535
1999-04-01,-0.5062284679792967
1999-04-02,-0.5090835691034681
1999-04-05,-0.5117319766725343
1999-04-06,-0.5141871704733086
1999-04-07,-0.5164619639141546
1999-04-08,-0.5185685055408379
1999-04-09,-0.5205182861579664
1999-04-12,-0.5223221506407479
1999-04-13,-0.5239903135954698
1999-04-14,-0.5255323781057133
1999-04-15,-0.5269573568815169
1999-04-16,-0.5282736952079199
1999-04-19,-0.5294892951656167
1999-04-20,-0.5306115406684953
1999-04-21,-0.5316473229296981
1999-04-22,-0.5326030660290444
1999-04-23,-0.5334847523099361
1999-04-26,-0.534297947383268
1999-04-27,-0.5350478245595112
1999-04-28,-0.5357391885683668
1999-04-29,-0.5363764984585059
1999-04-30,-0.5369638895983772
1999-05-03,-0.5328795874984329
1999-05-04,-0.5340404883869363
1999-05-05,-0.5351127551788722
1999-05-06,-0.5361028526114036
1999-05-07,-0.5370168190548803
1999-05-10,-0.5378602878044845
1999-05-11,-0.5386385084009034
1999-05-12,-0.5393563677601849
1999-05-13,-0.5400184109341808
1999-05-14,-0.5406288613592108
1999-05-17,-0.5411916404820596
1999-05-18,-0.5417103866795459
1999-05-19,-0.542188473411087
1999-05-20,-0.5426290265632676
1999-05-21,-0.5430349409618587
1999-05-24,-0.5434088960403459
1999-05-25,-0.5437533706651914
1999-05-26,-0.5440706571270779
1999-05-27,-0.5443628743145662
1999-05-28,-0.5446319800922018
1999-05-31,-0.5448797829093733
1999-06-01,-0.5467318494787347
1999-06-02,-0.5468472214808198
1999-06-03,-0.5469535253758838
1999-06-04,-0.5470514620676399
1999-06-07,-0.5471416800950997
1999-06-08,-0.5472247792659264
1999-06-09,-0.5473013140815153
1999-06-10,-0.5473717969584566
1999-06-11,-0.5474367012523623
1999-06-14,-0.5474964640910398
1999-06-15,-0.5475514890246977
1999-06-16,-0.5476021485013598
1999-06-17,-0.5476487861759416
1999-06-18,-0.5476917190615762
1999-06-21,-0.5477312395317837
1999-06-22,-0.5477676171819825
1999-06-23,-0.5478011005586706
1999-06-24,-0.5478319187643674
1999-06-25,-0.5478602829461364
1999-06-28,-0.547886387675196
1999-06-29,-0.5479104122247949
1999-06-30,-0.5479325217531867
1999-07-01,-0.5146292424434697
1999-07-02,-0.5103864593190979
1999-07-05,-0.5064255374274664
1999-07-06,-0.5027314064308696
1999-07-07,-0.499289307365815
1999-07-08,-0.49608486007115726
1999-07-09,-0.49310411840157525
1999-07-12,-0.4903336141898942
1999-07-13,-0.4877603909663574
1999-07-14,-0.48537202845971367
1999-07-15,-0.4831566588980185
1999-07-16,-0.4811029761005061
1999-07-19,-0.47920023830982195
1999-07-20,-0.4774382656600705
1999-07-21,-0.4758074331139782
1999-07-22,-0.47429865963502615
1999-07-23,-0.47290339429025724
1999-07-26,-0.47161359990878704
1999-07-27,-0.47042173485157074
1999-07-28,-0.469320733381063
1999-07-29,-0.4683039850560422
1999-07-30,-0.4673653135177561
1999-08-02,-0.46649895497910543
1999-08-03,-0.3933758418980058
1999-08-04,-0.4020604474969242
1999-08-05,-0.41043646215876484
1999-08-06,-0.41849702474787964
1999-08-09,-0.4262370888846554
1999-08-10,-0.4336534261712006
1999-08-11,-0.4407445966878953
1999-08-12,-0.4475108897603862
1999-08-13,-0.4539542386860875
1999-08-16,-0.46007811358996364
1999-08-17,-0.4658873968481404
1999-08-18,-0.47138824558502446
1999-08-19,-0.47658794563633256
1999-08-20,-0.4814947611057341
1999-08-23,-0.4861177832602551
1999-08-24,-0.4904667820441543
1999-08-25,-0.49455206297651344
1999-08-26,-0.4983843316649228
1999-08-27,-0.5019745676424792
1999-08-30,-0.5053339087386399
1999-08-31,-0.508473546741597
1999-09-01,-0.5129730377148098
1999-09-02,-0.515605568248857
1999-09-03,-0.5180599318671671
1999-09-06,-0.5203460062207839
1999-09-07,-0.5224734308365884
1999-09-08,-0.5244515642865045
1999-09-09,-0.526289450129881
1999-09-10,-0.5279957908032781
1999-09-13,-0.5295789286149143
1999-09-14,-0.5310468330091652
1999-09-15,-0.5324070932940094
1999-09-16,-0.5336669160661254
1999-09-17,-0.5348331266200239
1999-09-20,-0.5359121736854553
1999-09-21,-0.5369101368983468
1999-09-22,-0.5378327364722867
1999-09-23,-0.5386853445982501
1999-09-24,-0.5394729981584809
1999-09-27,-0.540200412395289
1999-09-28,-0.5408719952263336
1999-09-29,-0.5414918619444401
1999-09-30,-0.5420638500819912
1999-10-01,-0.5437469232505749
1999-10-04,-0.5441626593405036
1999-10-05,-0.5445468555171777
1999-10-06,-0.5449017793371775
1999-10-07,-0.5452295544108031
1999-10-08,-0.5455321665500895
1999-10-11,-0.5458114701679442
1999-10-12,-0.5460691948111702
1999-10-13,-0.546306951730977
1999-10-14,-0.5465262404126736
1999-10-15,-0.5467284550018492
1999-10-18,-0.5469148905777259
1999-10-19,-0.5470867492357436
1999-10-20,-0.5472451459510683
1999-10-21,-0.5473911142027714
1999-10-22,-0.5475256113451611
1999-10-25,-0.5476495237182737
1999-10-26,-0.5477636714940821
1999-10-27,-0.5478688132586299
1999-10-28,-0.5479656503332311
1999-10-29,-0.5480548308401693
1999-11-01,-0.5481369535200997
1999-11-02,-0.5296653536531784
1999-11-03,-0.5305632361023783
1999-11-04,-0.5313920543252085
1999-11-05,-0.5321569210023964
1999-11-08,-0.5328626004670645
1999-11-09,-0.5335135278292104
1999-11-10,-0.5341138277912996
1999-11-11,-0.5346673330176294
1999-11-12,-0.5351776019507619
1999-11-15,-0.5356479359945362
1999-11-16,-0.536081396005429
1999-11-17,-0.5364808180527519
1999-11-18,-0.5368488284237927
1999-11-19,-0.5371878578628937
1999-11-22,-0.5375001550439809
1999-11-23,-0.537787799284534
1999-11-24,-0.5380527125157091
1999-11-25,-0.5382966705285557
1999-11-26,-0.5385213135202342
1999-11-29,-0.5387281559670463
1999-11-30,-0.5389185958531066
1999-12-01,-0.5342260506192187
1999-12-02,-0.5352400674916171
1999-12-03,-0.5361786334278652
1999-12-06,-0.537046958136807
1999-12-07,-0.5378499520483682
1999-12-08,-0.5385922341756308
1999-12-09,-0.5392781414148613
1999-12-10,-0.5399117389315008
1999-12-13,-0.5404968313291587
1999-12-14,-0.541036974343371
1999-12-15,-0.5415354868422722
1999-12-16,-0.5419954629523965
