date,FRA_financial_markets_f1,FRA_financial_markets_f2
1999-02-01,0.9192807585289541,-0.9176630625738764
1999-02-02,0.9694091537259263,-0.9960572464420648
1999-02-03,0.9694091537259265,-0.9960572464420648
1999-02-04,0.9694091537259265,-0.9960572464420648
1999-02-05,0.9694091537259265,-0.9960572464420648
1999-02-08,0.9694091537259265,-0.9960572464420648
1999-02-09,0.9694091537259265,-0.9960572464420648
1999-02-10,0.9694091537259265,-0.9960572464420648
1999-02-11,0.9694091537259265,-0.9960572464420648
1999-02-12,0.9694091537259265,-0.9960572464420648
1999-02-15,0.9694091537259265,-0.9960572464420648
1999-02-16,0.9694091537259265,-0.9960572464420648
1999-02-17,0.9694091537259265,-0.9960572464420648
1999-02-18,0.9694091537259265,-0.9960572464420648
1999-02-19,0.9694091537259265,-0.9960572464420648
1999-02-22,0.9694091537259265,-0.9960572464420648
1999-02-23,0.9694091537259265,-0.9960572464420648
1999-02-24,0.9694091537259265,-0.9960572464420648
1999-02-25,0.9694091537259265,-0.9960572464420648
1999-02-26,0.9694091537259265,-0.9960572464420648
1999-03-01,1.3132956302044645,-1.2382304814869711
1999-03-02,0.982979468592611,-0.9974433478151229
1999-03-03,0.9829794685926098,-0.9974433478151229
1999-03-04,0.9829794685926098,-0.9974433478151229
1999-03-05,0.9829794685926098,-0.9974433478151229
1999-03-08,0.9829794685926098,-0.9974433478151229
1999-03-09,0.9829794685926098,-0.9974433478151229
1999-03-10,0.9829794685926098,-0.9974433478151229
1999-03-11,0.9829794685926098,-0.9974433478151229
1999-03-12,0.9829794685926098,-0.9974433478151229
1999-03-15,0.9829794685926098,-0.9974433478151229
1999-03-16,0.9829794685926098,-0.9974433478151229
1999-03-17,0.9829794685926098,-0.9974433478151229
1999-03-18,0.9829794685926098,-0.9974433478151229
1999-03-19,0.9829794685926098,-0.9974433478151229
1999-03-22,0.9829794685926098,-0.9974433478151229
1999-03-23,0.9829794685926098,-0.9974433478151229
1999-03-24,0.9829794685926098,-0.9974433478151229
1999-03-25,0.9829794685926098,-0.9974433478151229
