date,ITA_real_estate_f1__ITA_real_estate_f2
2000-01-31,-0.10962630554692457
2000-02-01,0.09000303734375018
2000-02-02,0.2585687899234275
2000-02-03,0.3893929508574809
2000-02-04,0.4910392897975791
2000-02-07,0.570083733905506
2000-02-08,0.631593281416899
2000-02-09,0.679482769521036
2000-02-10,0.7167832081399602
2000-02-11,0.745845153297903
2000-02-14,0.7684937900099343
2000-02-15,0.7861477650872408
2000-02-16,0.7999105923568066
2000-02-17,0.8106411732671941
2000-02-18,0.8190083339642388
2000-02-21,0.8255330801880459
2000-02-22,0.8306213839118284
2000-02-23,0.8345896524549771
2000-02-24,0.8376845309694606
2000-02-25,0.8400983098555177
2000-02-28,0.8419809191361445
2000-02-29,0.8434492698389304
2000-03-01,0.84775512487567
2000-03-02,0.847865186314456
2000-03-03,0.8479836017134205
2000-03-06,0.8480968022368263
2000-03-07,0.8481982863687535
2000-03-08,0.8482857198057139
2000-03-09,0.8483590765352713
2000-03-10,0.8484194934578356
2000-03-13,0.848468593833287
2000-03-14,0.8485081078419964
2000-03-15,0.8485396751390744
2000-03-16,0.8485647549424354
2000-03-17,0.8485845969542006
2000-03-20,0.8486002446639787
2000-03-21,0.8486125542250317
2000-03-22,0.8486222193317728
2000-03-23,0.8486297969163508
2000-03-24,0.8486357310750458
2000-03-27,0.8486403741196226
2000-03-28,0.8486440044632769
2000-03-29,0.8486468414695179
2000-03-30,0.8486490575834005
2000-03-31,0.8486507881293258
2000-04-03,0.8490782669819487
2000-04-04,0.8489848628386584
2000-04-05,0.8489122966884871
2000-04-06,0.8488558720393022
2000-04-07,0.8488119689839414
2000-04-10,0.8487777906617391
2000-04-11,0.8487511718838664
2000-04-12,0.8487304338242184
2000-04-13,0.8487142731270509
2000-04-14,0.8487016769187641
2000-04-17,0.8486918574430634
2000-04-18,0.8486842016438619
2000-04-19,0.8486782321871599
2000-04-20,0.8486735772702954
2000-04-21,0.8486699472027065
2000-04-24,0.8486671162179517
2000-04-25,0.8486649083352716
2000-04-26,0.8486631863609766
2000-04-27,0.84866184332742
2000-04-28,0.8486607958262922
2000-05-01,0.8486599788152323
2000-05-02,0.8483844496234781
2000-05-03,0.8484442813343696
2000-05-04,0.8484909617340146
2000-05-05,0.8485273794720383
2000-05-08,0.8485557895457083
2000-05-09,0.8485779519615818
2000-05-10,0.8485952401910192
2000-05-11,0.848608725942984
2000-05-12,0.8486192453926119
2000-05-15,0.8486274509028012
2000-05-16,0.8486338514050717
2000-05-17,0.8486388439195224
2000-05-18,0.8486427381542062
2000-05-19,0.8486457757009902
2000-05-22,0.8486481450133694
2000-05-23,0.8486499930922206
2000-05-24,0.8486514346025388
2000-05-25,0.8486525589856149
2000-05-26,0.848653436007213
2000-05-29,0.848654120085559
2000-05-30,0.8486546536674234
2000-05-31,0.8486550698616129
2000-06-01,0.8504429295710276
2000-06-02,0.8500432355509141
2000-06-05,0.8497340876479169
2000-06-06,0.8494945951247744
2000-06-07,0.8493088161794595
2000-06-08,0.8491645448066132
2000-06-09,0.8490524062176271
2000-06-12,0.848965180167337
2000-06-13,0.8488972925065014
2000-06-14,0.8488444312479212
2000-06-15,0.8488032552276404
2000-06-16,0.8487711720160668
2000-06-19,0.848746167926471
2000-06-20,0.8487266774403214
2000-06-21,0.8487114826106696
2000-06-22,0.8486996353695174
2000-06-23,0.8486903974030685
2000-06-26,0.8486831935462898
2000-06-27,0.8486775756094735
