date,ESP_financial_markets_f1,ESP_financial_markets_f2
1999-02-01,0.17859228525688048,0.15833930263526064
1999-02-02,0.19794795980398774,0.16319058031004569
1999-02-03,0.19794795980398774,0.16319058031517159
1999-02-04,0.19794795980398774,0.16319058031517159
1999-02-05,0.19794795980398774,0.16319058031517159
1999-02-08,0.19794795980398774,0.16319058031517159
1999-02-09,0.19794795980398774,0.16319058031517159
1999-02-10,0.19794795980398774,0.16319058031517159
1999-02-11,0.19794795980398774,0.16319058031517159
1999-02-12,0.19794795980398774,0.16319058031517159
1999-02-15,0.19794795980398774,0.16319058031517159
1999-02-16,0.19794795980398774,0.16319058031517159
1999-02-17,0.19794795980398774,0.16319058031517159
1999-02-18,0.19794795980398774,0.16319058031517159
1999-02-19,0.19794795980398774,0.16319058031517159
1999-02-22,0.19794795980398774,0.16319058031517159
1999-02-23,0.19794795980398774,0.16319058031517159
1999-02-24,0.19794795980398774,0.16319058031517159
1999-02-25,0.19794795980398774,0.16319058031517159
1999-02-26,0.19794795980398774,0.16319058031517159
1999-03-01,0.19794795980398774,0.16319058031517159
1999-03-02,0.12089103339603456,0.16168957129021083
1999-03-03,0.12089103339603456,0.16168957128859346
1999-03-04,0.12089103339603456,0.16168957128859346
1999-03-05,0.12089103339603456,0.16168957128859346
1999-03-08,0.12089103339603456,0.16168957128859346
1999-03-09,0.12089103339603456,0.16168957128859346
1999-03-10,0.12089103339603456,0.16168957128859346
1999-03-11,0.12089103339603456,0.16168957128859346
1999-03-12,0.12089103339603456,0.16168957128859346
1999-03-15,0.12089103339603456,0.16168957128859346
1999-03-16,0.12089103339603456,0.16168957128859346
1999-03-17,0.12089103339603456,0.16168957128859346
1999-03-18,0.12089103339603456,0.16168957128859346
1999-03-19,0.12089103339603456,0.16168957128859346
1999-03-22,0.12089103339603456,0.16168957128859346
1999-03-23,0.12089103339603456,0.16168957128859346
1999-03-24,0.12089103339603456,0.16168957128859346
1999-03-25,0.12089103339603456,0.16168957128859346
