date,ESP_financial_markets_f1__ESP_financial_markets_f2
1999-02-01,-0.036012942535382564
1999-02-02,0.276004816040695
1999-02-03,0.4606897267543714
1999-02-04,0.5913321203060292
1999-02-05,0.6826292244344291
1999-02-08,0.7458895869231073
1999-02-09,0.7894648115305898
1999-02-10,0.8193583644410967
1999-02-11,0.8398086868984512
1999-02-12,0.8537720794625181
1999-02-15,0.8632937586125337
1999-02-16,0.8697808286187243
1999-02-17,0.874197748696016
1999-02-18,0.8772038988165475
1999-02-19,0.8792493041500548
1999-02-22,0.8806407452086095
1999-02-23,0.8815871862891707
1999-02-24,0.88223088673412
1999-02-25,0.8826686585744898
1999-02-26,0.882966368975142
1999-03-01,0.8831688237705835
1999-03-02,0.858385242321894
1999-03-03,0.8660010834330764
1999-03-04,0.8714368195359018
1999-03-05,0.8752300131011482
1999-03-08,0.8778483738278985
1999-03-09,0.8796452531043389
1999-03-10,0.8808742343101056
1999-03-11,0.881713083142558
1999-03-12,0.882284909428589
1999-03-15,0.8826743893632641
1999-03-16,0.8829395265124577
1999-03-17,0.883119952871128
1999-03-18,0.8832427038824495
1999-03-19,0.8833262026534773
1999-03-22,0.8833829947382977
1999-03-23,0.8834216193004782
1999-03-24,0.88344788673565
1999-03-25,0.883465749845895
1999-03-26,0.8834778973349438
1999-03-29,0.8834861578890671
1999-03-30,0.8834917751842236
1999-03-31,0.8834955949979036
1999-04-01,0.8078374382265799
1999-04-02,0.802417616368257
1999-04-05,0.8034211416584994
1999-04-06,0.8070975338325019
1999-04-07,0.8113796906281817
1999-04-08,0.8152880901495596
1999-04-09,0.8184752729532143
1999-04-12,0.8209129922148609
1999-04-13,0.822704778204269
1999-04-14,0.8239883279905397
1999-04-15,0.8248922976475853
1999-04-16,0.8255217429947612
1999-04-19,0.825956694052327
1999-04-20,0.8262556994593778
1999-04-21,0.82646053182898
1999-04-22,0.8266005189538467
1999-04-23,0.8266960354752516
1999-04-26,0.826761137443055
1999-04-27,0.8268054765718843
1999-04-28,0.8268356594721696
1999-04-29,0.8268561987782068
1999-04-30,0.8268701724088275
1999-05-03,0.050436050743967314
1999-05-04,-0.2567978692026589
1999-05-05,-0.46091294669375305
1999-05-06,-0.5976463465993181
1999-05-07,-0.689715971981524
1999-05-10,-0.7519166277315169
1999-05-11,-0.7940291715528021
1999-05-12,-0.8225819350837102
1999-05-13,-0.841959469520561
1999-05-14,-0.8551185801195821
1999-05-17,-0.8640586657600865
1999-05-18,-0.8701341834728731
1999-05-19,-0.8742638078159756
1999-05-20,-0.8770711533934793
1999-05-21,-0.8789797784449846
1999-05-24,-0.880277471945861
1999-05-25,-0.8811598238441772
1999-05-26,-0.8817597860282899
1999-05-27,-0.8821677429731435
1999-05-28,-0.8824451455522417
1999-05-31,-0.8826337754549407
1999-06-01,-0.8518384875769404
1999-06-02,-0.8615223268733396
1999-06-03,-0.8694107395863568
1999-06-04,-0.8754503416423434
1999-06-07,-0.8798964973764961
1999-06-08,-0.883086209286532
1999-06-09,-0.8853353441953801
1999-06-10,-0.8869028781173509
1999-06-11,-0.8879867779017715
1999-06-14,-0.8887322546249444
1999-06-15,-0.889243110313926
1999-06-16,-0.8895923214409142
1999-06-17,-0.8898306343876735
1999-06-18,-0.8899930810214236
1999-06-21,-0.8901037271518389
1999-06-22,-0.8901790509512664
1999-06-23,-0.8902303101882536
1999-06-24,-0.8902651845230932
1999-06-25,-0.890288907411545
1999-06-28,-0.8903050428262181
1999-06-29,-0.8903160166840259
1999-06-30,-0.8903234797251866
1999-07-01,-0.7554572816159231
1999-07-02,-0.7341999090739828
1999-07-05,-0.7295478629720343
1999-07-06,-0.7379100845522615
1999-07-07,-0.7551304210770015
1999-07-08,-0.7769850867277516
1999-07-09,-0.7997946733825683
1999-07-12,-0.820909070121339
1999-07-13,-0.8388639022245754
1999-07-14,-0.8532046459316159
1999-07-15,-0.8641397791944271
1999-07-16,-0.8722001908975858
1999-07-19,-0.8779984733514891
1999-07-20,-0.8820979650568227
1999-07-21,-0.8849614515307155
1999-07-22,-0.8869448125173514
1999-07-23,-0.8883105992723572
1999-07-26,-0.8892473600309426
1999-07-27,-0.889888106101051
1999-07-28,-0.8903255587219318
1999-07-29,-0.8906238372166371
1999-07-30,-0.8908270425828055
1999-08-02,-0.8909653964077714
1999-08-03,-0.7426486547429739
1999-08-04,-0.7912052005061225
1999-08-05,-0.8236915349345169
1999-08-06,-0.8455872467346429
1999-08-09,-0.8604004085615137
1999-08-10,-0.8704424066614329
1999-08-11,-0.8772578968677569
1999-08-12,-0.8818867652346136
1999-08-13,-0.8850318918631784
1999-08-16,-0.8871694555170144
1999-08-17,-0.8886224904286126
1999-08-18,-0.8896103221817077
1999-08-19,-0.8902819413040802
1999-08-20,-0.8907385932147547
1999-08-23,-0.8910490937811095
1999-08-24,-0.8912602235925632
1999-08-25,-0.8914037869204308
1999-08-26,-0.8915014076562131
1999-08-27,-0.8915677886512803
1999-08-30,-0.8916129271966186
1999-08-31,-0.8916436211478916
1999-09-01,-0.7201369902602184
1999-09-02,-0.6645481801216753
1999-09-03,-0.6251030280073566
1999-09-06,-0.5993267744463181
1999-09-07,-0.5842516767057726
1999-09-08,-0.5768130161300391
1999-09-09,-0.5742446768415053
1999-09-10,-0.5743687948826572
1999-09-13,-0.5756962939611887
1999-09-14,-0.5773500673386383
1999-09-15,-0.5788962972221067
1999-09-16,-0.5801716945217045
1999-09-17,-0.5811531536957008
1999-09-20,-0.5818770728731034
1999-09-21,-0.5823967398522932
1999-09-22,-0.5827632028437185
1999-09-23,-0.5830185867148211
1999-09-24,-0.5831951535061947
1999-09-27,-0.5833165765722896
1999-09-28,-0.5833997764740867
1999-09-29,-0.583456646137462
1999-09-30,-0.5834954537601259
1999-10-01,-0.7574915091329621
1999-10-04,-0.790659404186576
1999-10-05,-0.8168108459329962
1999-10-06,-0.8366215694203283
1999-10-07,-0.851175584647717
1999-10-08,-0.8616270937302046
1999-10-11,-0.8690098692877556
1999-10-12,-0.8741642444061596
1999-10-13,-0.8777334168868426
1999-10-14,-0.880190857632604
1999-10-15,-0.8818762078953671
1999-10-18,-0.8830289281126602
1999-10-19,-0.8838158910452247
1999-10-20,-0.8843524726711903
1999-10-21,-0.8847180194098416
1999-10-22,-0.8849669022093947
1999-10-25,-0.8851362864874166
1999-10-26,-0.8852515343923072
1999-10-27,-0.8853299337492807
1999-10-28,-0.8853832595285228
1999-10-29,-0.8854195276178997
1999-11-01,-0.8854441929412691
1999-11-02,-0.4515344093764883
1999-11-03,-0.17618154624644122
1999-11-04,0.062217452790589475
1999-11-05,0.2574361768792426
1999-11-08,0.40999755455062387
1999-11-09,0.5248464189442464
1999-11-10,0.6088545996577123
1999-11-11,0.6690028275307667
1999-11-12,0.711404212352601
1999-11-15,0.740966307038247
1999-11-16,0.76141747101888
1999-11-17,0.7754894706449807
1999-11-18,0.7851360688764181
1999-11-19,0.7917320537459687
1999-11-22,0.7962342334287433
1999-11-23,0.7993035739304781
1999-11-24,0.8013943710295903
1999-11-25,0.8028178021620833
1999-11-26,0.8037865172084556
1999-11-29,0.8044456050806645
1999-11-30,0.8048939519782999
1999-12-01,-0.6985445433328626
1999-12-02,-0.6701990735853857
1999-12-03,-0.6476440809694239
1999-12-06,-0.6338897252298955
1999-12-07,-0.6308985928686602
1999-12-08,-0.6392397425333032
1999-12-09,-0.6579905548866831
1999-12-10,-0.6848735403519656
1999-12-13,-0.7166544025557627
1999-12-14,-0.7497887575520239
1999-12-15,-0.7811583165491871
1999-12-16,-0.8086225963669296
1999-12-17,-0.8311878038209426
1999-12-20,-0.8488159979598967
1999-12-21,-0.8620626339983984
1999-12-22,-0.8717317017042524
1999-12-23,-0.8786413814205488
1999-12-24,-0.8835048538103659
1999-12-27,-0.8868916897446412
1999-12-28,-0.889232715342307
1999-12-29,-0.8908425431435296
1999-12-30,-0.8919456359618139
1999-12-31,-0.8926996656588436
