date,DEU_banking_system_f1__DEU_banking_system_f2
1999-02-01,-0.1511221552975456
1999-02-02,-0.0484108905279422
1999-02-03,0.12630819425777456
1999-02-04,0.2681961619521286
1999-02-05,0.38258288455210687
1999-02-08,0.474225131939045
1999-02-09,0.5472624702745803
1999-02-10,0.6052212310399551
1999-02-11,0.6510526538743333
1999-02-12,0.6871912359869139
1999-02-15,0.7156219046550442
1999-02-16,0.7379479728940787
1999-02-17,0.7554548983041081
1999-02-18,0.769167232167526
1999-02-19,0.779897777101009
1999-02-22,0.7882889870345021
1999-02-23,0.7948472061089243
1999-02-24,0.7999706023936135
1999-02-25,0.8039717238704721
1999-02-26,0.8070955693296091
1999-03-01,0.8095339789242095
1999-03-02,0.7093996778445157
1999-03-03,0.7190018598147402
1999-03-04,0.730658525355248
1999-03-05,0.7433911905015717
1999-03-08,0.756355516708284
1999-03-09,0.7688849402636887
1999-03-10,0.7805076201714517
1999-03-11,0.790937578418378
1999-03-12,0.8000467968535825
1999-03-15,0.807827628915373
1999-03-16,0.8143541389020335
1999-03-17,0.8197482577192994
1999-03-18,0.824153543546248
1999-03-19,0.8277169049919062
1999-03-22,0.8305772193489073
1999-03-23,0.8328592226230224
1999-03-24,0.8346710511841668
1999-03-25,0.8361040882116975
1999-03-26,0.8372341161854424
1999-03-29,0.8381230962641486
1999-03-30,0.8388211472455246
1999-03-31,0.8393684770004806
1999-04-01,0.8411792619410937
1999-04-02,0.841238167489581
1999-04-05,0.8413032148576043
1999-04-06,0.8413658632692821
1999-04-07,0.8414221177964004
1999-04-08,0.8414705604936062
1999-04-09,0.8415111558839325
1999-04-12,0.84154454593904
1999-04-13,0.8415716477371785
1999-04-14,0.8415934342239673
1999-04-15,0.8416108231196039
1999-04-16,0.8416246278744499
1999-04-19,0.841635542856474
1999-04-20,0.8416441463308028
1999-04-21,0.84165091175633
1999-04-22,0.841656222118566
1999-04-23,0.8416603844984741
1999-04-26,0.8416636435124714
1999-04-27,0.8416661930656667
1999-04-28,0.8416681862953296
1999-04-29,0.8416697438004206
1999-04-30,0.8416709603495136
1999-05-03,0.8269602492703575
1999-05-04,0.8298737470278492
1999-05-05,0.8320831446498645
1999-05-06,0.8337694992653689
1999-05-07,0.8350630093756501
1999-05-10,0.8360589532108729
1999-05-11,0.8368280210386012
1999-05-12,0.8374232313583267
