date,DEU_banking_system_f1,DEU_banking_system_f2
1999-02-01,-0.9855805859115486,-0.4146166830544915
1999-02-02,-0.9999279088219034,-0.7956754958455151
1999-02-03,-0.999927908822056,-0.7956754958455152
1999-02-04,-0.999927908822056,-0.7956754958455152
1999-02-05,-0.999927908822056,-0.7956754958455152
1999-02-08,-0.999927908822056,-0.7956754958455152
1999-02-09,-0.999927908822056,-0.7956754958455152
1999-02-10,-0.999927908822056,-0.7956754958455152
1999-02-11,-0.999927908822056,-0.7956754958455152
1999-02-12,-0.999927908822056,-0.7956754958455152
1999-02-15,-0.999927908822056,-0.7956754958455152
1999-02-16,-0.999927908822056,-0.7956754958455152
1999-02-17,-0.999927908822056,-0.7956754958455152
1999-02-18,-0.999927908822056,-0.7956754958455152
1999-02-19,-0.999927908822056,-0.7956754958455152
1999-02-22,-0.999927908822056,-0.7956754958455152
1999-02-23,-0.999927908822056,-0.7956754958455152
1999-02-24,-0.999927908822056,-0.7956754958455152
1999-02-25,-0.999927908822056,-0.7956754958455152
1999-02-26,-0.999927908822056,-0.7956754958455152
1999-03-01,-1.0570772603445826,-3.1271687662039507
1999-03-02,-0.9999354923859556,-0.9817526260929529
1999-03-03,-0.9999354923854085,-0.9817526260929529
1999-03-04,-0.9999354923854085,-0.9817526260929529
1999-03-05,-0.9999354923854085,-0.9817526260929529
1999-03-08,-0.9999354923854085,-0.9817526260929529
1999-03-09,-0.9999354923854085,-0.9817526260929529
1999-03-10,-0.9999354923854085,-0.9817526260929529
1999-03-11,-0.9999354923854085,-0.9817526260929529
1999-03-12,-0.9999354923854085,-0.9817526260929529
1999-03-15,-0.9999354923854085,-0.9817526260929529
1999-03-16,-0.9999354923854085,-0.9817526260929529
1999-03-17,-0.9999354923854085,-0.9817526260929529
1999-03-18,-0.9999354923854085,-0.9817526260929529
1999-03-19,-0.9999354923854085,-0.9817526260929529
1999-03-22,-0.9999354923854085,-0.9817526260929529
1999-03-23,-0.9999354923854085,-0.9817526260929529
1999-03-24,-0.9999354923854085,-0.9817526260929529
1999-03-25,-0.9999354923854085,-0.9817526260929529
1999-03-26,-0.9999354923854085,-0.9817526260929529
1999-03-29,-0.9999354923854085,-0.9817526260929529
1999-03-30,-0.9999354923854085,-0.9817526260929529
1999-03-31,-0.9947557904104718,-1.1013795093631575
1999-04-01,-0.9999348189188167,-0.9854197156806465
1999-04-02,-0.9999348189188709,-0.9854197156806465
1999-04-05,-0.9999348189188709,-0.9854197156806465
1999-04-06,-0.9999348189188709,-0.9854197156806465
1999-04-07,-0.9999348189188709,-0.9854197156806465
1999-04-08,-0.9999348189188709,-0.9854197156806465
1999-04-09,-0.9999348189188709,-0.9854197156806465
1999-04-12,-0.9999348189188709,-0.9854197156806465
1999-04-13,-0.9999348189188709,-0.9854197156806465
1999-04-14,-0.9999348189188709,-0.9854197156806465
1999-04-15,-0.9999348189188709,-0.9854197156806465
1999-04-16,-0.9999348189188709,-0.9854197156806465
1999-04-19,-0.9999348189188709,-0.9854197156806465
1999-04-20,-0.9999348189188709,-0.9854197156806465
1999-04-21,-0.9999348189188709,-0.9854197156806465
1999-04-22,-0.9999348189188709,-0.9854197156806465
1999-04-23,-0.9999348189188709,-0.9854197156806465
1999-04-26,-0.9999348189188709,-0.9854197156806465
1999-04-27,-0.9999348189188709,-0.9854197156806465
1999-04-28,-0.9999348189188709,-0.9854197156806465
1999-04-29,-0.9999348189188709,-0.9854197156806465
1999-04-30,-0.8333567272466366,-0.6077168317889791
1999-05-03,-0.9999061607802155,-0.9629721005617774
1999-05-04,-0.9999061607825019,-0.9629721005617776
1999-05-05,-0.9999061607825019,-0.9629721005617776
1999-05-06,-0.9999061607825019,-0.9629721005617776
1999-05-07,-0.9999061607825019,-0.9629721005617776
1999-05-10,-0.9999061607825019,-0.9629721005617776
1999-05-11,-0.9999061607825019,-0.9629721005617776
1999-05-12,-0.9999061607825019,-0.9629721005617776
1999-05-13,-0.9999061607825019,-0.9629721005617776
1999-05-14,-0.9999061607825019,-0.9629721005617776
1999-05-17,-0.9999061607825019,-0.9629721005617776
1999-05-18,-0.9999061607825019,-0.9629721005617776
1999-05-19,-0.9999061607825019,-0.9629721005617776
1999-05-20,-0.9999061607825019,-0.9629721005617776
1999-05-21,-0.9999061607825019,-0.9629721005617776
1999-05-24,-0.9999061607825019,-0.9629721005617776
1999-05-25,-0.9999061607825019,-0.9629721005617776
1999-05-26,-0.9999061607825019,-0.9629721005617776
1999-05-27,-0.9999061607825019,-0.9629721005617776
1999-05-28,-0.9999061607825019,-0.9629721005617776
1999-05-31,-1.0620479878668478,-2.3821687820534434
1999-06-01,-0.9999168194999061,-0.9936566240869532
1999-06-02,-0.9999168194993153,-0.9936566240869532
1999-06-03,-0.9999168194993153,-0.9936566240869532
1999-06-04,-0.9999168194993153,-0.9936566240869532
1999-06-07,-0.9999168194993153,-0.9936566240869532
1999-06-08,-0.9999168194993153,-0.9936566240869532
1999-06-09,-0.9999168194993153,-0.9936566240869532
1999-06-10,-0.9999168194993153,-0.9936566240869532
1999-06-11,-0.9999168194993153,-0.9936566240869532
1999-06-14,-0.9999168194993153,-0.9936566240869532
1999-06-15,-0.9999168194993153,-0.9936566240869532
1999-06-16,-0.9999168194993153,-0.9936566240869532
1999-06-17,-0.9999168194993153,-0.9936566240869532
1999-06-18,-0.9999168194993153,-0.9936566240869532
1999-06-21,-0.9999168194993153,-0.9936566240869532
1999-06-22,-0.9999168194993153,-0.9936566240869532
1999-06-23,-0.9999168194993153,-0.9936566240869532
1999-06-24,-0.9999168194993153,-0.9936566240869532
1999-06-25,-0.9999168194993153,-0.9936566240869532
1999-06-28,-0.9999168194993153,-0.9936566240869532
