date,FRA_banking_system_f1__FRA_banking_system_f2
1999-02-01,-0.23821699286285813
1999-02-02,-0.47988063604941944
1999-02-03,-0.6195543050541715
1999-02-04,-0.715575560723646
1999-02-05,-0.7808520562524458
1999-02-08,-0.8248762977263663
1999-02-09,-0.8544038707569628
1999-02-10,-0.8741336663412491
1999-02-11,-0.8872830827284969
1999-02-12,-0.8960317819671897
1999-02-15,-0.9018458577778556
1999-02-16,-0.9057067214183445
1999-02-17,-0.908269235467797
1999-02-18,-0.9099694372434264
1999-02-19,-0.9110972490762844
1999-02-22,-0.911845259678336
1999-02-23,-0.9123413213569059
1999-02-24,-0.9126702751944927
1999-02-25,-0.912888405112265
1999-02-26,-0.9130330432804973
1999-03-01,-0.9131289484979009
1999-03-02,-0.7567477039942724
1999-03-03,-0.723720649195347
1999-03-04,-0.7048007452322786
1999-03-05,-0.6955345739107625
1999-03-08,-0.6921235856890116
1999-03-09,-0.6917745676340863
1999-03-10,-0.6927209364651782
1999-03-11,-0.6940070530277274
1999-03-12,-0.6952026306930352
1999-03-15,-0.6961647331668295
1999-03-16,-0.6968832966038697
1999-03-17,-0.6973971572650841
1999-03-18,-0.6977549293794958
1999-03-19,-0.6979998326373326
1999-03-22,-0.6981656479450737
1999-03-23,-0.6982771167654414
1999-03-24,-0.6983517012254052
1999-03-25,-0.6984014525139148
1999-03-26,-0.6984345714704645
1999-03-29,-0.6984565888095446
1999-03-30,-0.6984712128201208
1999-03-31,-0.6984809204276899
1999-04-01,-0.7048783594835611
1999-04-02,-0.76718040493444
1999-04-05,-0.8108686198539757
1999-04-06,-0.8410032298429251
1999-04-07,-0.8615373539085739
1999-04-08,-0.8754086020003127
1999-04-09,-0.8847224795669006
1999-04-12,-0.8909504768066621
1999-04-13,-0.895103352014801
1999-04-14,-0.8978673042906088
1999-04-15,-0.89970453677578
1999-04-16,-0.9009247395040734
1999-04-19,-0.9017346860848031
1999-04-20,-0.9022721123245118
1999-04-21,-0.9026286240489626
1999-04-22,-0.9028650838803085
1999-04-23,-0.9030219010315415
1999-04-26,-0.9031258926450899
1999-04-27,-0.9031948502593967
1999-04-28,-0.9032405751120214
1999-04-29,-0.9032708939975191
1999-04-30,-0.9032909973307719
1999-05-03,-0.0049211207354466335
1999-05-04,0.2370451238340559
1999-05-05,0.41976370302814536
1999-05-06,0.553974482611947
1999-05-07,0.6500670589451192
1999-05-10,0.7174222106571514
1999-05-11,0.7638651655511111
