date,FRA_banking_system_f1,FRA_banking_system_f2
1999-02-01,-0.9892835119700504,1.0997626666529714
1999-02-02,-0.9995878824462665,0.9606858740997474
1999-02-03,-0.9995878824462667,0.9606858740997473
1999-02-04,-0.9995878824462667,0.9606858740997473
1999-02-05,-0.9995878824462667,0.9606858740997473
1999-02-08,-0.9995878824462667,0.9606858740997473
1999-02-09,-0.9995878824462667,0.9606858740997473
1999-02-10,-0.9995878824462667,0.9606858740997473
1999-02-11,-0.9995878824462667,0.9606858740997473
1999-02-12,-0.9995878824462667,0.9606858740997473
1999-02-15,-0.9995878824462667,0.9606858740997473
1999-02-16,-0.9995878824462667,0.9606858740997473
1999-02-17,-0.9995878824462667,0.9606858740997473
1999-02-18,-0.9995878824462667,0.9606858740997473
1999-02-19,-0.9995878824462667,0.9606858740997473
1999-02-22,-0.9995878824462667,0.9606858740997473
1999-02-23,-0.9995878824462667,0.9606858740997473
1999-02-24,-0.9995878824462667,0.9606858740997473
1999-02-25,-0.9995878824462667,0.9606858740997473
1999-02-26,-0.9995878824462667,0.9606858740997473
1999-03-01,-1.051190856347648,0.09525405433000621
1999-03-02,-0.9996273289659298,0.32451945714490765
1999-03-03,-0.9996273289659293,0.32451945714490776
1999-03-04,-0.9996273289659293,0.32451945714490776
1999-03-05,-0.9996273289659293,0.32451945714490776
1999-03-08,-0.9996273289659293,0.32451945714490776
1999-03-09,-0.9996273289659293,0.32451945714490776
1999-03-10,-0.9996273289659293,0.32451945714490776
1999-03-11,-0.9996273289659293,0.32451945714490776
1999-03-12,-0.9996273289659293,0.32451945714490776
1999-03-15,-0.9996273289659293,0.32451945714490776
1999-03-16,-0.9996273289659293,0.32451945714490776
1999-03-17,-0.9996273289659293,0.32451945714490776
1999-03-18,-0.9996273289659293,0.32451945714490776
1999-03-19,-0.9996273289659293,0.32451945714490776
1999-03-22,-0.9996273289659293,0.32451945714490776
1999-03-23,-0.9996273289659293,0.32451945714490776
