date,DEU_public_finance_f1__DEU_public_finance_f2
1999-02-01,0.04194385830056542
1999-02-02,0.24443596467256767
1999-02-03,0.37825533619200113
1999-02-04,0.4840073530746641
1999-02-05,0.5673475933715962
1999-02-08,0.6328813311692072
1999-02-09,0.6843234497567684
1999-02-10,0.7246486206686367
1999-02-11,0.7562251348998114
1999-02-12,0.7809300573170254
1999-02-15,0.8002459015214546
1999-02-16,0.8153403564878692
1999-02-17,0.8271311751090831
1999-02-18,0.8363384666229199
1999-02-19,0.8435265236306216
1999-02-22,0.849137087528444
1999-02-23,0.8535156891049441
1999-02-24,0.8569324355456535
1999-02-25,0.8595983720313701
1999-02-26,0.8616783340964008
1999-03-01,0.8633010276172062
1999-03-02,0.6525560696486701
1999-03-03,0.2979050766824219
1999-03-04,0.030851247343600476
1999-03-05,-0.17206922356613422
1999-03-08,-0.3272633427277365
1999-03-09,-0.4465222183274642
1999-03-10,-0.5384910259409582
1999-03-11,-0.6096029794400434
1999-03-12,-0.6646986238974277
1999-03-15,-0.7074506926122768
1999-03-16,-0.7406635847545147
1999-03-17,-0.7664890608669291
1999-03-18,-0.7865842692267128
1999-03-19,-0.8022290934718368
1999-03-22,-0.8144142240687635
1999-03-23,-0.8239078124778171
1999-03-24,-0.8313062485907923
1999-03-25,-0.837073042882567
1999-03-26,-0.8415687202207459
1999-03-29,-0.8450738758106396
1999-03-30,-0.8478070013025777
1999-03-31,-0.8499382939728531
1999-04-01,-0.7744516722420862
1999-04-02,-0.7886235151881837
1999-04-05,-0.8010475672206706
1999-04-06,-0.8116561162523921
1999-04-07,-0.8205363887539523
1999-04-08,-0.8278570267252982
1999-04-09,-0.8338203314372263
1999-04-12,-0.8386327145713599
1999-04-13,-0.8424878542982748
1999-04-14,-0.8455583663966457
1999-04-15,-0.8479928721798141
1999-04-16,-0.8499162490779468
1999-04-19,-0.8514315735130963
1999-04-20,-0.8526228079377026
1999-04-21,-0.8535576658269883
1999-04-22,-0.8542903429401837
1999-04-23,-0.8548639641652073
1999-04-26,-0.855312691694623
1999-04-27,-0.8556634943446533
1999-04-28,-0.8559376053338205
1999-04-29,-0.8561517074494353
1999-04-30,-0.8563188871363192
1999-05-03,-0.8572698196683889
1999-05-04,-0.8571932997719407
1999-05-05,-0.8571347294230157
1999-05-06,-0.8570897306096231
1999-05-07,-0.8570550525765606
1999-05-10,-0.8570282616183214
1999-05-11,-0.8570075224179018
1999-05-12,-0.8569914422152849
1999-05-13,-0.8569789584830986
1999-05-14,-0.856969257054112
1999-05-17,-0.8569617118149792
1999-05-18,-0.8569558398594259
1999-05-19,-0.8569512678555746
1999-05-20,-0.856947706639254
1999-05-21,-0.8569449319030363
1999-05-24,-0.8569427694432369
1999-05-25,-0.8569410838416351
1999-05-26,-0.8569397697525953
1999-05-27,-0.8569387451773813
1999-05-28,-0.8569379462610132
