date,ITA_financial_markets_f1__ITA_financial_markets_f2
1999-02-01,-0.021780766272159195
1999-02-02,-0.15060637821835202
1999-02-03,-0.3159441717749263
1999-02-04,-0.44169275749626336
1999-02-05,-0.5378964366040614
1999-02-08,-0.6118308557411076
1999-02-09,-0.6688456171175495
1999-02-10,-0.7129273546813342
1999-02-11,-0.7470777361378181
1999-02-12,-0.7735747951706266
1999-02-15,-0.7941579928373097
1999-02-16,-0.8101618511702722
1999-02-17,-0.82261398725493
1999-02-18,-0.8323079522641381
1999-02-19,-0.839857905220246
1999-02-22,-0.8457399867762319
1999-02-23,-0.8503238312690922
1999-02-24,-0.8538966906907722
1999-02-25,-0.8566819774144102
1999-02-26,-0.8588535622982897
1999-03-01,-0.8605468273727501
1999-03-02,-0.8587717419545934
1999-03-03,-0.8593233368057096
1999-03-04,-0.8601301744841665
1999-03-05,-0.8610253230694063
1999-03-08,-0.8619049081400311
1999-03-09,-0.8627118919423199
1999-03-10,-0.8634204392996228
1999-03-11,-0.8640240780534031
1999-03-12,-0.8645273671502332
1999-03-15,-0.8649403940280802
1999-03-16,-0.8652753582789736
1999-03-17,-0.8655445934743431
1999-03-18,-0.8657595260435862
1999-03-19,-0.8659302131213085
1999-03-22,-0.8660652180189777
1999-03-23,-0.8661716683434395
1999-03-24,-0.8662554016316202
1999-03-25,-0.8663211428593213
1999-03-26,-0.866372683198555
1999-03-29,-0.8664130446554553
1999-03-30,-0.866444624156883
1999-03-31,-0.8664693156314018
1999-04-01,-0.8236406017690794
1999-04-02,-0.824846610496921
1999-04-05,-0.8278238903753687
1999-04-06,-0.8318287538739203
1999-04-07,-0.836272468224496
1999-04-08,-0.8407302747083905
1999-04-09,-0.8449252521481018
1999-04-12,-0.8487007401825929
1999-04-13,-0.851989270721566
1999-04-14,-0.8547837190934526
1999-04-15,-0.8571137104959679
1999-04-16,-0.8590281330438557
1999-04-19,-0.8605832517574566
1999-04-20,-0.8618353083664521
1999-04-21,-0.8628363844913155
1999-04-22,-0.8636324590891454
1999-04-23,-0.864262835277731
1999-04-26,-0.8647603526145978
1999-04-27,-0.8651519988514613
1999-04-28,-0.8654596815742596
1999-04-29,-0.8657010208145228
1999-04-30,-0.8658900890751406
1999-05-03,-0.8639174067433596
1999-05-04,-0.8644622516815126
1999-05-05,-0.8649025826101409
1999-05-06,-0.8652551565594239
1999-05-07,-0.8655356852063996
1999-05-10,-0.8657578448670842
1999-05-11,-0.8659331604684762
1999-05-12,-0.8660711397784646
1999-05-13,-0.8661795126705172
1999-05-14,-0.8662644986568228
1999-05-17,-0.8663310643473336
1999-05-18,-0.8663831537444913
1999-05-19,-0.8664238857125455
1999-05-20,-0.8664557188132324
1999-05-21,-0.8664805864336121
1999-05-24,-0.8665000061647966
1999-05-25,-0.8665151675336346
1999-05-26,-0.8665270019013378
1999-05-27,-0.8665362378764555
1999-05-28,-0.8665434450792354
1999-05-31,-0.8665490686074824
1999-06-01,-0.8614865927483163
1999-06-02,-0.8626430520810816
1999-06-03,-0.8635292526049623
1999-06-04,-0.8642106118533147
1999-06-07,-0.8647361760504406
1999-06-08,-0.865142581543204
1999-06-09,-0.8654574518668757
1999-06-10,-0.8657017687204878
1999-06-11,-0.8658915612490582
1999-06-14,-0.8660391306478255
1999-06-15,-0.8661539507459463
1999-06-16,-0.8662433381597116
1999-06-17,-0.8663129557873039
1999-06-18,-0.8663671940379956
1999-06-21,-0.866409461289798
1999-06-22,-0.8664424062916762
1999-06-23,-0.8664680891301693
1999-06-24,-0.8664881130677563
1999-06-25,-0.8665037264592772
1999-06-28,-0.8665159016906888
1999-06-29,-0.8665253964140052
1999-06-30,-0.8665328011058268
1999-07-01,-0.851244583471848
1999-07-02,-0.8534695928281592
1999-07-05,-0.8556148044904259
1999-07-06,-0.8575558174734328
1999-07-07,-0.8592418566864813
1999-07-08,-0.8606663635568544
1999-07-09,-0.8618464298580683
1999-07-12,-0.8628100285897984
1999-07-13,-0.863588478305219
1999-07-14,-0.8642122903661845
1999-07-15,-0.8647091173752754
1999-07-16,-0.8651029490584435
1999-07-19,-0.8654140076187824
1999-07-20,-0.8656590034911524
1999-07-21,-0.8658515498384645
1999-07-22,-0.8660026214948566
1999-07-23,-0.866120997829059
1999-07-26,-0.8662136609758139
1999-07-27,-0.8662861391365393
1999-07-28,-0.8663427945053143
1999-07-29,-0.8663870602404212
1999-07-30,-0.8664216329016131
1999-08-02,-0.8664486272042401
1999-08-03,-0.8469994398105768
1999-08-04,-0.8515091302533683
1999-08-05,-0.854942158588897
1999-08-06,-0.8575672405517735
1999-08-09,-0.8595833556563475
1999-08-10,-0.8611370818447364
1999-08-11,-0.8623376622836473
1999-08-12,-0.8632672901448847
1999-08-13,-0.8639882788495284
1999-08-16,-0.8645481575811695
1999-08-17,-0.8649833535495676
1999-08-18,-0.8653218913331976
1999-08-19,-0.8655853956011192
1999-08-20,-0.8657905918477926
1999-08-23,-0.865950440156816
1999-08-24,-0.8660749973977736
1999-08-25,-0.8661720763919364
1999-08-26,-0.8662477519982564
1999-08-27,-0.8663067509820455
1999-08-30,-0.8663527531574352
1999-08-31,-0.8663886244867193
1999-09-01,-0.8720556925774171
1999-09-02,-0.8708923086580053
1999-09-03,-0.8699651775493215
1999-09-06,-0.8692300609165462
1999-09-07,-0.868649246926414
1999-09-08,-0.8681916232113639
1999-09-09,-0.8678318498979384
1999-09-10,-0.8675494900979996
1999-09-13,-0.8673281848801617
1999-09-14,-0.8671549153086101
1999-09-15,-0.8670193668624316
1999-09-16,-0.8669133959711994
1999-09-17,-0.8668305903757054
1999-09-20,-0.8667659116033882
1999-09-21,-0.8667154070755607
1999-09-22,-0.866675979995308
1999-09-23,-0.8666452064485142
1999-09-24,-0.866621190652107
1999-09-27,-0.8666024507686626
1999-09-28,-0.8665878290602604
1999-09-29,-0.8665764213313939
1999-09-30,-0.8665675216034227
1999-10-01,-0.8602789446142293
1999-10-04,-0.8615445248567642
1999-10-05,-0.8625771663577982
1999-10-06,-0.8634092744353786
1999-10-07,-0.8640742154984448
1999-10-08,-0.8646023962512219
1999-10-11,-0.8650201062819616
1999-10-12,-0.8653493744584922
1999-10-13,-0.8656082906635721
1999-10-14,-0.8658115081849506
1999-10-15,-0.8659707829443356
1999-10-18,-0.8660954811975994
1999-10-19,-0.8661930273592245
1999-10-20,-0.8662692842880758
1999-10-21,-0.866328868507199
1999-10-22,-0.8663754072713541
1999-10-25,-0.8664117458359079
1999-10-26,-0.8664401132109534
1999-10-27,-0.8664622539221388
1999-10-28,-0.8664795322826411
1999-10-29,-0.8664930146342414
1999-11-01,-0.8665035340470506
1999-11-02,-0.8489746953674414
1999-11-03,-0.8518924285998126
1999-11-04,-0.8545175123580901
1999-11-05,-0.8567870834526978
1999-11-08,-0.8586968948397523
1999-11-09,-0.8602737417752185
1999-11-10,-0.8615578868283931
1999-11-11,-0.8625930723017837
1999-11-12,-0.8634212127277374
1999-11-15,-0.864079891395874
1999-11-16,-0.864601471974515
1999-11-17,-0.8650130893810427
1999-11-18,-0.8653370773385843
1999-11-19,-0.8655915757405191
1999-11-22,-0.8657911757007788
1999-11-23,-0.8659475292209011
1999-11-24,-0.8660698906672104
1999-11-25,-0.8661655797848686
1999-11-26,-0.8662403678509519
1999-11-29,-0.8662987942117879
1999-11-30,-0.866344422574372
1999-12-01,-0.8618905587155586
1999-12-02,-0.86235977788305
1999-12-03,-0.8629253223910343
1999-12-06,-0.8634967445638165
1999-12-07,-0.8640263356902254
1999-12-08,-0.864492794969803
1999-12-09,-0.8648902840994112
1999-12-10,-0.865221381512645
1999-12-13,-0.8654927340474012
1999-12-14,-0.8657124964513776
1999-12-15,-0.8658889112757412
1999-12-16,-0.8660295895264063
1999-12-17,-0.8661412048608556
1999-12-20,-0.866229419943228
1999-12-21,-0.8662989340620426
1999-12-22,-0.8663535865237656
1999-12-23,-0.8663964787449814
1999-12-24,-0.866430095250976
1999-12-27,-0.8664564139971386
1999-12-28,-0.8664770022469519
1999-12-29,-0.8664930973970457
1999-12-30,-0.8665056737249105
1999-12-31,-0.8665154967197183
2000-01-03,-0.8884767097813232
2000-01-04,-0.8846787225871197
2000-01-05,-0.8813859149328419
2000-01-06,-0.8785858704082706
2000-01-07,-0.8762432659053422
2000-01-10,-0.8743099045544009
2000-01-11,-0.8727321690989891
2000-01-12,-0.8714564432256471
2000-01-13,-0.8704325743145364
2000-01-14,-0.8696157442654604
2000-01-17,-0.8689671941443073
2000-01-18,-0.8684542070260373
2000-01-19,-0.8680496642252593
2000-01-20,-0.8677313961738637
2000-01-21,-0.8674814701634953
2000-01-24,-0.8672854983916974
2000-01-25,-0.8671320096552427
2000-01-26,-0.8670119025884679
2000-01-27,-0.8669179833297098
2000-01-28,-0.8668445824129819
2000-01-31,-0.8667872419358666
2000-02-01,-0.8618101746179911
2000-02-02,-0.8628587145449945
2000-02-03,-0.863677691300209
2000-02-04,-0.8643165800274878
2000-02-07,-0.8648148904753711
2000-02-08,-0.8652035244063017
2000-02-09,-0.8655066137298681
2000-02-10,-0.8657429886047612
2000-02-11,-0.8659273364073276
2000-02-14,-0.866071111110082
2000-02-15,-0.8661832445195158
2000-02-16,-0.8662707016016943
2000-02-17,-0.8663389136991888
2000-02-18,-0.8663921163508669
2000-02-21,-0.8664336126777886
2000-02-22,-0.866465978727586
2000-02-23,-0.8664912235714086
2000-02-24,-0.8665109141298812
2000-02-25,-0.8665262725042827
2000-02-28,-0.8665382518733897
2000-02-29,-0.8665475956793092
2000-03-01,-0.8825679472490419
2000-03-02,-0.87957082698524
2000-03-03,-0.8770538600171283
2000-03-06,-0.8749707193037144
2000-03-07,-0.8732668138000582
2000-03-08,-0.871886477769507
2000-03-09,-0.8707769741820467
2000-03-10,-0.8698907546500673
2000-03-13,-0.869186433134972
2000-03-14,-0.8686289075408228
2000-03-15,-0.8681889770141825
2000-03-16,-0.8678427041974107
2000-03-17,-0.8675706856743374
2000-03-20,-0.8673573284386893
2000-03-21,-0.8671901848397943
