date,USA_banking_system_f1__USA_banking_system_f2
2002-12-31,0.06104845076485548
2003-01-01,0.24295374875243925
2003-01-02,0.3831774317346305
2003-01-03,0.4919520200725859
2003-01-06,0.5764354507702886
2003-01-07,0.6421150131258886
2003-01-08,0.6932136526673894
2003-01-09,0.732991062562892
2003-01-10,0.7639692544078224
2003-01-13,0.7881030171338934
2003-01-14,0.8069096111596991
2003-01-15,0.8215679786126765
2003-01-16,0.8329949562972595
2003-01-17,0.8419040169242274
2003-01-20,0.84885066196494
2003-01-21,0.8542675709905352
2003-01-22,0.858491862529213
2003-01-23,0.8617862632197326
2003-01-24,0.8643555625423175
2003-01-27,0.8663594127831963
2003-01-28,0.867922291916871
2003-01-29,0.8691412618397565
2003-01-30,0.8700920120033099
2003-01-31,0.8708335687119042
2003-02-03,0.870926848131873
2003-02-04,0.8714853639151128
2003-02-05,0.8719207402348846
2003-02-06,0.8722601717957864
2003-02-07,0.8725248297775929
2003-02-10,0.8727312029267004
2003-02-11,0.872892137383272
2003-02-12,0.8730176439552138
2003-02-13,0.8731155254833026
2003-02-14,0.8731918647804977
2003-02-17,0.8732514043690325
2003-02-18,0.8732978421545711
2003-02-19,0.873334061735067
2003-02-20,0.8733623118487389
2003-02-21,0.873384346226053
2003-02-24,0.873401532602782
2003-02-25,0.8734149377066744
2003-02-26,0.8734253935205571
2003-02-27,0.8734335489514172
2003-02-28,0.8734399101224622
2003-03-03,0.873895558872456
2003-03-04,0.8737900333467624
2003-03-05,0.8737116954064953
2003-03-06,0.873653030653612
2003-03-07,0.8736087666506397
2003-03-10,0.873575155120723
2003-03-11,0.8735494969016193
2003-03-12,0.8735298246240214
2003-03-13,0.8735146883546248
2003-03-14,0.8735030089454972
2003-03-17,0.8734939763295181
2003-03-18,0.8734869779943968
2003-03-19,0.8734815479819008
2003-03-20,0.8734773300411826
2003-03-21,0.8734740506829104
2003-03-24,0.8734714992578423
2003-03-25,0.8734695130873001
2003-03-26,0.8734679662731017
2003-03-27,0.8734667612181306
2003-03-28,0.8734658221639939
2003-03-31,0.8734650902427534
2003-04-01,0.8734067314231352
2003-04-02,0.8734189899610411
2003-04-03,0.8734285541704165
2003-04-04,0.8734360158013781
2003-04-07,0.8734418368127481
2003-04-08,0.8734463777714181
2003-04-09,0.8734499200646927
2003-04-10,0.8734526832628061
2003-04-11,0.8734548386840706
2003-04-14,0.8734565199892763
2003-04-15,0.8734578314535782
2003-04-16,0.8734588544235782
2003-04-17,0.8734596523568944
2003-04-18,0.8734602747548768
2003-04-21,0.8734607602312489
2003-04-22,0.8734611389063308
2003-04-23,0.873461434274949
2003-04-24,0.8734616646636566
2003-04-25,0.8734618443675198
2003-04-28,0.8734619845369027
2003-04-29,0.8734620938692154
2003-04-30,0.8734621791485134
2003-05-01,0.8669831163983146
2003-05-02,0.8684779626033592
2003-05-05,0.8696155973135743
2003-05-06,0.8704862595545843
2003-05-07,0.871155472425274
2003-05-08,0.8716715492167177
2003-05-09,0.8720705477520132
2003-05-12,0.8723796371028135
2003-05-13,0.8726194429065457
2003-05-14,0.8728057157885567
2003-05-15,0.8729505392944569
2003-05-16,0.8730632172762737
2003-05-19,0.8731509336565528
2003-05-20,0.8732192477720968
2003-05-21,0.8732724692211904
2003-05-22,0.873313943330779
2003-05-23,0.8733462696595095
2003-05-26,0.8733714699194425
2003-05-27,0.8733911174374552
2003-05-28,0.8734064372165538
2003-05-29,0.8734183834270354
2003-05-30,0.8734276995119638
2003-06-02,0.8734349648645123
2003-06-03,0.8733883510785615
2003-06-04,0.8734013432839127
2003-06-05,0.8734126161990018
2003-06-06,0.8734221019929789
2003-06-09,0.8734299224658446
2003-06-10,0.8734362788990504
2003-06-11,0.8734413929454206
2003-06-12,0.8734454768268227
2003-06-13,0.8734487200053
2003-06-16,0.873451284819194
2003-06-17,0.8734533067492569
2003-06-18,0.8734548968588715
2003-06-19,0.8734561450557149
2003-06-20,0.8734571234622188
2003-06-23,0.8734578895472733
2003-06-24,0.8734584888748256
2003-06-25,0.8734589574338688
2003-06-26,0.873459323569052
2003-06-27,0.8734596095554276
2003-06-30,0.873459832868665
2003-07-01,0.8715666368102225
2003-07-02,0.8719622087400347
2003-07-03,0.8722791534955884
2003-07-04,0.8725314013346792
2003-07-07,0.8727311787725457
2003-07-08,0.8728888278826256
2003-07-09,0.8730128950587657
2003-07-10,0.873110333421952
2003-07-11,0.8731867387179395
2003-07-14,0.8732465794041167
2003-07-15,0.8732934035167532
2003-07-16,0.8733300163994123
2003-07-17,0.8733586291524912
2003-07-18,0.8733809803338052
2003-07-21,0.8733984344498987
2003-07-22,0.8734120609336126
2003-07-23,0.8734226970504377
2003-07-24,0.873430997755489
2003-07-25,0.873437475061051
2003-07-28,0.8734425290340184
2003-07-29,0.8734464721504497
2003-07-30,0.8734495483993562
2003-07-31,0.8734519482488291
2003-08-01,0.8758540193489132
2003-08-04,0.8752387161921127
2003-08-05,0.8747908095610127
2003-08-06,0.8744623255013364
2003-08-07,0.8742195192178973
2003-08-08,0.8740386419895788
2003-08-11,0.8739029101411958
2003-08-12,0.8738003808140623
2003-08-13,0.8737224823095292
2003-08-14,0.8736630035485593
2003-08-15,0.8736173997777162
2003-08-18,0.8735823139034918
2003-08-19,0.8735552442592561
2003-08-20,0.8735343119014664
2003-08-21,0.8735180958793348
2003-08-22,0.8735055152906477
2003-08-25,0.873495743864342
2003-08-26,0.8734881474161919
2003-08-27,0.8734822375850241
2003-08-28,0.8734776372986786
2003-08-29,0.8734740547901566
2003-09-01,0.8734712639139605
2003-09-02,0.8732304327370429
2003-09-03,0.8732798739612478
2003-09-04,0.8733189764566434
2003-09-05,0.8733498032178633
2003-09-08,0.8733740465866664
2003-09-09,0.8733930770161478
2003-09-10,0.8734079940466345
2003-09-11,0.8734196738848218
2003-09-12,0.873428811246211
2003-09-15,0.8734359548582491
2003-09-16,0.8734415368907474
2003-09-17,0.8734458969662777
2003-09-18,0.8734493015286546
2003-09-19,0.8734519593393484
2003-09-22,0.8734540338010581
2003-09-23,0.8734556527137719
2003-09-24,0.8734569159718345
2003-09-25,0.8734579016207665
2003-09-26,0.873458670613879
2003-09-29,0.8734592705420724
2003-09-30,0.873459738555024
2003-10-01,0.8712769464640315
2003-10-02,0.8717286737024946
2003-10-03,0.8720925167460034
2003-10-06,0.8723831978107869
2003-10-07,0.8726140656061193
2003-10-08,0.872796635193772
2003-10-09,0.8729405447887719
2003-10-10,0.8730537048119156
2003-10-13,0.8731425210986842
2003-10-14,0.8732121321274475
2003-10-15,0.8732666315658314
2003-10-16,0.8733092642601135
2003-10-17,0.8733425925424564
2003-10-20,0.8733686340335018
2003-10-21,0.8733889740031962
2003-10-22,0.8734048559578668
2003-10-23,0.873417254080729
2003-10-24,0.873426930815494
2003-10-27,0.8734344824365269
2003-10-28,0.873440374991021
2003-10-29,0.8734449725752164
2003-10-30,0.8734485595364415
2003-10-31,0.8734513578797795
2003-11-03,0.8726181348721226
2003-11-04,0.8728050194733621
2003-11-05,0.8729502164161441
2003-11-06,0.8730631231996391
2003-11-07,0.8731509803219973
2003-11-10,0.8732193814017835
2003-11-11,0.8732726568669045
2003-11-12,0.8733141647336846
2003-11-13,0.8733465123118642
2003-11-14,0.8733717260617971
2003-11-17,0.8733913822285821
2003-11-18,0.8734067076154579
2003-11-19,0.8734186575082098
2003-11-20,0.8734279760447645
2003-11-21,0.8734352430538853
2003-11-24,0.8734409104378472
2003-11-25,0.8734453304589096
2003-11-26,0.8734487777468523
2003-11-27,0.8734514664308733
2003-11-28,0.8734535634818086
2003-12-01,0.8734551991064982
2003-12-02,0.8721767370999716
2003-12-03,0.8724462941066804
2003-12-04,0.8726616878014651
2003-12-05,0.8728327863422043
2003-12-08,0.8729681075505809
2003-12-09,0.8730747846101027
2003-12-10,0.8731586744340368
2003-12-11,0.8732245215234143
2003-12-12,0.873276132716055
2003-12-15,0.8733165414347068
2003-12-16,0.8733481525154388
2003-12-17,0.8733728652091941
2003-12-18,0.8733921751656769
2003-12-19,0.8734072576275744
2003-12-22,0.8734190345267967
2003-12-23,0.873428228154325
2003-12-24,0.8734354038316489
2003-12-25,0.8734410036851763
2003-12-26,0.8734453732881059
2003-12-29,0.8734487826219511
2003-12-30,0.8734514425364062
2003-12-31,0.8734535176548119
2004-01-01,0.8735644172244807
2004-01-02,0.873504489904037
2004-01-05,0.8734720802771082
2004-01-06,0.8734556333451446
2004-01-07,0.8734482327471131
2004-01-08,0.873445788863438
2004-01-09,0.8734459203293382
2004-01-12,0.87344726863856
2004-01-13,0.8734490811281065
2004-01-14,0.8734509591224346
2004-01-15,0.8734527070652394
2004-01-16,0.8734542430152281
2004-01-19,0.8734555461867729
2004-01-20,0.8734566266923833
2004-01-21,0.8734575084770344
2004-01-22,0.8734582200064825
2004-01-23,0.8734587894486985
2004-01-26,0.8734592424080057
2004-01-27,0.8734596010683628
2004-01-28,0.8734598840803822
2004-01-29,0.8734601068115982
2004-01-30,0.8734602817478292
2004-02-02,0.8734604189317946
2004-02-03,0.8735307984897687
2004-02-04,0.8735141232388445
2004-02-05,0.8735016326666396
2004-02-06,0.8734922045022107
2004-02-09,0.8734850420904621
2004-02-10,0.8734795720602403
2004-02-11,0.8734753764588604
2004-02-12,0.873472147124609
2004-02-13,0.8734696545600534
2004-02-16,0.8734677263763928
2004-02-17,0.8734662321406687
2004-02-18,0.8734650725687358
2004-02-19,0.8734641717124385
2004-02-20,0.8734634712412003
2004-02-23,0.8734629262103696
2004-02-24,0.8734625018997695
2004-02-25,0.8734621714325227
2004-02-26,0.873461913969326
2004-02-27,0.8734617133313787
2004-03-01,0.8734615569453736
2004-03-02,0.8734883181537778
2004-03-03,0.8734322730760897
2004-03-04,0.8734077975530564
2004-03-05,0.8734005950428055
2004-03-08,0.873402298994015
2004-03-09,0.8734081257845329
2004-03-10,0.8734154278290648
2004-03-11,0.8734228108306104
2004-03-12,0.873429600957941
2004-03-15,0.8734355270303384
2004-03-16,0.8734405336068828
2004-03-17,0.873444673025282
2004-03-18,0.8734480445585798
2004-03-19,0.8734507613426661
2004-03-22,0.8734529334129543
2004-03-23,0.8734546598860086
2004-03-24,0.8734560261730779
2004-03-25,0.8734571038304625
2004-03-26,0.8734579516783013
2004-03-29,0.8734586174269257
2004-03-30,0.8734591394049155
2004-03-31,0.8734595481870004
2004-04-01,0.8734132408680961
2004-04-02,0.8734237321309302
2004-04-05,0.8734319204512734
2004-04-06,0.8734383104617948
2004-04-07,0.8734432965663144
2004-04-08,0.8734471868800433
2004-04-09,0.8734502220247028
2004-04-12,0.8734525898626304
2004-04-13,0.8734544370342802
2004-04-14,0.8734558779847504
2004-04-15,0.8734570020210594
2004-04-16,0.8734578788268941
2004-04-19,0.873458562770243
2004-04-20,0.8734590962670767
2004-04-21,0.8734595124072799
2004-04-22,0.8734598370042583
2004-04-23,0.8734600901944666
2004-04-26,0.8734602876855512
2004-04-27,0.8734604417302106
2004-04-28,0.873460561885993
2004-04-29,0.8734606556080539
2004-04-30,0.8734607287115761
2004-05-03,0.8685830527083289
2004-05-04,0.8696663564998443
2004-05-05,0.8705074318173535
2004-05-06,0.8711609974441468
2004-05-07,0.8716692304332088
2004-05-10,0.8720646908050579
2004-05-11,0.8723725561992345
2004-05-12,0.8726123259592559
2004-05-13,0.8727991222748728
2004-05-14,0.8729446861731348
2004-05-17,0.873058142098661
2004-05-18,0.8731465864578201
2004-05-19,0.8732155417641566
2004-05-20,0.8732693078083887
2004-05-21,0.8733112336748793
2004-05-24,0.8733439287459737
2004-05-25,0.8733694265675295
2004-05-26,0.8733893122240511
2004-05-27,0.8734048214220809
2004-05-28,0.873416917610734
2004-05-31,0.8734263520352764
2004-06-01,0.8720200086784105
2004-06-02,0.8723196843195559
2004-06-03,0.8725601977036123
2004-06-04,0.8727518672153826
2004-06-07,0.8729038228207425
2004-06-08,0.8730238303996887
2004-06-09,0.8731183331723998
2004-06-10,0.8731925886630225
2004-06-11,0.8732508374042123
2004-06-14,0.8732964713390956
2004-06-15,0.8733321871850213
2004-06-16,0.8733601192677601
2004-06-17,0.8733819510848
2004-06-18,0.8733990071232898
2004-06-21,0.8734123273787345
2004-06-22,0.8734227272355078
2004-06-23,0.8734308452377685
2004-06-24,0.8734371809961989
2004-06-25,0.8734421251469934
2004-06-28,0.8734459829577508
2004-06-29,0.8734489928845782
2004-06-30,0.8734513411344531
2004-07-01,0.8701773222021411
2004-07-02,0.8708533356997514
2004-07-05,0.8713990937972358
2004-07-06,0.8718357800876905
2004-07-07,0.8721829737246791
2004-07-08,0.8724577354699949
2004-07-09,0.8726744291758267
2004-07-12,0.8728448866935185
2004-07-13,0.8729787121633883
2004-07-14,0.8730836219754956
2004-07-15,0.8731657704193053
2004-07-16,0.8732300395860365
2004-07-19,0.8732802869130372
2004-07-20,0.8733195511053864
2004-07-21,0.8733502204732806
2004-07-22,0.8733741688881625
2004-07-23,0.8733928646391065
2004-07-26,0.8734074570412106
2004-07-27,0.8734188450201437
2004-07-28,0.8734277312326029
2004-07-29,0.8734346646591991
