date,ESP_financial_markets_f1__ESP_financial_markets_f2
1999-02-01,-0.036012942535382564
1999-02-02,0.1738289112944992
1999-02-03,0.3161485578432724
1999-02-04,0.42993856194181523
1999-02-05,0.5204464432080202
1999-02-08,0.5921379993434098
1999-02-09,0.6487384340646811
1999-02-10,0.6933082070574839
1999-02-11,0.7283324684824829
1999-02-12,0.7558111340228965
1999-02-15,0.7773424736741997
1999-02-16,0.7941969086052876
1999-02-17,0.8073800454302742
1999-02-18,0.817685291438883
1999-02-19,0.825737050521949
1999-02-22,0.8320257558342302
1999-02-23,0.8369360239869181
1999-02-24,0.840769126022709
1999-02-25,0.8437608286099066
1999-02-26,0.8460955026011246
1999-03-01,0.8479172454924258
1999-03-02,0.8300098485443224
1999-03-03,0.8353064688391366
1999-03-04,0.8394553115154195
1999-03-05,0.8427000436454282
1999-03-08,0.8452353274038573
1999-03-09,0.8472151422065395
1999-03-10,0.8487606232300174
1999-03-11,0.8499667668184396
1999-03-12,0.850907929989583
1999-03-15,0.8516422466176868
1999-03-16,0.8522151332435938
1999-03-17,0.8526620539585922
1999-03-18,0.8530106924350951
1999-03-19,0.8532826541240182
1999-03-22,0.8534947982214164
1999-03-23,0.8536602789038543
1999-03-24,0.8537893587598656
1999-03-25,0.8538900439762818
1999-03-26,0.8539685801865837
1999-03-29,0.854029839464264
1999-03-30,0.8540776223121768
1999-03-31,0.8541148932930411
1999-04-01,0.8017210095990406
1999-04-02,0.7893725596450304
1999-04-05,0.78152604436463
1999-04-06,0.7768542594771802
1999-04-07,0.774339446732451
1999-04-08,0.7732252511832702
1999-04-09,0.772970355373742
1999-04-12,0.7732032438648693
1999-04-13,0.773680408536494
1999-04-14,0.7742503887572094
1999-04-15,0.7748249032907245
1999-04-16,0.7753570703643917
1999-04-19,0.7758258477411734
1999-04-20,0.7762254426582278
1999-04-21,0.7765584200467782
1999-04-22,0.7768314118773757
1999-04-23,0.7770525722967084
1999-04-26,0.7772301571721884
1999-04-27,0.7773717998998192
1999-04-28,0.7774842007183499
1999-04-29,0.7775730494708513
1999-04-30,0.7776430710078822
1999-05-03,0.22817049537790718
1999-05-04,-0.03034013525150206
1999-05-05,-0.22327087538268614
1999-05-06,-0.3687759159759863
1999-05-07,-0.47937867187794947
1999-05-10,-0.5639521423097439
1999-05-11,-0.628915456781024
1999-05-12,-0.6789889666212917
1999-05-13,-0.7176885380469249
1999-05-14,-0.7476593158998829
1999-05-17,-0.7709070792881464
1999-05-18,-0.788962186129642
1999-05-19,-0.8029979065411916
1999-05-20,-0.8139171456500401
