date,USA_real_estate_f1__USA_real_estate_f2
1999-02-01,0.28898136710837546
1999-02-02,-0.07663976820359222
1999-02-03,-0.32711761915432
1999-02-04,-0.49736307779344896
1999-02-05,-0.6130945926569893
1999-02-08,-0.6917759499697272
1999-02-09,-0.7452719179110893
1999-02-10,-0.7816457887923428
1999-02-11,-0.806378451810232
1999-02-12,-0.8231959312884285
1999-02-15,-0.8346314740113272
1999-02-16,-0.8424074804411857
1999-02-17,-0.8476950868671833
1999-02-18,-0.8512906212871165
1999-02-19,-0.8537355658359458
1999-02-22,-0.8553981185161439
1999-02-23,-0.8565286492847749
1999-02-24,-0.857297407456135
1999-02-25,-0.8578201614585584
1999-02-26,-0.8581756332698639
1999-03-01,-0.8584173535502247
1999-03-02,-0.8582721288868029
1999-03-03,-0.8584215280381327
1999-03-04,-0.8585569728109474
1999-03-05,-0.8586647828956095
1999-03-08,-0.8587453955918382
1999-03-09,-0.8588036010588954
1999-03-10,-0.8588447517499778
1999-03-11,-0.8588734618945557
1999-03-12,-0.8588933216617357
1999-03-15,-0.858906982191369
1999-03-16,-0.8589163434690904
1999-03-17,-0.8589227424942258
1999-03-18,-0.8589271092568463
1999-03-19,-0.8589300857878163
1999-03-22,-0.8589321131261802
1999-03-23,-0.8589334932403151
1999-03-24,-0.8589344324221757
1999-03-25,-0.8589350713911517
1999-03-26,-0.8589355060402478
1999-03-29,-0.8589358016709239
1999-03-30,-0.858936002731715
1999-03-31,-0.8589361394677444
1999-04-01,-0.858339695413233
1999-04-02,-0.8584686351823116
1999-04-05,-0.8585903431042113
1999-04-06,-0.8586888049956537
1999-04-07,-0.8587630335545507
1999-04-08,-0.858816877544157
1999-04-09,-0.8588550506583512
1999-04-12,-0.8588817298502174
1999-04-13,-0.8589002054643798
1999-04-14,-0.8589129232594338
1999-04-15,-0.8589216427558507
1999-04-16,-0.8589276050287324
1999-04-19,-0.858931674639975
1999-04-20,-0.858934449033468
1999-04-21,-0.8589363388837236
1999-04-22,-0.8589376254899115
1999-04-23,-0.8589385010789661
1999-04-26,-0.8589390968014271
1999-04-27,-0.8589395020413318
1999-04-28,-0.8589397776730456
1999-04-29,-0.8589399651342201
1999-04-30,-0.8589400926223664
1999-05-03,-0.8582641806927382
1999-05-04,-0.8584781037509526
1999-05-05,-0.8586247421900839
1999-05-06,-0.8587249325560699
1999-05-07,-0.8587932800565294
1999-05-10,-0.8588398565019145
1999-05-11,-0.858871574569244
1999-05-12,-0.8588931640884259
1999-05-13,-0.85890785475165
1999-05-14,-0.8589178489178773
1999-05-17,-0.8589246470330908
1999-05-18,-0.858929270711112
1999-05-19,-0.858932415254026
1999-05-20,-0.8589345537463072
1999-05-21,-0.8589360080141673
1999-05-24,-0.8589369969588257
1999-05-25,-0.858937669460487
1999-05-26,-0.8589381267702909
1999-05-27,-0.8589384377448003
1999-05-28,-0.8589386492091297
1999-05-31,-0.8589387930055649
1999-06-01,-0.8568617954578092
1999-06-02,-0.8572439864531121
1999-06-03,-0.8576551404390066
1999-06-04,-0.8580060072528076
1999-06-07,-0.8582780352035695
1999-06-08,-0.8584786339063697
1999-06-09,-0.8586223147870089
1999-06-10,-0.8587233976079216
1999-06-11,-0.8587937019795142
1999-06-14,-0.858842235664357
1999-06-15,-0.858875575112208
1999-06-16,-0.8588984017082509
1999-06-17,-0.8589139958663791
1999-06-18,-0.8589246332311318
1999-06-21,-0.8589318820555571
1999-06-22,-0.8589368183836613
1999-06-23,-0.8589401783812173
1999-06-24,-0.85894246470183
1999-06-25,-0.8589440201029555
1999-06-28,-0.8589450781002821
1999-06-29,-0.8589457976881577
1999-06-30,-0.8589462870768687
1999-07-01,-0.8553782491086122
1999-07-02,-0.8561105108959008
1999-07-05,-0.8568268234952515
1999-07-06,-0.8574168101647934
1999-07-07,-0.8578662697128548
1999-07-08,-0.858194453134711
1999-07-09,-0.8584281213352166
1999-07-12,-0.8585918970363656
1999-07-13,-0.8587055294625676
1999-07-14,-0.8587838492937493
1999-07-15,-0.8588375929647755
1999-07-16,-0.8588743637050157
1999-07-19,-0.8588994719343936
1999-07-20,-0.8589165936939194
1999-07-21,-0.858928258762746
1999-07-22,-0.858936201306444
1999-07-23,-0.8589416069952902
1999-07-26,-0.8589452850625807
1999-07-27,-0.8589477871638214
1999-07-28,-0.8589494890613287
1999-07-29,-0.858950646567726
1999-07-30,-0.8589514337715747
1999-08-02,-0.8589519691159115
1999-08-03,-0.8581906833654698
1999-08-04,-0.8584200553642231
1999-08-05,-0.8585838259998845
1999-08-06,-0.8586986816554648
1999-08-09,-0.8587783869347271
1999-08-10,-0.8588333244893356
1999-08-11,-0.8588710221686474
1999-08-12,-0.858896813522622
1999-08-13,-0.8589144240938607
1999-08-16,-0.8589264327438552
1999-08-17,-0.8589346140836469
1999-08-18,-0.8589401845361038
1999-08-19,-0.8589439757428754
1999-08-20,-0.858946555287266
1999-08-23,-0.8589483100809994
1999-08-24,-0.858949503665381
1999-08-25,-0.8589503154524274
1999-08-26,-0.8589508675365235
1999-08-27,-0.8589512429853666
1999-08-30,-0.8589514983050802
1999-08-31,-0.8589516719290966
1999-09-01,-0.8582257956454957
1999-09-02,-0.8584440247369658
1999-09-03,-0.858599968482574
1999-09-06,-0.8587093916282234
1999-09-07,-0.858785352738948
1999-09-08,-0.858837721392187
1999-09-09,-0.8588736617333294
1999-09-10,-0.8588982532769465
1999-09-13,-0.8589150457571888
1999-09-14,-0.8589264970817863
1999-09-15,-0.85893429896808
1999-09-16,-0.8589396111742046
1999-09-17,-0.8589432266728676
1999-09-20,-0.8589456866893149
1999-09-21,-0.858947360182631
1999-09-22,-0.8589484984728589
1999-09-23,-0.8589492726553373
1999-09-24,-0.8589497991662405
1999-09-27,-0.8589501572243571
1999-09-28,-0.8589504007179417
1999-09-29,-0.8589505662999931
1999-09-30,-0.8589506788986936
1999-10-01,-0.8580166786855434
1999-10-04,-0.8583119340954991
1999-10-05,-0.8585144133452409
1999-10-06,-0.8586527958514746
1999-10-07,-0.8587472135358363
1999-10-08,-0.858811562986153
1999-10-11,-0.8588553873994274
1999-10-12,-0.8588852187309258
1999-10-13,-0.8589055181925955
1999-10-14,-0.8589193283515681
1999-10-15,-0.858928722267579
1999-10-18,-0.858935111516556
1999-10-19,-0.858939456844028
1999-10-20,-0.8589424119600726
1999-10-21,-0.8589444215735084
1999-10-22,-0.8589457881720992
1999-10-25,-0.858946717487052
1999-10-26,-0.8589473494337837
1999-10-27,-0.8589477791631385
1999-10-28,-0.858948071381521
1999-10-29,-0.8589482700910331
1999-11-01,-0.8589484052138971
1999-11-02,-0.8578771246526185
1999-11-03,-0.8581703893441268
1999-11-04,-0.8583965345640826
1999-11-05,-0.8585624762021417
1999-11-08,-0.8586809119020634
1999-11-09,-0.8587640266468185
1999-11-10,-0.8588217342055489
1999-11-11,-0.8588615245172783
1999-11-12,-0.8588888355871056
1999-11-15,-0.8589075243130173
1999-11-16,-0.8589202868062619
1999-11-17,-0.8589289903321786
1999-11-18,-0.8589349202981186
1999-11-19,-0.8589389580211474
1999-11-22,-0.8589417061431407
1999-11-23,-0.8589435760072859
1999-11-24,-0.8589448480418773
1999-11-25,-0.8589457132685963
1999-11-26,-0.8589463017348987
1999-11-29,-0.8589467019436178
1999-11-30,-0.8589469741092755
1999-12-01,-0.8567398147292223
1999-12-02,-0.8573393254151582
1999-12-03,-0.8578043027057134
1999-12-06,-0.8581467502819256
1999-12-07,-0.8583916483423125
1999-12-08,-0.858563709779908
1999-12-09,-0.8586832586013404
1999-12-10,-0.8587657263136258
1999-12-13,-0.8588223464277507
1999-12-14,-0.8588610984265858
1999-12-15,-0.8588875654225975
1999-12-16,-0.8589056164099867
1999-12-17,-0.8589179157712143
1999-12-20,-0.8589262907458528
1999-12-21,-0.8589319910000915
1999-12-22,-0.8589358696081095
1999-12-23,-0.8589385081860474
1999-12-24,-0.8589403029380076
1999-12-27,-0.8589415236086401
1999-12-28,-0.8589423537748709
1999-12-29,-0.8589429183385593
1999-12-30,-0.8589433022650809
1999-12-31,-0.8589435633457082
2000-01-03,-0.8578896818282691
2000-01-04,-0.8581469240322835
2000-01-05,-0.858365092031804
2000-01-06,-0.8585333214437677
2000-01-07,-0.8586569017993002
2000-01-10,-0.8587451818573636
2000-01-11,-0.8588071750041913
2000-01-12,-0.8588502377894107
2000-01-13,-0.8588799400464885
2000-01-14,-0.8589003315695463
2000-01-17,-0.8589142874958141
2000-01-18,-0.8589238189928026
2000-01-19,-0.8589303195814213
2000-01-20,-0.8589347488437269
2000-01-21,-0.858937764838246
2000-01-24,-0.8589398176074595
2000-01-25,-0.8589412143650618
2000-01-26,-0.8589421645641027
2000-01-27,-0.8589428108858508
2000-01-28,-0.8589432504705934
2000-01-31,-0.8589435494278019
2000-02-01,-0.858649301669006
2000-02-02,-0.858736288787574
2000-02-03,-0.8587993584147645
2000-02-04,-0.85884400626328
2000-02-07,-0.8588751788781888
2000-02-08,-0.8588967511406949
2000-02-09,-0.8589115934271001
2000-02-10,-0.8589217661801294
2000-02-11,-0.8589287206208222
2000-02-14,-0.8589334667262981
2000-02-15,-0.858936701974878
2000-02-16,-0.8589389055936362
2000-02-17,-0.8589404057410255
2000-02-18,-0.8589414266205385
2000-02-21,-0.8589421211785558
2000-02-22,-0.8589425936441872
2000-02-23,-0.8589429149974817
2000-02-24,-0.8589431335530533
2000-02-25,-0.8589432821870994
2000-02-28,-0.8589433832657131
2000-02-29,-0.8589434520025838
2000-03-01,-0.8578218903530561
2000-03-02,-0.8581736027328507
2000-03-03,-0.8584162550993871
2000-03-06,-0.8585827453998388
2000-03-07,-0.8586966362683003
2000-03-08,-0.8587743922023976
2000-03-09,-0.8588274086607603
2000-03-10,-0.8588635253896596
2000-03-13,-0.8588881149625167
2000-03-14,-0.8589048497967411
2000-03-15,-0.8589162359073828
2000-03-16,-0.8589239814256935
2000-03-17,-0.8589292497445116
2000-03-20,-0.8589328328308939
2000-03-21,-0.8589352696193486
2000-03-22,-0.858936926768539
2000-03-23,-0.8589380536908896
2000-03-24,-0.8589388200258324
2000-03-27,-0.8589393411461406
2000-03-28,-0.8589396955135603
2000-03-29,-0.8589399364858697
2000-03-30,-0.8589401003480912
2000-03-31,-0.8589402117748277
2000-04-03,-0.8576856838646957
2000-04-04,-0.8580821055810262
2000-04-05,-0.8583538375740712
2000-04-06,-0.8585395599094955
2000-04-07,-0.8586662791186378
2000-04-10,-0.8587526433608668
2000-04-11,-0.8588114604271738
2000-04-12,-0.8588514970789095
2000-04-13,-0.8588787408853825
2000-04-14,-0.8588972753697087
2000-04-17,-0.8589098828251713
2000-04-18,-0.8589184577401524
2000-04-19,-0.8589242895316469
2000-04-20,-0.8589282555401914
2000-04-21,-0.8589309526049553
2000-04-24,-0.8589327866907291
2000-04-25,-0.8589340339061676
2000-04-26,-0.8589348820293672
2000-04-27,-0.8589354587605531
2000-04-28,-0.8589358509409748
2000-05-01,-0.8589361176250042
2000-05-02,-0.8574746574278297
2000-05-03,-0.8579461962866075
2000-05-04,-0.8582640495321053
2000-05-05,-0.8584788368324352
2000-05-08,-0.8586242715038428
2000-05-09,-0.858722881573196
2000-05-10,-0.8587898048516186
2000-05-11,-0.8588352519712698
2000-05-12,-0.8588661279715895
2000-05-15,-0.8588871106893181
2000-05-16,-0.8589013729405472
2000-05-17,-0.8589110684947074
2000-05-18,-0.8589176601845145
2000-05-19,-0.8589221419361955
2000-05-22,-0.8589251892495096
2000-05-23,-0.8589272612929921
2000-05-24,-0.8589286702218916
2000-05-25,-0.8589296282649744
2000-05-26,-0.8589302797207096
2000-05-29,-0.8589307227041003
2000-05-30,-0.8589310239296335
2000-05-31,-0.8589312287614189
2000-06-01,-0.8502050843787258
2000-06-02,-0.8522415207056434
2000-06-05,-0.8540291524459235
2000-06-06,-0.8554326382156251
2000-06-07,-0.8564745997938512
2000-06-08,-0.8572238998623024
2000-06-09,-0.8577523660681255
2000-06-12,-0.8581205126661966
2000-06-13,-0.8583749266561295
2000-06-14,-0.8585498153091576
2000-06-15,-0.8586696131905364
2000-06-16,-0.8587514799903861
2000-06-19,-0.8588073364103838
2000-06-20,-0.8588454052556566
2000-06-21,-0.8588713320550839
2000-06-22,-0.8588889807613327
2000-06-23,-0.8589009904224901
2000-06-26,-0.8589091609372993
2000-06-27,-0.858914718708738
2000-06-28,-0.8589184988335075
2000-06-29,-0.8589210697054762
2000-06-30,-0.8589228180764813
2000-07-03,-0.8540936589798266
2000-07-04,-0.8553575546964297
2000-07-05,-0.856369981083691
2000-07-06,-0.8571282137047989
2000-07-07,-0.8576757301726082
2000-07-10,-0.8580626974868139
2000-07-11,-0.8583325812749679
2000-07-12,-0.8585192121186171
2000-07-13,-0.8586475561370311
2000-07-14,-0.8587354926913549
2000-07-17,-0.8587955956331431
2000-07-18,-0.8588366070577513
2000-07-19,-0.8588645601785356
2000-07-20,-0.8588835985005522
2000-07-21,-0.8588965585142282
2000-07-24,-0.85890537777056
2000-07-25,-0.8589113778424601
2000-07-26,-0.8589154592659011
2000-07-27,-0.8589182352679064
2000-07-28,-0.8589201232414335
2000-07-31,-0.8589214071978326
2000-08-01,-0.8576178336817246
2000-08-02,-0.8579904685852047
2000-08-03,-0.858267923259695
2000-08-04,-0.8584676473490165
2000-08-07,-0.8586085291680181
2000-08-08,-0.8587066598073531
2000-08-09,-0.8587744624074802
2000-08-10,-0.8588210633953095
2000-08-11,-0.8588529806439282
2000-08-14,-0.8588747899311707
2000-08-15,-0.8588896690096155
2000-08-16,-0.8588998093132961
2000-08-17,-0.8589067151302363
2000-08-18,-0.8589114158957855
2000-08-21,-0.8589146146384042
2000-08-22,-0.8589167908095616
2000-08-23,-0.8589182710796147
2000-08-24,-0.8589192778817182
2000-08-25,-0.8589199626077946
2000-08-28,-0.8589204282678123
2000-08-29,-0.8589207449378561
2000-08-30,-0.8589209602831869
2000-08-31,-0.8589211067224184
2000-09-01,-0.8574228599831496
2000-09-04,-0.8578801202013302
2000-09-05,-0.8582023236365229
2000-09-06,-0.8584265236028998
2000-09-07,-0.8585813035533524
2000-09-08,-0.8586876176548288
2000-09-11,-0.8587603997118276
2000-09-12,-0.8588101163010871
2000-09-13,-0.8588440271778724
2000-09-14,-0.8588671343613664
2000-09-15,-0.8588828693021212
2000-09-18,-0.8588935792445644
2000-09-19,-0.8589008667067857
2000-09-20,-0.8589058243513209
2000-09-21,-0.8589091965509785
2000-09-22,-0.8589114901084428
2000-09-25,-0.8589130499401343
2000-09-26,-0.8589141107234152
2000-09-27,-0.8589148321008445
2000-09-28,-0.8589153226579456
2000-09-29,-0.8589156562460497
2000-10-02,-0.8589158830901269
2000-10-03,-0.8574265155472506
2000-10-04,-0.8578985441284597
2000-10-05,-0.8582210697285159
2000-10-06,-0.8584410289063705
2000-10-09,-0.8585908882215941
2000-10-10,-0.8586929222809034
2000-10-11,-0.8587623644678158
2000-10-12,-0.8588096121360888
2000-10-13,-0.8588417529194328
2000-10-16,-0.8588636143315501
2000-10-17,-0.8588784827011113
2000-10-18,-0.858888594390734
2000-10-19,-0.8588954708891993
2000-10-20,-0.8589001471594578
2000-10-23,-0.8589033271376337
2000-10-24,-0.8589054895744984
2000-10-25,-0.8589069600546727
2000-10-26,-0.8589079599913337
2000-10-27,-0.8589086399525855
2000-10-30,-0.8589091023279852
