date,FRA_macro_f1__FRA_macro_f2
1999-02-01,-0.25851039612615356
1999-02-02,0.09423511705791446
1999-02-03,0.34116936564804856
1999-02-04,0.5084675497176453
1999-02-05,0.6219467322329376
1999-02-08,0.6989819764370772
1999-02-09,0.7513057033113119
1999-02-10,0.786858019771868
1999-02-11,0.8110207365638491
1999-02-12,0.8274454349413523
1999-02-15,0.8386114747326269
1999-02-16,0.8462031042942706
1999-02-17,0.8513648190785078
1999-02-18,0.8548745089487385
1999-02-19,0.8572609690872807
1999-02-22,0.8588837014770365
1999-02-23,0.859987130933115
1999-02-24,0.860737449349983
1999-02-25,0.8612476593044527
1999-02-26,0.8615945988494482
1999-03-01,0.8618305161223813
1999-03-02,0.8633384024991733
1999-03-03,0.8629750108943196
1999-03-04,0.8627498736032173
1999-03-05,0.8626073061885002
1999-03-08,0.8625153473029058
1999-03-09,0.8624551598312588
1999-03-10,0.8624153288318283
1999-03-11,0.862388754700314
1999-03-12,0.8623709218050072
1999-03-15,0.8623589056616733
1999-03-16,0.8623507857806149
1999-03-17,0.8623452879304133
1999-03-18,0.8623415603510511
1999-03-19,0.8623390306696357
1999-03-22,0.862337312833953
1999-03-23,0.862336145792263
1999-03-24,0.8623353527068904
1999-03-25,0.8623348136417402
1999-03-26,0.8623344471853412
1999-03-29,0.862334198045022
1999-03-30,0.8623340286528316
1999-03-31,0.8623339134769447
1999-04-01,0.8603549583466394
1999-04-02,0.8609465747292907
1999-04-05,0.8613713021144807
1999-04-06,0.8616702247095063
1999-04-07,0.8618780857548438
1999-04-08,0.8620215306176838
1999-04-09,0.8621200361543637
1999-04-12,0.8621874628022308
1999-04-13,0.86223351694136
1999-04-14,0.8622649278436659
1999-04-15,0.862286330678576
1999-04-16,0.862300904653475
1999-04-19,0.8623108242136329
1999-04-20,0.8623175737891695
1999-04-21,0.8623221654739335
1999-04-22,0.8623252887301652
1999-04-23,0.8623274129642462
1999-04-26,0.8623288576367565
1999-04-27,0.862329840102926
1999-04-28,0.8623305082206497
1999-04-29,0.8623309625592894
1999-04-30,0.8623312715179929
1999-05-03,0.8575424094023657
1999-05-04,0.8574472504318629
1999-05-05,0.8581625724983268
1999-05-06,0.8590706387302204
1999-05-07,0.8599059624039921
1999-05-10,0.8605828621708487
1999-05-11,0.8610962983924453
1999-05-12,0.8614709442388487
1999-05-13,0.8617378055379119
1999-05-14,0.8619249664442723
1999-05-17,0.8620549011084614
1999-05-18,0.8621444991912857
1999-05-19,0.8622060036116639
1999-05-20,0.8622480947529766
1999-05-21,0.862276841020889
1999-05-24,0.8622964460463488
1999-05-25,0.8623098041056096
1999-05-26,0.8623188999102696
1999-05-27,0.8623250907560381
1999-05-28,0.8623293031649133
1999-05-31,0.8623321688195624
1999-06-01,0.8605917024974966
1999-06-02,0.861134910423019
1999-06-03,0.8615127502609325
1999-06-04,0.861773473764562
1999-06-07,0.8619524829712385
1999-06-08,0.8620749920082934
1999-06-09,0.8621586565856663
1999-06-10,0.8622157131218954
1999-06-11,0.8622545873283727
1999-06-14,0.8622810567005273
1999-06-15,0.8622990719737418
1999-06-16,0.8623113297871647
1999-06-17,0.8623196685270506
1999-06-18,0.8623253404506176
1999-06-21,0.8623291980870389
1999-06-22,0.862331821615101
1999-06-23,0.8623336057682316
1999-06-24,0.8623348190629299
1999-06-25,0.8623356441355083
1999-06-28,0.862336205199441
1999-06-29,0.8623365867294509
1999-06-30,0.8623368461727402
1999-07-01,0.8600455324178763
1999-07-02,0.860771607866844
1999-07-05,0.8612692398808836
1999-07-06,0.8616093161210258
1999-07-07,0.8618413122608698
1999-07-08,0.8619994028693923
1999-07-09,0.8621070551624902
1999-07-12,0.8621803273157033
1999-07-13,0.8622301837462627
1999-07-14,0.8622641005030836
1999-07-15,0.862287170504681
1999-07-16,0.8623028611424044
1999-07-19,0.8623135321713229
1999-07-20,0.8623207891112703
1999-07-21,0.8623257241235364
1999-07-22,0.8623290800655053
1999-07-23,0.8623313621665756
1999-07-26,0.8623329140224486
1999-07-27,0.8623339692964235
1999-07-28,0.8623346868878796
1999-07-29,0.86233517485219
1999-07-30,0.8623355066687228
1999-08-02,0.8623357323042142
1999-08-03,0.8600875779255802
1999-08-04,0.8607937892133816
1999-08-05,0.8612811785526152
1999-08-06,0.8616157598946673
1999-08-09,0.861844687176649
1999-08-10,0.8620009959559235
1999-08-11,0.8621075764739016
1999-08-12,0.8621801841336395
1999-08-13,0.8622296183342425
1999-08-16,0.8622632616382374
1999-08-17,0.8622861519988961
1999-08-18,0.8623017233936946
1999-08-19,0.8623123146832969
1999-08-20,0.8623195180225234
1999-08-23,0.8623244168738285
1999-08-24,0.862327748359276
1999-08-25,0.8623300138913772
1999-08-26,0.8623315545087761
1999-08-27,0.8623326021537346
1999-08-30,0.8623333145635417
1999-08-31,0.8623337990071439
1999-09-01,0.859849319740306
1999-09-02,0.8606045470751832
1999-09-03,0.8611398726070997
1999-09-06,0.8615136039045862
1999-09-07,0.8617721227299644
1999-09-08,0.8619499082593636
1999-09-09,0.8620717135212227
1999-09-10,0.862154959154074
1999-09-13,0.8622117584654323
1999-09-14,0.8622504705750828
1999-09-15,0.862276835656081
1999-09-16,0.8622947827581878
1999-09-17,0.8623069954862639
1999-09-20,0.8623153041561021
1999-09-21,0.8623209559040136
1999-09-22,0.8623247999467832
1999-09-23,0.8623274142893431
1999-09-24,0.8623291922232403
1999-09-27,0.8623304013013048
1999-09-28,0.8623312235123292
1999-09-29,0.8623317826330679
1999-09-30,0.862332162842938
1999-10-01,0.8563140416246384
1999-10-04,0.8580963110358036
1999-10-05,0.8593880685088674
1999-10-06,0.8603010249353618
1999-10-07,0.860937127341656
1999-10-08,0.8613765408102506
1999-10-11,0.8616784525198605
1999-10-12,0.8618851712457075
1999-10-13,0.8620263899094929
1999-10-14,0.8621227171982114
1999-10-15,0.862188357203551
1999-10-18,0.8622330557556747
1999-10-19,0.8622634799894066
1999-10-20,0.862284181949623
1999-10-21,0.8622982655030391
1999-10-22,0.8623078451887598
1999-10-25,0.8623143606977892
1999-10-26,0.8623187918530019
1999-10-27,0.8623218053185042
1999-10-28,0.8623238546033779
1999-10-29,0.8623252481756777
1999-11-01,0.86232619583142
1999-11-02,0.858977186214954
1999-11-03,0.86001728562059
1999-11-04,0.8607418917294722
1999-11-05,0.8612421606376873
1999-11-08,0.8615856844818429
1999-11-09,0.8618207816828266
1999-11-10,0.8619813282926562
1999-11-11,0.8620908104294448
1999-11-12,0.8621654004932794
1999-11-15,0.8622161870624145
1999-11-16,0.8622507519905891
1999-11-17,0.8622742699895987
1999-11-18,0.8622902686110758
1999-11-19,0.8623011506150079
1999-11-22,0.8623085517325362
1999-11-23,0.8623135851158436
1999-11-24,0.8623170081027834
1999-11-25,0.8623193358649929
1999-11-26,0.862320918803048
1999-11-29,0.8623219952279721
1999-11-30,0.8623227272090316
1999-12-01,0.8200351114835968
1999-12-02,0.8331847764728467
1999-12-03,0.8423613920366657
1999-12-06,0.848680892621731
1999-12-07,0.8530074941568343
