date,ITA_real_estate_f1__ITA_real_estate_f2
2000-01-31,-0.10962630554692457
2000-02-01,-0.06803464313833327
2000-02-02,-0.026892177424884853
2000-02-03,0.010944761702191958
2000-02-04,0.04574279491991863
2000-02-07,0.07774687678582475
2000-02-08,0.10718208111763401
2000-02-09,0.13425523545048257
2000-02-10,0.15915641790871154
2000-02-11,0.18206032856374288
2000-02-14,0.20312754621677365
2000-02-15,0.22250568052931935
2000-02-16,0.24033042851239583
2000-02-17,0.2567265435645264
2000-02-18,0.2718087245094955
2000-02-21,0.28568243141784255
2000-02-22,0.2984446343936158
2000-02-23,0.3101845009629873
2000-02-24,0.32098402720787567
2000-02-25,0.33091861734037975
2000-02-28,0.3400576160078689
2000-02-29,0.3484647972498055
2000-03-01,0.36233962811500126
2000-03-02,0.3689003648960548
2000-03-03,0.374945459595788
2000-03-06,0.38051476891110914
2000-03-07,0.3856451706311017
2000-03-08,0.39037077074967225
2000-03-09,0.394723098585381
2000-03-10,0.39873129021143316
2000-03-13,0.4024222605654983
2000-03-14,0.4058208646585042
2000-03-15,0.40895004833658
2000-03-16,0.41183098907332605
2000-03-17,0.41448322728267256
2000-03-20,0.4169247886475681
2000-03-21,0.41917229795817257
2000-03-22,0.42124108494645573
2000-03-23,0.42314528259323714
2000-03-24,0.4248979183697093
2000-03-27,0.42651099885916427
2000-03-28,0.4279955881866362
2000-03-29,0.42936188066506353
2000-03-30,0.43061926804677975
2000-03-31,0.4317764017490485
2000-04-03,0.43337162248620364
2000-04-04,0.4343083411253053
2000-04-05,0.43517044807294025
2000-04-06,0.4359638624094894
2000-04-07,0.4366940373051815
2000-04-10,0.43736599613217536
2000-04-11,0.4379843658639554
2000-04-12,0.4385534079524175
2000-04-13,0.4390770468617933
2000-04-14,0.4395588964276236
2000-04-17,0.44000228419843546
2000-04-18,0.4404102739076305
2000-04-19,0.4407856862133799
2000-04-20,0.44113111783508907
2000-04-21,0.4414489592062173
2000-04-24,0.44174141075494333
2000-04-25,0.44201049791634206
2000-04-26,0.4422580849723727
2000-04-27,0.44248588780905745
2000-04-28,0.44269548567375566
2000-05-01,0.4428883320093642
2000-05-02,0.44275108145358955
2000-05-03,0.4429394520476559
2000-05-04,0.4431127501067046
2000-05-05,0.44327218187798356
2000-05-08,0.443418857040489
2000-05-09,0.44355379644098786
2000-05-10,0.4436779392095259
2000-05-11,0.44379214930431693
2000-05-12,0.4438972215318743
2000-05-15,0.4439938870845455
2000-05-16,0.44408281863421295
2000-05-17,0.44416463501779224
2000-05-18,0.44423990554729736
2000-05-19,0.4443091539745942
2000-05-22,0.4443728621385515
2000-05-23,0.44443147332005656
2000-05-24,0.44448539532832765
2000-05-25,0.4445350033400618
2000-05-26,0.4445806425112341
2000-05-29,0.44462263037976857
2000-05-30,0.4446612590758393
2000-05-31,0.4446967973552155
2000-06-01,0.44714153435642173
2000-06-02,0.4469794661543176
2000-06-05,0.44683028214174203
2000-06-06,0.44669296399779473
2000-06-07,0.44656657297545166
2000-06-08,0.44645024382292864
2000-06-09,0.44634317914793853
2000-06-12,0.4462446441959127
2000-06-13,0.4461539620146146
2000-06-14,0.44607050897895484
2000-06-15,0.44599371065120136
2000-06-16,0.4459230379531729
2000-06-19,0.4458580036283567
2000-06-20,0.44579815897322594
2000-06-21,0.44574309081831726
2000-06-22,0.44569241874086607
2000-06-23,0.44564579249198977
2000-06-26,0.44560288962253586
2000-06-27,0.4455634132927935
2000-06-28,0.44552709025228016
2000-06-29,0.44549366897678633
2000-06-30,0.44546291795075743
2000-07-03,0.4465668146692221
2000-07-04,0.44645055170025916
2000-07-05,0.44634355248038443
2000-07-06,0.44624508161691595
2000-07-07,0.4461544616764216
2000-07-10,0.44607106868095875
2000-07-11,0.4459943279444063
2000-07-12,0.4459237102247374
2000-07-13,0.4458587281695552
2000-07-14,0.4457989330336369
2000-07-17,0.4457439116486013
2000-07-18,0.44569328362611754
2000-07-19,0.4456466987773268
2000-07-20,0.445603834732323
2000-07-21,0.4455643947446609
2000-07-24,0.44552810566691603
2000-07-25,0.44549471608430974
2000-07-26,0.44546399459434927
2000-07-27,0.4454357282213043
2000-07-28,0.44540972095515835
2000-07-31,0.44538579240544107
2000-08-01,0.44675327811808707
2000-08-02,0.4466222391343357
2000-08-03,0.44650163989586344
2000-08-04,0.44639065185876675
2000-08-07,0.4462885117492364
2000-08-08,0.446194516496327
2000-08-09,0.4461080185466763
2000-08-10,0.4460284215341515
2000-08-11,0.44595517627904
2000-08-14,0.44588777709297345
2000-08-15,0.44582575836729943
2000-08-16,0.44576869142407066
2000-08-17,0.4457161816102051
2000-08-18,0.4456678656166979
2000-08-21,0.44562340900600456
2000-08-22,0.44558250393190196
2000-08-23,0.4455448670372423
2000-08-24,0.4455102375160538
2000-08-25,0.4454783753274282
2000-08-28,0.44544905954954744
2000-08-29,0.4454220868630549
2000-08-30,0.4453972701537849
2000-08-31,0.4453744372255992
2000-09-01,0.4493654666865322
2000-09-04,0.44902777175410097
2000-09-05,0.448716766230567
2000-09-06,0.44843036455988006
2000-09-07,0.44816664052322974
2000-09-08,0.4479238156209554
2000-09-11,0.44770024821578286
2000-09-12,0.44749442340116186
2000-09-13,0.4473049435578281
