date,ITA_public_finance_f1__ITA_public_finance_f2
1999-02-01,0.10755299671901376
1999-02-02,-0.1104577447135541
1999-02-03,-0.2707808791307034
1999-02-04,-0.39661296433166227
1999-02-05,-0.49524151057577914
1999-02-08,-0.5724658868459374
1999-02-09,-0.6328809675472391
1999-02-10,-0.6801148192943437
1999-02-11,-0.7170244536339017
1999-02-12,-0.7458549881471681
1999-02-15,-0.7683678147433483
1999-02-16,-0.7859430588003559
1999-02-17,-0.7996610303957485
1999-02-18,-0.8103666983430652
1999-02-19,-0.8187205575621687
1999-02-22,-0.8252386591805739
1999-02-23,-0.8303240501248771
1999-02-24,-0.8342914279637829
1999-02-25,-0.837386452196977
1999-02-26,-0.8398008561492427
1999-03-01,-0.8416842641624396
1999-03-02,-0.5166361643229805
1999-03-03,-0.2021295425868101
1999-03-04,0.04000684383667973
1999-03-05,0.22702387666392157
1999-03-08,0.3718103642229435
1999-03-09,0.48410017429665675
1999-03-10,0.571302729966117
1999-03-11,0.6390911617484145
1999-03-12,0.6918282220198972
1999-03-15,0.7328800356864061
1999-03-16,0.7648502758938417
1999-03-17,0.7897567131368357
1999-03-18,0.8091653500804928
1999-03-19,0.8242929385621888
1999-03-22,0.8360856909204397
1999-03-23,0.8452799274811778
1999-03-24,0.8524489336210795
1999-03-25,0.8580392388799934
1999-03-26,0.8623987522492398
1999-03-29,0.8657986095773577
1999-03-30,0.8684501551782993
1999-03-31,0.8705181515195604
1999-04-01,0.8670201570655711
1999-04-02,0.8693263763574534
1999-04-05,0.8711395367518414
1999-04-06,0.8725622595760599
1999-04-07,0.8736770156331878
1999-04-08,0.8745495346161108
1999-04-09,0.8752319058879319
1999-04-12,0.8757652431120225
1999-04-13,0.8761819024691506
1999-04-14,0.876507293505602
1999-04-15,0.8767613386520802
1999-04-16,0.8769596393608281
1999-04-19,0.8771144021293936
1999-04-20,0.8772351706026535
1999-04-21,0.8773294024850196
1999-04-22,0.877402923061812
1999-04-23,0.8774602810732438
1999-04-26,0.8775050275808102
1999-04-27,0.8775399342601401
1999-04-28,0.8775671641400257
1999-04-29,0.8775884050641447
1999-04-30,0.877604973964267
1999-05-03,0.8621815100604702
1999-05-04,0.8642661947792059
1999-05-05,0.8663775345804643
1999-05-06,0.8683487790610752
1999-05-07,0.8700993691420256
1999-05-10,0.8716026356455868
1999-05-11,0.8728632404323597
1999-05-12,0.8739022168545113
1999-05-13,0.8747475721960467
1999-05-14,0.8754287399144869
1999-05-17,0.8759735649112554
1999-05-18,0.8764068752669874
1999-05-19,0.8767499959204409
1999-05-20,0.8770207853800923
