date,DEU_macro_f1__DEU_macro_f2
1999-02-01,-0.28554177260469465
1999-02-02,-0.47614107033418596
1999-02-03,-0.6088201065921849
1999-02-04,-0.6931022850046528
1999-02-05,-0.7461364248277307
1999-02-08,-0.7793040891857772
1999-02-09,-0.7999665297272824
1999-02-10,-0.8128070475240244
1999-02-11,-0.820774448893655
1999-02-12,-0.8257134079203363
1999-02-15,-0.8287732285305695
1999-02-16,-0.8306681721855776
1999-02-17,-0.8318414404477459
1999-02-18,-0.8325677751874411
1999-02-19,-0.83301738750996
1999-02-22,-0.8332956893011909
1999-02-23,-0.8334679472185176
1999-02-24,-0.8335745659083564
1999-02-25,-0.8336405564806249
1999-02-26,-0.8336814003598916
1999-03-01,-0.8337066799442435
1999-03-02,-0.8355539028686816
1999-03-03,-0.8352324492543187
1999-03-04,-0.8350347432022509
1999-03-05,-0.8349128607565154
1999-03-08,-0.8348376105171547
1999-03-09,-0.8347911076404629
1999-03-10,-0.8347623532113901
1999-03-11,-0.8347445668499001
1999-03-12,-0.8347335624275789
1999-03-15,-0.8347267530405197
1999-03-16,-0.8347225391196944
1999-03-17,-0.8347199312373227
1999-03-18,-0.83471831723543
1999-03-19,-0.8347173183193496
1999-03-22,-0.834716700075943
1999-03-23,-0.8347163174332699
1999-03-24,-0.8347160806072443
1999-03-25,-0.8347159340299292
1999-03-26,-0.8347158433095394
1999-03-29,-0.8347157871603417
1999-03-30,-0.8347157524081248
1999-03-31,-0.8347157308990532
1999-04-01,-0.8100042276722056
1999-04-02,-0.8148252244019266
1999-04-05,-0.8178305604337865
1999-04-06,-0.8196989115377449
1999-04-07,-0.8208584603307963
1999-04-08,-0.8215773551399012
1999-04-09,-0.82202276595175
1999-04-12,-0.8222986219119119
1999-04-13,-0.8224694252884782
1999-04-14,-0.8225751664275109
1999-04-15,-0.8226406225586278
1999-04-16,-0.8226811389904404
1999-04-19,-0.8227062171854299
1999-04-20,-0.8227217393253888
1999-04-21,-0.8227313466147729
1999-04-22,-0.8227372929092074
1999-04-23,-0.8227409732635329
1999-04-26,-0.8227432511465785
1999-04-27,-0.8227446609946848
1999-04-28,-0.8227455335896035
1999-04-29,-0.8227460736628872
1999-04-30,-0.8227464079291136
1999-05-03,0.3228278443264063
1999-05-04,0.3775705180381984
1999-05-05,0.4379900134035061
1999-05-06,0.49933125204011314
1999-05-07,0.5563122649617923
1999-05-10,0.6047244247896046
1999-05-11,0.6426137888353219
1999-05-12,0.670293049335706
1999-05-13,0.6894658247057431
1999-05-14,0.7022460933862635
1999-05-17,0.7105437426128702
1999-05-18,0.7158379085376946
1999-05-19,0.7191779118003603
1999-05-20,0.7212700196379742
1999-05-21,0.7225745728542978
1999-05-24,0.723385746357723
1999-05-25,0.7238892492677809
1999-05-26,0.724201436808176
1999-05-27,0.7243948716138984
1999-05-28,0.7245146755529974
1999-05-31,0.7245888568562975
1999-06-01,0.7248796162096783
