date,USA_macro_f1,USA_macro_f2
1999-02-01,-0.9983907390212055,-0.9994324232457072
1999-02-02,-0.9999836982245521,-0.9997305002018106
1999-02-03,-0.9999837381179515,-0.9997305002018106
1999-02-04,-0.9999837381189484,-0.9997305002018106
1999-02-05,-0.9999837381189484,-0.9997305002018106
1999-02-08,-0.9999837381189484,-0.9997305002018106
1999-02-09,-0.9999837381189484,-0.9997305002018106
1999-02-10,-0.9999837381189484,-0.9997305002018106
1999-02-11,-0.9999837381189484,-0.9997305002018106
1999-02-12,-0.9999837381189484,-0.9997305002018106
1999-02-15,-0.9999837381189484,-0.9997305002018106
1999-02-16,-0.9999837381189484,-0.9997305002018106
1999-02-17,-0.9999837381189484,-0.9997305002018106
1999-02-18,-0.9999837381189484,-0.9997305002018106
1999-02-19,-0.9999837381189484,-0.9997305002018106
1999-02-22,-0.9999837381189484,-0.9997305002018106
1999-02-23,-0.9999837381189484,-0.9997305002018106
1999-02-24,-0.9999837381189484,-0.9997305002018106
1999-02-25,-0.9999837381189484,-0.9997305002018106
1999-02-26,-0.9999837381189484,-0.9997305002018106
1999-03-01,-1.0064221638556634,-0.9730828355960474
1999-03-02,-0.9999841030658597,-0.9997155440876816
1999-03-03,-0.9999839437590924,-0.9997155440876818
1999-03-04,-0.9999839437551123,-0.9997155440876818
1999-03-05,-0.9999839437551122,-0.9997155440876818
1999-03-08,-0.9999839437551122,-0.9997155440876818
1999-03-09,-0.9999839437551122,-0.9997155440876818
1999-03-10,-0.9999839437551122,-0.9997155440876818
1999-03-11,-0.9999839437551122,-0.9997155440876818
1999-03-12,-0.9999839437551122,-0.9997155440876818
1999-03-15,-0.9999839437551122,-0.9997155440876818
1999-03-16,-0.9999839437551122,-0.9997155440876818
1999-03-17,-0.9999839437551122,-0.9997155440876818
1999-03-18,-0.9999839437551122,-0.9997155440876818
1999-03-19,-0.9999839437551122,-0.9997155440876818
1999-03-22,-0.9999839437551122,-0.9997155440876818
1999-03-23,-0.9999839437551122,-0.9997155440876818
1999-03-24,-0.9999839437551122,-0.9997155440876818
1999-03-25,-0.9999839437551122,-0.9997155440876818
1999-03-26,-0.9999839437551122,-0.9997155440876818
1999-03-29,-0.9999839437551122,-0.9997155440876818
1999-03-30,-0.9999839437551122,-0.9997155440876818
1999-03-31,-0.997930667687702,-1.121967222615125
1999-04-01,-0.9999838267289896,-0.9997741367025241
1999-04-02,-0.9999838781830236,-0.9997741367025234
1999-04-05,-0.9999838781843091,-0.9997741367025234
1999-04-06,-0.9999838781843092,-0.9997741367025234
1999-04-07,-0.9999838781843092,-0.9997741367025234
1999-04-08,-0.9999838781843092,-0.9997741367025234
1999-04-09,-0.9999838781843092,-0.9997741367025234
1999-04-12,-0.9999838781843092,-0.9997741367025234
1999-04-13,-0.9999838781843092,-0.9997741367025234
1999-04-14,-0.9999838781843092,-0.9997741367025234
1999-04-15,-0.9999838781843092,-0.9997741367025234
1999-04-16,-0.9999838781843092,-0.9997741367025234
1999-04-19,-0.9999838781843092,-0.9997741367025234
1999-04-20,-0.9999838781843092,-0.9997741367025234
1999-04-21,-0.9999838781843092,-0.9997741367025234
1999-04-22,-0.9999838781843092,-0.9997741367025234
1999-04-23,-0.9999838781843092,-0.9997741367025234
1999-04-26,-0.9999838781843092,-0.9997741367025234
1999-04-27,-0.9999838781843092,-0.9997741367025234
1999-04-28,-0.9999838781843092,-0.9997741367025234
1999-04-29,-0.9999838781843092,-0.9997741367025234
1999-04-30,-0.9898635470225606,-0.9741294262158519
