date,USA_macro_f1__USA_macro_f2
1999-02-01,0.03531232039257477
1999-02-02,0.309829199344373
1999-02-03,0.4969635166379831
1999-02-04,0.6241883392931664
1999-02-05,0.7106889207705192
1999-02-08,0.7695036036246747
1999-02-09,0.8094949280606407
1999-02-10,0.8366877859743994
1999-02-11,0.8551783459769609
1999-02-12,0.8677516510487528
1999-02-15,0.8763013669291967
1999-02-16,0.882115110120145
1999-02-17,0.8860684241930468
1999-02-18,0.8887566620090643
1999-02-19,0.8905846555677778
1999-02-22,0.8918276868234815
1999-02-23,0.8926729456562285
1999-02-24,0.8932477202688445
1999-02-25,0.8936385661745957
1999-02-26,0.8939043408795775
1999-03-01,0.8940850673565187
1999-03-02,0.8937497826191922
1999-03-03,0.8939711762231011
1999-03-04,0.8941263371839475
1999-03-05,0.8942339640299883
1999-03-08,0.8943081239771412
1999-03-09,0.8943590012814153
1999-03-10,0.8943938047140743
1999-03-11,0.8944175665278378
1999-03-12,0.8944337686517775
1999-03-15,0.8944448064621047
1999-03-16,0.894452321581713
1999-03-17,0.8944574362095319
1999-03-18,0.8944609161640975
1999-03-19,0.8944632834602491
1999-03-22,0.8944648936494798
1999-03-23,0.8944659887754548
1999-03-24,0.894466733551988
1999-03-25,0.8944672400418056
1999-03-26,0.8944675844740337
1999-03-29,0.894467818696693
1999-03-30,0.8944679779720681
1999-03-31,0.894468086281106
1999-04-01,0.8951092079123922
1999-04-02,0.8947714554638683
1999-04-05,0.8946111715361206
1999-04-06,0.8945359223435687
1999-04-07,0.8945009070951194
1999-04-08,0.8944847463463549
1999-04-09,0.8944773522734794
1999-04-12,0.8944740053191393
1999-04-13,0.8944725126034304
1999-04-14,0.8944718615884321
1999-04-15,0.8944715878188287
1999-04-16,0.8944714799512582
1999-04-19,0.8944714428641377
1999-04-20,0.8944714344313472
1999-04-21,0.8944714364649229
1999-04-22,0.8944714414414431
1999-04-23,0.8944714464877686
1999-04-26,0.8944714506880908
1999-04-27,0.894471453899867
1999-04-28,0.8944714562483007
1999-04-29,0.8944714579212707
1999-04-30,0.8944714590940499
1999-05-03,0.8938313550305931
1999-05-04,0.8940353923091994
1999-05-05,0.8941744606781377
1999-05-06,0.8942691696785134
1999-05-07,0.8943336362469873
1999-05-10,0.8943775028524078
1999-05-11,0.8944073455584245
1999-05-12,0.8944276447485159
1999-05-13,0.894441451021441
1999-05-14,0.8944508405839728
1999-05-17,0.8944572260818228
1999-05-18,0.8944615684931508
1999-05-19,0.894464521457452
1999-05-20,0.8944665295297918
1999-05-21,0.8944678950444971
1999-05-24,0.8944688236058477
1999-05-25,0.8944694550325124
1999-05-26,0.8944698844047259
1999-05-27,0.8944701763786549
1999-05-28,0.8944703749212126
1999-05-31,0.8944705099302193
1999-06-01,0.8925626282584946
1999-06-02,0.8931728703092909
1999-06-03,0.8935877725325033
1999-06-04,0.8938698113099276
1999-06-07,0.8940615365593348
1999-06-08,0.894191876168235
1999-06-09,0.8942804899319743
