date,ITA_real_estate_f1,ITA_real_estate_f2
2006-05-26,1.9594298531485934,0.6224504753489962
2006-05-29,1.9594298531485934,0.6224504753489962
2006-05-30,1.9594298531485934,0.6224504753489962
2006-05-31,1.9594298531485934,0.6224504753489962
2006-06-01,1.9882578160313917,0.5792611072756321
2006-06-02,1.9882578160313917,0.5792611072756321
2006-06-05,1.9882578160313917,0.5792611072756321
2006-06-06,1.9882578160313917,0.5792611072756321
2006-06-07,1.9882578160313917,0.5792611072756321
2006-06-08,1.9882578160313917,0.5792611072756321
2006-06-09,1.9882578160313917,0.5792611072756321
2006-06-12,1.9882578160313917,0.5792611072756321
2006-06-13,1.9882578160313917,0.5792611072756321
2006-06-14,1.9882578160313917,0.5792611072756321
2006-06-15,1.9882578160313917,0.5792611072756321
2006-06-16,1.9882578160313917,0.5792611072756321
2006-06-19,1.9882578160313917,0.5792611072756321
2006-06-20,1.9882578160313917,0.5792611072756321
2006-06-21,1.9882578160313917,0.5792611072756321
2006-06-22,1.9882578160313917,0.5792611072756321
2006-06-23,1.9882578160313917,0.5792611072756321
2006-06-26,1.9882578160313917,0.5792611072756321
2006-06-27,1.9882578160313917,0.5792611072756321
2006-06-28,1.9882578160313917,0.5792611072756321
2006-06-29,1.9882578160313917,0.5792611072756321
2006-06-30,1.9882578160313917,0.5792611072756321
2006-07-03,2.0247430733329894,0.5212581207062307
2006-07-04,2.0247430733329894,0.5212581207062307
2006-07-05,2.0247430733329894,0.5212581207062307
2006-07-06,2.0247430733329894,0.5212581207062307
2006-07-07,2.0247430733329894,0.5212581207062307
2006-07-10,2.0247430733329894,0.5212581207062307
2006-07-11,2.0247430733329894,0.5212581207062307
2006-07-12,2.0247430733329894,0.5212581207062307
2006-07-13,2.0247430733329894,0.5212581207062307
2006-07-14,2.0247430733329894,0.5212581207062307
2006-07-17,2.0247430733329894,0.5212581207062307
2006-07-18,2.0247430733329894,0.5212581207062307
2006-07-19,2.0247430733329894,0.5212581207062307
2006-07-20,2.0247430733329894,0.5212581207062307
2006-07-21,2.0247430733329894,0.5212581207062307
2006-07-24,2.0247430733329894,0.5212581207062307
2006-07-25,2.0247430733329894,0.5212581207062307
2006-07-26,2.0247430733329894,0.5212581207062307
2006-07-27,2.0247430733329894,0.5212581207062307
2006-07-28,2.0247430733329894,0.5212581207062307
2006-07-31,2.0247430733329894,0.5212581207062307
2006-08-01,2.0383976916710633,0.4370970694516166
2006-08-02,2.0383976916710633,0.4370970694516166
2006-08-03,2.0383976916710633,0.4370970694516166
2006-08-04,2.0383976916710633,0.4370970694516166
2006-08-07,2.0383976916710633,0.4370970694516166
2006-08-08,2.0383976916710633,0.4370970694516166
2006-08-09,2.0383976916710633,0.4370970694516166
2006-08-10,2.0383976916710633,0.4370970694516166
2006-08-11,2.0383976916710633,0.4370970694516166
2006-08-14,2.0383976916710633,0.4370970694516166
2006-08-15,2.0383976916710633,0.4370970694516166
2006-08-16,2.0383976916710633,0.4370970694516166
2006-08-17,2.0383976916710633,0.4370970694516166
2006-08-18,2.0383976916710633,0.4370970694516166
2006-08-21,2.0383976916710633,0.4370970694516166
2006-08-22,2.0383976916710633,0.4370970694516166
2006-08-23,2.0383976916710633,0.4370970694516166
2006-08-24,2.0383976916710633,0.4370970694516166
2006-08-25,2.0383976916710633,0.4370970694516166
2006-08-28,2.0383976916710633,0.4370970694516166
2006-08-29,2.0383976916710633,0.4370970694516166
2006-08-30,2.0383976916710633,0.4370970694516166
2006-08-31,2.0383976916710633,0.4370970694516166
2006-09-01,2.0708351918754713,0.3885095789220535
2006-09-04,2.0708351918754713,0.3885095789220535
2006-09-05,2.0708351918754713,0.3885095789220535
2006-09-06,2.0708351918754713,0.3885095789220535
2006-09-07,2.0708351918754713,0.3885095789220535
2006-09-08,2.0708351918754713,0.3885095789220535
2006-09-11,2.0708351918754713,0.3885095789220535
2006-09-12,2.0708351918754713,0.3885095789220535
2006-09-13,2.0708351918754713,0.3885095789220535
2006-09-14,2.0708351918754713,0.3885095789220535
2006-09-15,2.0708351918754713,0.3885095789220535
2006-09-18,2.0708351918754713,0.3885095789220535
2006-09-19,2.0708351918754713,0.3885095789220535
2006-09-20,2.0708351918754713,0.3885095789220535
2006-09-21,2.0708351918754713,0.3885095789220535
2006-09-22,2.0708351918754713,0.3885095789220535
2006-09-25,2.0708351918754713,0.3885095789220535
2006-09-26,2.0708351918754713,0.3885095789220535
2006-09-27,2.0708351918754713,0.3885095789220535
2006-09-28,2.0708351918754713,0.3885095789220535
2006-09-29,2.0708351918754713,0.3885095789220535
2006-10-02,2.0708351918754713,0.3885095789220535
2006-10-03,2.0854396910507673,0.3515430068742533
2006-10-04,2.0854396910507673,0.3515430068742533
2006-10-05,2.0854396910507673,0.3515430068742533
2006-10-06,2.0854396910507673,0.3515430068742533
2006-10-09,2.0854396910507673,0.3515430068742533
2006-10-10,2.0854396910507673,0.3515430068742533
2006-10-11,2.0854396910507673,0.3515430068742533
2006-10-12,2.0854396910507673,0.3515430068742533
2006-10-13,2.0854396910507673,0.3515430068742533
2006-10-16,2.0854396910507673,0.3515430068742533
2006-10-17,2.0854396910507673,0.3515430068742533
2006-10-18,2.0854396910507673,0.3515430068742533
2006-10-19,2.0854396910507673,0.3515430068742533
2006-10-20,2.0854396910507673,0.3515430068742533
2006-10-23,2.0854396910507673,0.3515430068742533
2006-10-24,2.0854396910507673,0.3515430068742533
2006-10-25,2.0854396910507673,0.3515430068742533
2006-10-26,2.0854396910507673,0.3515430068742533
2006-10-27,2.0854396910507673,0.3515430068742533
2006-10-30,2.0854396910507673,0.3515430068742533
2006-10-31,2.0854396910507673,0.3515430068742533
2006-11-01,2.1220662287991674,0.3047233127514062
2006-11-02,2.1220662287991674,0.3047233127514062
2006-11-03,2.1220662287991674,0.3047233127514062
2006-11-06,2.1220662287991674,0.3047233127514062
2006-11-07,2.1220662287991674,0.3047233127514062
2006-11-08,2.1220662287991674,0.3047233127514062
2006-11-09,2.1220662287991674,0.3047233127514062
2006-11-10,2.1220662287991674,0.3047233127514062
2006-11-13,2.1220662287991674,0.3047233127514062
2006-11-14,2.1220662287991674,0.3047233127514062
2006-11-15,2.1220662287991674,0.3047233127514062
2006-11-16,2.1220662287991674,0.3047233127514062
2006-11-17,2.1220662287991674,0.3047233127514062
2006-11-20,2.1220662287991674,0.3047233127514062
2006-11-21,2.1220662287991674,0.3047233127514062
2006-11-22,2.1220662287991674,0.3047233127514062
2006-11-23,2.1220662287991674,0.3047233127514062
2006-11-24,2.1220662287991674,0.3047233127514062
2006-11-27,2.1220662287991674,0.3047233127514062
2006-11-28,2.1220662287991674,0.3047233127514062
2006-11-29,2.1220662287991674,0.3047233127514062
2006-11-30,2.1220662287991674,0.3047233127514062
2006-12-01,2.1508959549475932,0.2615361717892791
2006-12-04,2.1508959549475932,0.2615361717892791
2006-12-05,2.1508959549475932,0.2615361717892791
2006-12-06,2.1508959549475932,0.2615361717892791
2006-12-07,2.1508959549475932,0.2615361717892791
2006-12-08,2.1508959549475932,0.2615361717892791
2006-12-11,2.1508959549475932,0.2615361717892791
2006-12-12,2.1508959549475932,0.2615361717892791
2006-12-13,2.1508959549475932,0.2615361717892791
2006-12-14,2.1508959549475932,0.2615361717892791
2006-12-15,2.1508959549475932,0.2615361717892791
2006-12-18,2.1508959549475932,0.2615361717892791
2006-12-19,2.1508959549475932,0.2615361717892791
2006-12-20,2.1508959549475932,0.2615361717892791
2006-12-21,2.1508959549475932,0.2615361717892791
2006-12-22,2.1508959549475932,0.2615361717892791
2006-12-25,2.1508959549475932,0.2615361717892791
2006-12-26,2.1508959549475932,0.2615361717892791
2006-12-27,2.1508959549475932,0.2615361717892791
2006-12-28,2.1508959549475932,0.2615361717892791
2006-12-29,2.1508959549475932,0.2615361717892791
2007-01-01,2.1508959549475932,0.2615361717892791
2007-01-02,2.1799858639472687,0.22970496734331045
2007-01-03,2.1799858639472687,0.22970496734331045
2007-01-04,2.1799858639472687,0.22970496734331045
