date,ITA_real_estate_f1__ITA_real_estate_f2
2000-01-31,-0.10962630554692457
2000-02-01,0.19179829640064533
2000-02-02,0.4144693721736594
2000-02-03,0.5643147335011527
2000-02-04,0.6654949241728376
2000-02-07,0.7339706015379439
2000-02-08,0.780384031258422
2000-02-09,0.8118761255438
2000-02-10,0.8332589261840756
2000-02-11,0.8477845429633439
2000-02-14,0.8576551769248089
2000-02-15,0.8643640706468606
2000-02-16,0.868924666568789
2000-02-17,0.8720251993503104
2000-02-18,0.8741332498131238
2000-02-21,0.8755665792947028
2000-02-22,0.8765411759215841
2000-02-23,0.8772038701429287
2000-02-24,0.8776544874430373
2000-02-25,0.8779609002328886
2000-02-28,0.8781692576068028
2000-02-29,0.8783109390175372
2000-03-01,0.8809583882145191
2000-03-02,0.8800168674977655
2000-03-03,0.8794718063137932
2000-03-06,0.8791501843323197
2000-03-07,0.878955885324394
2000-03-08,0.8788356308264478
2000-03-09,0.8787595384488232
2000-03-10,0.8787104848912719
2000-03-13,0.878678392081964
2000-03-14,0.8786571596832281
2000-03-15,0.8786429968390855
2000-03-16,0.8786334940002696
2000-03-17,0.8786270914150947
2000-03-20,0.8786227651645928
2000-03-21,0.8786198360552614
2000-03-22,0.8786178501596497
2000-03-23,0.8786165024808406
2000-03-24,0.8786155873227566
2000-03-27,0.878614965599995
2000-03-28,0.8786145430991597
2000-03-29,0.8786142559238918
2000-03-30,0.8786140607027462
2000-03-31,0.8786139279792679
2000-04-03,0.8790443393640119
2000-04-04,0.8789041718214713
2000-04-05,0.878810127309699
2000-04-06,0.8787467703202638
2000-04-07,0.8787039639104767
2000-04-10,0.8786749839765706
2000-04-11,0.8786553372133404
2000-04-12,0.8786420050386163
2000-04-13,0.8786329519572891
2000-04-14,0.8786268017886585
2000-04-17,0.878622622418408
2000-04-18,0.8786197817176111
2000-04-19,0.8786178506298712
2000-04-20,0.8786165377631501
2000-04-21,0.8786156451404287
2000-04-24,0.8786150382158329
2000-04-25,0.8786146255345191
2000-04-26,0.8786143449240335
2000-04-27,0.8786141541149163
2000-04-28,0.8786140243675581
2000-05-01,0.8786139361407104
2000-05-02,0.8783287325554533
2000-05-03,0.8784196160596037
2000-05-04,0.878481524987654
2000-05-05,0.878523672592529
2000-05-08,0.8785523557132079
2000-05-09,0.8785718707010244
2000-05-10,0.8785851457119268
2000-05-11,0.8785941749390997
2000-05-12,0.8786003158357205
2000-05-15,0.8786044921156569
2000-05-16,0.8786073322019726
2000-05-17,0.8786092635595714
2000-05-18,0.878610576927838
2000-05-19,0.8786114700386873
2000-05-22,0.8786120773632221
2000-05-23,0.878612490347945
2000-05-24,0.8786127711792914
2000-05-25,0.8786129621453187
2000-05-26,0.8786130920024853
2000-05-29,0.8786131803054407
2000-05-30,0.8786132403514598
2000-05-31,0.878613281182738
2000-06-01,0.8803470369472873
2000-06-02,0.8797653849080637
2000-06-05,0.8793839153003707
2000-06-06,0.8791313727089585
2000-06-07,0.8789629321122396
2000-06-08,0.8788499512599427
2000-06-09,0.8787738573339963
2000-06-12,0.8787224563590871
2000-06-13,0.8786876635071684
2000-06-14,0.8786640786680189
2000-06-15,0.8786480754652415
2000-06-16,0.8786372092787199
2000-06-19,0.8786298276820765
2000-06-20,0.8786248116290682
2000-06-21,0.8786214023031327
2000-06-22,0.8786190846982397
2000-06-23,0.8786175090684463
2000-06-26,0.8786164377986555
2000-06-27,0.8786157094088292
2000-06-28,0.8786152141380325
2000-06-29,0.8786148773699042
