date,ITA_financial_markets_f1__ITA_financial_markets_f2
1999-02-01,-0.021780766272159195
1999-02-02,-0.04752858793056069
1999-02-03,-0.08498605566793485
1999-02-04,-0.11938821547160605
1999-02-05,-0.15098464901486255
1999-02-08,-0.1800081910779077
1999-02-09,-0.20667172965958167
1999-02-10,-0.23117001139847582
1999-02-11,-0.25368126938904395
1999-02-12,-0.2743686923079656
1999-02-15,-0.29338175222709967
1999-02-16,-0.3108574063091427
1999-02-17,-0.32692118571409867
1999-02-18,-0.3416881834389703
1999-02-19,-0.3552639514284107
1999-02-22,-0.36774531609624106
1999-02-23,-0.3792211203584026
1999-02-24,-0.38977289937342985
1999-02-25,-0.3994754963971688
1999-02-26,-0.4083976244676635
1999-03-01,-0.41660237902997493
1999-03-02,-0.4380653957951228
1999-03-03,-0.4437066690193754
1999-03-04,-0.4489211162402208
1999-03-05,-0.45374048893253416
1999-03-08,-0.4581931617245677
1999-03-09,-0.4623057014604257
1999-03-10,-0.46610294815550135
1999-03-11,-0.4696080975637386
1999-03-12,-0.4728427845117783
1999-03-15,-0.47582716604198894
1999-03-16,-0.47858000357439445
1999-03-17,-0.48111874344681715
1999-03-18,-0.4834595953238692
1999-03-19,-0.48561760807981724
1999-03-22,-0.4876067428590817
1999-03-23,-0.48943994310255573
1999-03-24,-0.49112920139944205
1999-03-25,-0.49268562308425606
1999-03-26,-0.49411948654837784
1999-03-29,-0.49544030027628194
1999-03-30,-0.4966568566494967
1999-03-31,-0.49777728258751
1999-04-01,-0.5143610834716822
1999-04-02,-0.5139640995510434
1999-04-05,-0.5136115799050484
1999-04-06,-0.5132999265893796
1999-04-07,-0.513024367850788
1999-04-08,-0.51278066183941
1999-04-09,-0.51256504613047
1999-04-12,-0.5123741899681156
1999-04-13,-0.512205149794572
1999-04-14,-0.5120553281608227
1999-04-15,-0.5119224360257243
1999-04-16,-0.5118044583798889
1999-04-19,-0.5116996230768469
1999-04-20,-0.5116063727148209
1999-04-21,-0.5115233393857423
1999-04-22,-0.5114493220918297
1999-04-23,-0.5113832666221458
1999-04-26,-0.5113242476803143
1999-04-27,-0.5112714530584168
1999-04-28,-0.5112241696597024
1999-04-29,-0.5111817711829783
1999-04-30,-0.5111437072935164
1999-05-03,-0.5099127350067696
1999-05-04,-0.5099789814241371
1999-05-05,-0.5100407750332743
1999-05-06,-0.5100980000200557
1999-05-07,-0.5101509659130951
1999-05-10,-0.5101999657788935
1999-05-11,-0.5102452762725572
1999-05-12,-0.5102871579321036
1999-05-13,-0.5103258555924728
1999-05-14,-0.5103615988904525
1999-05-17,-0.5103946028363997
1999-05-18,-0.5104250684327103
1999-05-19,-0.510453183322461
1999-05-20,-0.5104791224546739
1999-05-21,-0.5105030487552006
1999-05-24,-0.5105251137944179
1999-05-25,-0.5105454584447624
1999-05-26,-0.5105642135226944
1999-05-27,-0.5105815004109708
1999-05-28,-0.5105974316581994
1999-05-31,-0.5106121115535329
1999-06-01,-0.5052483936477806
1999-06-02,-0.5056909535573331
1999-06-03,-0.5060985321840606
1999-06-04,-0.5064730732057352
1999-06-07,-0.5068172863256144
1999-06-08,-0.5071336542517868
1999-06-09,-0.5074244522962149
1999-06-10,-0.50769176633832
1999-06-11,-0.5079375091355529
1999-06-14,-0.5081634351474995
1999-06-15,-0.5083711540212507
1999-06-16,-0.5085621428693062
1999-06-17,-0.5087377574569216
1999-06-18,-0.5088992424031993
1999-06-21,-0.5090477404891782
1999-06-22,-0.5091843011564277
1999-06-23,-0.5093098882710657
1999-06-24,-0.5094253872205218
1999-06-25,-0.5095316114036286
1999-06-28,-0.5096293081686527
1999-06-29,-0.5097191642485428
1999-06-30,-0.5098018107379395
1999-07-01,-0.5112341751549713
1999-07-02,-0.5111819405924811
1999-07-05,-0.5111345125301703
1999-07-06,-0.511092269396899
1999-07-07,-0.5110545891368885
1999-07-08,-0.5110209298020214
1999-07-09,-0.5109908189342796
1999-07-12,-0.5109638442131357
1999-07-13,-0.5109396453875243
1999-07-14,-0.5109179073168024
1999-07-15,-0.5108983539683869
1999-07-16,-0.5108807432401761
1999-07-19,-0.5108648624936645
1999-07-20,-0.5108505246991936
1999-07-21,-0.5108375651082712
1999-07-22,-0.5108258383796133
1999-07-23,-0.5108152160957092
1999-07-26,-0.5108055846155071
1999-07-27,-0.5107968432163985
1999-07-28,-0.5107889024852483
1999-07-29,-0.5107816829238556
1999-07-30,-0.5107751137391057
1999-08-02,-0.5107691317922589
1999-08-03,-0.49821902128697876
1999-08-04,-0.4992219077279234
1999-08-05,-0.5001476997586227
1999-08-06,-0.5009971680283359
1999-08-09,-0.5017767722041223
1999-08-10,-0.5024924001335004
1999-08-11,-0.5031494214338751
1999-08-12,-0.5037527364992622
1999-08-13,-0.5043068203594321
1999-08-16,-0.5048157620070871
1999-08-17,-0.5052832997247425
1999-08-18,-0.5057128528717261
1999-08-19,-0.506107550531194
1999-08-20,-0.5064702573655252
1999-08-23,-0.5068035969844176
1999-08-24,-0.5071099730922586
1999-08-25,-0.5073915886489
1999-08-26,-0.5076504632499883
1999-08-27,-0.5078884489088198
1999-08-30,-0.5081072444007195
1999-08-31,-0.5083084083127085
1999-09-01,-0.5157604209443811
1999-09-02,-0.5153586105869999
1999-09-03,-0.5149876883467588
1999-09-06,-0.5146458949277184
1999-09-07,-0.5143309827485386
1999-09-08,-0.5140408714600507
1999-09-09,-0.5137736365519862
1999-09-10,-0.5135274984717197
1999-09-13,-0.5133008123787512
1999-09-14,-0.5130920585182289
1999-09-15,-0.5128998331933033
1999-09-16,-0.5127228403135318
1999-09-17,-0.5125598834947792
1999-09-20,-0.5124098586849116
1999-09-21,-0.5122717472889684
1999-09-22,-0.5121446097673067
1999-09-23,-0.5120275796803615
1999-09-24,-0.5119198581540867
1999-09-27,-0.5118207087407728
1999-09-28,-0.5117294526507221
1999-09-29,-0.5116454643311722
1999-09-30,-0.51156816736984
1999-10-01,-0.5081153011781686
1999-10-04,-0.5083199015937216
1999-10-05,-0.5085092156103348
1999-10-06,-0.5086834655502268
1999-10-07,-0.508843843932467
1999-10-08,-0.5089914499783073
1999-10-11,-0.5091272965828277
1999-10-12,-0.5092523169738402
1999-10-13,-0.5093673708760083
