date,ITA_banking_system_f1__ITA_banking_system_f2
1999-02-01,-0.058678227773757
1999-02-02,-0.2399828658436979
1999-02-03,-0.3783071516531958
1999-02-04,-0.48643472887903305
1999-02-05,-0.5709174182361092
1999-02-08,-0.6369012231809443
1999-02-09,-0.6884217974358815
1999-02-10,-0.728640254297306
1999-02-11,-0.7600303832698614
1999-02-12,-0.7845266938933788
1999-02-15,-0.8036411234081917
1999-02-16,-0.8185548228196958
1999-02-17,-0.8301902105392437
1999-02-18,-0.8392674552138626
1999-02-19,-0.8463487036708981
1999-02-22,-0.8518726831352491
1999-02-23,-0.8561817545703742
1999-02-24,-0.8595430530224645
1999-02-25,-0.8621650006730891
1999-02-26,-0.8642102013751229
1999-03-01,-0.8658055071262294
1999-03-02,-0.8650978000649348
1999-03-03,-0.8664970182608225
1999-03-04,-0.8675870164109
1999-03-05,-0.8684363564576134
1999-03-08,-0.869098314034351
1999-03-09,-0.869614317391339
1999-03-10,-0.8700166019445776
1999-03-11,-0.8703302627933858
1999-03-12,-0.8705748442706283
1999-03-15,-0.8707655726474949
1999-03-16,-0.8709143132050281
1999-03-17,-0.8710303140075141
1999-03-18,-0.8711207843576461
1999-03-19,-0.8711913449553591
1999-03-22,-0.8712463783869737
1999-03-23,-0.8712893021184965
1999-03-24,-0.8713227811932042
1999-03-25,-0.8713488939909738
1999-03-26,-0.8713692614322325
1999-03-29,-0.8713851477031727
1999-03-30,-0.8713975387885863
1999-03-31,-0.8714072037074603
1999-04-01,-0.8708299384603969
1999-04-02,-0.8708452016531948
1999-04-05,-0.8709045689104241
1999-04-06,-0.8709805948179953
1999-04-07,-0.8710583928346628
1999-04-08,-0.87113053329832
1999-04-09,-0.8711938731024811
1999-04-12,-0.8712476276668644
1999-04-13,-0.8712922255844461
1999-04-14,-0.8713286470906247
1999-04-15,-0.8713580559885945
1999-04-16,-0.8713816059392103
1999-04-19,-0.8714003478470874
1999-04-20,-0.8714151940098608
1999-04-21,-0.8714269126844663
1999-04-22,-0.8714361377445295
1999-04-23,-0.8714433847577862
1999-04-26,-0.871449068768377
1999-04-27,-0.871453521376935
1999-04-28,-0.8714570060258297
1999-04-29,-0.8714597311205207
1999-04-30,-0.871461860995841
1999-05-03,-0.8665389116673219
1999-05-04,-0.8676482617860659
1999-05-05,-0.8684980472800538
1999-05-06,-0.8691516669629016
1999-05-07,-0.8696559875921328
1999-05-10,-0.8700460573754775
1999-05-11,-0.8703483260594785
1999-05-12,-0.870582897861545
1999-05-13,-0.8707651399905346
1999-05-14,-0.8709068507130266
1999-05-17,-0.8710171195723773
1999-05-18,-0.8711029682416264
1999-05-19,-0.8711698324521374
1999-05-20,-0.8712219271660455
1999-05-21,-0.871262524966154
1999-05-24,-0.8712941693189261
1999-05-25,-0.8713188385770564
1999-05-26,-0.8713380724850733
1999-05-27,-0.8713530699961302
1999-05-28,-0.8713647650493053
1999-05-31,-0.8713738853605738
1999-06-01,-0.8633878885063959
1999-06-02,-0.8650912276748404
1999-06-03,-0.8664360561697437
1999-06-04,-0.8674940851856359
1999-06-07,-0.8683245007151613
1999-06-08,-0.868975196303845
1999-06-09,-0.8694844717932855
1999-06-10,-0.8698827263783387
1999-06-11,-0.8701939692383641
1999-06-14,-0.8704370987764632
1999-06-15,-0.8706269553552293
1999-06-16,-0.8707751729379783
1999-06-17,-0.8708908606068456
1999-06-18,-0.8709811440277683
1999-06-21,-0.8710515935243298
1999-06-22,-0.8711065613318612
1999-06-23,-0.8711494466368532
1999-06-24,-0.8711829034845292
1999-06-25,-0.8712090036492994
1999-06-28,-0.8712293640948123
1999-06-29,-0.8712452466459917
1999-06-30,-0.8712576358858399
1999-07-01,-0.8719668920090198
1999-07-02,-0.8718244826432117
1999-07-05,-0.8717130459392308
1999-07-06,-0.8716259069780442
1999-07-07,-0.871557805324262
1999-07-08,-0.8715046047565115
1999-07-09,-0.8714630587732198
1999-07-12,-0.8714306227257761
1999-07-13,-0.8714053042304429
1999-07-14,-0.8713855446168234
1999-07-15,-0.8713701253106116
1999-07-16,-0.8713580941106288
1999-07-19,-0.8713487072563929
1999-07-20,-0.8713413839792935
1999-07-21,-0.8713356708930093
1999-07-22,-0.8713312141208137
1999-07-23,-0.871327737495644
1999-07-26,-0.8713250255200782
1999-07-27,-0.8713229100531544
1999-07-28,-0.8713212599127182
1999-07-29,-0.8713199727571205
1999-07-30,-0.8713189687479865
1999-08-02,-0.8713181856041663
1999-08-03,-0.8472755101227651
1999-08-04,-0.852273695529686
1999-08-05,-0.8562551349399207
1999-08-06,-0.8594079172280444
1999-08-09,-0.8618944701984391
1999-08-10,-0.8638500329768666
1999-08-11,-0.8653848633837223
1999-08-12,-0.8665876805087759
1999-08-13,-0.8675292572724987
1999-08-16,-0.8682657163740547
1999-08-17,-0.8688413765099043
1999-08-18,-0.8692911289896966
1999-08-19,-0.8696423818534155
1999-08-20,-0.8699166290407668
1999-08-23,-0.8701307054288718
1999-08-24,-0.8702977842075269
1999-08-25,-0.8704281658378958
1999-08-26,-0.8705299000353708
1999-08-27,-0.8706092748813562
1999-08-30,-0.8706712007206173
1999-08-31,-0.8707195110448877
1999-09-01,-0.8377422651375225
1999-09-02,-0.8445497786535969
1999-09-03,-0.8498710458695014
1999-09-06,-0.8540277202937345
1999-09-07,-0.8572732619432695
1999-09-08,-0.859806652084329
1999-09-09,-0.8617837601377396
1999-09-10,-0.8633265185711029
1999-09-13,-0.8645302285543649
1999-09-14,-0.8654693332642425
1999-09-15,-0.8662019598777669
1999-09-16,-0.8667734830119891
1999-09-17,-0.8672193154947326
1999-09-20,-0.8675670914508506
1999-09-21,-0.8678383726685922
1999-09-22,-0.8680499816091928
1999-09-23,-0.8682150423415685
1999-09-24,-0.8683437931674658
1999-09-27,-0.8684442208802798
1999-09-28,-0.868522555731288
1999-09-29,-0.8685836576492185
1999-09-30,-0.8686313175789407
1999-10-01,-0.7705392629499622
1999-10-04,-0.7755752340377603
1999-10-05,-0.7833044350434695
1999-10-06,-0.7926061102516145
1999-10-07,-0.8025507986244097
1999-10-08,-0.8124236749646185
1999-10-11,-0.8217245858989545
1999-10-12,-0.8301468061433864
1999-10-13,-0.8375416501355047
1999-10-14,-0.8438776533010821
1999-10-15,-0.8492016425332595
1999-10-18,-0.8536061938121151
1999-10-19,-0.8572051716862509
1999-10-20,-0.8601170470255516
1999-10-21,-0.8624546422295103
1999-10-22,-0.864319644722261
1999-10-25,-0.8658003559471088
1999-10-26,-0.8669714539248998
1999-10-27,-0.8678948870025943
1999-10-28,-0.8686213095632543
1999-10-29,-0.8691916936872176
1999-11-01,-0.8696389069928734
1999-11-02,-0.8758732160305489
1999-11-03,-0.8748908921553947
1999-11-04,-0.8741185811584522
1999-11-05,-0.8735128864030892
1999-11-08,-0.8730386686120637
1999-11-09,-0.8726678178707671
1999-11-10,-0.8723780312152559
1999-11-11,-0.87215171046695
1999-11-12,-0.8719750210731838
1999-11-15,-0.871837114130514
1999-11-16,-0.8717294961835925
1999-11-17,-0.8716455252686942
1999-11-18,-0.8715800112513115
1999-11-19,-0.8715289005878603
1999-11-22,-0.8714890285621512
1999-11-23,-0.8714579250134614
1999-11-24,-0.8714336622481866
1999-11-25,-0.8714147361028737
1999-11-26,-0.8713999730007154
1999-11-29,-0.8713884573576914
1999-11-30,-0.8713794749032218
1999-12-01,-0.8727119149288473
1999-12-02,-0.8724197010152726
1999-12-03,-0.8721910122973602
1999-12-06,-0.8720121714814862
1999-12-07,-0.8718723935361389
1999-12-08,-0.8717631951007289
1999-12-09,-0.8716779159065027
1999-12-10,-0.8716113346216232
1999-12-13,-0.8715593625893846
1999-12-14,-0.8715188009113881
1999-12-15,-0.8714871485173
1999-12-16,-0.8714624509649483
1999-12-17,-0.8714431815950454
1999-12-20,-0.871428148278543
1999-12-21,-0.8714164203429127
1999-12-22,-0.8714072713698192
1999-12-23,-0.871400134452698
1999-12-24,-0.8713945672218605
1999-12-27,-0.8713902245179619
1999-12-28,-0.8713868370492583
1999-12-29,-0.8713841947272014
1999-12-30,-0.8713821336578295
1999-12-31,-0.8713805259887383
2000-01-03,-0.8472659341955139
2000-01-04,-0.8497325874288909
2000-01-05,-0.8525739071966031
2000-01-06,-0.8554400365580525
2000-01-07,-0.8581235231872725
2000-01-10,-0.8605181728476023
2000-01-11,-0.8625850362904528
2000-01-12,-0.8643264532120534
2000-01-13,-0.8657675999076416
2000-01-14,-0.8669442170945992
2000-01-17,-0.8678949920354034
2000-01-18,-0.8686572045434368
2000-01-19,-0.8692645240459873
2000-01-20,-0.8697461413297772
2000-01-21,-0.8701266742025012
2000-01-24,-0.8704264825303417
2000-01-25,-0.8706621676456044
2000-01-26,-0.8708471248415164
2000-01-27,-0.8709920777206528
2000-01-28,-0.8711055599831247
2000-01-31,-0.8711943317799679
2000-02-01,-0.7299121283337882
2000-02-02,-0.3859209665070177
2000-02-03,-0.11665127943858822
2000-02-04,0.09397052138951603
2000-02-07,0.2586206092792815
2000-02-08,0.3872723005729812
2000-02-09,0.4877584701620156
2000-02-10,0.5662221114379444
2000-02-11,0.6274753797467514
2000-02-14,0.675284459454521
2000-02-15,0.7125947781122917
2000-02-16,0.7417085526454549
2000-02-17,0.7644244393106588
2000-02-18,0.7821471786762265
2000-02-21,0.7959735602585164
2000-02-22,0.806759745819506
2000-02-23,0.8151739474057516
