date,DEU_public_finance_f1__DEU_public_finance_f2
1999-02-01,0.04194385830056542
1999-02-02,0.34132112255365477
1999-02-03,0.5125775955141383
1999-02-04,0.6320338151355388
1999-02-05,0.7147004005694622
1999-02-08,0.7715897608647575
1999-02-09,0.8105882288411114
1999-02-10,0.8372506853763112
1999-02-11,0.8554457143658168
1999-02-12,0.8678467333551145
1999-02-15,0.8762914984851667
1999-02-16,0.8820387786806345
1999-02-17,0.8859486560751915
1999-02-18,0.8886078219102822
1999-02-19,0.8904160244645857
1999-02-22,0.8916454263891479
1999-02-23,0.8924812283769827
1999-02-24,0.8930494104785779
1999-02-25,0.8934356479940194
1999-02-26,0.8936981965525296
1999-03-01,0.8938766631126174
1999-03-02,0.5678979270750366
1999-03-03,0.059079658371061765
1999-03-04,-0.26091743014925917
1999-03-05,-0.4682832118629001
1999-03-08,-0.6050125764920767
1999-03-09,-0.6961285555736945
1999-03-10,-0.7572574358443767
1999-03-11,-0.798447336194162
1999-03-12,-0.8262816719049435
1999-03-15,-0.8451268243877298
1999-03-16,-0.8579021951708813
1999-03-17,-0.8665702354680016
1999-03-18,-0.8724548839984936
1999-03-19,-0.8764514848488185
1999-03-22,-0.8791665274609776
1999-03-23,-0.881011292039498
1999-03-24,-0.8822648905976023
1999-03-25,-0.8831168367858822
1999-03-26,-0.8836958525637699
1999-03-29,-0.8840893893316111
1999-03-30,-0.8843568694866901
1999-03-31,-0.8845386743605824
1999-04-01,-0.7823156513701022
1999-04-02,-0.8046291556929505
1999-04-05,-0.8247299412253895
1999-04-06,-0.841068466437224
1999-04-07,-0.8535807955061118
1999-04-08,-0.8628022115884575
1999-04-09,-0.8694256077439853
1999-04-12,-0.8741003786848555
1999-04-13,-0.8773605879240759
1999-04-14,-0.8796157645726373
1999-04-15,-0.881167049164023
1999-04-16,-0.8822300871293227
1999-04-19,-0.8829566599516988
1999-04-20,-0.883452386421016
1999-04-21,-0.8837902044024785
1999-04-22,-0.8840202257132888
1999-04-23,-0.8841767608012469
1999-04-26,-0.8842832464256166
1999-04-27,-0.8843556664253327
1999-04-28,-0.8844049100584214
1999-04-29,-0.8844383904100047
1999-04-30,-0.8844611515927617
1999-05-03,-0.8853055556883989
1999-05-04,-0.8850506738488328
1999-05-05,-0.8848800857911914
1999-05-06,-0.8847653917381199
1999-05-07,-0.8846880224173612
1999-05-10,-0.884635708720124
1999-05-11,-0.8846002783981988
1999-05-12,-0.8845762552887982
1999-05-13,-0.8845599539224553
1999-05-14,-0.884548886346773
1999-05-17,-0.8845413694108757
1999-05-18,-0.8845362627347765
1999-05-19,-0.8845327928890562
1999-05-20,-0.8845304349494396
1999-05-21,-0.8845288324802975
1999-05-24,-0.8845277433743475
1999-05-25,-0.8845270031445865
1999-05-26,-0.8845265000220128
1999-05-27,-0.8845261580516719
1999-05-28,-0.8845259256131556
1999-05-31,-0.8845257676225885
1999-06-01,-0.6595262156611424
1999-06-02,-0.6857257798059619
1999-06-03,-0.7189597148150579
1999-06-04,-0.7529410265934543
1999-06-07,-0.7838886741376213
1999-06-08,-0.8099268463113559
1999-06-09,-0.8305879562603924
1999-06-10,-0.8462795203523502
1999-06-11,-0.8578169740015672
1999-06-14,-0.8661027856610485
1999-06-15,-0.8719542061570283
1999-06-16,-0.8760378254448508
1999-06-17,-0.8788642923026099
1999-06-18,-0.8808094816754927
1999-06-21,-0.8821429197544954
1999-06-22,-0.8830545393443886
1999-06-23,-0.8836766310711683
1999-06-24,-0.8841006148577975
1999-06-25,-0.8843893316013676
1999-06-28,-0.884585821984376
1999-06-29,-0.8847194932852743
1999-06-30,-0.8848104045563493
1999-07-01,-0.8743282745493359
1999-07-02,-0.8769091079398939
1999-07-05,-0.8791065097654555
1999-07-06,-0.8808050067239517
1999-07-07,-0.8820544345486547
1999-07-08,-0.8829476852304041
1999-07-09,-0.8835752215084994
1999-07-12,-0.8840112030826277
1999-07-13,-0.8843119128564643
1999-07-14,-0.8845183298408575
1999-07-15,-0.8846595688953109
1999-07-16,-0.8847560033427894
1999-07-19,-0.8848217511789477
1999-07-20,-0.8848665334612392
1999-07-21,-0.8848970154678829
1999-07-22,-0.8849177543826054
1999-07-23,-0.8849318601359594
1999-07-26,-0.8849414523041911
1999-07-27,-0.8849479742371112
1999-07-28,-0.8849524082245181
1999-07-29,-0.8849554225104348
1999-07-30,-0.8849574715734391
1999-08-02,-0.8849588644517793
1999-08-03,-0.8730363307923328
1999-08-04,-0.8756791119183567
1999-08-05,-0.8781002491412518
1999-08-06,-0.8800437664360012
1999-08-09,-0.8815058057135622
1999-08-10,-0.8825659071910578
1999-08-11,-0.8833175205124064
1999-08-12,-0.883842879657538
1999-08-13,-0.8842067058047509
