date,DEU_real_estate_f1__DEU_real_estate_f2
2000-01-31,0.14742616262019348
2000-02-01,-0.07181593756344332
2000-02-02,-0.24252374789941292
2000-02-03,-0.3753756726691556
2000-02-04,-0.4788141949438207
2000-02-07,-0.5593834281850407
2000-02-08,-0.6221589793683228
2000-02-09,-0.6710823466220102
2000-02-10,-0.7092173212617262
2000-02-11,-0.7389472514825723
2000-02-14,-0.7621272617838176
2000-02-15,-0.7802019899593686
2000-02-16,-0.7942968206025637
2000-02-17,-0.8052886830251359
2000-02-18,-0.8138610528175135
2000-02-21,-0.8205467190815937
2000-02-22,-0.8257610615233011
2000-02-23,-0.8298279571683107
2000-02-24,-0.8329999575692365
2000-02-25,-0.8354740087706641
2000-02-28,-0.8374037017800129
2000-02-29,-0.8389088211819484
2000-03-01,-0.8401734201785246
2000-03-02,-0.8410721271390292
2000-03-03,-0.8417693445919159
2000-03-06,-0.8423134094150739
2000-03-07,-0.8427379779289612
2000-03-08,-0.8430692630326443
2000-03-09,-0.8433277394551136
2000-03-10,-0.8435293960879326
2000-03-13,-0.8436867156246567
2000-03-14,-0.8438094414835133
2000-03-15,-0.8439051777413965
2000-03-16,-0.8439798581404439
2000-03-17,-0.8440381125580042
2000-03-20,-0.8440835532460268
2000-03-21,-0.8441189983369792
2000-03-22,-0.8441466463240699
2000-03-23,-0.8441682122444311
2000-03-24,-0.8441850339559089
2000-03-27,-0.8441981550657507
2000-03-28,-0.8442083896349133
2000-03-29,-0.8442163726595459
2000-03-30,-0.8442225994539037
2000-03-31,-0.8442274563735
2000-04-03,-0.8441329711122847
2000-04-04,-0.8441529044920516
2000-04-05,-0.844172650806426
2000-04-06,-0.8441882960771171
2000-04-07,-0.8442005963593574
2000-04-10,-0.8442102484333671
2000-04-11,-0.8442178122089952
2000-04-12,-0.8442237333351844
2000-04-13,-0.8442283648174396
2000-04-14,-0.8442319852825886
2000-04-17,-0.84423481405571
2000-04-18,-0.844237023424361
2000-04-19,-0.844238748511198
2000-04-20,-0.8442400951609875
2000-04-21,-0.8442411462058087
2000-04-24,-0.8442419664208355
2000-04-25,-0.8442426064317649
2000-04-26,-0.8442431057881116
2000-04-27,-0.844243495375883
2000-04-28,-0.8442437993089041
2000-05-01,-0.8442440364097865
2000-05-02,-0.8439196837294586
2000-05-03,-0.8439839202041677
2000-05-04,-0.8440408220494592
2000-05-05,-0.8440854851217741
2000-05-08,-0.8441204081033781
2000-05-09,-0.8441476982679416
2000-05-10,-0.8441690150634155
2000-05-11,-0.8441856606697364
2000-05-12,-0.8441986554861765
2000-05-15,-0.844208798275094
2000-05-16,-0.8442167138021966
2000-05-17,-0.8442228904362431
2000-05-18,-0.844227709743764
2000-05-19,-0.8442314697349299
2000-05-22,-0.8442344030936703
2000-05-23,-0.8442366914569
2000-05-24,-0.8442384765886114
2000-05-25,-0.8442398691177203
2000-05-26,-0.844240955366994
2000-05-29,-0.8442418026877669
2000-05-30,-0.8442424636259723
2000-05-31,-0.8442429791746615
2000-06-01,-0.8444168647662266
2000-06-02,-0.84438619949679
2000-06-05,-0.8443517258475596
2000-06-06,-0.8443259406422307
2000-06-07,-0.8443066646584484
2000-06-08,-0.8442921428654212
2000-06-09,-0.8442811288525931
2000-06-12,-0.8442727285898793
2000-06-13,-0.8442662925043078
2000-06-14,-0.8442613430608791
2000-06-15,-0.844257525538061
2000-06-16,-0.8442545740708706
2000-06-19,-0.8442522878734289
2000-06-20,-0.8442505143448434
2000-06-21,-0.8442491368990309
2000-06-22,-0.8442480660857296
2000-06-23,-0.844247233038738
2000-06-26,-0.8442465845932119
2000-06-27,-0.8442460796157683
2000-06-28,-0.8442456862263498
2000-06-29,-0.8442453796826385
2000-06-30,-0.8442451407611599
2000-07-03,-0.8440758684077755
2000-07-04,-0.8441116537540334
2000-07-05,-0.8441407587128253
2000-07-06,-0.8441634812139698
2000-07-07,-0.8441812024718596
2000-07-10,-0.8441950233317105
2000-07-11,-0.844205802544921
2000-07-12,-0.8442142096852292
2000-07-13,-0.8442207668597344
2000-07-14,-0.8442258812140935
