date,DEU_real_estate_f1,DEU_real_estate_f2
2005-03-16,0.9990828988888636,1.009105235407186
2005-03-17,0.9990828988888636,1.009105235407186
2005-03-18,0.9990828988888636,1.009105235407186
2005-03-21,0.9990828988888636,1.009105235407186
2005-03-22,0.9990828988888636,1.009105235407186
2005-03-23,0.9990828988888636,1.009105235407186
2005-03-24,0.9990828988888636,1.009105235407186
2005-03-25,0.9990828988888636,1.009105235407186
2005-03-28,0.9990828988888636,1.009105235407186
2005-03-29,0.9990828988888636,1.009105235407186
2005-03-30,0.9990828988888636,1.009105235407186
2005-03-31,1.0290305898467589,1.1468472081163974
2005-04-01,0.9997081494250305,1.009165819638508
2005-04-04,0.999098325045071,1.009131888787783
2005-04-05,0.9990850819935064,1.0091318786780088
2005-04-06,0.9990847941419039,1.0091318786749963
2005-04-07,0.9990847878850233,1.0091318786749954
2005-04-08,0.9990847877490207,1.0091318786749954
2005-04-11,0.9990847877460646,1.0091318786749954
2005-04-12,0.9990847877460002,1.0091318786749954
2005-04-13,0.9990847877459988,1.0091318786749954
2005-04-14,0.9990847877459987,1.0091318786749954
2005-04-15,0.9990847877459987,1.0091318786749954
2005-04-18,0.9990847877459987,1.0091318786749954
2005-04-19,0.9990847877459987,1.0091318786749954
2005-04-20,0.9990847877459987,1.0091318786749954
2005-04-21,0.9990847877459987,1.0091318786749954
2005-04-22,0.9990847877459987,1.0091318786749954
2005-04-25,0.9990847877459987,1.0091318786749954
2005-04-26,0.9990847877459987,1.0091318786749954
2005-04-27,0.9990847877459987,1.0091318786749954
2005-04-28,0.9990847877459987,1.0091318786749954
2005-04-29,0.9990847877459987,1.0091318786749954
2005-05-02,1.0028296976063946,1.0091025091055763
2005-05-03,0.9991659698100007,1.0091318646067524
2005-05-04,0.9990867785289851,1.009131873354114
2005-05-05,0.9990850573976285,1.0091318733567203
2005-05-06,0.9990850199863739,1.0091318733567212
2005-05-09,0.9990850191731845,1.0091318733567212
2005-05-10,0.9990850191555085,1.0091318733567212
2005-05-11,0.9990850191551244,1.0091318733567212
2005-05-12,0.999085019155116,1.0091318733567212
2005-05-13,0.9990850191551159,1.0091318733567212
2005-05-16,0.9990850191551159,1.0091318733567212
2005-05-17,0.9990850191551159,1.0091318733567212
2005-05-18,0.9990850191551159,1.0091318733567212
2005-05-19,0.9990850191551159,1.0091318733567212
2005-05-20,0.9990850191551159,1.0091318733567212
2005-05-23,0.9990850191551159,1.0091318733567212
2005-05-24,0.9990850191551159,1.0091318733567212
2005-05-25,0.9990850191551159,1.0091318733567212
2005-05-26,0.9990850191551159,1.0091318733567212
2005-05-27,0.9990850191551159,1.0091318733567212
2005-05-30,0.9990850191551159,1.0091318733567212
2005-05-31,0.9893780405894638,1.0065440126594
2005-06-01,0.9988703830358228,1.009130628996651
2005-06-02,0.9990797579220334,1.0091314026981202
2005-06-03,0.9990843104591873,1.0091314029286582
2005-06-06,0.999084409416054,1.0091314029287268
2005-06-07,0.9990844115670293,1.0091314029287268
2005-06-08,0.999084411613784,1.0091314029287268
2005-06-09,0.9990844116148002,1.0091314029287268
2005-06-10,0.9990844116148223,1.0091314029287268
2005-06-13,0.9990844116148228,1.0091314029287268
2005-06-14,0.9990844116148228,1.0091314029287268
2005-06-15,0.9990844116148228,1.0091314029287268
2005-06-16,0.9990844116148228,1.0091314029287268
2005-06-17,0.9990844116148228,1.0091314029287268
2005-06-20,0.9990844116148228,1.0091314029287268
2005-06-21,0.9990844116148228,1.0091314029287268
2005-06-22,0.9990844116148228,1.0091314029287268
2005-06-23,0.9990844116148228,1.0091314029287268
2005-06-24,0.9990844116148228,1.0091314029287268
2005-06-27,0.9990844116148228,1.0091314029287268
2005-06-28,0.9990844116148228,1.0091314029287268
2005-06-29,0.9990844116148228,1.0091314029287268
2005-06-30,0.4612641900814513,0.37767013329919896
2005-07-01,0.9611621878703095,1.0076479560146288
2005-07-04,0.9980986952452439,1.0085677514829692
2005-07-05,0.9989495250259762,1.0085680259274385
2005-07-06,0.998968043248038,1.008568026009214
2005-07-07,0.9989684457806121,1.0085680260092384
2005-07-08,0.9989684545302625,1.0085680260092384
2005-07-11,0.9989684547204492,1.0085680260092384
2005-07-12,0.9989684547245832,1.0085680260092384
2005-07-13,0.998968454724673,1.0085680260092384
2005-07-14,0.998968454724675,1.0085680260092384
2005-07-15,0.998968454724675,1.0085680260092384
2005-07-18,0.998968454724675,1.0085680260092384
2005-07-19,0.998968454724675,1.0085680260092384
2005-07-20,0.998968454724675,1.0085680260092384
2005-07-21,0.998968454724675,1.0085680260092384
2005-07-22,0.998968454724675,1.0085680260092384
2005-07-25,0.998968454724675,1.0085680260092384
2005-07-26,0.998968454724675,1.0085680260092384
2005-07-27,0.998968454724675,1.0085680260092384
2005-07-28,0.998968454724675,1.0085680260092384
2005-07-29,0.998968454724675,1.0085680260092384
2005-08-01,0.0005062696282787851,1.1482069004357858
2005-08-02,0.0034113066293966583,1.0087518912527291
2005-08-03,0.01827338151141105,1.0087176036986418
2005-08-04,0.028964451080259496,1.0087175934825927
2005-08-05,0.029452620741711285,1.0087175934795487
2005-08-08,0.029463507637506343,1.0087175934795478
2005-08-09,0.029463744414481352,1.0087175934795478
2005-08-10,0.029463749561244954,1.0087175934795478
