date,DEU_macro_f1__DEU_macro_f2
1999-02-01,-0.28554177260469465
1999-02-02,-0.41073924403844325
1999-02-03,-0.5121756046127339
1999-02-04,-0.5885362865844901
1999-02-05,-0.6456818351995077
1999-02-08,-0.6882537404137942
1999-02-09,-0.7198593709936807
1999-02-10,-0.7432626011295216
1999-02-11,-0.7605584148082813
1999-02-12,-0.7733220883977832
1999-02-15,-0.7827310622008741
1999-02-16,-0.7896615244041698
1999-02-17,-0.7947633543303727
1999-02-18,-0.7985174101375789
1999-02-19,-0.8012788534410847
1999-02-22,-0.8033096616266091
1999-02-23,-0.8048028896423322
1999-02-24,-0.8059007011108479
1999-02-25,-0.8067077289314801
1999-02-26,-0.8073009535666817
1999-03-01,-0.8077369949799394
1999-03-02,-0.8094649637032992
1999-03-03,-0.809607470098931
1999-03-04,-0.8097125054313438
1999-03-05,-0.8097898632124313
1999-03-08,-0.8098468046339942
1999-03-09,-0.8098887006859052
1999-03-10,-0.8099195173753557
1999-03-11,-0.8099421795680053
1999-03-12,-0.8099588423163051
1999-03-15,-0.8099710923980872
1999-03-16,-0.8099800975878164
1999-03-17,-0.8099867169854598
1999-03-18,-0.8099915824386019
1999-03-19,-0.8099951585648786
1999-03-22,-0.8099977869631534
1999-03-23,-0.8099997187591094
1999-03-24,-0.8100011385528902
1999-03-25,-0.810002182034576
1999-03-26,-0.8100029489387802
1999-03-29,-0.8100035125699465
1999-03-30,-0.8100039268052527
1999-03-31,-0.810004231242597
1999-04-01,-0.7920872000693882
1999-04-02,-0.7933680324518083
1999-04-05,-0.7943150874522293
1999-04-06,-0.7950142285301489
1999-04-07,-0.7955297449155665
1999-04-08,-0.7959095340519953
1999-04-09,-0.7961891515705626
1999-04-12,-0.7963949212347503
1999-04-13,-0.7965462939302099
1999-04-14,-0.796657621522131
1999-04-15,-0.7967394824195948
1999-04-16,-0.7967996676871701
1999-04-19,-0.7968439122370543
1999-04-20,-0.7968764357119213
1999-04-21,-0.7969003418961829
1999-04-22,-0.7969179132839863
1999-04-23,-0.7969308281226923
1999-04-26,-0.7969403202257292
1999-04-27,-0.7969472965867046
1999-04-28,-0.7969524239056203
1999-04-29,-0.7969561922272237
1999-04-30,-0.7969589617365205
1999-05-03,0.14728820550368765
1999-05-04,0.21896915862081134
1999-05-05,0.28689685233266804
1999-05-06,0.3503144578494021
1999-05-07,0.4083140621180956
1999-05-10,0.4600661536669199
1999-05-11,0.5050236786561246
1999-05-12,0.5430407163729003
1999-05-13,0.5743804669443419
1999-05-14,0.5996319708469138
1999-05-17,0.6195820749394914
1999-05-18,0.6350887758822755
1999-05-19,0.6469841391071969
1999-05-20,0.6560149297670681
1999-05-21,0.6628159883564424
1999-05-24,0.6679063833304986
1999-05-25,0.6716986600294436
1999-05-26,0.6745139663987754
