date,DEU_macro_f1,DEU_macro_f2
1999-02-01,-0.9985112187131825,0.8568904420591535
1999-02-02,-0.9999886816269808,0.8972434199010941
1999-02-03,-0.9999886816294133,0.8972434199010944
1999-02-04,-0.9999886816294133,0.8972434199010944
1999-02-05,-0.9999886816294133,0.8972434199010944
1999-02-08,-0.9999886816294133,0.8972434199010944
1999-02-09,-0.9999886816294133,0.8972434199010944
1999-02-10,-0.9999886816294133,0.8972434199010944
1999-02-11,-0.9999886816294133,0.8972434199010944
1999-02-12,-0.9999886816294133,0.8972434199010944
1999-02-15,-0.9999886816294133,0.8972434199010944
1999-02-16,-0.9999886816294133,0.8972434199010944
1999-02-17,-0.9999886816294133,0.8972434199010944
1999-02-18,-0.9999886816294133,0.8972434199010944
1999-02-19,-0.9999886816294133,0.8972434199010944
1999-02-22,-0.9999886816294133,0.8972434199010944
1999-02-23,-0.9999886816294133,0.8972434199010944
1999-02-24,-0.9999886816294133,0.8972434199010944
1999-02-25,-0.9999886816294133,0.8972434199010944
1999-02-26,-0.9999886816294133,0.8972434199010944
1999-03-01,-0.999367721307051,0.9299476380795998
1999-03-02,-0.9999886675589513,0.9033486055242982
1999-03-03,-0.9999886675599725,0.903348605524298
1999-03-04,-0.9999886675599725,0.903348605524298
1999-03-05,-0.9999886675599725,0.903348605524298
1999-03-08,-0.9999886675599725,0.903348605524298
1999-03-09,-0.9999886675599725,0.903348605524298
1999-03-10,-0.9999886675599725,0.903348605524298
1999-03-11,-0.9999886675599725,0.903348605524298
1999-03-12,-0.9999886675599725,0.903348605524298
1999-03-15,-0.9999886675599725,0.903348605524298
1999-03-16,-0.9999886675599725,0.903348605524298
1999-03-17,-0.9999886675599725,0.903348605524298
1999-03-18,-0.9999886675599725,0.903348605524298
1999-03-19,-0.9999886675599725,0.903348605524298
1999-03-22,-0.9999886675599725,0.903348605524298
1999-03-23,-0.9999886675599725,0.903348605524298
1999-03-24,-0.9999886675599725,0.903348605524298
1999-03-25,-0.9999886675599725,0.903348605524298
1999-03-26,-0.9999886675599725,0.903348605524298
1999-03-29,-0.9999886675599725,0.903348605524298
1999-03-30,-0.9999886675599725,0.903348605524298
1999-03-31,-1.0279953598128984,0.6497200198217726
1999-04-01,-0.999989276660317,0.8345551432996454
1999-04-02,-0.9999892766161732,0.8345551432996456
1999-04-05,-0.9999892766161732,0.8345551432996456
1999-04-06,-0.9999892766161732,0.8345551432996456
1999-04-07,-0.9999892766161732,0.8345551432996456
1999-04-08,-0.9999892766161732,0.8345551432996456
1999-04-09,-0.9999892766161732,0.8345551432996456
1999-04-12,-0.9999892766161732,0.8345551432996456
1999-04-13,-0.9999892766161732,0.8345551432996456
1999-04-14,-0.9999892766161732,0.8345551432996456
1999-04-15,-0.9999892766161732,0.8345551432996456
1999-04-16,-0.9999892766161732,0.8345551432996456
1999-04-19,-0.9999892766161732,0.8345551432996456
1999-04-20,-0.9999892766161732,0.8345551432996456
1999-04-21,-0.9999892766161732,0.8345551432996456
1999-04-22,-0.9999892766161732,0.8345551432996456
1999-04-23,-0.9999892766161732,0.8345551432996456
1999-04-26,-0.9999892766161732,0.8345551432996456
1999-04-27,-0.9999892766161732,0.8345551432996456
1999-04-28,-0.9999892766161732,0.8345551432996456
1999-04-29,-0.9999892766161732,0.8345551432996456
1999-04-30,-0.980168597305707,-4.264563041884195
1999-05-03,-0.9999888385181086,-0.9917584272092891
1999-05-04,-0.9999888385516624,-0.9917584272092889
1999-05-05,-0.9999888385516624,-0.9917584272092889
1999-05-06,-0.9999888385516624,-0.9917584272092889
1999-05-07,-0.9999888385516624,-0.9917584272092889
1999-05-10,-0.9999888385516624,-0.9917584272092889
1999-05-11,-0.9999888385516624,-0.9917584272092889
1999-05-12,-0.9999888385516624,-0.9917584272092889
1999-05-13,-0.9999888385516624,-0.9917584272092889
1999-05-14,-0.9999888385516624,-0.9917584272092889
1999-05-17,-0.9999888385516624,-0.9917584272092889
1999-05-18,-0.9999888385516624,-0.9917584272092889
1999-05-19,-0.9999888385516624,-0.9917584272092889
1999-05-20,-0.9999888385516624,-0.9917584272092889
1999-05-21,-0.9999888385516624,-0.9917584272092889
1999-05-24,-0.9999888385516624,-0.9917584272092889
1999-05-25,-0.9999888385516624,-0.9917584272092889
1999-05-26,-0.9999888385516624,-0.9917584272092889
1999-05-27,-0.9999888385516624,-0.9917584272092889
1999-05-28,-0.9999888385516624,-0.9917584272092889
1999-05-31,-0.9932322874129421,-1.0016474581192685
1999-06-01,-0.9999886861741533,-0.9919184004781849
1999-06-02,-0.9999886861853657,-0.9919184004781849
1999-06-03,-0.9999886861853657,-0.9919184004781849
1999-06-04,-0.9999886861853657,-0.9919184004781849
1999-06-07,-0.9999886861853657,-0.9919184004781849
1999-06-08,-0.9999886861853657,-0.9919184004781849
1999-06-09,-0.9999886861853657,-0.9919184004781849
1999-06-10,-0.9999886861853657,-0.9919184004781849
1999-06-11,-0.9999886861853657,-0.9919184004781849
1999-06-14,-0.9999886861853657,-0.9919184004781849
1999-06-15,-0.9999886861853657,-0.9919184004781849
1999-06-16,-0.9999886861853657,-0.9919184004781849
1999-06-17,-0.9999886861853657,-0.9919184004781849
1999-06-18,-0.9999886861853657,-0.9919184004781849
1999-06-21,-0.9999886861853657,-0.9919184004781849
1999-06-22,-0.9999886861853657,-0.9919184004781849
1999-06-23,-0.9999886861853657,-0.9919184004781849
1999-06-24,-0.9999886861853657,-0.9919184004781849
1999-06-25,-0.9999886861853657,-0.9919184004781849
1999-06-28,-0.9999886861853657,-0.9919184004781849
1999-06-29,-0.9999886861853657,-0.9919184004781849
1999-06-30,-0.9872154842390776,-0.9690977264087528
1999-07-01,-0.9999883915069981,-0.9915381764694021
1999-07-02,-0.9999883915283896,-0.9915381764694021
1999-07-05,-0.9999883915283896,-0.9915381764694021
1999-07-06,-0.9999883915283896,-0.9915381764694021
1999-07-07,-0.9999883915283896,-0.9915381764694021
1999-07-08,-0.9999883915283896,-0.9915381764694021
1999-07-09,-0.9999883915283896,-0.9915381764694021
1999-07-12,-0.9999883915283896,-0.9915381764694021
1999-07-13,-0.9999883915283896,-0.9915381764694021
1999-07-14,-0.9999883915283896,-0.9915381764694021
1999-07-15,-0.9999883915283896,-0.9915381764694021
1999-07-16,-0.9999883915283896,-0.9915381764694021
1999-07-19,-0.9999883915283896,-0.9915381764694021
1999-07-20,-0.9999883915283896,-0.9915381764694021
1999-07-21,-0.9999883915283896,-0.9915381764694021
1999-07-22,-0.9999883915283896,-0.9915381764694021
1999-07-23,-0.9999883915283896,-0.9915381764694021
1999-07-26,-0.9999883915283896,-0.9915381764694021
1999-07-27,-0.9999883915283896,-0.9915381764694021
1999-07-28,-0.9999883915283896,-0.9915381764694021
1999-07-29,-0.9999883915283896,-0.9915381764694021
1999-07-30,-0.9999883915283896,-0.9915381764694021
1999-08-02,-0.9837213477117535,-0.9427761765824598
1999-08-03,-0.9999880044156307,-0.9906527726436097
1999-08-04,-0.9999880044430193,-0.9906527726436097
1999-08-05,-0.9999880044430193,-0.9906527726436097
1999-08-06,-0.9999880044430193,-0.9906527726436097
1999-08-09,-0.9999880044430193,-0.9906527726436097
1999-08-10,-0.9999880044430193,-0.9906527726436097
1999-08-11,-0.9999880044430193,-0.9906527726436097
1999-08-12,-0.9999880044430193,-0.9906527726436097
1999-08-13,-0.9999880044430193,-0.9906527726436097
1999-08-16,-0.9999880044430193,-0.9906527726436097
1999-08-17,-0.9999880044430193,-0.9906527726436097
1999-08-18,-0.9999880044430193,-0.9906527726436097
1999-08-19,-0.9999880044430193,-0.9906527726436097
1999-08-20,-0.9999880044430193,-0.9906527726436097
1999-08-23,-0.9999880044430193,-0.9906527726436097
