date,USA_external_fx_f1__USA_external_fx_f2
1999-02-01,0.1745908320856218
1999-02-02,0.42296828440223916
1999-02-03,0.5757001111316099
1999-02-04,0.6811386707824849
1999-02-05,0.75359565628849
1999-02-08,0.8032263588344609
1999-02-09,0.8371446184413666
1999-02-10,0.8602882952567001
1999-02-11,0.876062940889905
1999-02-12,0.8868068747526574
1999-02-15,0.8941207186025156
1999-02-16,0.8990978246265584
1999-02-17,0.9024839655492805
1999-02-18,0.9047873314887502
1999-02-19,0.9063539852941369
1999-02-22,0.9074194782736188
1999-02-23,0.9081440910788905
1999-02-24,0.9086368634543861
1999-02-25,0.9089719650199558
1999-02-26,0.9091998415468521
1999-03-01,0.9093548009687131
1999-03-02,0.8788560545293546
1999-03-03,0.8877955845558158
1999-03-04,0.8944062289788005
1999-03-05,0.8991174477827029
1999-03-08,0.9024130200799287
1999-03-09,0.9046942965892226
1999-03-10,0.9062635433633871
1999-03-11,0.9073387498932934
1999-03-12,0.9080735850896394
1999-03-15,0.9085749631214175
1999-03-16,0.9089166759196957
1999-03-17,0.9091493974742665
1999-03-18,0.9093078125249918
1999-03-19,0.9094156105574038
1999-03-22,0.9094889481829657
1999-03-23,0.9095388338969878
1999-03-24,0.9095727636203812
1999-03-25,0.9095958392598694
1999-03-26,0.9096115322722956
1999-03-29,0.9096222042454164
1999-03-30,0.9096294615190226
1999-03-31,0.9096343966163788
1999-04-01,0.9096527437994599
1999-04-02,0.9096269707187213
1999-04-05,0.9096216504353772
1999-04-06,0.9096237191169635
1999-04-07,0.9096277689218433
1999-04-08,0.9096317493123842
1999-04-09,0.9096350245015316
1999-04-12,0.9096375149507782
1999-04-13,0.9096393303525683
1999-04-14,0.9096406212334045
1999-04-15,0.9096415251284834
1999-04-16,0.9096421518479797
1999-04-19,0.9096425835999464
1999-04-20,0.9096428797730174
1999-04-21,0.909643082364542
1999-04-22,0.9096432206787884
1999-04-23,0.909643314987697
1999-04-26,0.9096433792357447
1999-04-27,0.909643422978958
1999-04-28,0.9096434527495498
1999-04-29,0.9096434730051995
1999-04-30,0.909643486784421
1999-05-03,0.8940353492377385
1999-05-04,0.8984489721070549
1999-05-05,0.9017712611920523
1999-05-06,0.9041649375059873
1999-05-07,0.9058509610959325
1999-05-10,0.9070233003496424
1999-05-11,0.9078321052835494
1999-05-12,0.9083873611218124
1999-05-13,0.908767339862106
1999-05-14,0.9090268276038728
1999-05-17,0.9092037858453328
1999-05-18,0.9093243507011433
1999-05-19,0.9094064423296795
1999-05-20,0.9094623142411549
1999-05-21,0.9095003300325
1999-05-24,0.9095261913353586
1999-05-25,0.909543781895947
1999-05-26,0.9095557457250874
1999-05-27,0.9095638821645341
1999-05-28,0.9095694154197417
1999-05-31,0.9095731782519004
1999-06-01,0.88798435503558
1999-06-02,0.8942567964711858
1999-06-03,0.8988618490492944
1999-06-04,0.9021310105363849
1999-06-07,0.9044124433721884
1999-06-08,0.905989312456423
1999-06-09,0.9070729259704933
1999-06-10,0.9078148932751101
1999-06-11,0.9083217526820568
1999-06-14,0.9086674777908811
1999-06-15,0.9089030573050756
1999-06-16,0.909063475009712
1999-06-17,0.9091726620271909
1999-06-18,0.9092469566639814
1999-06-21,0.9092974989051688
1999-06-22,0.9093318777235095
1999-06-23,0.9093552599737285
1999-06-24,0.909371162047695
1999-06-25,0.9093819764442287
1999-06-28,0.9093893306865979
1999-06-29,0.9093943317785415
1999-06-30,0.909397732615353
1999-07-01,0.8622572621063477
1999-07-02,0.8768711861969132
1999-07-05,0.8868819599827356
1999-07-06,0.8937074827520028
1999-07-07,0.898353267611919
1999-07-08,0.9015133622187572
1999-07-09,0.9036623596666876
1999-07-12,0.9051236473893202
1999-07-13,0.9061172809581443
1999-07-14,0.906792923629403
1999-07-15,0.9072523448376295
1999-07-16,0.9075647430106505
1999-07-19,0.9077771696117163
1999-07-20,0.9079216176375402
1999-07-21,0.9080198412740934
1999-07-22,0.9080866328381645
1999-07-23,0.9081320508443441
1999-07-26,0.9081629349553648
1999-07-27,0.9081839360799202
1999-07-28,0.9081982168055415
1999-07-29,0.9082079276766553
1999-07-30,0.9082145310558227
1999-08-02,0.9082190213456057
1999-08-03,0.687799159866962
1999-08-04,0.668029273207107
1999-08-05,0.6675766945723606
1999-08-06,0.6820399420326223
1999-08-09,0.7069437294745957
1999-08-10,0.7377348478471094
1999-08-11,0.7701642653993191
1999-08-12,0.8008250343247331
1999-08-13,0.8275316050779972
1999-08-16,0.8493466095372124
1999-08-17,0.8662987295738707
1999-08-18,0.8789822710859633
1999-08-19,0.8882095091339337
1999-08-20,0.8947872087934313
1999-08-23,0.899408796015673
1999-08-24,0.9026231465617169
1999-08-25,0.904842999035339
1999-08-26,0.9063685735116174
1999-08-27,0.9074134965472781
1999-08-30,0.9081275587765528
1999-08-31,0.9086147561525444
1999-09-01,0.9070344536258742
1999-09-02,0.9074940842165387
1999-09-03,0.9080055861741235
1999-09-06,0.9084499149971316
1999-09-07,0.9087982073049081
1999-09-08,0.9090568884556363
1999-09-09,0.9092430551785101
1999-09-10,0.9093744470299646
1999-09-13,0.9094660290911959
1999-09-14,0.9095293439543901
1999-09-15,0.9095728801975249
1999-09-16,0.9096027083044178
1999-09-17,0.9096230949054773
1999-09-20,0.9096370056942615
1999-09-21,0.9096464871921984
1999-09-22,0.9096529448607401
1999-09-23,0.9096573408146582
1999-09-24,0.9096603322539957
1999-09-27,0.9096623674449892
1999-09-28,0.9096637518423755
1999-09-29,0.9096646934483813
1999-09-30,0.9096653338399707
1999-10-01,0.9050651919426534
1999-10-04,0.9054429567249771
1999-10-05,0.90623985802073
1999-10-06,0.9070645646499643
1999-10-07,0.9077681280204319
1999-10-08,0.9083167288637528
1999-10-11,0.9087236309024112
1999-10-12,0.9090164409710366
1999-10-13,0.9092231545335833
1999-10-14,0.9093672835757218
1999-10-15,0.9094669546410554
1999-10-18,0.9095355049619873
1999-10-19,0.9095824786099892
1999-10-20,0.9096145873679096
1999-10-21,0.9096364985401357
1999-10-22,0.9096514338845689
1999-10-25,0.9096616064592568
1999-10-26,0.9096685314601686
1999-10-27,0.909673243997671
1999-10-28,0.9096764501577086
1999-10-29,0.909678631101545
1999-11-01,0.9096801144918725
