date,USA_external_fx_f1__USA_external_fx_f2
1999-02-01,0.1745908320856218
1999-02-02,0.21025798139722457
1999-02-03,0.2402943269117321
1999-02-04,0.26794519339074185
1999-02-05,0.29339876695951717
1999-02-08,0.31682858077776865
1999-02-09,0.3383946267357311
1999-02-10,0.35824438725298036
1999-02-11,0.37651379223998227
1999-02-12,0.3933281060701138
1999-02-15,0.40880274918740556
1999-02-16,0.423044058747266
1999-02-17,0.4361499924574963
1999-02-18,0.44821077955794697
1999-02-19,0.4593095226514753
1999-02-22,0.469522753878296
1999-02-23,0.4789209487117795
1999-02-24,0.48756900044727863
1999-02-25,0.495526658257427
1999-02-26,0.5028489314980612
1999-03-01,0.5095864627687551
1999-03-02,0.5063446818656216
1999-03-03,0.5128472394241107
1999-03-04,0.5188213119700671
1999-03-05,0.5243104810034169
1999-03-08,0.5293546344549783
1999-03-09,0.5339902955522019
1999-03-10,0.5382509198879645
1999-03-11,0.5421671641624369
1999-03-12,0.5457671296284115
1999-03-15,0.5490765828959194
1999-03-16,0.5521191564311364
1999-03-17,0.5549165308086764
1999-03-18,0.5574886005382456
1999-03-19,0.5598536250803707
1999-03-22,0.5620283664866239
1999-03-23,0.564028214943437
1999-03-24,0.5658673033618244
1999-03-25,0.5675586120353353
1999-03-26,0.5691140642829644
1999-03-29,0.5705446139005639
1999-03-30,0.5718603251618751
1999-03-31,0.573070446037192
1999-04-01,0.5744566148002654
1999-04-02,0.5754570104138905
1999-04-05,0.576377327472686
1999-04-06,0.5772239797016054
1999-04-07,0.5780028665322575
1999-04-08,0.578719414441816
1999-04-09,0.5793786149519711
1999-04-12,0.5799850595609914
1999-04-13,0.5805429718588331
1999-04-14,0.5810562370544375
1999-04-15,0.5815284291253683
1999-04-16,0.5819628357825855
1999-04-19,0.5823624814272905
1999-04-20,0.5827301482622521
1999-04-21,0.5830683957067303
1999-04-22,0.5833795782519418
1999-04-23,0.5836658618828416
1999-04-26,0.5839292391817702
1999-04-27,0.5841715432201257
1999-04-28,0.5843944603356164
1999-04-29,0.5845995418847382
1999-04-30,0.5847882150528789
1999-05-03,0.5793686582556439
1999-05-04,0.5799549652018208
1999-05-05,0.5804941328133394
1999-05-06,0.5809899690225233
1999-05-07,0.5814459713145371
1999-05-10,0.5818653524926695
1999-05-11,0.582251064231127
1999-05-12,0.5826058186177087
1999-05-13,0.5829321078679459
1999-05-14,0.5832322223742537
1999-05-17,0.5835082672376406
1999-05-18,0.5837621774153361
1999-05-19,0.5839957316050203
1999-05-20,0.5842105649750555
1999-05-21,0.5844081808399897
1999-05-24,0.5845899613715246
1999-05-25,0.5847571774269833
1999-05-26,0.5849109975699527
1999-05-27,0.5850524963511502
1999-05-28,0.5851826619115648
1999-05-31,0.5853024029645026
1999-06-01,0.5781529910791772
1999-06-02,0.5787744476247523
1999-06-03,0.5793458267778852
1999-06-04,0.5798711911716408
1999-06-07,0.5803542695315169
1999-06-08,0.5807984848060628
1999-06-09,0.5812069798174324
1999-06-10,0.5815826406683902
1999-06-11,0.581928118116703
1999-06-14,0.582245847105692
1999-06-15,0.5825380646202247
1999-06-16,0.5828068260202707
1999-06-17,0.5830540199889742
1999-06-18,0.5832813822187408
1999-06-21,0.5834905079468915
1999-06-22,0.5836828634417834
1999-06-23,0.5838597965307906
1999-06-24,0.5840225462530249
1999-06-25,0.5841722517120445
1999-06-28,0.5843099601969429
1999-06-29,0.5844366346340355
1999-06-30,0.5845531604257935
1999-07-01,0.5719738314916466
1999-07-02,0.5726780444578249
1999-07-05,0.5733254756847401
1999-07-06,0.5739207367040555
1999-07-07,0.57446805937435
1999-07-08,0.5749713279405784
1999-07-09,0.5754341082621558
1999-07-12,0.5758596744788615
1999-07-13,0.576251033355283
1999-07-14,0.5766109465194605
1999-07-15,0.5769419507893105
1999-07-16,0.5772463767608773
