date,DEU_real_estate_f1__DEU_real_estate_f2
2000-01-31,0.14742616262019348
2000-02-01,0.10121715763200076
2000-02-02,0.05868870874722815
2000-02-03,0.019583332011302287
2000-02-04,-0.01637455217551458
2000-02-07,-0.04943966087665387
2000-02-08,-0.07984591161352533
2000-02-09,-0.10780812221212752
2000-02-10,-0.13352359829440533
2000-02-11,-0.15717358506284754
2000-02-14,-0.17892459501078817
2000-02-15,-0.1989296227214047
2000-02-16,-0.21732925684066828
2000-02-17,-0.23425269833584092
2000-02-18,-0.2498186932819465
2000-02-21,-0.26413638764149827
2000-02-22,-0.27730611080660933
2000-02-23,-0.2894200940479205
2000-02-24,-0.300563129453277
2000-02-25,-0.31081317443358514
2000-02-28,-0.3202419064175382
2000-02-29,-0.32891523194541994
2000-03-01,-0.33702691207442037
2000-03-02,-0.34435978375502624
2000-03-03,-0.3511001239206637
2000-03-06,-0.357300739623327
2000-03-07,-0.36300498269824655
2000-03-08,-0.3682526148500937
2000-03-09,-0.3730802067983091
2000-03-10,-0.3775213971106731
2000-03-13,-0.38160712782107886
2000-03-14,-0.3853658609939408
2000-03-15,-0.38882377783239386
2000-03-16,-0.39200496174799415
2000-03-17,-0.39493156669203927
2000-03-20,-0.3976239719419484
2000-03-21,-0.40010092443843703
2000-03-22,-0.4023796696796737
2000-03-23,-0.404476072096524
2000-03-24,-0.406404725757715
2000-03-27,-0.40817905618471156
2000-03-28,-0.40981141399275806
2000-03-29,-0.41131316101641024
2000-03-30,-0.4126947495245373
2000-03-31,-0.4139657950807919
2000-04-03,-0.4150359144384554
2000-04-04,-0.4161149566167186
2000-04-05,-0.41711243589840674
2000-04-06,-0.4180301920404015
2000-04-07,-0.4188745048506127
2000-04-10,-0.4196512514291132
2000-04-11,-0.420365840292916
2000-04-12,-0.4210232468227628
2000-04-13,-0.4216280479450009
2000-04-14,-0.4221844540722748
2000-04-17,-0.4226963384798925
2000-04-18,-0.4231672643235991
2000-04-19,-0.42360050948873235
2000-04-20,-0.42399908944535786
2000-04-21,-0.4243657782698422
2000-04-24,-0.4247031279803392
2000-04-25,-0.4250134863217515
2000-04-26,-0.4252990131247718
2000-04-27,-0.42556169535356037
2000-04-28,-0.42580336094737303
2000-05-01,-0.42602569155296816
2000-05-02,-0.42587025781564647
2000-05-03,-0.4260793416007871
2000-05-04,-0.4262794993019729
2000-05-05,-0.4264637979586081
2000-05-08,-0.4266333425224563
2000-05-09,-0.4267893118438626
2000-05-10,-0.42693279367142334
2000-05-11,-0.4270647885326048
2000-05-12,-0.42718621667908674
2000-05-15,-0.42729792454339466
2000-05-16,-0.42740069067502384
2000-05-17,-0.42749523119699245
2000-05-18,-0.42758220482188203
2000-05-19,-0.4276622174632195
2000-05-22,-0.42773582647509684
2000-05-23,-0.4278035445502032
2000-05-24,-0.4278658433039736
2000-05-25,-0.4279231565702768
2000-05-26,-0.4279758834319858
2000-05-29,-0.4280243910078649
2000-05-30,-0.42806901701546035
2000-05-31,-0.4281100721280715
2000-06-01,-0.4284844930102716
2000-06-02,-0.4285063480829612
2000-06-05,-0.42851255019219836
2000-06-06,-0.4285179581381763
2000-06-07,-0.4285229321538151
2000-06-08,-0.4285275126078376
2000-06-09,-0.4285317304349133
2000-06-12,-0.42853561406329993
2000-06-13,-0.4285391897337102
2000-06-14,-0.4285424816634945
2000-06-15,-0.42854551219693005
2000-06-16,-0.4285483019452083
2000-06-19,-0.4285508699167323
2000-06-20,-0.4285532336382688
2000-06-21,-0.4285554092674934
2000-06-22,-0.4285574116974471
2000-06-23,-0.42855925465341604
2000-06-26,-0.4285609507827167
2000-06-27,-0.4285625117378571
2000-06-28,-0.4285639482535165
2000-06-29,-0.4285652702177659
2000-06-30,-0.4285664867379299
2000-07-03,-0.42837123358603935
2000-07-04,-0.4283864916119312
2000-07-05,-0.42840191082141066
2000-07-06,-0.4284161254765463
2000-07-07,-0.4284292034267885
2000-07-10,-0.4284412350139367
2000-07-11,-0.4284523039552069
2000-07-12,-0.42846248728029673
2000-07-13,-0.428471855853998
2000-07-14,-0.4284804748695422
2000-07-17,-0.42848840430268625
2000-07-18,-0.42849569932941944
2000-07-19,-0.4285024107102078
2000-07-20,-0.4285085851434576
2000-07-21,-0.42851426559066885
2000-07-24,-0.4285194915755455
2000-07-25,-0.4285242994591546
2000-07-26,-0.4285287226930509
2000-07-27,-0.42853279205213446
2000-07-28,-0.42853653584886364
2000-07-31,-0.42853998013032046
2000-08-01,-0.4287774529216519
2000-08-02,-0.4287679571430355
2000-08-03,-0.4287530064861698
2000-08-04,-0.42873911672338116
2000-08-07,-0.42872633543854355
2000-08-08,-0.4287145767965921
2000-08-09,-0.428703759017354
2000-08-10,-0.4286938068066395
2000-08-11,-0.42868465089653823
2000-08-14,-0.42867622756399326
2000-08-15,-0.42866847818671094
2000-08-16,-0.4286613488346525
2000-08-17,-0.42865478989427386
2000-08-18,-0.42864875572288486
2000-08-21,-0.42864320433070896
2000-08-22,-0.4286380970884203
2000-08-23,-0.42863339845811216
2000-08-24,-0.4286290757458192
2000-08-25,-0.42862509887386246
2000-08-28,-0.4286214401714278
2000-08-29,-0.42861807418191794
2000-08-30,-0.4286149774857288
2000-08-31,-0.42861212853722014
2000-09-01,-0.42865271926264054
2000-09-04,-0.4286487216561311
2000-09-05,-0.42864319456230393
2000-09-06,-0.428638069292513
2000-09-07,-0.4286333532809786
2000-09-08,-0.42862901462999736
2000-09-11,-0.42862502315426865
2000-09-12,-0.42862135106734056
2000-09-13,-0.4286179728072509
2000-09-14,-0.42861486485865513
2000-09-15,-0.4286120055888484
2000-09-18,-0.42860937509693825
2000-09-19,-0.4286069550751157
2000-09-20,-0.42860472868105315
2000-09-21,-0.4286026804205339
2000-09-22,-0.42860079603949264
2000-09-25,-0.4285990624247087
2000-09-26,-0.42859746751245875
2000-09-27,-0.428596000204489
2000-09-28,-0.4285946502907218
2000-09-29,-0.4285934083781516
2000-10-02,-0.4285922658254391
2000-10-03,-0.4285920069223667
2000-10-04,-0.42859180092803895
2000-10-05,-0.42859078667835027
2000-10-06,-0.4285898354667416
2000-10-09,-0.4285889600179412
2000-10-10,-0.42858815464807687
2000-10-11,-0.42858741375130616
2000-10-12,-0.42858673216325355
2000-10-13,-0.42858610513354545
2000-10-16,-0.4285855282927065
2000-10-17,-0.42858499762155833
2000-10-18,-0.4285845094230811
2000-10-19,-0.4285840602965461
2000-10-20,-0.4285836471137304
2000-10-23,-0.4285832669970483
2000-10-24,-0.4285829172994413
2000-10-25,-0.4285825955858872
2000-10-26,-0.4285822996163956
2000-10-27,-0.42858202733036943
2000-10-30,-0.4285817768322245
2000-10-31,-0.4285815463781624
2000-11-01,-0.4283135372929979
2000-11-02,-0.42832851976413694
2000-11-03,-0.4283484134199542
2000-11-06,-0.4283668478308268
2000-11-07,-0.4283838097738935
2000-11-08,-0.42839941431231643
2000-11-09,-0.4284137700557044
2000-11-10,-0.4284269769729174
2000-11-13,-0.42843912702637704
2000-11-14,-0.42845030481287755
2000-11-15,-0.4284605881541396
2000-11-16,-0.42847004863994315
2000-11-17,-0.42847875212763525
2000-11-20,-0.42848675920153306
2000-11-21,-0.42849412559544786
2000-11-22,-0.42850090258130435
2000-11-23,-0.42850713732657997
2000-11-24,-0.4285128732230751
2000-11-27,-0.428518150189317
2000-11-28,-0.4285230049487184
2000-11-29,-0.42852747128543756
2000-11-30,-0.4285315802797304
2000-12-01,-0.4284907830067649
2000-12-04,-0.4284959195545581
2000-12-05,-0.42850252897985974
2000-12-06,-0.42850865095399815
2000-12-07,-0.42851428412568887
2000-12-08,-0.4285194667131852
2000-12-11,-0.42852423473647433
2000-12-12,-0.4285286213537704
2000-12-13,-0.42853265707203586
2000-12-14,-0.42853636995853084
2000-12-15,-0.42853978583585095
2000-12-18,-0.4285429284613902
2000-12-19,-0.42854581969246397
2000-12-20,-0.42854847963823695
2000-12-21,-0.42855092679950785
2000-12-22,-0.42855317819732275
2000-12-25,-0.42855524949130736
2000-12-26,-0.4285571550885402
2000-12-27,-0.42855890824372156
2000-12-28,-0.42856052115133636
2000-12-29,-0.42856200503044495
2001-01-01,-0.42856337020269797
2001-01-02,-0.42775663818540904
2001-01-03,-0.4278052773826978
2001-01-04,-0.4278667950579566
2001-01-05,-0.42792374778264886
2001-01-08,-0.42797614528989975
2001-01-09,-0.4280243453096962
2001-01-10,-0.4280686843739046
2001-01-11,-0.4281094721179154
2001-01-12,-0.4281469932924906
2001-01-15,-0.4281815097691142
2001-01-16,-0.42821326238555096
2001-01-17,-0.42824247264147774
2001-01-18,-0.42826934425647195
2001-01-19,-0.42829406460167413
2001-01-22,-0.42831680601549255
2001-01-23,-0.4283377270128442
2001-01-24,-0.4283569733966378
2001-01-25,-0.42837467927947426
2001-01-26,-0.4283909680228831
2001-01-29,-0.4284059531008002
2001-01-30,-0.4284197388934479
2001-01-31,-0.42843242141726057
2001-02-01,-0.42778728817358974
2001-02-02,-0.4278297595497178
2001-02-05,-0.4278892754561694
2001-02-06,-0.4279444772153278
2001-02-07,-0.4279952730203045
2001-02-08,-0.42804200577879703
2001-02-09,-0.42808500026622104
2001-02-12,-0.42812455548724093
2001-02-13,-0.42816094653850373
2001-02-14,-0.4281944265157862
2001-02-15,-0.4282252282729498
2001-02-16,-0.4282535660404228
2001-02-19,-0.4282796369143369
2001-02-20,-0.4283036222266434
2001-02-21,-0.4283256888057152
2001-02-22,-0.42834599013618035
2001-02-23,-0.4283646674260385
2001-02-26,-0.4283818505884643
2001-02-27,-0.4283976591451175
2001-02-28,-0.4284122030572298
2001-03-01,-0.4283864743381394
2001-03-02,-0.4284003640668253
2001-03-05,-0.42841466927547794
2001-03-06,-0.428427863653503
2001-03-07,-0.42844000337135785
2001-03-08,-0.4284511720665402
2001-03-09,-0.4284614473840868
2001-03-12,-0.42847090077580785
2001-03-13,-0.42847959798047125
2001-03-14,-0.4284875994800982
2001-03-15,-0.4284949609201363
2001-03-16,-0.4285017334960793
2001-03-19,-0.42850796430920585
2001-03-20,-0.4285136966938975
2001-03-21,-0.42851897051880566
2001-03-22,-0.4285238224639532
2001-03-23,-0.428528286275692
2001-03-26,-0.42853239300128476
2001-03-27,-0.4285361712047368
2001-03-28,-0.4285396471653763
2001-03-29,-0.4285428450605604
2001-03-30,-0.4285457871337753
2001-04-02,-0.42854849384929694
2001-04-03,-0.4287134147221497
2001-04-04,-0.42869876786280786
2001-04-05,-0.4286893018837163
2001-04-06,-0.4286806845882446
2001-04-09,-0.42867276033919477
2001-04-10,-0.4286654715275399
2001-04-11,-0.42865876705347833
2001-04-12,-0.4286525999799423
2001-04-13,-0.4286469271547563
2001-04-16,-0.42864170890252534
2001-04-17,-0.4286369087426991
2001-04-18,-0.42863249313078783
2001-04-19,-0.42862843122077193
2001-04-20,-0.4286246946469357
2001-04-23,-0.42862125732350354
2001-04-24,-0.42861809526060507
2001-04-25,-0.42861518639521357
2001-04-26,-0.4286125104358229
2001-04-27,-0.4286100487197315
2001-04-30,-0.4286077840818953
2001-05-01,-0.42855489242627204
2001-05-02,-0.42855528489829176
2001-05-03,-0.42855737200141847
2001-05-04,-0.4285593301607491
2001-05-07,-0.42856113275404056
2001-05-08,-0.4285627913836528
2001-05-09,-0.4285643175145398
2001-05-10,-0.42856572171684376
2001-05-11,-0.42856701371997785
2001-05-14,-0.4285682024788299
2001-05-15,-0.42856929623512946
2001-05-16,-0.4285703025740038
2001-05-17,-0.4285712284760861
2001-05-18,-0.42857208036551864
2001-05-21,-0.4285728641541717
2001-05-22,-0.4285735852823698
2001-05-23,-0.42857424875640016
2001-05-24,-0.42857485918305327
2001-05-25,-0.42857542080142746
2001-05-28,-0.4285759375122139
2001-05-29,-0.4285764129046584
2001-05-30,-0.42857685028138376
2001-05-31,-0.42857725268123936
2001-06-01,-0.4287228364309471
2001-06-04,-0.42871719357974614
2001-06-05,-0.4287064461512018
2001-06-06,-0.4286964374410999
2001-06-07,-0.42868722715138746
2001-06-08,-0.42867875393632754
2001-06-11,-0.4286709588386739
2001-06-12,-0.42866378757010015
2001-06-13,-0.4286571901903186
2001-06-14,-0.42865112075945855
2001-06-15,-0.4286455370172566
2001-06-18,-0.4286404000880099
2001-06-19,-0.42863567420923754
2001-06-20,-0.4286313264821362
2001-06-21,-0.4286273266420746
2001-06-22,-0.4286236468475113
2001-06-25,-0.42862026148585297
2001-06-26,-0.4286171469948892
2001-06-27,-0.42861428169854976
2001-06-28,-0.42861164565583554
2001-06-29,-0.42860922052186146
2001-07-02,-0.4286069894200387
2001-07-03,-0.42824220785684336
