date,FRA_macro_f1__FRA_macro_f2
1999-02-01,-0.25851039612615356
1999-02-02,-0.023897076940492902
1999-02-03,0.1642578871343528
1999-02-04,0.3107599868193975
1999-02-05,0.42487465886688364
1999-02-08,0.5137888164793364
1999-02-09,0.583083978155716
1999-02-10,0.6370990255101484
1999-02-11,0.6792093714509719
1999-02-12,0.7120424283712803
1999-02-15,0.7376442930833991
1999-02-16,0.757608925419307
1999-02-17,0.7731784010545958
1999-02-18,0.785320801466471
1999-02-19,0.7947907815919232
1999-02-22,0.8021766993213019
1999-02-23,0.8079373076703515
1999-02-24,0.8124303328338048
1999-02-25,0.8159347396262522
1999-02-26,0.8186680830526105
1999-03-01,0.8208000331196422
1999-03-02,0.8239808319380738
1999-03-03,0.8249158228971517
1999-03-04,0.8256561287768411
1999-03-05,0.8262403702993621
1999-03-08,0.8267002671407988
1999-03-09,0.8270615587327644
1999-03-10,0.8273449423962048
1999-03-11,0.8275669460467716
1999-03-12,0.8277406981977645
1999-03-15,0.827876584614705
1999-03-16,0.8279827954465694
1999-03-17,0.8280657736511193
1999-03-18,0.8281305781413142
1999-03-19,0.8281811752701106
1999-03-22,0.8282206712408124
1999-03-23,0.8282514964822278
1999-03-24,0.8282755513545006
1999-03-25,0.8282943209563062
1999-03-26,0.8283089653804534
1999-03-29,0.8283203905438532
1999-03-30,0.8283293036973778
1999-03-31,0.8283362568834771
1999-04-01,0.8265676306146282
1999-04-02,0.8269491901934727
1999-04-05,0.8272517452428924
1999-04-06,0.8274907037128496
1999-04-07,0.8276788772662017
1999-04-08,0.8278267306196061
1999-04-09,0.8279427080276339
1999-04-12,0.8280335650359607
1999-04-13,0.828104672679973
1999-04-14,0.8281602817181556
1999-04-15,0.8282037448184562
1999-04-16,0.8282376995011015
1999-04-19,0.8282642166279012
1999-04-20,0.8282849197162061
1999-04-21,0.8283010801131006
1999-04-22,0.8283136925072845
1999-04-23,0.8283235346012129
1999-04-26,0.8283312141239472
1999-04-27,0.8283372057854806
1999-04-28,0.8283418802737071
1999-04-29,0.8283455269768873
1999-04-30,0.8283483717708597
1999-05-03,0.8262001632205453
