date,FRA_public_finance_f1__FRA_public_finance_f2
1999-02-01,0.08170621040731055
1999-02-02,-0.2682712134511709
1999-02-03,-0.4478308426224787
1999-02-04,-0.5592839282738322
1999-02-05,-0.6277080466745424
1999-02-08,-0.669417344685364
1999-02-09,-0.6947282116628485
1999-02-10,-0.7100452287010762
1999-02-11,-0.7192986453548842
1999-02-12,-0.7248830925394413
1999-02-15,-0.7282511972430792
1999-02-16,-0.7302818052324962
1999-02-17,-0.7315057646801533
1999-02-18,-0.7322434105153055
1999-02-19,-0.7326879317740262
1999-02-22,-0.7329557963839372
1999-02-23,-0.7331172043556617
1999-02-24,-0.7332144626591206
1999-02-25,-0.7332730661678759
1999-02-26,-0.7333083777900145
1999-03-01,-0.7333296547698677
1999-03-02,-0.4662584830286961
1999-03-03,-0.11011063764721166
1999-03-04,0.14587702095560784
1999-03-05,0.31935261908144996
1999-03-08,0.43210578033953767
1999-03-09,0.5033636868276743
1999-03-10,0.547587467830503
1999-03-11,0.574721395723996
1999-03-12,0.5912521671004376
1999-03-15,0.6012795628375058
1999-03-16,0.6073460225152951
1999-03-17,0.6110102841112323
1999-03-18,0.6132214262209721
1999-03-19,0.6145549249411136
1999-03-22,0.6153588492284582
1999-03-23,0.6158434065798849
1999-03-24,0.6161354311919099
1999-03-25,0.6163114098943008
1999-03-26,0.6164174525289114
1999-03-29,0.6164813507400471
1999-03-30,0.6165198532937213
1999-03-31,0.6165430531843464
1999-04-01,0.36838026430132476
1999-04-02,0.3884831595263972
1999-04-05,0.42942403868882356
1999-04-06,0.4834675214114534
1999-04-07,0.5431731369627913
1999-04-08,0.6010152247303748
1999-04-09,0.6509663833497985
1999-04-12,0.6900037684247434
1999-04-13,0.7181389105055793
1999-04-14,0.7372220476464826
1999-04-15,0.749626458298375
1999-04-16,0.7574644970004858
1999-04-19,0.7623279512247598
1999-04-20,0.7653115015877807
1999-04-21,0.7671289670342798
1999-04-22,0.7682313436816789
1999-04-23,0.7688982386613457
1999-04-26,0.7693010450813125
1999-04-27,0.7695441082083585
1999-04-28,0.7696906935257044
1999-04-29,0.7697790646245715
1999-04-30,0.7698323292187365
1999-05-03,0.7560479921384476
1999-05-04,0.7612754407244204
1999-05-05,0.7643206358358888
1999-05-06,0.7661190767426468
1999-05-07,0.7671898156211514
1999-05-10,0.7678303681667338
1999-05-11,0.7682146688972845
1999-05-12,0.7684456275719034
1999-05-13,0.768584573518928
1999-05-14,0.768668216069512
1999-05-17,0.7687185859629123
1999-05-18,0.7687489257531207
1999-05-19,0.7687672030938257
1999-05-20,0.7687782146555777
1999-05-21,0.768784849125097
1999-05-24,0.7687888465136558
1999-05-25,0.768791255055999
1999-05-26,0.7687927062881168
1999-05-27,0.7687935807125695
1999-05-28,0.7687941075897671
1999-05-31,0.7687944250559979
1999-06-01,-0.09664884973721724
1999-06-02,-0.25241167380569374
1999-06-03,-0.3821313432843584
1999-06-04,-0.48659653512698
1999-06-07,-0.566079676151599
1999-06-08,-0.6229922865337807
1999-06-09,-0.6616441120520561
1999-06-10,-0.6868513460582462
1999-06-11,-0.7028283313702297
1999-06-14,-0.7127648488845437
1999-06-15,-0.7188700927488152
1999-06-16,-0.7225929366746675
1999-06-17,-0.7248524457325071
1999-06-18,-0.7262198958766368
1999-06-21,-0.727046037165363
1999-06-22,-0.7275446232609845
1999-06-23,-0.7278453345924525
1999-06-24,-0.7280266324576218
1999-06-25,-0.7281359110292525
1999-06-28,-0.7282017702649386
1999-06-29,-0.7282414585019772
1999-06-30,-0.7282653743011571
1999-07-01,-0.7499958897267577
1999-07-02,-0.7419670918336922
1999-07-05,-0.7369909091366977
1999-07-06,-0.7339411476015261
1999-07-07,-0.7320846474062748
1999-07-08,-0.7309591212435654
1999-07-09,-0.7302784258449602
1999-07-12,-0.729867360962277
1999-07-13,-0.729619343096878
1999-07-14,-0.7294697802345842
1999-07-15,-0.7293796179357128
1999-07-16,-0.7293252751248727
1999-07-19,-0.7292925253315699
1999-07-20,-0.7292727899962914
1999-07-21,-0.7292608978000741
1999-07-22,-0.7292537319363545
1999-07-23,-0.7292494140784405
1999-07-26,-0.7292468123370422
1999-07-27,-0.7292452446568027
1999-07-28,-0.7292443000536724
1999-07-29,-0.7292437308857747
1999-07-30,-0.7292433879357145
1999-08-02,-0.7292431812925468
1999-08-03,-0.6334364133867909
1999-08-04,-0.6606524808809169
1999-08-05,-0.6762848165943339
1999-08-06,-0.6854421744604071
1999-08-09,-0.6908681966586642
1999-08-10,-0.6941050330579759
1999-08-11,-0.6960436927475276
1999-08-12,-0.697207614586344
1999-08-13,-0.6979074093195863
1999-08-16,-0.6983285166905241
1999-08-17,-0.6985820533648717
1999-08-18,-0.6987347483020505
1999-08-19,-0.6988267276494279
1999-08-20,-0.6988821398379503
1999-08-23,-0.6989155247300767
1999-08-24,-0.6989356393829232
1999-08-25,-0.6989477589158988
1999-08-26,-0.6989550613176433
1999-08-27,-0.6989594612851844
1999-08-30,-0.6989621124430012
1999-08-31,-0.6989637098776855
1999-09-01,-0.42769510144741746
1999-09-02,-0.14457285541946113
1999-09-03,0.05615464734223988
1999-09-06,0.19263076025110967
1999-09-07,0.2820607979114674
1999-09-08,0.3390211906637493
1999-09-09,0.3745821273988148
1999-09-10,0.3964899809718445
1999-09-13,0.40987228030346234
1999-09-14,0.41800340731642366
1999-09-15,0.4229277305527318
1999-09-16,0.4259040010156565
1999-09-17,0.4277006766807904
1999-09-20,0.42878447108692075
1999-09-21,0.42943794865524676
1999-09-22,0.4298318592797484
1999-09-23,0.43006926668935486
1999-09-24,0.4302123366228604
1999-09-27,0.43029855044152093
1999-09-28,0.4303505009687548
1999-09-29,0.4303818045294002
1999-09-30,0.4304006667107778
1999-10-01,0.5230396461401905
1999-10-04,0.5226323418190753
1999-10-05,0.5455493743565047
1999-10-06,0.5825816501129313
1999-10-07,0.6249103412660035
1999-10-08,0.6650538998241015
1999-10-11,0.6983396017726118
1999-10-12,0.7232761437329812
1999-10-13,0.7406217738708862
1999-10-14,0.7520803805462909
1999-10-15,0.7593947248595913
1999-10-18,0.7639619022666897
1999-10-19,0.7667745441798218
1999-10-20,0.7684919374657873
1999-10-21,0.7695351048499403
1999-10-22,0.7701667262591115
1999-10-25,0.7705484266046765
1999-10-26,0.7707788264083404
1999-10-27,0.7709178012006418
1999-10-28,0.7710015937837167
1999-10-29,0.7710521022218716
1999-11-01,0.7710825429667665
1999-11-02,0.7022531020724501
1999-11-03,0.7248615270582259
1999-11-04,0.7395035300726454
1999-11-05,0.7487099097060683
1999-11-08,0.754400429068191
1999-11-09,0.757882198799318
1999-11-10,0.7599995814823893
1999-11-11,0.761282516614366
1999-11-12,0.7620581382639815
1999-11-15,0.7625264301793323
1999-11-16,0.7628089408279559
1999-11-17,0.7629792911441751
1999-11-18,0.7630819802809977
1999-11-19,0.7631438716089718
1999-11-22,0.7631811699184118
1999-11-23,0.7632036460106679
1999-11-24,0.7632171896625055
1999-11-25,0.763225350612248
1999-11-26,0.7632302680578984
1999-11-29,0.7632332310792714
1999-11-30,0.763235016447494
1999-12-01,0.5877307731102548
1999-12-02,0.5564296102659863
1999-12-03,0.5361672166946003
1999-12-06,0.5234702912013908
1999-12-07,0.515663256010667
1999-12-08,0.510910916465998
1999-12-09,0.5080326116067273
1999-12-10,0.5062936652450211
1999-12-13,0.5052443717735675
1999-12-14,0.5046116241238003
1999-12-15,0.5042301931954395
1999-12-16,0.5040003036643537
1999-12-17,0.5038617634857567
1999-12-20,0.5037782791235528
1999-12-21,0.5037279732691604
1999-12-22,0.5036976607226122
1999-12-23,0.503679395682096
1999-12-24,0.5036683900382454
1999-12-27,0.5036617585924226
1999-12-28,0.5036577628289894
1999-12-29,0.5036553551944178
1999-12-30,0.5036539044833377
1999-12-31,0.5036530303634181
2000-01-03,-0.6667861917448001
2000-01-04,-0.6158783988670236
2000-01-05,-0.5828002357042241
2000-01-06,-0.570036326835837
2000-01-07,-0.5761534592928578
2000-01-10,-0.5964044371664747
2000-01-11,-0.6240698383416247
2000-01-12,-0.6525242045352576
2000-01-13,-0.6771655033026609
2000-01-14,-0.6960908211569137
2000-01-17,-0.7094495041012363
2000-01-18,-0.718351910373951
2000-01-19,-0.724064513339501
2000-01-20,-0.7276428438373066
2000-01-21,-0.7298507190379078
2000-01-24,-0.7312003915056486
2000-01-25,-0.7320207676439321
2000-01-26,-0.7325176995277876
2000-01-27,-0.7328180799582524
2000-01-28,-0.7329994213322846
2000-01-31,-0.7331088145577386
2000-02-01,-0.7905362390402167
2000-02-02,-0.7701951775272897
2000-02-03,-0.7566783859836421
2000-02-04,-0.7480406805331562
2000-02-07,-0.7426516354246944
2000-02-08,-0.7393369992523796
2000-02-09,-0.7373152874252846
2000-02-10,-0.7360882454005815
2000-02-11,-0.7353456853758656
2000-02-14,-0.7348970956164459
2000-02-15,-0.734626378041697
2000-02-16,-0.7344631053915471
2000-02-17,-0.7343646706900367
2000-02-18,-0.7343053391691323
2000-02-21,-0.7342695819250664
2000-02-22,-0.7342480339106608
2000-02-23,-0.7342350492922292
2000-02-24,-0.734227225121729
2000-02-25,-0.734222510577701
2000-02-28,-0.7342196698053493
2000-02-29,-0.7342179580946497
2000-03-01,-0.6365558614484974
2000-03-02,-0.6784165728043756
2000-03-03,-0.7004020389654273
2000-03-06,-0.7126599824577807
2000-03-07,-0.7197202169410607
2000-03-08,-0.7238626099498651
2000-03-09,-0.7263193698374613
2000-03-10,-0.727785722118895
2000-03-13,-0.7286642589437587
2000-03-14,-0.7291918123991802
2000-03-15,-0.7295090348289324
2000-03-16,-0.7296999394543849
2000-03-17,-0.7298148824949164
2000-03-20,-0.72988410981766
2000-03-21,-0.729925811142343
2000-03-22,-0.7299509339875785
2000-03-23,-0.7299660701542892
2000-03-24,-0.7299751898409294
2000-03-27,-0.729980684669302
2000-03-28,-0.7299839954811114
2000-03-29,-0.7299859903693187
2000-03-30,-0.7299871923704111
